"","MEyellow","MEgreen","MEgreenyellow","MEpink","MEblue","MEturquoise","MEbrown","MEpurple","MEred","MEblack","MEmagenta"
"B1_B1_O01",0.0356666064608154,0.0226779957048643,-0.010499779517706,0.0268671089439546,-0.0387028592970715,-0.0281272637512581,-0.0598744007568918,0.00477466767455467,-0.00508930327834694,0.0927934695589921,-0.0158176704841178
"B1_Nu_O03",0.0623424840370884,0.00204474427319368,-0.0116360702376385,-0.188446559962599,-0.105132077835019,0.0265582591866257,-0.0629622213916406,-0.0106834639675423,0.00262125375416924,-0.0592739419786151,-0.0334225261218404
"B1_W5_O50",-0.01980661039251,-0.098597769360994,-0.0417479910644704,-0.0157887147554815,0.00926078548058862,0.0452892462365492,0.0094467693971772,0.0633512382092855,-0.0683196574509172,-0.077235547062833,-0.0436445624711247
"B2_B5_O51",-0.0499935559669633,-0.173983515961595,-0.121591660781214,-0.0810557044399765,-0.00305389626253161,0.0523284407901119,0.0370731932640557,0.136240310301904,0.0295270350498864,0.163901641300102,0.101698780918641
"B2_C4_O40",0.0306804512697388,0.0739268770606392,0.0966261101821968,0.0165870128708475,-0.00576469859341169,0.0322047401116081,-0.01293110673566,-0.103336485721961,-0.0909225918681251,-0.0554369892749232,-0.0290266925831565
"B2_Nu_O12",0.0596417425233279,0.0246810683399362,-0.0348920233891365,-0.182094042508408,-0.0547225738923571,0.00646219624685211,0.217113273943431,-0.0468581272000199,-0.0170922883309611,-0.0474037526633382,-0.0284703355297383
"B3_B4_O41",-0.0558196932789367,-0.127462729709394,-0.0648398324156137,0.0133680476109958,0.0160396851028024,0.0464823164361146,0.0144712939186844,0.0926715350411,-0.0269407062919638,-0.0704083539415314,-0.00837224589990983
"B3_C3_O30",-0.169567291185471,-0.0883300553885424,0.019819706487606,0.0490102366563331,0.143836997435598,0.0999720587479973,-0.0358953033157626,0.0289665035526754,-0.0854712089323394,-0.0615826821673322,-0.0316572524034322
"B3_C6_O66",-0.0467379086802153,-0.0446241098690254,0.0063348969214183,0.0368856185281973,-0.0189574243626725,0.0804581240290645,0.1344971584968,0.0168840082971616,-0.0582014303086283,-0.0546694848951043,-0.0334743075175677
"B3_H4_O41",0.0360276912499672,0.0626116500851655,-0.000979529328231728,0.127470331085071,-0.0608822566102483,-0.102350489860202,-0.0499115246590554,-0.0429574306365232,0.0508544530912504,-0.068694992279906,-0.0518580900245251
"B3_W1_O06",0.0201169099090145,-0.0728678580840202,-0.149430441102885,0.00179820006961027,0.0554824583702263,-0.143983551421922,-0.0832426082951412,0.0927654578242114,0.144575760467351,-0.0621030120159679,-0.0448001650780053
"B3_W4_O41",0.073975942224416,0.11968542007443,0.105875717214685,0.083687311299306,-0.0562956747293763,-0.0101354151738077,-0.0697736249229078,-0.101580348924539,-0.0610722685299712,-0.0612641754262879,-0.0314733790735197
"B4_B2_O19",-0.0547490363445914,0.0570992552338342,0.070649177713627,0.0695784223075465,0.105559987390535,0.0170151000893446,-0.0565753857799069,-0.0358133508397688,-0.0331453774194893,0.0882689588312077,-0.0271220164403924
"B4_B3_O32",-0.043231631729743,-0.0345855148300465,-0.0927749938534115,0.193195565525092,0.076660308249004,-0.0587863160943752,0.211940044825388,0.0568609398425506,0.0647477908085946,-0.0122436213930458,0.214161743353476
"B4_C5_O56",-0.079888126482751,-0.190769514588452,-0.115382520975525,-0.0910558888877032,-0.00292853226564961,0.164312799094857,0.168626950779515,0.114212665941814,-0.017139600970726,-0.0574238755616919,-0.0215707622195942
"B4_H5_O55",-0.085630312580535,0.00888358894244573,0.0708567156106587,-0.0462118165481754,0.0902052695515019,0.00184687685317469,-0.0872162008835009,-0.0372534406650994,-0.00587148411680526,-0.0675693417545027,-0.0399605540871436
