"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111112448",24.3273166864946,3.82693452971143,2.21846923638826,4.18714341166426,2.8248734442188e-05,0.0167693940373745,0.0289680452140547,"W vs. H","H"
"LOC111113921",62.1192607244602,-1.04414056757163,0.995346218454446,-3.81509955825917,0.000136128039518841,0.0487373759961,0.139379881964297,"W vs. H","W"
"LOC111110198",262.100366805319,1.00217236498089,0.28719671938363,4.83012095632608,1.36450135050752e-06,0.00132840408750773,0.116631269767627,"W vs. H","H"
"LOC111129171",35.6590308512593,22.7594051415926,3.97786370175188,5.89356767105905,3.7794521699734e-09,5.78202189832074e-06,9.2632379393972e-06,"W vs. H","H"
"LOC111103459",280.039689874919,1.26617467517831,0.476393804128626,4.62134049149832,3.81268420518008e-06,0.00314077193486719,0.0475982449861524,"W vs. H","H"
"LOC111135260",1479.39168264693,4.16955439524782,2.1430858707287,4.26905471968682,1.96303111503229e-05,0.0128706735984984,0.0229466131859844,"W vs. H","H"
"LOC111137387",7055.50433514986,3.11955538381801,2.0070000613285,4.11168753656117,3.92777641915396e-05,0.0210312788363599,0.0440108345004108,"W vs. H","H"
"LOC111100804",820.905851081845,-3.87026608419796,2.71232691736922,-4.0786139394371,4.53049973776749e-05,0.0226209517069778,0.0550393597145927,"W vs. H","W"
"LOC111104602",189.711759668133,3.61536685134424,3.28219935081306,3.93330776062109,8.37848510026217e-05,0.0345096911302721,0.0935567331995253,"W vs. H","H"
"LOC111101935",279.798799289529,3.21460508842525,2.93850537128809,3.91504314303722,9.03880438407628e-05,0.0367581858793947,0.0957915647762661,"W vs. H","H"
"LOC111119492",51.9020740739304,-1.9083228562291,0.963952180041214,-4.37287507283268,1.22620898794745e-05,0.00937962289423514,0.0273243677766878,"W vs. H","W"
"LOC111119724",15.1320911867311,24.4491351436509,3.97158390533116,6.3298377129712,2.45419184900579e-10,6.06506319484684e-07,7.79088617470672e-07,"W vs. H","H"
"LOC111119726",13.8432650309648,24.3329975323613,3.97180925648021,6.29968785820782,2.98245635812897e-10,6.84409824411496e-07,1.15756924440349e-06,"W vs. H","H"
"LOC111120398",25.7356481070151,3.19955024608275,0.992359884807718,4.70086695064684,2.5905927322019e-06,0.00236943017219951,0.00445115908500678,"W vs. H","H"
"LOC111127619",39.3500887732458,20.6372414581456,4.05632380503255,5.35106686976892,8.74372019901701e-08,0.000108042114936084,0.00014250902048637,"W vs. H","H"
"LOC111123218",255.721488674375,-2.30226354046932,1.64475731100203,-4.04943734298483,5.1340921024736e-05,0.0229087468022457,0.0680636014855204,"W vs. H","W"
"LOC111125182",121.664126330842,23.7701227211217,3.28773490889325,7.36672272771271,1.74873667869604e-13,1.12363326552936e-09,1.00541385240823e-09,"W vs. H","H"
"LOC111123780",1160.93596613108,3.14654803640984,2.59447094959598,3.96617891227416,7.30340490923879e-05,0.0308732223051467,0.087108196662295,"W vs. H","H"
"LOC111123713",80.2850808028264,2.09383852347259,1.5441048021477,4.03297925620635,5.50741429367608e-05,0.0241706938883661,0.0793367158763721,"W vs. H","H"
"LOC111122556",25.1291477171055,1.52477956341204,1.40415491950548,3.8779189710107,0.000105353792277853,0.0402940629108402,0.109541451770986,"W vs. H","H"
"LOC111123156",336.433423626788,4.63178524066495,2.22452479591897,4.32287385981337,1.54009796514245e-05,0.010308068192944,0.017921032147998,"W vs. H","H"
"LOC111122869",236.584906828768,-1.22224012028761,0.593581812270316,-4.34584557204417,1.38740156492318e-05,0.00990512223917488,0.0755636407948791,"W vs. H","W"
"LOC111128112",427.651671758086,2.28617745543774,0.767793793748764,4.77803885094909,1.77013184288106e-06,0.00167261840341882,0.00576590664444453,"W vs. H","H"
"LOC111131598",80.8249190547121,2.81767570319967,2.66254828411024,3.88134363919264,0.000103880932633863,0.0402094303943148,0.102505561574837,"W vs. H","H"
"LOC111136946",99.4677107770406,1.6001101464761,1.61854077395374,3.80915584826611,0.000139442048234623,0.0492291723476235,0.123963150046065,"W vs. H","H"
"LOC111135805",11.0015605059367,3.23338673167739,2.98443040898719,3.9108894890783,9.19568421808697e-05,0.03692871835931,0.100214831479715,"W vs. H","H"
"LOC111133201",21.5738284739148,21.012506773587,4.0276971533842,5.44523583130493,5.17367932492574e-08,6.64859182687557e-05,7.58008134290661e-05,"W vs. H","H"
"LOC111134035",629.890146628202,5.64894224562571,0.935887283062744,6.39049943548564,1.65344815231508e-10,4.42669406578556e-07,1.73867681721912e-06,"W vs. H","H"
"LOC111134915",1750.80047630355,-11.9908835993156,2.14402990110057,-5.8623286018213,4.56420644029264e-09,6.37540262205572e-06,1.25918830833754e-05,"W vs. H","W"
"LOC111137749",122.591641237035,-32.3131827686475,3.9698104756527,-8.36692287026431,5.91423826885221e-17,6.33355776211384e-13,1.89914127987253e-12,"W vs. H","W"
"LOC111132199",30.8851566187796,-18.015618733997,2.65799403027257,-6.86738522504386,6.53893227944447e-12,2.8761865461303e-08,2.80295336011068e-08,"W vs. H","W"
"LOC111133953",26.1220993306005,2.95102527109642,1.3580999797539,4.35791827682536,1.31305391904421e-05,0.0095873825584394,0.0167343715322208,"W vs. H","H"
"LOC111101500",6.94780306211578,-24.0521033795668,3.9729722963397,-6.2260236856672,4.78421770045706e-10,1.02468374708389e-06,1.99913723805762e-06,"W vs. H","W"
"LOC111101741",24.525484248289,5.21374203699138,3.24320052079186,4.17938046382867,2.92304312912183e-05,0.0167693940373745,0.0387552202112858,"W vs. H","H"
"LOC111099706",2189.69610849398,-7.98847693742433,1.72725486433405,-5.32961336635803,9.84220684813188e-08,0.000117111325707383,0.000169633714971039,"W vs. H","W"
"LOC111100048",8.57056106812763,-19.1044410439075,2.93018636103226,-6.62243271168893,3.53334917520744e-11,1.13515908951889e-07,1.28632989921419e-07,"W vs. H","W"
"LOC111100978",69.178949105793,21.6821163771976,2.32666367843285,9.4059490187373,5.15627609017512e-21,1.65655681949056e-16,3.25728663355871e-16,"W vs. H","H"
"LOC111101392",131.629385107312,23.8943496210871,3.28130714453063,7.41914804711388,1.17876093688276e-13,9.4675131548081e-10,5.86883482804518e-10,"W vs. H","H"
"LOC111100041",701.234746483297,5.08682230079369,3.878101236027,4.05944601999034,4.91892772273332e-05,0.0226209517069778,0.069941858877975,"W vs. H","H"
"LOC111101301",1431.62479223373,-8.72014249495476,1.53592496428889,-6.18533564010122,6.19704729807032e-10,1.10606965858392e-06,3.31101379007589e-06,"W vs. H","W"
"LOC111104497",48.9124784241991,21.9918245312044,3.85467957915759,5.86882733724572,4.38888196232982e-09,6.37540262205572e-06,1.08588718853923e-05,"W vs. H","H"
"LOC111105630",30.6143131775757,16.0237125128621,2.63361304766976,6.19206331169372,5.93816890461493e-10,1.10606965858392e-06,2.27201909528397e-06,"W vs. H","H"
