"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue"
"LOC111116054",8.73976335174402,-0.00145899565454747,0.0765401398950558,-0.165570485999835,0.868494975424584,0.989473239634337,0.985586696742986
"LOC111126949",670.509082397718,0.00370599773306807,0.0568450965675819,0.356619609732502,0.721376595080653,0.971923887245868,0.989468226798498
"LOC111110729",160.018312911164,-0.0216370770566392,0.0706116098191679,-1.46651620458535,0.142507709853652,0.743348602744479,0.990923273695562
"LOC111112434",13.0480739457338,-0.0137361398477007,0.0924687423115564,-1.21580575932383,0.224058924351477,0.810650886727239,0.980145072867648
"LOC111120752",403.233516656779,0.0113937325470198,0.0636855482101637,0.958620800106271,0.337749810142173,0.875073398767165,0.989262677204901
"LOC111128944",1.59456897844446,-0.0188700479848687,0.213433961091207,-1.23706790578725,0.216061873568646,0.804544867887082,0.933592067295808
"LOC111128953",0.075797254910217,-0.00202101389138625,0.189237856554388,-0.171468262191309,0.863855583937419,NA,0.965930876582039
"LOC111105691",17.385312926618,0.00548874684297543,0.107310086915136,0.569829822165621,0.568793126572773,0.945689738097597,0.97728442806831
"LOC111105685",0,0,0.39034291413987,NA,NA,NA,0.99200859788609
"LOC111105702",0,0,0.39034291413987,NA,NA,NA,0.992008821609553
"LOC111133554",2.1345059622363,-0.0298775055364935,0.245897436010037,-1.60082217485336,0.109416310691998,0.700368404935109,0.915472830825402
"LOC111125466",2.66363967308813,-0.0232739226490462,0.232393994860895,-1.39228254159249,0.163836856102476,0.761997354592207,0.926061387167677
"LOC111128964",0,0,0.39034291413987,0,1,NA,0.992009045320491
"LOC111113860",671.838462818893,-0.00989449003780668,0.0740436143929619,-0.916113933746053,0.359607140342122,0.887502900711134,0.986073764680155
"LOC111109550",32.7661216465863,-0.00461665530800164,0.0942073189115513,-0.504414952047449,0.613969813134188,0.9538509911426,0.980380676778079
"LOC111109753",30.2884888292859,-0.0114443882367584,0.11394630969437,-1.06334744957488,0.287624414548635,0.851978048398403,0.972723716715655
"LOC111109452",4687.80528259107,-0.0584560903438744,0.143361164985802,-2.28733818442615,0.0221760913482149,0.429461865202059,0.979965778144795
"LOC111124802",2919.80298211291,0.00556345388989952,0.0274639138298732,0.822677048289409,0.410691670619808,0.903813363772677,0.992009269018903
"LOC111101273",1215.16632332556,0.00169118039923006,0.038506364753242,0.191357142136522,0.848245795171308,0.9884358725818,0.99166535587169
