"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.73976335174402,0.00391862729232312,0.0885159253459647,0.541750030881834,0.986376988879831
"LOC111126949",670.509082397718,0.00102852565843714,0.0432561595587428,0.799322308409601,0.999634105620327
"LOC111110729",160.018312911164,0.00189620907797098,0.0296575397148559,0.601743840878376,0.990498260741512
"LOC111112434",13.0480739457338,-0.00402269891412953,0.075717917635819,0.468477721187362,0.97696270038017
"LOC111120752",403.233516656779,-0.00171555580119115,0.0402548993196742,0.673189917632757,0.997381110175548
"LOC111128944",1.59456897844446,-0.0376268749031685,0.407471701915378,0.216010624554773,NA
"LOC111128953",0.075797254910217,-0.00573788051178201,0.347664100681963,0.831872196769703,NA
"LOC111105691",17.385312926618,0.000251425165801008,0.125143588855171,0.979753089149052,0.999634105620327
"LOC111105685",0,0,1.19712731451677,NA,NA
"LOC111105702",0,0,1.19712731451677,NA,NA
"LOC111133554",3.80229099386594,0.0214201934960466,0.265156332756938,NA,NA
"LOC111125466",2.66363967308813,-0.0663872029943697,0.542236874611876,0.110038172783444,0.773846660924154
"LOC111128964",0.852423460610706,0.037743356437697,0.499556282065062,NA,NA
"LOC111113860",671.838462818893,-0.00134575089971142,0.051288345743168,0.752762760578022,0.999353977162681
"LOC111109550",32.7661216465863,-0.129773480382997,0.611269875142846,0.0238436177957417,0.460114316919208
"LOC111109753",30.2884888292859,-0.0829617817376345,0.466953950134866,0.0363793668960085,0.538798489088125
"LOC111109452",4687.80528259107,-0.00435300465828503,0.0497782002402728,0.349765458899789,0.953347229005111
"LOC111124802",2919.80298211291,-3.96222077787525e-05,0.016445719279196,0.985766862027712,0.999634105620327
"LOC111101273",1215.16632332556,0.000977647067040401,0.0303507108412659,0.789604019621284,0.999634105620327
"LOC111101250",1363.50601086619,0.00495085553998446,0.0356297234469916,0.246579353816895,0.912211515765044
"LOC111101262",12612.7169998288,-0.00081787254346304,0.0275273476176245,0.812524831235267,0.999634105620327
"LOC111133260",2871.43659757596,0.0030041514862909,0.0289923175995704,0.399317945949846,0.962178801138536
"LOC111113503",2.79602364865157,0.00154304976870592,0.0834390510369443,0.806703527497227,0.999634105620327
"LOC111102393",725.433327168891,0.0039164609825286,0.0407778167442429,0.377261480129089,0.960335875557354
"LOC111119377",198.674014516254,-0.0051564250235796,0.0663744111815049,0.31985920895063,0.946071308602843
