"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.73976335174402,0.00199533531080296,0.0630347689140157,0.488393920867999,0.991234758645091
"LOC111126949",670.509082397718,-0.000424769402845429,0.0207049896615707,0.566758617562056,0.997433430021856
"LOC111110729",160.018312911164,6.25235142342267e-05,0.00855214833812223,0.85356714568684,0.999528223946199
"LOC111112434",13.0480739457338,0.000948853817788721,0.0426454754115501,0.609124471731169,0.997448853013833
"LOC111120752",403.233516656779,-0.000102194471112979,0.0139852367439336,0.840096207880971,0.999528223946199
"LOC111128944",1.59456897844446,0.0395001538894801,0.428997153943592,0.113934959358569,NA
"LOC111128953",0.075797254910217,0,0.262975996489716,1,NA
"LOC111105691",17.385312926618,-3.34142201905156e-05,0.0915668633984851,0.994973229619208,1
"LOC111105685",0,0,1.43287737143168,NA,NA
"LOC111105702",0,0,1.43287737143168,NA,NA
"LOC111133554",3.80229099386594,-0.00437480654470044,0.134468564949317,NA,NA
"LOC111125466",2.66363967308813,0.0373805446342669,0.409106096865446,0.116633320447569,0.834992762185792
"LOC111128964",0.852423460610706,-0.0211073668085774,0.378067176733254,NA,NA
"LOC111113860",671.838462818893,-0.000558751133067716,0.0284117977263576,0.615530442097864,0.997566203462209
"LOC111109550",32.7661216465863,0.0253446961612933,0.258701030208057,0.0773192934669256,0.758149062014363
"LOC111109753",30.2884888292859,0.0379305185580817,0.318062429310327,0.0472615361670286,0.662987776618365
"LOC111109452",4687.80528259107,0.00611719255203079,0.0759814063773864,0.0466548914612025,0.659128473317449
"LOC111124802",2919.80298211291,0.000164625229919073,0.00717575482678214,0.692275956299522,0.999528223946199
"LOC111101273",1215.16632332556,0.000259641750273525,0.0107828643131025,0.503097284846764,0.992858421837425
"LOC111101250",1363.50601086619,7.51542797768212e-05,0.00765810485359637,0.830234562466539,0.999528223946199
"LOC111101262",12612.7169998288,-0.000112819642161475,0.00874429171987831,0.742635366452099,0.999528223946199
