"X","Gene","log2FoldChange","lfcSE","pvalue","padj","pair","DEG_group"
"LOC111132252",110.194760065631,4.60760415365506,1.47837639022559,9.60320946496605e-06,0.00617764356239724,"B vs. H","H"
"LOC111105069",273.298066987944,4.753563414247,2.86086870329244,5.50000855434449e-05,0.0220406080509756,"B vs. H","H"
"LOC144620523",55.1935883949688,5.08588273593885,3.83848932475285,6.83215001452386e-05,0.0248577564905918,"B vs. H","H"
"LOC111102559",284.270573107815,2.82349215213717,2.19191630457085,0.000150259843568999,0.0390755518728104,"B vs. H","H"
"LOC111103795",444.046248787391,-4.21448900488018,2.76355475720676,7.71300175280064e-05,0.0262889675883452,"B vs. H","B"
"LOC144622286",335.752195827083,3.59931258421478,2.60945272132427,0.000111762106354663,0.0329159601185512,"B vs. H","H"
"LOC111105392",109.051950141191,-1.08127589888397,1.0436473214994,0.000186467928727238,0.0442544516285178,"B vs. H","B"
"LOC144622849",434.379514573014,24.5839752221785,3.5491484518796,9.59830576136455e-13,1.80485064874274e-09,"B vs. H","H"
"LOC144619748",34.0026432955382,21.3143942190973,3.76559604185892,2.67314372405091e-09,2.72270826393436e-06,"B vs. H","H"
"LOC111109559",343.775479251252,4.22390333035873,3.07612997488849,9.15325505453376e-05,0.0294409631326418,"B vs. H","H"
"LOC111104523",1994.22237269773,2.76170558917704,1.51885713173895,6.11744276238099e-05,0.0237366489406989,"B vs. H","H"
"LOC111137838",12.6840525672698,4.65781161352115,2.64405834424148,5.06121444395211e-05,0.0213312736348982,"B vs. H","H"
"LOC144620030",191.53571949851,22.1310690557356,3.03455199611224,8.5467258500819e-14,2.08924713405252e-10,"B vs. H","H"
"LOC111100030",65.6308312956358,22.4804584517591,4.21950082929484,1.30676505781919e-08,1.2286104553227e-05,"B vs. H","H"
"LOC111099841",444.4028384869,7.01214134057927,2.2369750394867,4.34425467629782e-06,0.00287014339357028,"B vs. H","H"
"LOC144626438",665.920211126436,3.97908055743569,2.6487737869799,8.52984957370314e-05,0.0285633113464621,"B vs. H","H"
"LOC144626453",324.313245518746,2.72652375370438,1.75776386265712,9.46213587847612e-05,0.0296540912242755,"B vs. H","H"
"LOC111099801",855.5301857883,7.58212958983617,1.57515982802852,5.15757746487512e-08,4.66951781958786e-05,"B vs. H","H"
"LOC111099910",310.031419566933,3.82632445552836,1.46251149171914,2.02487752352378e-05,0.0107034077772243,"B vs. H","H"
"LOC111102362",255.140471263471,3.06495430511754,1.77644162891814,7.13324836035813e-05,0.0249103223098506,"B vs. H","H"
"LOC111099974",90.3099100231654,5.88346368022628,2.44039442834601,1.6113231564074e-05,0.00895199876326793,"B vs. H","H"
"LOC111101544",755.544469494466,3.50579851699564,2.6859251609791,0.000127074655933427,0.0337645648292677,"B vs. H","H"
"LOC111122616",142.152499704526,2.5751640057121,1.7360537002258,0.000105926127595214,0.0315776120617682,"B vs. H","H"
"LOC111127072",635.837852398616,3.38793206812126,1.93646171649716,6.75386452636593e-05,0.0248577564905918,"B vs. H","H"
"LOC111126099",3723.45167427248,8.17042738522022,2.20101306070887,1.00452512168965e-06,0.000722224017638338,"B vs. H","H"
"LOC111124393",178.480156195149,-2.71825903573565,2.2373460147631,0.000173716282569786,0.0428938841153376,"B vs. H","B"
"LOC111125342",203.42079371669,3.06294471264208,2.69615712474638,0.000184481340646643,0.0442122193343842,"B vs. H","H"
"LOC111127359",13.9127446972659,21.6596308033529,2.66713005277197,1.43580817377178e-16,4.38729135098141e-13,"B vs. H","H"
"LOC111125805",425.520443589118,3.1699619704159,2.82304891014259,0.000181514126490785,0.0439318101194776,"B vs. H","H"
"LOC111126892",114.794814731725,22.7049439624027,2.09363692644361,6.46311962225749e-28,1.57990959166084e-23,"B vs. H","H"
"LOC111123540",97.6703590673361,2.61656006997208,1.74827049109518,0.000103650876564851,0.0314103721954138,"B vs. H","H"
"LOC111125789",161.72047316928,23.996250695841,2.67343201347133,7.32695685323372e-20,4.47768650693246e-16,"B vs. H","H"
"LOC111124623",465.181312412353,6.51443581654542,1.45191135606632,3.97441961390738e-07,0.000323848958206553,"B vs. H","H"
"LOC111123420",170.109367305677,9.78319862093161,1.81999175777921,3.82091388758777e-10,5.18901333233795e-07,"B vs. H","H"
"LOC111123696",19.4589399393642,2.68135418605838,1.50138644741291,6.39442758444938e-05,0.0244237159846664,"B vs. H","H"
"LOC111125415",69.9425089686354,22.2615401268904,3.88944961473274,1.95762516521964e-09,2.080615094078e-06,"B vs. H","H"
"LOC111125416",78.7180674439756,23.0306016825151,3.52528347856728,1.5530572126638e-11,2.71174882596903e-08,"B vs. H","H"
"LOC111127347",533.138640390633,8.66291036169319,2.55463369201214,1.53279911699928e-06,0.00107055069757278,"B vs. H","H"
"LOC111126354",77.9452448950355,3.3490964022469,1.93271691212058,6.94680915574741e-05,0.0248577564905918,"B vs. H","H"
"LOC111125917",343.163677857026,1.87891506430582,1.18939612088075,7.74311992784151e-05,0.0262889675883452,"B vs. H","H"
"LOC111122730",31.5829818670037,3.59048733637898,3.23078412747426,0.000155471150657566,0.0400051818718338,"B vs. H","H"
"LOC111124814",51.1185847611153,3.41948003358355,1.19337158834373,1.49194380882561e-05,0.00848152707133536,"B vs. H","H"
"LOC111110519",307.252843546259,-3.31049689086276,0.719253152238499,8.2405797269766e-07,0.000610660746622909,"B vs. H","B"
"LOC144623048",28.8597280815056,-2.9105577888797,1.83176535708779,8.89366449254495e-05,0.0289874171360348,"B vs. H","B"
"LOC144623634",118.119081216677,24.4382089647116,3.47471666809578,4.61065113291072e-13,1.02461242676366e-09,"B vs. H","H"
"LOC111110855",44.3650967976623,5.51575316582861,2.6076299130567,2.55489398714822e-05,0.013011329899133,"B vs. H","H"
"LOC111115683",199.747928449348,-6.60808500158662,3.06471690356495,1.67436990852877e-05,0.00909554942533016,"B vs. H","B"
"LOC111105242",95.8873099167019,-5.36274499080859,2.97014502989402,3.79254214686961e-05,0.0181781750549466,"B vs. H","B"
"LOC111113029",5233.15756330217,10.7364171823103,2.63677272893928,1.58147439710024e-07,0.00013330738495557,"B vs. H","H"
"LOC144623107",103.497830341937,-22.3276632196667,3.52747853476729,5.84970809471595e-11,8.41153613972538e-08,"B vs. H","B"
"LOC144623124",35.5404146580935,21.4885672347918,2.93812903130742,7.56296045260721e-14,2.05418409182204e-10,"B vs. H","H"
"LOC111113379",27.9605284280708,2.48625654150548,1.78079027163619,0.000123872424011325,0.0332754000544707,"B vs. H","H"
"LOC144624111",13.7212774461449,28.6721373612174,3.42050484948193,7.38076487973599e-18,3.00704662475244e-14,"B vs. H","H"
"LOC111117810",110.191475302654,1.44002926081724,1.26486133159837,0.000172843160372038,0.0428938841153376,"B vs. H","H"
"LOC111116633",763.97730153214,3.44408715354545,1.74243456658889,4.85203808835857e-05,0.0213312736348982,"B vs. H","H"
"LOC144624762",66.573588064099,23.2340689609363,3.32779956471788,7.37865877987823e-13,1.50309428228436e-09,"B vs. H","H"
"LOC111117500",175.747315970885,4.18872136297041,0.91620598347984,7.9375365761699e-07,0.000610660746622909,"B vs. H","H"
"LOC111117789",457.224633932046,4.61309285644741,1.60885801735684,1.32218192309073e-05,0.00769541359760782,"B vs. H","H"
"LOC111129668",12.4145189677585,3.07349577404803,3.03565333701769,0.000216444874182564,0.0489906939758591,"B vs. H","H"
"LOC111135260",698.140497325687,4.7534870242512,2.84967731778188,5.46023174578747e-05,0.0220406080509756,"B vs. H","H"
"LOC111134528",1316.13863284857,4.52696162542572,2.6050802167573,5.42112722252165e-05,0.0220406080509756,"B vs. H","H"
"LOC111100839",919.997833568001,3.57594291956778,2.68276403121634,0.000119877118547128,0.0332179223204351,"B vs. H","H"
"LOC111120117",36.7803649138117,-2.90026458741101,2.02415212738142,0.000115787194074857,0.0331783269252089,"B vs. H","B"
"LOC144625757",46.8521382051183,22.8155969041897,2.62496773105216,1.03920255106876e-18,5.08066127217517e-15,"B vs. H","H"
"LOC111114580",110.094225586996,4.09126249646489,3.47518694306261,0.00011730044054489,0.0331783269252089,"B vs. H","H"
"LOC111119645",653.524882042265,3.13956963424461,2.8940606868092,0.000192994733386609,0.0449310119774824,"B vs. H","H"
"LOC111132983",167.901326173515,3.5287139783284,2.64097959909353,0.000120976693908866,0.0332179223204351,"B vs. H","H"
"LOC111132523",535.10389117618,4.29847789364621,3.98842020320432,0.000115928174659497,0.0331783269252089,"B vs. H","H"
"LOC111133166",82.4448440150372,22.9779813586555,2.29548856904462,4.05872395133229e-24,4.96077534951589e-20,"B vs. H","H"
"LOC111138228",719.750189836149,4.50367225310358,2.50020417319836,5.05632908752879e-05,0.0213312736348982,"B vs. H","H"
"LOC111132086",182.924711720307,23.5717096280327,4.03012180273006,9.55636186987407e-10,1.11240602813844e-06,"B vs. H","H"
"LOC111138215",605.320758061263,-3.08002690457925,1.45851938284044,4.03297964573673e-05,0.0186011674415159,"B vs. H","B"
"LOC111132053",523.183177855776,1.56357883681258,0.950644684192752,6.01055276432617e-05,0.0236980584393473,"B vs. H","H"
