"X","Gene","log2FoldChange","lfcSE","pvalue","padj","pair","DEG_group"
"LOC111102559",284.270573107815,2.64328728627149,2.20881211921008,4.5815056964034e-05,0.0380784210113741,"C vs. H","H"
"LOC111106088",21.1927593031953,2.93330170121707,1.51311195281569,1.4920467790582e-05,0.0148810777556149,"C vs. H","H"
"LOC144622706",158.114866711331,3.05163168163047,2.33370160253535,3.39434139065514e-05,0.030226610083784,"C vs. H","H"
"LOC111105392",109.051950141191,-2.26563470570382,0.651116505834009,2.01610412436343e-06,0.00314184626480486,"C vs. H","C"
"LOC111101829",107.222109059858,-2.3576053451777,1.44508347416579,2.39153005057626e-05,0.0229347731850263,"C vs. H","C"
"LOC144625532",61.0032691646051,4.84215052213128,2.64521674186451,9.00540997479013e-06,0.0102064041959735,"C vs. H","H"
"LOC144620906",55.1256017779122,-8.7164710836096,2.74771617144977,5.41234583535357e-07,0.00096393879327647,"C vs. H","C"
"LOC111123420",170.109367305677,6.07404393995453,1.55982152336214,4.27498065747658e-07,0.000819941290104007,"C vs. H","H"
"LOC144622232",33.8063925062989,20.5108787054457,2.66438796685379,6.64826765459042e-15,5.52559685665192e-11,"C vs. H","H"
"LOC111115683",199.747928449348,-7.55942207439322,3.08491317700096,1.85045457704978e-06,0.00307594896161062,"C vs. H","C"
"LOC144624489",166.314364783398,19.6575836288888,3.20021387519942,3.36506516469666e-10,9.32272609072739e-07,"C vs. H","H"
"LOC144623813",125.209162845081,20.561685359545,2.9072323538662,7.10573687342265e-13,2.95290738669867e-09,"C vs. H","H"
"LOC144623107",103.497830341937,-24.16343701862,3.385733978043,3.49075137232151e-13,1.90589949447187e-09,"C vs. H","C"
"LOC144624111",13.7212774461449,19.4856044160701,3.31120681510198,1.44843769901481e-09,3.61153455872353e-06,"C vs. H","H"
"LOC111112070",16.457659762607,20.4017237141953,2.98375682653126,3.7263945328237e-12,1.3273417325918e-08,"C vs. H","H"
"LOC111116248",58.5891768884467,-4.47513522420063,1.47885171054468,2.87816489141432e-06,0.0042214213766191,"C vs. H","C"
"LOC111117789",457.224633932046,3.90674776608022,1.93293734247871,1.07994164717312e-05,0.0117075065350499,"C vs. H","H"
"LOC111138278",9.95440559656121,-2.78333895770031,2.39533514464068,4.52728771667548e-05,0.0380784210113741,"C vs. H","C"
"LOC111134957",55.1174438281733,-2.5348820064244,0.490405638923467,8.08610847979745e-08,0.000168015857362725,"C vs. H","C"
"LOC144627666",67.8068894828349,-4.43799801210382,0.883999800154025,7.85777113894113e-08,0.000168015857362725,"C vs. H","C"
"LOC111109681",138.999743230437,2.59839059667167,2.62548378802526,5.95754309950696e-05,0.0479178644010021,"C vs. H","H"
"LOC144627481",51.0879102784215,20.8919904614219,3.32510364626871,1.40115286320301e-10,4.36704318638799e-07,"C vs. H","H"
"LOC111100041",736.073247653371,5.72399114554925,2.86526400125979,5.32170156026013e-06,0.00698375298439611,"C vs. H","H"
"LOC111116366",20.5277302276085,-3.66671767194409,1.59905840689756,8.43855708808394e-06,0.0100193801159183,"C vs. H","C"
"LOC111122431",86.9442629758729,2.64981486035998,0.86829056889199,3.64909932511752e-06,0.00505481347624891,"C vs. H","H"
"LOC111115729",352.024604440263,3.43771699635261,1.76946827965284,1.35861765813747e-05,0.0141149052866665,"C vs. H","H"
"LOC111115345",240.088614860258,-4.82630017909412,2.476012325845,8.05877197022092e-06,0.0100193801159183,"C vs. H","C"
"LOC111111853",24.410765736415,21.5436362374682,2.31605159164534,6.35576164819942e-21,1.58474560936204e-16,"C vs. H","H"
"LOC111115440",41.6644663952912,-23.3583445962298,2.62221831295458,2.08384181003807e-19,2.59792558457446e-15,"C vs. H","C"
"LOC144621293",70.2331369452462,-23.2890476532629,3.26451421134012,3.82188877531056e-13,1.90589949447187e-09,"C vs. H","C"
