"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC144621260",2772.76619333171,-0.0028912889777954,0.0378581268562181,0.775463257133771,0.969524611190057
"LOC144621269",6797.38137233509,-0.00631780398962614,0.0952699357750729,0.514031931916975,0.911139091234004
"LOC111120925",191.443047044146,-1.18341414617096,1.42334409052672,0.000544898623185675,0.0838706098772377
"LOC144621283",932.054004330847,0.0297251620485743,0.0763834537661631,0.108118642008153,0.653315021639661
"LOC144621276",12350.8891848022,0.00702874308288874,0.0472267066534327,0.551644438539021,0.920368707145781
"LOC111115920",213.338614302169,0.0236494946248864,0.0834755390162435,0.124360962502196,0.676378287916455
"LOC144621308",70.702024188447,-0.0242537414767603,0.118908661437033,0.0945334863666445,0.634106710725602
"LOC111112629",733.384303107351,0.0206005766329918,0.106076202049403,0.124396443934608,0.676378287916455
"LOC111102827",2230.64879804404,-0.0144645004917692,0.0724898404341647,0.257515407308307,0.799326610440854
"LOC111102829",563.572280701599,-0.00554908967170712,0.0582598455504572,0.635496105656627,0.939072628420048
"LOC111103567",1513.49770390369,-0.00863959772654888,0.0525472808084832,0.487937186335672,0.90336640026465
"LOC111103568",1470.36526034892,0.000464254661411936,0.0536165300285723,0.967976930726301,0.9961465023941
"LOC111103866",12610.8072525661,-0.00291978370152133,0.0364853156586035,0.766546639568458,0.967661343951456
"LOC111102774",260.517657240637,-0.0243330852354344,0.083428261428827,0.120707373891504,0.66921507706323
"LOC111102932",1567.29305772311,-0.00237891421457057,0.0451753379425284,0.833763756830601,0.979190815900056
"LOC111102934",1963.20810649898,-0.0112666594280604,0.0550936592730532,0.387093626468624,0.865591657992606
"LOC111102931",1137.58795397586,-0.00542717781064087,0.050506718192104,0.649496517769369,0.942229491194163
"LOC111104503",92.7991692457294,-0.0145190745719621,0.0706040980535106,0.26480993469914,0.804062806514888
"LOC111104592",923.922087565474,-0.00688583914982981,0.102914291046823,0.489911366843994,0.904114343304039
"LOC111102912",359.677655604557,0.00131945147275085,0.0636332712446007,0.898069147244014,0.989192767155512
"LOC144621350",45.1656633935124,0.00605153886288994,0.0915954591527875,0.527089176992682,0.913559613886931
"LOC144621354",39.2553750228974,0.0170485565642108,0.112366276469666,0.168397565359479,0.731220845638859
"LOC111103115",6613.72050902916,-0.0144681835451256,0.0411636833067636,0.159111730986309,0.722115630284829
"LOC111103117",3.803037884052,-0.00291773713467888,0.0995710124660966,0.759017850807107,NA
"LOC111102741",30.3088553431862,0.0140039505735409,0.0880685021255352,0.227168480766035,0.773412106143921
"LOC111102740",47.5086408026678,0.0179547954794943,0.113741064067901,0.155521751680285,0.715544863829572
"LOC111102739",13.3895019912355,-0.007097224317262,0.113870141015916,0.495269655023274,0.906081256324327
"LOC144621380",10.792495742979,-0.000692644307455748,0.112375375940884,0.945210199423831,0.994151968566185
"LOC144621402",5.32613897063256,0.0096293347375628,0.0954768941116056,0.350643096643783,0.850907080159439
"LOC144621377",93.6861220820131,-0.0154247041401391,0.116496860728441,0.198902675956621,0.751953391021091
"LOC144621385",84.099095964078,0.000157947339504564,0.0953259751372304,0.986403312675023,0.999105137892131
"LOC144621432",44.2462355546848,0.016521879728937,0.0886034458720659,0.182815246783538,0.740606474482627
"LOC111102735",534.867730466736,0.0116326989932356,0.119337084842534,0.300791244723666,0.826765192025287
"LOC144621503",13.2133740797715,-0.000707097489540132,0.0773014959748409,0.937061885955233,0.993286976907201
"LOC144621449",806.781783186813,0.00996597490175393,0.0808576572475154,0.346375878761781,0.848916563291254
"LOC111102736",240.23361278861,0.0145438580789398,0.0829019635459861,0.224218175806153,0.770839651433544
"LOC111102742",8.23172692799167,-0.00397059573647899,0.0965289191958775,0.674575660758058,0.947620016508377
"LOC111102737",110.168748411215,-0.0234540921756631,0.0925849115109134,0.110012505268494,0.65582260771748
"LOC144621415",161.317025446685,-0.00726750411757773,0.0616813796316543,0.533993954040752,0.916088879217377
"LOC144621492",225.428123306987,-0.015468368629185,0.154226724863467,0.239623086849453,0.781955821477665
"LOC111103347",256.65529167098,0.0146355328050488,0.0912334573422914,0.211824026383861,0.762850587263291
"LOC111103350",308.657528656201,0.0148658399184839,0.105621713501569,0.204783164386945,0.75761538341338
"LOC144617592",14.259489703282,-0.0230392828197929,0.209192053177197,0.165191066985674,0.726670354044335
"LOC111103349",1197.59706453748,-0.00215417077842679,0.038622557346908,0.834402750286776,0.979388918418379
"LOC111103915",5939.25065235133,0.00201066365017656,0.0500537111562079,0.863071686571044,0.984859798301089
"LOC111102413",141.667961595702,0.0362696747998123,0.102175174963348,0.0554103669080131,0.54775310364752
"LOC111104127",182.101923506035,0.00640470860140301,0.0636552437585272,0.566528261152088,0.923443137999768
"LOC111103667",1221.52628024042,0.00882849999156978,0.054154444627459,0.481543292424774,0.90010887100782
"LOC111103668",6756.40974082048,-0.0113393343531847,0.0662574028446391,0.359106116349161,0.853729268666231
"LOC111104088",1577.94479035215,-0.00724059508867726,0.0519289844710064,0.553638812155245,0.921503631807214
"LOC144621529",48.2886361437985,0.00184385711293501,0.0726906091916003,0.841566525927591,0.980295505503012
"LOC144621559",306.254545656614,-0.00390620477194885,0.062369254996203,0.718287760944278,0.957679383252246
"LOC144621561",31.1962786367018,0.020809829022245,0.160675908534793,0.149117593411944,0.711119198343806
"LOC111103018",22.1003103099981,0.00552491572253737,0.06893144847325,0.588433505123855,0.931771237011798
"LOC111103019",399.666136882644,-0.00392695640280822,0.0542970558295119,0.738506536153051,0.960837723685158
"LOC111103014",106.887418941291,0.220827105885569,0.424371385102061,0.00240362983036251,0.153858699391981
"LOC111105437",1344.57117369596,0.0342164774598138,0.0851361044809919,0.0826845914616484,0.611094286940756
"LOC111103965",1166.74558969336,-0.0302466294232466,0.0771525352988701,0.105125528489307,0.647867195897983
"LOC111104407",142788.508575694,0.00556695116024879,0.0444147515117047,0.623592001619742,0.936800380452341
"LOC111105197",6480.84736300111,-0.00856813064401146,0.0468950333640901,0.469648607166849,0.897486900554671
"LOC111102758",863.329649961452,-0.00684083715813472,0.0553684739172217,0.573862085058713,0.925305216674201
"LOC111102761",12.9222009919464,-0.00244020594121498,0.0684544834423745,0.801158563041464,0.972816008333098
"LOC111102760",25.1305767239219,0.00843570668899807,0.090078043173868,0.399756216134034,0.870987873577697
"LOC111104487",936.565277069612,0.0223847489023111,0.0755541676765798,0.154509362678987,0.714211940825022
"LOC111117739",352.72686276024,0.0215737687686736,0.0867194187142179,0.131456415667258,0.686621812559085
"LOC144618317",228.727276164801,0.0284104723014699,0.10239383495277,0.0767638368780398,0.600151609178313
