"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC144621260",2772.76619333171,0.000676180166921187,0.0222836306686981,0.778713010802406,0.996753837489976
"LOC144621269",6797.38137233509,0.00430872298180096,0.109969859242462,0.581376656974951,0.992028789656087
"LOC111120925",191.443047044146,-4.89646529286914,1.40924742818923,8.35454117423842e-06,0.00358292559656593
"LOC144621283",932.054004330847,0.00117827719441361,0.0237115598221549,0.619783000489933,0.992275337825301
"LOC144621276",12350.8891848022,0.00122661109272933,0.0248093000561399,0.597618500316517,0.992028789656087
"LOC111115920",213.338614302169,0.067632476115134,0.250378148226698,0.0061600276622204,0.234877457649217
"LOC144621308",146.442699012248,-0.00227736601219975,0.0760989228550423,0.661033991449868,0.995112515406243
"LOC111112629",733.384303107351,0.00599015852413454,0.0839157111570616,0.234734367858869,0.916677166937219
"LOC111102827",2230.64879804404,0.000450215476362344,0.0319942934026464,0.843091650630381,0.997763764827644
"LOC111102829",563.572280701599,0.000194723977548657,0.0292090498334247,0.928847233462012,0.997763764827644
"LOC111103567",1513.49770390369,0.000829081826672899,0.0245343176000009,0.713822362619757,0.995236220532347
"LOC111103568",1470.36526034892,0.000347858859569794,0.0286925441869598,0.87288678054778,0.997763764827644
"LOC111103866",12610.8072525661,0.00244510134969081,0.0243187257090017,0.364562729230023,0.966770392339968
"LOC111102774",260.517657240637,-0.000408604822978487,0.0277372693292775,0.850261326021219,0.997763764827644
"LOC111102932",1567.29305772311,0.00122186659842006,0.024382904588969,0.602143348466804,0.992028789656087
"LOC111102934",1963.20810649898,-0.00121328618112415,0.0261463279331155,0.594018652798548,0.992028789656087
"LOC111102931",1137.58795397586,-0.00179822464184012,0.0289214392953794,0.447518836861657,0.977243202209293
"LOC111104503",92.7991692457294,-0.000690216490684802,0.0304684464442344,0.757119645910295,0.996753837489976
"LOC111104592",923.922087565474,0.00629458573876893,0.1264927519824,0.477397297789673,0.981050415547987
"LOC111102912",359.677655604557,0.00362074438526378,0.0582726460647146,0.310329774198389,0.95790570309572
