"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC144621260",2772.76619333171,0.00805632222958202,0.0413073185730179,0.349542256835635,0.972834275878607
"LOC144621269",6797.38137233509,0.00657403812509916,0.109084488000054,0.139641849772087,0.928003970627612
"LOC111120925",191.443047044146,-0.00674354350536904,0.110645685786224,0.135048464488183,0.928003970627612
"LOC144621283",932.054004330847,-0.0112352632203237,0.0426901266653019,0.161982285612581,0.942205847146018
"LOC144621276",12350.8891848022,0.00504379670704623,0.0415322157055703,0.485809072497301,0.987385855987327
"LOC111115920",213.338614302169,0.00176373077781483,0.0421060980859184,0.73978522818561,0.989992438948383
"LOC144621308",146.442699012248,0.00214949670036245,0.0556228288322776,0.45574415632728,0.985929380344475
"LOC111112629",733.384303107351,0.00469462246317398,0.0560240103713241,0.195235381994744,0.955861191032891
"LOC111102827",2230.64879804404,0.00969927796813444,0.0599345074135383,0.0592492632527113,0.866478492474829
"LOC111102829",563.572280701599,0.00827508171475324,0.0487698426982864,0.110026690682406,0.901646409299652
"LOC111103567",1513.49770390369,0.0168155037465305,0.0515663869050035,0.0291089326076222,0.772406684856026
"LOC111103568",1470.36526034892,-0.000828385719080916,0.0422125770184264,0.867832688711778,0.993169769756262
"LOC111103866",12610.8072525661,0.0142724289563155,0.0424352632468139,0.133865713683651,0.925912310430036
"LOC111102774",260.517657240637,0.0189855253799314,0.0848244800970921,0.0122247455094139,0.608897467602621
"LOC111102932",1567.29305772311,-0.00668922647755825,0.0416800849085613,0.373214379883645,0.975452586086409
"LOC111102934",1963.20810649898,0.00115018264059044,0.0414900313812621,0.859516526938548,0.992766583486587
"LOC111102931",1137.58795397586,-0.00594637452536104,0.0424495166082616,0.337118631972433,0.971079719022984
"LOC111104503",92.7991692457294,0.0115559967583324,0.0613644749043066,0.0420126019930498,0.833238086724923
"LOC111104592",923.922087565474,0.00555996823525105,0.100558115561876,0.175283932189806,0.950321306076023
"LOC111102912",359.677655604557,0.00108111060012425,0.0438410877601643,0.762833048599809,0.989992438948383
"LOC144621350",45.1656633935124,-0.00300270372087165,0.0674341489175308,0.334072269765068,0.968911550469862
"LOC144621354",39.2553750228974,-0.00277840411857338,0.0551669400126295,0.362247444534587,0.973971724103217
"LOC111103115",6613.72050902916,0.00214866016113513,0.0373534686038683,0.874768097663834,0.993293338569195
"LOC111103117",3.803037884052,-0.000549813222291072,0.065187893468955,0.846070316524405,0.992250711989984
"LOC111102741",30.3088553431862,0.00103198508180707,0.0459180913352012,0.734628535402206,0.989992438948383
"LOC111102740",47.5086408026678,0.00510308320107086,0.0703375828328859,0.162009817430622,0.942205847146018
"LOC111102739",13.3895019912355,0.00133855914612394,0.0689921041370797,0.64942137319881,0.989469032249899
"LOC144621380",10.792495742979,-0.000198850809229802,0.069201952301598,0.946074565151585,0.995812206294062
"LOC144621402",14.1205596258288,0.0502423266360847,0.383805825726294,0.0119843446063744,0.608897467602621
"LOC144621377",159.19004421986,0.00471713014846907,0.0808237146067468,0.193308840632,0.955861191032891
"LOC144621385",84.099095964078,0.00397462879856171,0.0904080948489841,0.276215307046954,0.968638022651898
"LOC144621432",44.2462355546848,0.00220677280860533,0.0458235798047307,0.514316023023523,0.987897879056669
"LOC111102735",534.867730466736,-0.000766708292424008,0.0574522659611212,0.774909353888883,0.989992438948383
"LOC144621503",13.2133740797715,0.0018759697769937,0.0524489135793684,0.511448917839155,0.987897879056669
"LOC144621449",806.781783186813,0.00742257815594682,0.0786098772168366,0.0863187415284859,0.896686616686883
"LOC111102736",339.899535389289,0.00913189300528296,0.0970311147785142,0.062876036009134,0.870837766891961
"LOC111102742",8.23172692799167,-0.00290043921173201,0.0768924202370697,0.37023598310065,0.97433606739997
"LOC111102737",110.168748411215,0.000937286767016551,0.0433133672142338,0.806722429905427,0.990270251136574
"LOC144621415",161.317025446685,0.00183666347958447,0.0429249861262518,0.671140719341352,0.989762465094646
"LOC144621492",225.428123306987,0.00079886112345604,0.0666590818230482,0.780982370394294,0.989992438948383
"LOC111103347",256.65529167098,0.00487609622743572,0.0557785193506153,0.186201933254903,0.955861191032891
"LOC111103350",308.657528656201,0.00583990394361256,0.0773447395323676,0.132287267855617,0.924231724286865
"LOC144617592",14.259489703282,-0.000759860693139239,0.0769609879969311,0.810291669852034,0.990270251136574
"LOC111103349",1197.59706453748,8.87052235520883e-05,0.0408072772404265,0.991219517513724,0.99883041702181
"LOC111103915",5939.25065235133,-0.0168444698779266,0.0575458645087457,0.0224252370513828,0.731423880347722
"LOC111102413",141.667961595702,-0.00162313575755412,0.0423744050813874,0.738794653938955,0.989992438948383
"LOC111104127",182.101923506035,-0.00107199907520244,0.0433284457699102,0.780532730442378,0.989992438948383
"LOC111103667",1221.52628024042,-0.0105163487237922,0.0440473762346279,0.127414831203641,0.917054180571237
"LOC111103668",6756.40974082048,-0.00315090566435725,0.043242022334917,0.485932247724527,0.987385855987327
"LOC111104088",1577.94479035215,0.00373986203057704,0.0418554112473313,0.549887337282647,0.987897879056669
"LOC144621529",48.2886361437985,5.25048107699469e-05,0.0467861455512504,0.985180736605104,0.998444014191407
"LOC144621559",306.254545656614,0.00604759574418665,0.0508914189501995,0.155812863892583,0.936841850369879
"LOC144621561",31.1962786367018,-0.00088059870318242,0.058862665063726,0.74508855842188,0.989992438948383
"LOC111103018",22.1003103099981,-0.00263697841841453,0.0472567751747457,0.430554767158042,0.984641930925917
"LOC111103019",399.666136882644,-0.00151232205190297,0.042199823060914,0.767043022596769,0.989992438948383
"LOC111103014",106.887418941291,-0.0014516059649459,0.0440713952140247,0.685105012964911,0.989992438948383
"LOC111105437",1344.57117369596,-0.00716784208559753,0.0417728543436953,0.341400272337688,0.971963881334744
"LOC111103965",1166.74558969336,0.0120893308460987,0.0430280412017848,0.135246512788072,0.928003970627612
"LOC111104407",142788.508575694,-0.00862500419713895,0.0419318138411861,0.271721261318069,0.968638022651898
"LOC111105197",6480.84736300111,0.00782101915792538,0.041313673902702,0.358726617177101,0.973785876695731
"LOC111102758",863.329649961452,0.00363371803445305,0.0424381761818445,0.498788009451443,0.987897879056669
"LOC111102761",12.9222009919464,0.00142828776513666,0.0465951528872219,0.639529768706651,0.989469032249899
"LOC111102760",25.1305767239219,1.95243112455479e-05,0.0500393414101388,0.994122881797691,0.999494512940129
"LOC111104487",936.565277069612,0.00660172100136039,0.0431296424622264,0.261836695444551,0.968638022651898
"LOC111117739",352.72686276024,-0.000501605166464376,0.0429976729118957,0.900208859519313,0.994328691455334
"LOC144618317",228.727276164801,0.00434061717458499,0.0453279425240734,0.304949923301392,0.968638022651898
"LOC144621743",192.76341083288,-0.00107678958437962,0.0455362494920135,0.729581334277211,0.989992438948383
"LOC111113944",1137.72607567555,0.00237021101746163,0.0558036428205098,0.419146903538235,0.981971811561251
"LOC111104488",794.636631681252,0.0010156480578461,0.0435404667956577,0.784475209445153,0.989992438948383
"LOC111117751",338.444441972607,0.00220304752691302,0.0450835390047474,0.531431298159107,0.987897879056669
"LOC111104490",348.733994268919,-0.00353039971604838,0.0423282158788006,0.518701642990602,0.987897879056669
"LOC144618586",108.271372208901,0.00360943929737976,0.0464896454554473,0.338749943147003,0.971492159427197
"LOC111104491",787.010738334926,0.010034588993206,0.0492620298263354,0.0798488666933896,0.886156256935267
"LOC144621619",164.418762030395,-0.00107433910936801,0.0441653911487051,0.755807117186146,0.989992438948383
"LOC144621621",99.8981019558198,0.0142329689148897,0.147515602527819,0.0373871248109883,0.809173499464839
"LOC111102391",327.332901040328,0.00377561352058852,0.0447343874460195,0.363938006830536,0.973971724103217
"LOC111104610",66.0605950545763,0.0050601572229374,0.0477426779801762,0.222685051850274,0.963667436287156
"LOC144621633",29.5028526352,0.00491845134612825,0.080465911519212,0.180051679438618,0.9539590850549
"LOC111105636",650.210247117869,-0.00181593616793321,0.0429174795104528,0.674680574082381,0.989762465094646
"LOC111103968",1805.73669608983,-0.0147671071020982,0.046147836072391,0.0574972723684325,0.86201112898141
"LOC111102376",159.531492266371,0.00181997629969732,0.0597614978270008,0.518992513697497,0.987897879056669
"LOC111104053",1974.76338531492,-0.00224741443117309,0.0422851775600027,0.662190822982395,0.989762465094646
"LOC111104393",1051.56041218746,-0.00574736501596012,0.0430635447566531,0.304778087062021,0.968638022651898
"LOC144621781",11.6790242221608,-0.00125092256943559,0.051687131366098,0.647826468399944,0.989469032249899
"LOC111105606",2173.02651641762,0.00303206025047998,0.0410325707782409,0.697634250552806,0.989992438948383
"LOC111105231",100.053109382745,0.000871266739860863,0.0442605269590457,0.796653762993279,0.990270251136574
"LOC144619144",44.1897107349415,-0.00263955778347946,0.0580307188787568,0.376984352639737,0.975452586086409
"LOC111102691",145.710795534853,-8.79528925735284e-05,0.0541363021350153,0.973236850387083,0.997562310411046
"LOC111104263",235.153848953475,0.0202681548851258,0.110941719002604,0.0110812108093961,0.597564402039865
"LOC144618591",10.0922422277281,0.00113098745179095,0.0857618936601714,0.74124243469561,0.989992438948383
"LOC111104047",86.4731922240205,0.00417367905089485,0.0590190076081611,0.221485385908767,0.962988334374038
"LOC111103967",10708.6697467495,-0.00754732623908502,0.0429589263882985,0.235681193095436,0.964897127855655
"LOC111102847",164.154937402828,0.00228018939707827,0.0417284135939699,0.710104977074246,0.989992438948383
"LOC144618592",19.2546275846462,0.00117393586658914,0.0624497349359804,0.673933824823418,0.989762465094646
"LOC111105195",11.7383890162747,0.00132784398711467,0.0628107153735291,0.636233859001069,0.989469032249899
"LOC111105184",70.6182811536144,-0.00156887582953108,0.0447287323301116,0.645407039425035,0.989469032249899
"LOC111102383",138.330035237224,-0.00191569888806929,0.0588772750230784,0.498772285688048,0.987897879056669
"LOC111104048",2049.27178480798,-0.000537519444680607,0.0436962127106258,0.879917463541371,0.993363716600156
"LOC111105192",50.8106898517551,-0.000836195675245683,0.0465301200217224,0.775201035103304,0.989992438948383
