"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC144621260",2772.76619333171,0.0503310389268447,0.121653274474489,0.506550373443686,0.868421824219257
"LOC144621269",6797.38137233509,0.0291376257573347,0.192327494093892,0.298856849749833,0.76241168504817
"LOC111120925",191.443047044146,0.0310271104256394,0.194652465238146,0.272099307315247,0.742574369040546
"LOC144621283",932.054004330847,-0.146433438856143,0.138156003193567,0.0607734289162079,0.499892228979522
"LOC144621276",12350.8891848022,-0.0184417894269989,0.130419326208517,0.798021259576541,0.956484825575858
"LOC111115920",213.338614302169,0.0366937582277217,0.145891513885223,0.559856888092251,0.88613886679198
"LOC144621308",146.442699012248,-0.0675406313274287,0.22545380663629,0.0720953461380867,0.519228142013389
"LOC111112629",733.384303107351,-0.0423867803252429,0.170432373352705,0.32828172711051,0.776667882834991
"LOC111102827",2230.64879804404,0.0980680528404696,0.174016058559997,0.100419233546511,0.568540683298979
"LOC111102829",563.572280701599,0.044203157189853,0.151083804295242,0.459796660348204,0.845388452990739
"LOC111103567",1513.49770390369,0.0957267329609639,0.138295657017221,0.190664969473907,0.670696605983738
"LOC111103568",1470.36526034892,0.00499672312628656,0.146811509488981,0.933893279080504,0.987585590811306
"LOC111103866",12610.8072525661,0.0982991888267003,0.118601949198172,0.204294005876275,0.682640946464627
"LOC111102774",260.517657240637,0.14223961969353,0.177013332229362,0.0437831817300926,0.457339947353644
"LOC111102932",1567.29305772311,0.0616627604260878,0.130421921623743,0.401496371135679,0.821822892365687
"LOC111102934",1963.20810649898,0.0446455105662622,0.136740938372488,0.521429518198795,0.874183203122679
"LOC111102931",1137.58795397586,-0.0133469268193581,0.138220890286971,0.84294130291371,0.966095887649237
"LOC111104503",92.7991692457294,0.0798421407927989,0.159859860322987,0.191862466791488,0.672231003851142
"LOC111104592",923.922087565474,0.0430313713788072,0.218837749308417,0.145184416783618,0.621446483959187
"LOC111102912",359.677655604557,0.0482043481425955,0.165927695241944,0.322576090103401,0.772588996110128
"LOC144621350",45.1656633935124,-0.0461945418187159,0.206714429609667,0.148172395019363,0.62523785706766
"LOC144621354",39.2553750228974,-0.0789715552034102,0.225576489383383,0.0564165703393196,0.491162976550487
"LOC111103115",6613.72050902916,0.0458671114808828,0.0849051171107697,0.514626680652287,0.871600438485541
"LOC111103117",3.803037884052,0.0024090129705466,0.184067121579897,0.91582937038865,0.983905050938967
"LOC111102741",30.3088553431862,-0.0312636419902296,0.169165235203646,0.443648743014924,0.839880991961648
"LOC111102740",47.5086408026678,-0.00999974162013278,0.16879677072648,0.781496654385692,0.953024709244714
"LOC111102739",13.3895019912355,0.0248097527306838,0.20393943875169,0.309572092450715,0.766387348433804
"LOC144621380",10.792495742979,0.0547829702877966,0.324873552960767,0.0684431185962549,0.512326844514866
"LOC144621402",14.1205596258288,0.0343863388958124,0.199761703337628,0.228946281447724,0.707558800011223
"LOC144621377",159.19004421986,0.151156207314528,0.471976106321458,0.0095535069579596,0.293720274340031
"LOC144621385",84.099095964078,0.0205780890086592,0.191788621931894,0.410728490149099,0.824897637807301
"LOC144621432",44.2462355546848,-0.0507698811762048,0.170701587142463,0.269911077623141,0.740575273818293
"LOC111102735",534.867730466736,-0.00878923684228301,0.178819806574457,0.740723371038087,0.944955423181593
"LOC144621503",13.2133740797715,-0.012192540232811,0.1710868707142,0.718987450741125,0.9406002986306
"LOC144621449",806.781783186813,0.00712670110718198,0.165080614278422,0.859265078861905,0.971113162191283
"LOC111102736",339.899535389289,0.107549021023123,0.254007238091703,0.0267866792263674,0.390812791006579
"LOC111102742",8.23172692799167,-0.00238178764833793,0.180377576638503,0.923107667664796,0.984753834585345
"LOC111102737",110.168748411215,0.0683765079821017,0.169403401566579,0.194309108410324,0.674814607295858
"LOC144621415",161.317025446685,0.063332743105793,0.16061618394256,0.264115757092606,0.738884497402627
"LOC144621492",225.428123306987,0.0288556954934294,0.213084273303975,0.246240073711851,0.72483054693095
"LOC111103347",256.65529167098,0.0430650795342905,0.169632729789675,0.329943116933169,0.777114050301904
"LOC111103350",308.657528656201,-0.0268769829454725,0.17309144775262,0.455603936583624,0.84273208863324
"LOC144617592",14.259489703282,0.0127832197539048,0.200382599429342,0.537777536734084,0.879297550232152
"LOC111103349",1197.59706453748,0.0178986213215219,0.124211415665003,0.810304981320179,0.959481784012054
"LOC111103915",5939.25065235133,-0.0647692903880386,0.139607630337943,0.352212061940047,0.791186495896095
"LOC111102413",141.667961595702,-0.141947534245151,0.18646003021195,0.0381877632043993,0.439829161951204
"LOC111104127",182.101923506035,-0.0399358361822688,0.160363396520403,0.43547679336991,0.835451354803953
"LOC111103667",1221.52628024042,-0.167020771091438,0.161659930288716,0.0319837134323104,0.418406039203162
"LOC111103668",6756.40974082048,0.0619669361820189,0.158128500837524,0.285600592945761,0.75460052818794
"LOC111104088",1577.94479035215,0.020715218935036,0.137602916071311,0.760590794265042,0.949044908823438
"LOC144621529",48.2886361437985,-0.027785622416571,0.172191852182049,0.453423663930446,0.842071981126157
"LOC144621559",306.254545656614,0.0286179017514495,0.157874038948532,0.576891215573176,0.893874377338292
"LOC144621561",31.1962786367018,-0.0402715834233689,0.213935588600402,0.164700998921441,0.64274392184885
"LOC111103018",22.1003103099981,-0.0553609871332532,0.174705701376426,0.219397588886377,0.697888994918436
"LOC111103019",399.666136882644,-0.0133843558550628,0.146049968354862,0.826793169742713,0.963105953128656
"LOC111103014",106.887418941291,-0.175752607426,0.281985622239357,0.0086511682428762,0.283060208658487
"LOC111105437",1344.57117369596,-0.248613824263355,0.181479017284463,0.0050868520788577,0.23644866966537
"LOC111103965",1166.74558969336,0.137101775834427,0.135985434438447,0.076992385056218,0.529288152465327
"LOC111104407",142788.508575694,-0.104342355990722,0.131971231746742,0.167766156522619,0.645148273742127
"LOC111105197",6480.84736300111,0.01048317121622,0.121489500836119,0.889296858925355,0.978072595916636
"LOC111102758",863.329649961452,0.0497458565995981,0.146992048582275,0.43392948838352,0.834500358025956
