"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111119645",653.221023566992,-5.02053783285452,2.44175669377112,-4.02454902014186,5.70846029570195e-05,0.0119673258337451,0.0296130935793212,"C vs. B","C"
"LOC111111234",734.079086037086,-1.79888433363476,1.21652854321253,-3.76352065127199,0.000167537884561812,0.025869520111484,0.066373971868889,"C vs. B","C"
"LOC111104630",30.3945050372986,1.70106516095085,1.63879462609678,3.50031327731525,0.000464711674352869,0.0491074745315837,0.128870656410377,"C vs. B","B"
"LOC111129171",35.6590308512593,-20.5754018958683,4.24110477546047,-5.27193395843512,1.34993656729386e-07,8.33720823960687e-05,0.000220964982681434,"C vs. B","C"
"LOC111121183",21.4604169355867,21.1312647604026,3.10687319431399,6.98635188458736,2.82125948538243e-12,5.80803286057397e-09,1.00732474318314e-08,"C vs. B","B"
"LOC111111721",37.9581052610109,-4.71027373142215,1.1561903990314,-4.66931176360385,3.02210461226328e-06,0.00127839164968069,0.00166282388010509,"C vs. B","C"
"LOC111111747",124.872184652791,-7.68702588782906,3.16593110387444,-4.27620772069375,1.9010385712278e-05,0.00553371089134306,0.012719283380786,"C vs. B","C"
"LOC111106320",28.3174332287058,-4.46009030250523,1.32769902947556,-4.39163656040555,1.12500640326153e-05,0.00377610844920827,0.00456831273714295,"C vs. B","C"
"LOC111130465",271.57997252461,3.45830241781566,1.49859545149121,4.03939124241174,5.35901097311108e-05,0.0114921013090049,0.0216758855840623,"C vs. B","B"
"LOC111130574",126.521497562413,-1.02451052145371,1.07559948292013,-3.51132468319294,0.000445879454212888,0.0476592908951916,0.16643935500517,"C vs. B","C"
"LOC111136934",284.783817350424,-4.84741126624413,1.82069283260142,-4.19535778867971,2.72441182004524e-05,0.00712964720364382,0.0113318396124719,"C vs. B","C"
"LOC111106632",195.012512612033,-4.15489557698516,1.37519007358156,-4.27429327207365,1.91744515988895e-05,0.00553371089134306,0.00759824682321727,"C vs. B","C"
"LOC111129668",39.2184709889838,-2.90129818809271,2.52756912147551,-3.57883731767775,0.000345126209384289,0.040677470785446,0.102222676073598,"C vs. B","C"
"LOC111120021",13.2616055762802,19.5350088725822,3.35118919136534,6.05525432212153,1.40195990404133e-09,1.74291252854214e-06,2.28371344589903e-06,"C vs. B","B"
"LOC111112115",47.8371419147331,-3.22620656887904,1.33788241428237,-4.07169380000873,4.66725072223003e-05,0.0108364437821401,0.0174790561629911,"C vs. B","C"
"LOC111135260",1479.39168264693,-4.99189335663464,1.66492400388665,-4.30385582739526,1.67850915246753e-05,0.00503226821632985,0.00735355072642919,"C vs. B","C"
"LOC111134528",1293.89047514596,-6.37981755640149,1.63456760404683,-4.72590173554448,2.29096421380976e-06,0.00102528949162964,0.00159800928295721,"C vs. B","C"
"LOC111109942",90.3977105746184,-4.34045385548575,0.959306671392133,-4.87584933418656,1.08341279756536e-06,0.000531044241092353,0.000548906572651474,"C vs. B","C"
"LOC111113657",1733.32600461783,-5.15094568222733,1.61275556443346,-4.37353211280379,1.22252251860333e-05,0.00397384161836536,0.0058535543604328,"C vs. B","C"
"LOC111122596",922.516709596393,-1.19255302562699,0.694579503490267,-3.96543769876863,7.32613864840291e-05,0.0142888998525371,0.0727660294043858,"C vs. B","C"
"LOC111100839",568.590758760279,-4.05158246404907,2.89462383628002,-3.75311705639181,0.00017464924964684,0.026437102103404,0.0671614744622649,"C vs. B","C"
"LOC111120117",42.5081410069815,2.29725226680762,1.9891506698995,3.56193283493914,0.000368134574199751,0.0424178942212251,0.104023982954149,"C vs. B","B"
"LOC111134586",144.775287339537,3.09668848630351,0.942822033575759,4.3446261217818,1.39513070869977e-05,0.00435168043279281,0.0064480610207452,"C vs. B","B"
"LOC111104602",189.711759668133,-10.2794447441509,2.20118615861455,-5.45719292425435,4.83720696459292e-08,3.19144727942358e-05,8.97729384534308e-05,"C vs. B","C"
"LOC111115950",226.12757779625,-3.32337388034993,2.19768327905867,-3.75353534218868,0.000174357936100463,0.026437102103404,0.055413774398708,"C vs. B","C"
"LOC111108404",153.710112812751,2.107003778564,1.34643824994711,3.78340023923352,0.000154700346728804,0.0243292454207851,0.0538836204846964,"C vs. B","B"
"LOC111101969",159.782504276043,-4.15147907269135,1.08479512491756,-4.54278882096463,5.55148586019664e-06,0.00209060833369357,0.0025421831132209,"C vs. B","C"
"LOC111118398",539.168156224309,1.04165763564736,0.966291799900074,3.61525859897618,0.000300047957469344,0.0373608101881184,0.143516113469398,"C vs. B","B"
