"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"1","LOC111099039","GO:0004930;GO:0005886;GO:0007189","blue",0.443403496640899,0.293054735338487,0.0340737787471227,0.174755140984013,"Growth"
"2","LOC111099808","GO:0005730;GO:0005737;GO:0006364;GO:0030515;GO:0030688","blue",0.438805912475606,0.404216738363093,0.0362003802156634,0.0557475932514384,"Growth"
"3","LOC111100042","GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0070125","blue",0.514039065275853,0.409536199421163,0.0121002141516809,0.0523034007212551,"Growth"
"4","LOC111100187","GO:0016791","blue",0.488588078273811,0.177150056471184,0.0179998297121515,0.418728426485694,"Growth"
"5","LOC111103461","GO:0005737;GO:0006446;GO:0140469","blue",0.42621989799873,0.00639437224415503,0.042560756329135,0.976899404776639,"Growth"
"6","LOC111103502","GO:0030336;GO:0070822","blue",0.465402405780168,0.255183780498607,0.0252269230858056,0.23993392693899,"Growth"
"7","LOC111103552","GO:0006487;GO:0008250;GO:0016020","blue",0.463606209324622,0.385669485129041,0.0258718099856559,0.0691385536525569,"Growth"
"8","LOC111103667","GO:0004758;GO:0005783;GO:0030170;GO:0046512;GO:0046513","blue",0.43687379475271,0.404201330846112,0.0371247384308596,0.0557578169506625,"Growth"
"9","LOC111104038","GO:0005515;GO:0030490;GO:0030515;GO:0032040;GO:0034388","blue",0.460468374752996,0.387536147450913,0.0270299951199084,0.0676896427706112,"Growth"
"10","LOC111104074","GO:0006955;GO:0043123","blue",0.418668824455412,0.235185221762468,0.0467770518229854,0.280029906683329,"Growth"
"11","LOC111104149","GO:0000398;GO:0003723;GO:0005681","blue",0.540803487523028,0.260830057565031,0.00771043495036577,0.229330809442875,"Growth"
"12","LOC111104466","GO:0005762;GO:0008173;GO:0031167","blue",0.537610336797628,0.361194390680182,0.00815175995286513,0.0903901560932239,"Growth"
"13","LOC111104993","GO:0005515;GO:0005615","blue",0.600793583346927,0.0960327022871686,0.00243277094191822,0.662921699243112,"Growth"
"14","LOC111105251","GO:0005789;GO:0007029;GO:0016192","blue",0.421099632207163,0.287954351248109,0.0453857194766917,0.182730071226901,"Growth"
"15","LOC111105386","GO:0005515","blue",0.489119496523344,0.300436286995105,0.0178564156039042,0.16364469850722,"Growth"
