"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"1","LOC111099053","GO:0001731;GO:0003729;GO:0003743;GO:0005850;GO:0006413;GO:0031369","blue",0.430256681589475,0.516652554142853,0.0404321967290589,0.011597195625486,"Both"
"2","LOC111099690","GO:0009226;GO:0050577","blue",0.469542349977899,0.533544513389821,0.0237895517227035,0.00874377726445537,"Both"
"3","LOC111099829","GO:0016829","blue",0.509703635428887,0.419884131454823,0.0129740392820519,0.0460773465994847,"Both"
"4","LOC111103813","GO:0005739;GO:0005758","blue",0.48600620217174,0.483199901635629,0.0187099515599639,0.019507351885469,"Both"
"5","LOC111103926","GO:0000049;GO:0001731;GO:0003743;GO:0003924;GO:0005525;GO:0005829;GO:0005850","blue",0.497158963520146,0.492207957685579,0.0157975162864043,0.0170411608382777,"Both"
"6","LOC111104315","GO:0005515","blue",0.415744093879105,0.442143589899698,0.0484948856425482,0.0346464508828708,"Both"
"7","LOC111104633","GO:0005777;GO:0008609;GO:0008610;GO:0071949","blue",0.423202869417399,0.534404733425115,0.044208128734451,0.00861564555000508,"Both"
"8","LOC111105314","GO:0006631;GO:0050104;GO:0070403","blue",0.417876551258361,0.555046188752252,0.0472376364876547,0.0059757303118291,"Both"
"9","LOC111105692","GO:0003746;GO:0003924;GO:0005525;GO:0005739;GO:0070125","blue",0.542823031606029,0.549352845870738,0.00744168236841239,0.00662534721567779,"Both"
"10","LOC111105866","GO:0004776;GO:0005524;GO:0005739;GO:0006099;GO:0006104;GO:0042709;GO:0046872","blue",0.472001265306414,0.483399385318536,0.0229674532140327,0.0194497771904516,"Both"
"11","LOC111106068","GO:0004385;GO:0005515;GO:0005829","blue",0.555319723014721,0.517257924555839,0.0059459080151515,0.0114831641033857,"Both"
"12","LOC111106408","GO:0005524;GO:0140662","blue",0.477415199612592,0.444103628649085,0.0212377984375191,0.0337587972515724,"Both"
"13","LOC111106458","GO:0005838;GO:0043161","blue",0.5555027759191,0.469058363685978,0.00592601990952738,0.0239541135291044,"Both"
"14","LOC111107126","GO:0004095;GO:0005739;GO:0006635","blue",0.446579071295462,0.558838475270252,0.032663563424299,0.00557320638519903,"Both"
"15","LOC111110313","GO:0004828;GO:0005524;GO:0006434","blue",0.527778440871643,0.661164858227338,0.00964394317746337,0.000592625376221015,"Both"
"16","LOC111111505","GO:0005524;GO:0016887","blue",0.680432630076002,0.474274129776649,0.000353093436946142,0.0222280209275571,"Both"
"17","LOC111112622","GO:0004066;GO:0005829;GO:0006529","blue",0.4384820961377,0.542284635174515,0.0363540192547144,0.0075125581035502,"Both"
"18","LOC111112909","GO:0003755;GO:0005515","blue",0.500411642099443,0.520341193888789,0.0150214556180306,0.0109165752525779,"Both"
"19","LOC111112947","GO:0003677;GO:0003899;GO:0005634;GO:0006351;GO:0032549","blue",0.46557284666043,0.473193169195435,0.0251664050904146,0.0225772634291274,"Both"
"20","LOC111113217","GO:0006606;GO:0031267","blue",0.448178324430699,0.51689795683453,0.0319711023621683,0.011550858428922,"Both"
"21","LOC111113982","GO:0003885;GO:0016020;GO:0071949","blue",0.478559074460543,0.454998780207098,0.0208861529823909,0.0291476028268597,"Both"
"22","LOC111114212","GO:0005198;GO:0005515;GO:0006886;GO:0006888;GO:0006890;GO:0006891;GO:0030126","blue",0.543740659029338,0.48487703560781,0.00732216284657125,0.0190275652740498,"Both"
"23","LOC111114229","GO:0004372;GO:0005737;GO:0005739;GO:0019264;GO:0030170;GO:0035999","blue",0.419345119390825,0.595754200973821,0.0463866652281639,0.0027034134768318,"Both"
"24","LOC111116966","GO:0003723","blue",0.655862578386624,0.436227974663973,0.00067910749211601,0.0374378238641149,"Both"
"25","LOC111117672","GO:0005319;GO:0005886;GO:0015485;GO:0015918;GO:0030299;GO:0042632","blue",0.566031879384591,0.56734713026312,0.00487172450141497,0.00475182245183834,"Both"
"26","LOC111117758","GO:0004408;GO:0005739;GO:0018063","blue",0.534264636123139,0.602961087756016,0.00863640683602653,0.00232362642909565,"Both"
"27","LOC111117944","GO:0000413;GO:0003755;GO:0005515","blue",0.427487739724365,0.57339310780254,0.041882998072453,0.00423194757177719,"Both"
"28","LOC111118049","GO:0003723;GO:0003743;GO:0005850;GO:0006413;GO:0033290;GO:0043022","blue",0.482034298461012,0.492594990001372,0.0198465277643311,0.0169411640108163,"Both"
"29","LOC111118069","GO:0003723;GO:0005730;GO:0042254;GO:1990904","blue",0.521726242899877,0.456781700853672,0.0106696489288016,0.0284432955052265,"Both"
"30","LOC111118247","GO:0005829;GO:0006979;GO:0008379;GO:0019430;GO:0033554;GO:0042744;GO:0045321;GO:0045454","blue",0.48860455522385,0.436412451935851,0.0179953690859468,0.0373481801447538,"Both"
"31","LOC111118291","GO:0003677;GO:0005666;GO:0042797","blue",0.502082498023499,0.463216005427781,0.0146350583650458,0.0260136339345683,"Both"
"32","LOC111118318","GO:0003729;GO:0005634;GO:0006406","blue",0.474508764380109,0.466274820911059,0.0221527914069074,0.024918381949591,"Both"
"33","LOC111118338","GO:0005737;GO:0008541","blue",0.5088867931998,0.452456670678067,0.0131443213212063,0.0301757646709992,"Both"
"34","LOC111118665","GO:0000049;GO:0004826;GO:0005524;GO:0005737;GO:0005829;GO:0006432;GO:0009328","blue",0.493803720736928,0.544687823948085,0.0166319308485622,0.00720047178526838,"Both"
"35","LOC111118852","GO:0003723;GO:0005515;GO:0005634;GO:0005730;GO:0030490","blue",0.47839811924429,0.471308960186026,0.0209353472820426,0.0231965682538769,"Both"
"36","LOC111118963","GO:0003723;GO:0004815;GO:0005524;GO:0005737;GO:0005829;GO:0006422;GO:0017101","blue",0.591882558250059,0.501025147528263,0.00292824331315118,0.0148786234474665,"Both"
"37","LOC111119023","GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369","blue",0.437803655045439,0.414323844804416,0.0366775827549249,0.0493465618153638,"Both"
"38","LOC111119055","GO:0000398;GO:0000956;GO:0003723","blue",0.543293246351437,0.414481275755344,0.00738023700351774,0.049251587196545,"Both"
"39","LOC111120808","GO:0005515","blue",0.641016396485469,0.460472461262288,0.000981221386704001,0.0270284602900939,"Both"
"40","LOC111120863","GO:0003723;GO:0003724;GO:0005524","blue",0.417357939470594,0.449908341863291,0.0475410363314088,0.031235191930893,"Both"
"41","LOC111120899","GO:0003723;GO:0004831;GO:0005524;GO:0005739;GO:0005829;GO:0006437","blue",0.483730057748657,0.552075569612272,0.0193546417196468,0.00630771410914535,"Both"
"42","LOC111121134","GO:0005524;GO:0005634;GO:0005829;GO:0016887;GO:0030970;GO:0031593;GO:0034098;GO:0051228;GO:0097352","blue",0.527097876448899,0.477160081029629,0.00975505586953748,0.0213168732397362,"Both"
"43","LOC111121263","GO:0000340;GO:0003743;GO:0005737;GO:0006413;GO:0016281","blue",0.592721718186809,0.566720340189228,0.00287821838835237,0.0048086505141623,"Both"
"44","LOC111121303","GO:0003729;GO:0003735;GO:0005762;GO:0005840;GO:0006412;GO:0017148","blue",0.50614093483746,0.534520922241926,0.013730192718205,0.00859845863823517,"Both"
"45","LOC111121772","GO:0003676;GO:0003724;GO:0004222;GO:0005524;GO:0005829;GO:0006508","blue",0.624448279972668,0.481091111173335,0.00144767557507774,0.0201244579160618,"Both"
"46","LOC111123381","GO:0003723;GO:0005730;GO:0015030;GO:0031428;GO:1990259","blue",0.53062607654302,0.466232263247642,0.00919028263384171,0.0249333625088063,"Both"
"47","LOC111125130","GO:0016787","blue",0.469274493504251,0.447297053548748,0.0238805139496899,0.0323512280482826,"Both"
"48","LOC111125304","GO:0000978;GO:0000981;GO:0005634;GO:0006357;GO:0046983","blue",0.555832040265175,0.541289604000489,0.00589038601279424,0.00764502040714788,"Both"
"49","LOC111125462","GO:0005741;GO:0008320;GO:0030150","blue",0.468980409837827,0.518086476429777,0.0239807041132407,0.0113285868930674,"Both"
"50","LOC111126731","GO:0002181;GO:0003729;GO:0005829;GO:0046872","blue",0.445180509633355,0.46754214696961,0.0332788245695839,0.0244755713502723,"Both"
"51","LOC111127323","GO:0004742;GO:0006086;GO:0045254","blue",0.552537954935969,0.420084876334872,0.00625505324190268,0.0459625586170199,"Both"
"52","LOC111127475","GO:0030515;GO:0031428;GO:0032040","blue",0.424668583760829,0.44871097030109,0.0434017001811057,0.0317430760232699,"Both"
"53","LOC111127492","GO:0004639;GO:0005829;GO:0006189","blue",0.434689087130307,0.416975609487261,0.038192243712541,0.0477656778372471,"Both"
"54","LOC111127947","GO:0003985;GO:0005739;GO:0006635","blue",0.441638396561668,0.4222264093598,0.0348782054562074,0.0447518374812775,"Both"
"55","LOC111127964","GO:0005743;GO:0032981","blue",0.431120045682126,0.431920095375203,0.0399879953801453,0.0395797994058171,"Both"
"56","LOC111127999","GO:0005737;GO:0015031","blue",0.462006241909865,0.503188109276169,0.0264572946399679,0.0143838652298905,"Both"
"57","LOC111128042","GO:0005739;GO:0005763","blue",0.463757282516581,0.575203952236457,0.0258170672289253,0.00408586402743522,"Both"
"58","LOC111128097","GO:0009966;GO:0016020","blue",0.430356729574986,0.534532197397895,0.0403805244606132,0.00859679230239432,"Both"
"59","LOC111128114","GO:0005634;GO:0005737;GO:0010992;GO:0043130;GO:0043161","blue",0.472360769899836,0.431368342461473,0.0228491966577052,0.0398609588374963,"Both"
"60","LOC111128137","GO:0008757","blue",0.50071404631474,0.525501410840454,0.0149509128695858,0.0100198516860369,"Both"
"61","LOC111128151","GO:0003677;GO:0005634;GO:0006298;GO:0006310;GO:0017108;GO:0035312;GO:0046872","blue",0.475991546624558,0.491489934068597,0.0216821028810624,0.017227944649848,"Both"
"62","LOC111128159","GO:0003743;GO:0005737;GO:0005852","blue",0.501488690758805,0.423138244536345,0.014771440598412,0.0442439526262066,"Both"
"63","LOC111128572","GO:0005634;GO:0006334;GO:0033186","blue",0.460778326803813,0.510593116522609,0.0269137794305523,0.0127906729179496,"Both"
"64","LOC111128700","GO:0005737;GO:0008108;GO:0008270;GO:0033499","blue",0.442052672852297,0.433354506335246,0.0346880684612084,0.0388561479428185,"Both"
"65","LOC111128793","GO:0000184;GO:0000339;GO:0003729;GO:0005515;GO:0005634;GO:0005846;GO:0006406","blue",0.550347937763312,0.449793217173406,0.00650775163742412,0.0312837415868343,"Both"
"66","LOC111128976","GO:0003676;GO:0004816;GO:0005524;GO:0005737;GO:0006421","blue",0.423684301216622,0.484433983129111,0.0439419666631641,0.0191533733960631,"Both"
"67","LOC111129496","GO:0003723;GO:0008380;GO:0030532","blue",0.488831262596432,0.419762597965172,0.0179340859939997,0.0461469492422557,"Both"
"68","LOC111129998","GO:0004839;GO:0005634;GO:0005737;GO:0006511;GO:0006974;GO:0016567","blue",0.542415761346982,0.551321383288693,0.00749524497688951,0.00639440004832395,"Both"
"69","LOC111130020","GO:0004830;GO:0005524;GO:0005737;GO:0006436","blue",0.562497423476237,0.498785572973355,0.00520654460207336,0.015405441042112,"Both"
"70","LOC111130295","GO:0005524;GO:0016887","blue",0.431005222361254,0.454465072617817,0.0400468500670465,0.029361113292044,"Both"
"71","LOC111130322","GO:0071564","blue",0.459432289736065,0.430244524939029,0.0274213858165498,0.040438478868094,"Both"
"72","LOC111130335","GO:0005515","blue",0.468387310799494,0.429753372157485,0.0241837910249761,0.0406929312060065,"Both"
"73","LOC111130411","GO:0005839;GO:0006511;GO:0019773","blue",0.508935704221751,0.442197222491989,0.0131340739324504,0.0346219189078825,"Both"
"74","LOC111130467","GO:0005524;GO:0016887","blue",0.526369898434194,0.438177419158313,0.00987507605823541,0.0364990466729561,"Both"
"75","LOC111130700","GO:0016787","blue",0.5641294287787,0.444448407779038,0.00504963000976287,0.0336045344072325,"Both"
