"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"1","LOC111099696","GO:0000030;GO:0005515;GO:0005783;GO:0035269","blue",0.214833340760528,0.52573927707084,0.324916110473469,0.00998002690182857,"Warm"
"2","LOC111100090","GO:0004366;GO:0006072;GO:0006631;GO:0008654;GO:0019432;GO:0031966","blue",0.271778810433061,0.474870276970446,0.209662250235161,0.0220372830520966,"Warm"
"3","LOC111103234","GO:0005737;GO:0005743;GO:0006744;GO:0008289;GO:0055105","blue",0.289145245118463,0.432121968286449,0.180846035565752,0.0394773203149052,"Warm"
"4","LOC111103394","GO:0005524;GO:0005858;GO:0007018;GO:0008569;GO:0016887;GO:0045505;GO:0051959","blue",0.258299149045602,0.450900626459086,0.234044714785978,0.0308192084025176,"Warm"
"5","LOC111103594","GO:0005515;GO:0005929;GO:0060271","blue",0.304168880719895,0.517630499509255,0.158218488364588,0.0114134424022196,"Warm"
"6","LOC111103620","GO:0000027;GO:0000463;GO:0005730;GO:0019843","blue",0.312745755823795,0.45087409543046,0.146230983125276,0.0308302730958375,"Warm"
"7","LOC111103623","GO:0000727;GO:0003697;GO:0005524;GO:0005634;GO:0006268;GO:0006270;GO:0042555;GO:1902969;GO:1990518","blue",0.393945289433328,0.557171020901435,0.0628903765121579,0.00574731302894926,"Warm"
"8","LOC111104089","GO:0003883;GO:0005737;GO:0006241;GO:0019856;GO:0042802;GO:0097268","blue",0.216566785151537,0.482262316077164,0.320932993156086,0.0197798053002066,"Warm"
"9","LOC111104256","GO:0005783;GO:0051131;GO:2000010","blue",0.388649338078008,0.424858079679651,0.0668366588019516,0.0432982861045946,"Warm"
"10","LOC111104266","GO:0000786;GO:0003677;GO:0005654;GO:0005730;GO:0006334;GO:0030527","blue",0.398985384950032,0.499332556647281,0.0593028069070354,0.0152753921902783,"Warm"
"11","LOC111104564","GO:0005737;GO:0005886;GO:0007169;GO:0016477","blue",0.138727104373443,0.50996297074022,0.527861497243534,0.0129203565130025,"Warm"
"12","LOC111104691","GO:0005515;GO:0005777;GO:0005829;GO:0006734;GO:0006742;GO:0019677;GO:0035529;GO:0046872","blue",0.399967936254636,0.475579235279363,0.0586221232300997,0.0218121689979909,"Warm"
"13","LOC111104713","GO:0005524;GO:0043130","blue",0.211258503801865,0.429724440633809,0.333223983478837,0.0407079588996906,"Warm"
