"Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.Actual_tissue_growth_mg","GS.Ratio_tissue_shell_mg","GS.P1_trtmt_code","GS.P1_temp_code","GS.P1_DO_code","GS.both","GS.control","GS.hypoxic","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.Actual_tissue_growth_mg","p.GS.GS.Ratio_tissue_shell_mg","p.GS.GS.P1_trtmt_code","p.GS.GS.P1_temp_code","p.GS.GS.P1_DO_code","p.GS.GS.both","p.GS.GS.control","p.GS.GS.hypoxic","p.GS.GS.warm","MMturquoise","MMblue","MMgreenyellow","MMyellow","MMblack","MMbrown","MMpink","MMmagenta","MMtan","MMgreen","MMred"
"LOC111099029","GO:0005261;GO:0005886;GO:0030001;GO:0098655","blue",0.399667473363306,0.282186775256833,0.0699416345464351,0.149221296565794,0.385003046925014,-0.0287284852854201,0.126344874504305,-0.286615073977802,-0.151361665608297,0.319296395383048,0.0588296345057422,0.192045171835201,0.751159231591529,0.496788364084911,0.0696615194186417,0.896471463049822,0.56566447739571,0.184864903976105,0.49056379934636,0.137519691094913,-0.135137598826008,0.333678699466876,0.0952686128300342,-0.0375034506944,-0.0117829536732988,-0.0485626927410849,0.115416013164506,-0.463248015727297,-0.196487586746341,0.0503316129471774,-0.0408577984110608
"LOC111099037","GO:0000978;GO:0000981;GO:0006355","black",-0.024615986261446,0.00275130671999939,-0.0389489219632319,-0.421788504310251,-0.363072643005416,-0.2813840954138,-0.246595246348194,0.501493521581969,-0.0884646541834443,-0.181392967404477,0.91123007024004,0.990059457560766,0.859946591320248,0.0449973596388213,0.0886050768691497,0.193366724845472,0.256666789451936,0.0147703269155474,0.688132600698601,0.407488353956575,-0.116997081191581,-0.245206498502285,-0.142577389734174,-0.167741192241,0.342930068728476,0.314390171845395,-0.0652395652376551,0.0771910643041036,-0.153800417443868,0.225659130537003,0.023561951429762
"LOC111099039","GO:0004930;GO:0005886;GO:0007189","blue",0.443403496640899,0.303838275497706,-0.0170614143671565,-0.21417644624197,0.221972568463639,-0.346048759322655,-0.0431584594034866,0.10060788254586,-0.353122304417933,0.293054735338487,0.0340737787471227,0.15869393987307,0.938411971821524,0.326433276980941,0.308702430939672,0.105776903521173,0.844979051383385,0.647848479950561,0.098367962047447,0.174755140984013,-0.219761919727655,0.12485007007985,0.260552302939773,0.0169370455409132,0.202419781716186,0.340952907219487,0.00285946859825228,-0.37935687836365,-0.499348183563036,0.0580100935005464,-0.353744727190499
"LOC111099041","GO:0016020;GO:0022857;GO:0055085","red",-0.410985237906315,-0.310348052309863,-0.0440387600853125,0.317194489093021,0.00437006383649986,0.345941585175499,0.31502256845295,-0.102599874097206,0.0976285204256434,-0.290940823236345,0.0513943702411483,0.14951519769241,0.841855401670848,0.140273460074444,0.984211422523843,0.105892223316562,0.143159992914426,0.641326875902874,0.657649431270306,0.178030697290595,-0.083897343721491,-0.453007225502021,-0.510912630835024,-0.311828476677822,-0.0787654765136402,0.0706399108107653,0.365824475104247,0.506382599951211,0.323688924378201,0.402882666035941,0.680227952617374
"LOC111099050","GO:0005515;GO:0006886;GO:0031462;GO:0043161;GO:1990756","green",-0.35176148315974,-0.282846525126026,-0.0389422791799209,-0.0592647008672779,-0.254057873493556,0.0619848690361692,-0.0188202882338185,0.200822307121739,0.0881921305238861,-0.271335855159763,0.0997625904675694,0.190963558963512,0.859970248827203,0.788230388687468,0.242085899256681,0.778740019634426,0.932076383904985,0.358195020052283,0.689046651575571,0.210435267069084,-0.443383875044975,-0.388853248091625,-0.682927345473315,-0.495291573522823,0.148672984538579,0.470875667632711,-0.253669949396539,0.405775125576787,0.0373751847000928,0.723878888809165,0.491034554665116
"LOC111099053","GO:0001731;GO:0003729;GO:0003743;GO:0005850;GO:0006413;GO:0031369","blue",0.430256681589475,0.181368789274858,-0.152991702577162,-0.325025480223632,0.370840964923254,-0.54214175218817,-0.10090793356875,0.100084063692579,-0.521950119089495,0.516652554142853,0.0404321967290589,0.407551928975146,0.485849571759054,0.130210276006074,0.0815005453992214,0.00753146129279778,0.646864521488947,0.649567607123142,0.0106301712562128,0.011597195625486,-0.329745102307366,0.738719396437789,0.171977537464284,0.25907959945646,0.0760242600132226,-0.205512337453127,-0.602026099999714,-0.334853466921404,-0.059294797385528,-0.209057917518228,-0.290681746546069
"LOC111099054","GO:0005615","turquoise",0.278003878146419,0.272852092356498,0.169885346635051,0.0866292158024179,0.121228383030766,0.0344629200858085,-0.00403522462761758,-0.1809037573406,0.0429952073455368,0.141698983517761,0.198999833119351,0.207797133473164,0.438360281332808,0.694296796706586,0.581628322905824,0.875948494186411,0.985421031169737,0.408775769461923,0.845558583011831,0.518969675860006,0.702499397982306,0.219052838440957,0.541067353873592,0.211471801316238,-0.296868555932169,-0.375202141882054,-0.0860947243187294,-0.392990688158512,-0.0634934839297021,-0.585368859473084,-0.369021471754935
"LOC111099056","GO:0003723;GO:0006396;GO:0008173","blue",0.0406985854964145,-0.301335108878754,-0.514085106215304,-0.0174532760947639,0.179636631374315,-0.108973597928809,0.161826265137215,0.0716235408355347,-0.275976900498364,0.0523440524160642,0.853719480798777,0.162326335740133,0.01209120034733,0.937000132185832,0.412120773232765,0.620633472921239,0.46069969849459,0.745365485441295,0.20243052896515,0.812504554933134,-0.239235273423608,0.36820738088671,0.390440854076079,0.349711612256672,0.135208259517173,0.0291996628842079,-0.232942600956889,-0.176597478564222,-0.18436483749895,-0.328146219446988,-0.40275039099229
"LOC111099064","GO:0004521","brown",0.16133614611768,0.0709151929962225,-0.134009722819142,-0.0388786431475837,-0.228107041131084,0.0713835153114652,0.08688618242972,0.259902930050391,-0.000409975516234368,-0.341108311529876,0.46207701426561,0.747803960065215,0.542121843912346,0.860196887118705,0.295174274480233,0.746191505500814,0.693432652407944,0.231050295180645,0.998518713122957,0.111189371344042,0.00298516655162637,-0.19474210523612,-0.103279465142157,-0.232594230761937,0.122431945908907,0.29904809257836,0.0616639698372468,-0.0895272029797766,-0.260410046377403,0.281287888390229,-0.000373550852356908
"LOC111099066","GO:0008757","turquoise",0.0242156520103869,-0.0370500838500597,-0.00262772937151189,0.300544348064422,-0.23676279224054,0.448234186052035,0.078237920323045,-0.167076630671815,0.436416306367965,-0.342831404981562,0.912668351840013,0.866713750827036,0.990505925737121,0.163485804010326,0.276722510378831,0.0319471271008555,0.722712425143899,0.446079606302539,0.0373463089519311,0.109279153154053,0.640475364863562,-0.127341781834552,0.0478830407790967,-0.158841131963495,-0.243174429068976,-0.180496810216091,0.0201114762115813,-0.151165399274961,0.0714078993366474,-0.145613573656413,0.0821926113577609
"LOC111099067","GO:0000463;GO:0005634;GO:0008650;GO:0030687;GO:0031167","blue",0.333008082595286,-0.033493177594675,-0.335391530081041,-0.211500067232544,0.3037352263785,-0.383992714515249,-0.0449775432610742,0.0490513049048288,-0.394578347376809,0.387776087687107,0.120497300725676,0.879414039453832,0.11770182913739,0.332658627822403,0.158842341895701,0.0704600731214553,0.838526773538449,0.824114183893674,0.062430857491667,0.0675050909323738,-0.0305296046056787,0.811950553714731,0.151379624057269,0.231770909743008,-0.0224638028520083,-0.460096867676598,-0.489748111107689,-0.409759262069763,0.0993402044740313,-0.32602949593838,-0.122691777821628
"LOC111099684","GO:0005886;GO:0008253","turquoise",-0.0807469223544919,-0.149840030828714,-0.215674367214145,-0.310346501114601,-0.217132705022797,-0.232044475466208,-0.142572020580821,0.377057685671374,-0.130049058173637,-0.113085533722534,0.714176969028763,0.494984980294933,0.322979889218765,0.149517339143604,0.319639047977945,0.286688272300928,0.516371257386816,0.0761304497915645,0.55423037841584,0.607428240777621,0.00791439357944218,-0.108947682475703,0.239708139700462,0.133577188373974,0.269706011951249,0.137634932598502,-0.075151656254606,-0.0461137529820108,-0.176110352398427,-0.243735216573962,-0.362685537751081
"LOC111099688","GO:0005634;GO:0005737;GO:0051726","brown",0.089035838759468,0.0636701633620852,-0.0415084184938223,0.0304105083874298,-0.165150856097686,0.115951504156875,-0.152741850123535,-0.0875071508814503,0.275381595178005,-0.0443984590775878,0.68621820409284,0.772875420193085,0.850840091985396,0.890444431122449,0.451413442696389,0.598293729645835,0.486570692613567,0.691345945105131,0.203445630023059,0.840579710193215,-0.0384482276303506,-0.193184383237626,0.0298395746359508,-0.404852749366185,0.4949995686431,0.641100897093095,-0.425091549630369,-0.46444511239008,-0.665280553590494,0.214451520194691,-0.275309040618245
"LOC111099690","GO:0009226;GO:0050577","blue",0.469542349977899,0.17402822140831,-0.187415865046482,-0.27288364027879,0.355578628031456,-0.477283983113285,-0.137374405294275,0.00941036566945322,-0.413914094706297,0.533544513389821,0.0237895517227035,0.427105318442961,0.391822893057684,0.207742479653272,0.0958871973740269,0.0212784398117317,0.531932429130899,0.966008822565917,0.0495944220645278,0.00874377726445535,-0.200992189052615,0.945389832375647,0.373887479169948,0.707089306310275,-0.154229899384592,-0.710791046164465,-0.265672565497445,-0.140675309546567,0.371351254152207,-0.606355220207494,-0.296661036693592
"LOC111099693","GO:0003713;GO:0042800;GO:0044666;GO:0045944","red",-0.404721290151521,-0.215103546676134,0.0762495693767792,0.276147684408575,0.133768593978524,0.236192718838832,0.184311915690369,-0.247734471278331,0.0955602661190106,-0.0209566929533007,0.0554135947897718,0.324293277774627,0.729499499333834,0.202139944333124,0.54285551155916,0.277914817900444,0.399853483211026,0.25440518512955,0.664485521722802,0.92438629848431,-0.240939435420305,-0.314624876407739,-0.752947922564236,-0.450805569320618,-0.513063019879613,0.0857257141032104,0.0711919340607603,0.488719966334706,0.355772367074112,0.720473326676191,0.825795086919336
