"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Module","Eigengene"
"1","B1_Nu_O03","both","warm","hypoxic","MEturquoise",-0.279823866545772
"2","B2_Nu_O12","both","warm","hypoxic","MEturquoise",0.260668116674872
"3","B4_Nu_O32","both","warm","hypoxic","MEturquoise",0.139879969613328
"4","B5_Nu_O36","both","warm","hypoxic","MEturquoise",-0.298401236016502
"5","B6_Nu_O47","both","warm","hypoxic","MEturquoise",-0.258456793926435
"6","C1_Nu_W01","control","ambient","normoxic","MEturquoise",0.0793080311083064
"7","C1_Nu_W05","control","ambient","normoxic","MEturquoise",-0.0294882341655554
"8","C2_Nu_W15","control","ambient","normoxic","MEturquoise",0.00316442957250557
"9","C3_Nu_W21","control","ambient","normoxic","MEturquoise",-0.0591523508500854
"10","C4_Nu_W29","control","ambient","normoxic","MEturquoise",0.0531010143406846
"11","C6_Nu_W42","control","ambient","normoxic","MEturquoise",0.00210211305180272
"12","H1_Nu_B08","hypoxic","ambient","hypoxic","MEturquoise",0.322608891798024
"13","H2_Nu_B14","hypoxic","ambient","hypoxic","MEturquoise",-0.169912429652978
"14","H3_Nu_B18","hypoxic","ambient","hypoxic","MEturquoise",0.183691761285107
"15","H4_Nu_B28","hypoxic","ambient","hypoxic","MEturquoise",0.0038232739153962
"16","H5_Nu_B35","hypoxic","ambient","hypoxic","MEturquoise",-0.250351845347945
"17","H6_Nu_B45","hypoxic","ambient","hypoxic","MEturquoise",0.564183046717678
"18","W1_Nu_G02","warm","warm","normoxic","MEturquoise",0.0711535848874398
"19","W2_Nu_G15","warm","warm","normoxic","MEturquoise",-0.0271184273965264
"20","W3_Nu_G21","warm","warm","normoxic","MEturquoise",-0.134118644932462
"21","W4_Nu_G27","warm","warm","normoxic","MEturquoise",0.0581324679891829
"22","W6_Nu_G41","warm","warm","normoxic","MEturquoise",-0.294117242656878
"23","W6_Nu_G45","warm","warm","normoxic","MEturquoise",0.059124370536811
"24","B1_Nu_O03","both","warm","hypoxic","MEblue",0.232587188072186
"25","B2_Nu_O12","both","warm","hypoxic","MEblue",0.0531110688294855
"26","B4_Nu_O32","both","warm","hypoxic","MEblue",-0.250167198925766
"27","B5_Nu_O36","both","warm","hypoxic","MEblue",-0.176526020735581
"28","B6_Nu_O47","both","warm","hypoxic","MEblue",-0.0851800136576779
"29","C1_Nu_W01","control","ambient","normoxic","MEblue",0.367833669706161
"30","C1_Nu_W05","control","ambient","normoxic","MEblue",-0.119218132419783
"31","C2_Nu_W15","control","ambient","normoxic","MEblue",-0.224301606199351
"32","C3_Nu_W21","control","ambient","normoxic","MEblue",-0.0523344813471127
"33","C4_Nu_W29","control","ambient","normoxic","MEblue",0.115652687682436
"34","C6_Nu_W42","control","ambient","normoxic","MEblue",-0.281394363601132
"35","H1_Nu_B08","hypoxic","ambient","hypoxic","MEblue",-0.0162822008315101
"36","H2_Nu_B14","hypoxic","ambient","hypoxic","MEblue",-0.255791098306727
"37","H3_Nu_B18","hypoxic","ambient","hypoxic","MEblue",0.0676634613396517
"38","H4_Nu_B28","hypoxic","ambient","hypoxic","MEblue",-0.14922677283244
"39","H5_Nu_B35","hypoxic","ambient","hypoxic","MEblue",-0.120808542169101
"40","H6_Nu_B45","hypoxic","ambient","hypoxic","MEblue",-0.18726405644748
"41","W1_Nu_G02","warm","warm","normoxic","MEblue",0.066000180928584
"42","W2_Nu_G15","warm","warm","normoxic","MEblue",0.359312164221375
"43","W3_Nu_G21","warm","warm","normoxic","MEblue",0.429085758630182
"44","W4_Nu_G27","warm","warm","normoxic","MEblue",0.0649715963258515
"45","W6_Nu_G41","warm","warm","normoxic","MEblue",0.267941709836614
"46","W6_Nu_G45","warm","warm","normoxic","MEblue",-0.105664998098866
"47","B1_Nu_O03","both","warm","hypoxic","MEgreenyellow",0.0708371112551227
"48","B2_Nu_O12","both","warm","hypoxic","MEgreenyellow",0.290956633694644
"49","B4_Nu_O32","both","warm","hypoxic","MEgreenyellow",0.117641317251804
"50","B5_Nu_O36","both","warm","hypoxic","MEgreenyellow",-0.303678542246218
"51","B6_Nu_O47","both","warm","hypoxic","MEgreenyellow",-0.213338674599817
"52","C1_Nu_W01","control","ambient","normoxic","MEgreenyellow",-0.0855208387222842
"53","C1_Nu_W05","control","ambient","normoxic","MEgreenyellow",-0.0606949099855873
"54","C2_Nu_W15","control","ambient","normoxic","MEgreenyellow",-0.0975013574285058
"55","C3_Nu_W21","control","ambient","normoxic","MEgreenyellow",-0.0870993724864327
"56","C4_Nu_W29","control","ambient","normoxic","MEgreenyellow",-0.00828086042547052
"57","C6_Nu_W42","control","ambient","normoxic","MEgreenyellow",0.235586039510483
"58","H1_Nu_B08","hypoxic","ambient","hypoxic","MEgreenyellow",-0.0169624659964225
"59","H2_Nu_B14","hypoxic","ambient","hypoxic","MEgreenyellow",-0.158968303261196
"60","H3_Nu_B18","hypoxic","ambient","hypoxic","MEgreenyellow",0.179103224972809
"61","H4_Nu_B28","hypoxic","ambient","hypoxic","MEgreenyellow",0.00739900593497899
"62","H5_Nu_B35","hypoxic","ambient","hypoxic","MEgreenyellow",-0.303075961367579
"63","H6_Nu_B45","hypoxic","ambient","hypoxic","MEgreenyellow",0.169869417231279
"64","W1_Nu_G02","warm","warm","normoxic","MEgreenyellow",-0.447230207227027
"65","W2_Nu_G15","warm","warm","normoxic","MEgreenyellow",0.196139783495372
"66","W3_Nu_G21","warm","warm","normoxic","MEgreenyellow",0.434930331866861
"67","W4_Nu_G27","warm","warm","normoxic","MEgreenyellow",-0.0721941878909647
"68","W6_Nu_G41","warm","warm","normoxic","MEgreenyellow",0.237695800521828
"69","W6_Nu_G45","warm","warm","normoxic","MEgreenyellow",-0.0856129840976775
"70","B1_Nu_O03","both","warm","hypoxic","MEyellow",0.214094737970168
"71","B2_Nu_O12","both","warm","hypoxic","MEyellow",0.110958196943566
"72","B4_Nu_O32","both","warm","hypoxic","MEyellow",0.00473940728220753
"73","B5_Nu_O36","both","warm","hypoxic","MEyellow",-0.279517871570571
"74","B6_Nu_O47","both","warm","hypoxic","MEyellow",-0.112692739390229
"75","C1_Nu_W01","control","ambient","normoxic","MEyellow",0.143783737073571
"76","C1_Nu_W05","control","ambient","normoxic","MEyellow",0.00176107665402955
"77","C2_Nu_W15","control","ambient","normoxic","MEyellow",-0.21116801141584
"78","C3_Nu_W21","control","ambient","normoxic","MEyellow",-0.0276362928779207
"79","C4_Nu_W29","control","ambient","normoxic","MEyellow",0.139797764086341
"80","C6_Nu_W42","control","ambient","normoxic","MEyellow",0.00620273844529715
"81","H1_Nu_B08","hypoxic","ambient","hypoxic","MEyellow",0.0274803856402259
"82","H2_Nu_B14","hypoxic","ambient","hypoxic","MEyellow",-0.304387676090656
"83","H3_Nu_B18","hypoxic","ambient","hypoxic","MEyellow",-0.073883268055254
"84","H4_Nu_B28","hypoxic","ambient","hypoxic","MEyellow",0.100998973758879
"85","H5_Nu_B35","hypoxic","ambient","hypoxic","MEyellow",-0.0730300132059463
"86","H6_Nu_B45","hypoxic","ambient","hypoxic","MEyellow",-0.199256721224365
"87","W1_Nu_G02","warm","warm","normoxic","MEyellow",-0.375234404054167
"88","W2_Nu_G15","warm","warm","normoxic","MEyellow",0.0251323986160364
"89","W3_Nu_G21","warm","warm","normoxic","MEyellow",0.421021439787031
"90","W4_Nu_G27","warm","warm","normoxic","MEyellow",-0.0890723394968968
"91","W6_Nu_G41","warm","warm","normoxic","MEyellow",0.533272491274188
"92","W6_Nu_G45","warm","warm","normoxic","MEyellow",0.0166359898503047
"93","B1_Nu_O03","both","warm","hypoxic","MEblack",-0.13415167115018
"94","B2_Nu_O12","both","warm","hypoxic","MEblack",-0.158234935761684
"95","B4_Nu_O32","both","warm","hypoxic","MEblack",-0.0991114108126814
"96","B5_Nu_O36","both","warm","hypoxic","MEblack",-0.135999424575194
"97","B6_Nu_O47","both","warm","hypoxic","MEblack",-0.128663981566276
"98","C1_Nu_W01","control","ambient","normoxic","MEblack",-0.173911433395974
"99","C1_Nu_W05","control","ambient","normoxic","MEblack",0.213751343302049
"100","C2_Nu_W15","control","ambient","normoxic","MEblack",0.305869035989982
"101","C3_Nu_W21","control","ambient","normoxic","MEblack",0.169569393609051
"102","C4_Nu_W29","control","ambient","normoxic","MEblack",-0.124512584192027
"103","C6_Nu_W42","control","ambient","normoxic","MEblack",0.468058852396528
"104","H1_Nu_B08","hypoxic","ambient","hypoxic","MEblack",-0.104798377831353
"105","H2_Nu_B14","hypoxic","ambient","hypoxic","MEblack",-0.110168569648738
"106","H3_Nu_B18","hypoxic","ambient","hypoxic","MEblack",0.453517250499869
"107","H4_Nu_B28","hypoxic","ambient","hypoxic","MEblack",-0.121784721359599
"108","H5_Nu_B35","hypoxic","ambient","hypoxic","MEblack",0.194114768530096
"109","H6_Nu_B45","hypoxic","ambient","hypoxic","MEblack",-0.0718689133638001
"110","W1_Nu_G02","warm","warm","normoxic","MEblack",-0.140375379164455
"111","W2_Nu_G15","warm","warm","normoxic","MEblack",0.287957408059739
"112","W3_Nu_G21","warm","warm","normoxic","MEblack",-0.1709451551087
"113","W4_Nu_G27","warm","warm","normoxic","MEblack",-0.116580763517036
"114","W6_Nu_G41","warm","warm","normoxic","MEblack",-0.181123339536002
"115","W6_Nu_G45","warm","warm","normoxic","MEblack",-0.120607391403613
"116","B1_Nu_O03","both","warm","hypoxic","MEbrown",-0.119610692671704
"117","B2_Nu_O12","both","warm","hypoxic","MEbrown",-0.174129799270543
"118","B4_Nu_O32","both","warm","hypoxic","MEbrown",0.0941706979098751
"119","B5_Nu_O36","both","warm","hypoxic","MEbrown",0.315104299081748
"120","B6_Nu_O47","both","warm","hypoxic","MEbrown",0.0166531230743604
"121","C1_Nu_W01","control","ambient","normoxic","MEbrown",-0.268441321793421
"122","C1_Nu_W05","control","ambient","normoxic","MEbrown",0.0448857713194961
"123","C2_Nu_W15","control","ambient","normoxic","MEbrown",0.212544212971149
"124","C3_Nu_W21","control","ambient","normoxic","MEbrown",0.046096840455791
"125","C4_Nu_W29","control","ambient","normoxic","MEbrown",-0.242441335206111
"126","C6_Nu_W42","control","ambient","normoxic","MEbrown",0.443953023576139
"127","H1_Nu_B08","hypoxic","ambient","hypoxic","MEbrown",-0.157063523511399
"128","H2_Nu_B14","hypoxic","ambient","hypoxic","MEbrown",0.506786328269492
"129","H3_Nu_B18","hypoxic","ambient","hypoxic","MEbrown",0.0949595022259979
"130","H4_Nu_B28","hypoxic","ambient","hypoxic","MEbrown",-0.0941949578455653
"131","H5_Nu_B35","hypoxic","ambient","hypoxic","MEbrown",-0.0179828752453439
"132","H6_Nu_B45","hypoxic","ambient","hypoxic","MEbrown",0.0671116029216863
"133","W1_Nu_G02","warm","warm","normoxic","MEbrown",-0.0212786858273453
"134","W2_Nu_G15","warm","warm","normoxic","MEbrown",-0.0478452966080641
"135","W3_Nu_G21","warm","warm","normoxic","MEbrown",-0.229543860594323
"136","W4_Nu_G27","warm","warm","normoxic","MEbrown",-0.033490415108426
"137","W6_Nu_G41","warm","warm","normoxic","MEbrown",-0.301072981193978
"138","W6_Nu_G45","warm","warm","normoxic","MEbrown",-0.13516965692951
"139","B1_Nu_O03","both","warm","hypoxic","MEpink",-0.0260685743039074
"140","B2_Nu_O12","both","warm","hypoxic","MEpink",-0.0170497653263133
"141","B4_Nu_O32","both","warm","hypoxic","MEpink",0.665168765173288
"142","B5_Nu_O36","both","warm","hypoxic","MEpink",-0.038436140104846
"143","B6_Nu_O47","both","warm","hypoxic","MEpink",-0.000729719295554455
"144","C1_Nu_W01","control","ambient","normoxic","MEpink",-0.0927382451170579
"145","C1_Nu_W05","control","ambient","normoxic","MEpink",-0.123662016138119
"146","C2_Nu_W15","control","ambient","normoxic","MEpink",-0.0856999089837925
"147","C3_Nu_W21","control","ambient","normoxic","MEpink",0.0154415502443699
"148","C4_Nu_W29","control","ambient","normoxic","MEpink",-0.0835453384831015
"149","C6_Nu_W42","control","ambient","normoxic","MEpink",-0.0331991840724022
"150","H1_Nu_B08","hypoxic","ambient","hypoxic","MEpink",-0.00884148277827498
