"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.96499620426125,0.125572533631988,0.414233776702726,0.546996367674304,0.792343619962736
"LOC111126949",578.978178085266,0.230347796367676,0.312692006244455,0.313175401983106,0.601047058936909
"LOC111110729",120.655977392993,-0.316273032228062,0.217175715426653,0.0948791581353593,0.306569633812697
"LOC111112434",7.9890062064629,-0.0791930784374663,0.439408345884021,0.678131261932286,0.871602685316227
"LOC111120752",425.58808062333,0.489257950186288,0.264265154520972,0.022597525005206,0.122766053208583
"LOC111128944",0.340632073546432,0,1.26185605740296,1,NA
"LOC111128953",0.112043487732426,0.0254558090725877,1.3020817550096,0.884386694957031,NA
"LOC111105691",16.0886667803404,0.146671980983219,0.515200403004313,0.393526478936183,0.676392472272817
"LOC111105685",0,0,2.70124111267261,NA,NA
"LOC111105702",0,0,2.70124111267261,NA,NA
"LOC111133554",3.25867193927421,0.0916713704152612,0.546191857058399,0.55521562606314,0.798401542348507
"LOC111125466",2.78670795766705,0.584631196813854,1.33468000227833,0.0475919795491135,0.199271512929394
"LOC111128964",0.448302586070273,-0.0763436720266116,1.35772499537079,0.671923266035086,NA
"LOC111113860",697.136556455043,0.637288538934063,0.403246321703706,0.0112136079276476,0.0765659314270896
"LOC111109550",142.775677015356,6.67693887007734,1.25527665908604,2.40073269261713e-08,3.36744152082529e-06
"LOC111109753",18.3300591732835,0.232223193508869,0.572429347429766,0.208980040401568,0.485412453586568
"LOC111109452",3250.51073637416,-0.117991964602831,0.252812433914132,0.571738434692841,0.810132898274599
"LOC111124802",2330.46815469767,-0.0570218772822845,0.13934512774825,0.66607536276244,0.865073555946349
"LOC111101273",1225.92810642959,0.386904597048544,0.185404820753036,0.021295407298535,0.117876364060031
"LOC111101250",1036.57676060353,-0.212188559542442,0.184824332579769,0.206017128650797,0.48190119325433
"LOC111101262",8501.15681588089,-0.261740503135978,0.186159266888153,0.120803814588702,0.354833264224708
"LOC111133260",2167.08084126293,-0.352217221430391,0.140297529972229,0.00798646256397448,0.0611087384803333
"LOC111113503",24.4003560895774,0.814018106754747,1.1940272558065,0.0155827647472368,0.0960114651853185
"LOC111102393",581.849408242027,-0.498417217156202,0.247977486102558,0.0158982851534826,0.0970660404248838
"LOC111119377",135.442728134606,0.190259534080587,0.364988100726206,0.404362768569295,0.685417968713775
"LOC111101799",6956.2595772252,0.431578062577202,0.258048575297966,0.0413618189546272,0.182285524434111
"LOC111117743",91.1464827357316,7.68011098266251,2.01232173648301,5.43021979929021e-06,0.000310853601642137
"LOC111117672",1990.16369730131,0.63120202765204,0.224041570599758,0.00108661982795454,0.0156911656431309
"LOC111114053",3170.26385375086,0.399992656658862,0.199910808388891,0.0247321333627066,0.130589599055909
"LOC111109809",166.888077504038,0.096845646638063,0.37997233496072,0.662382582448803,0.863418946446984
"LOC111102064",1273.8417322357,0.103016414538162,0.296310776376695,0.645811789588236,0.853832612150644
"LOC111112773",397.745924150982,-0.31090583859015,0.289973609404992,0.164344187352419,0.424991143104134
"LOC111135169",311.612175339837,0.309562564868138,0.452513252682387,0.153431465227814,0.408690082789845
"LOC111135172",287.122483531837,-0.30573272807051,0.297688729096978,0.17569789337564,0.440523988460596
"LOC111135178",0,0,2.70124111267261,NA,NA
"LOC111114201",822.946648447651,-0.231741106195541,0.220907438365062,0.226631174061624,0.505891182218868
"LOC111114212",4758.50004092776,0.247546052175881,0.201512894480733,0.16754330453555,0.429408066172787
"LOC111138315",1519.38540077097,-0.447479286002276,0.184081276765639,0.00736251931360847,0.0578612709819268
"LOC111138321",6327.60728869238,-0.625275563084424,0.214307373937755,0.000835978470600557,0.013022695734937
"LOC111121058",95.1791987625258,1.1779112562186,0.736953206389327,0.000603435160431464,0.0102116417008636
"LOC111138070",1025.3550183578,-0.378340170705995,0.149918482031246,0.00717416039846965,0.0569696260827231
"LOC111108931",18.5328946182228,-0.0498948426040181,0.429785128074271,0.798089715100186,0.927575535467737
"LOC111108878",0,0,2.70124111267261,NA,NA
"LOC111108901",1360.8096882978,0.0663770293778241,0.211404718056296,0.720995508165498,0.894143352863159
"LOC111130095",2702.30401713504,0.549176161921573,0.269844839887729,0.0114739920546634,0.0778703270676133
"LOC111103204",942.503219953002,0.138488541454368,0.208220348769535,0.451209094725874,0.724812240130782
"LOC111103224",1071.26436290279,0.223926343085465,0.272207643315822,0.302161974503872,0.590380286079918
"LOC111131060",277.933852071965,0.30948332190847,0.368774202294854,0.182899809078022,0.450153198231507
"LOC111131074",326.478509213445,0.101358405630183,0.257344342114526,0.630463619093895,0.845642341756504
"LOC111131094",43.9485560991934,-0.303909169433014,0.353552522703639,0.191976581066227,0.462831671437038
"LOC111131052",269.744601751282,-0.0592020280989782,0.316709249061947,0.794835305799609,0.926077592220935
"LOC111116497",561.889343950232,1.26373680788023,0.349233257196948,5.41543968342142e-07,4.73734511230914e-05
"LOC111115921",109.503044438986,2.99654037771418,1.67270624534085,0.000294689264549405,0.00611592987689205
"LOC111116467",867.603928326184,0.659649134347141,0.307921371808234,0.00457044159860336,0.0420858264011745
"LOC111104259",53.2775618005299,-0.415139009417892,0.634701757412639,0.064043029087456,0.239884876843731
"LOC111114340",5.59348185637326,-0.0404979481206921,0.442066823974541,0.828159036145869,0.939710288164123
"LOC111134965",944.678127018394,0.179100431772357,0.214326510830297,0.339906379684521,0.626799828606366
"LOC111111519",7780.71020695678,0.107134093872169,0.177014604179514,0.508727119856066,0.765867780086793
"LOC111113087",3.28467545608999,0.179672706540351,0.595673538473711,0.292723600755159,0.580311386888478
"LOC111136780",917.847487215318,-0.0919664822506264,0.16290913559203,0.54338522524221,0.789483078838824
"LOC111136794",570.914919216326,-0.634770561905101,0.349274419686785,0.0090590350344574,0.0665310580210591
"LOC111118408",797.968478054014,-0.554360331461381,0.36408299694657,0.0225512741888376,0.122596652965779
"LOC111133372",1665.9530979184,-0.465335476017703,0.161102861469778,0.00186278013296927,0.022610440539756
"LOC111118838",128.777473226455,0.332953911630776,0.410977164027093,0.143991494661396,0.392936789875987
"LOC111118844",314.232011852546,0.240635201075006,0.241778342348003,0.236620912364219,0.517863859718637
"LOC111110627",14.5123647856039,-0.0340732460155259,0.423812881809893,0.863592567876503,0.953999987334683
"LOC111137104",4587.92571157547,0.154075340359263,0.16390457491853,0.311036499551218,0.599049170341483
"LOC111105880",2049.97977465154,0.669085688768128,0.254221613373209,0.00144248527947169,0.018921503498849
"LOC111102585",86.3045897709234,0.0544013007746118,0.474748035588182,0.746994157544016,0.905840857272792
"LOC111099747",109.746380323153,-0.333693687659477,0.259579728964607,0.115588617198794,0.345947280500611
"LOC111128995",53.1552627786799,0.228415726694338,0.508459981803132,0.232199849204525,0.512927158245641
"LOC111124195",0.23418357629236,0.0289839759610509,1.19583255573044,0.865669927583091,NA
"LOC111129046",0,0,2.70124111267261,NA,NA
"LOC111129066",11.0460990550237,-0.139386862454918,0.514468117085735,0.413518130711136,0.693493590778805
"LOC111124462",1.34739847244612,0.0752064343483374,0.546699647499656,0.621733082848665,0.840469583253578
"LOC111115406",613.912735068101,-0.208426057503743,0.424324022110563,0.324349356833124,0.611669956540537
"LOC111135942",44.5110482303009,0.409900641637325,0.37527605966938,0.0837375305322622,0.283980980688994
"LOC111135933",0,0,2.70124111267261,NA,NA
"LOC111114441",2.97532412972194,-0.0423659166928495,0.566611544815751,0.772142791226932,0.915876383311007
"LOC111114430",251.393690227176,-0.0692318844059149,0.478289298543731,0.68164901195949,0.873706358229664
"LOC111111547",60.6915633524099,0.09249301865033,0.481234158060281,0.588491926315158,0.820976513788749
