"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.96499620426125,-0.154992349245209,0.358971697986197,0.251025419785089,0.607666587198054
"LOC111126949",578.978178085266,0.0835288777075699,0.238095476769351,0.538153175370517,0.8232756313136
"LOC111110729",120.655977392993,-0.222848536191766,0.190684875709866,0.100353752921093,0.38982977030643
"LOC111112434",7.9890062064629,-0.262017768259717,0.497668077493553,0.0859342108000095,0.361443089605538
"LOC111120752",425.58808062333,0.193459198419359,0.219014758686397,0.170630197271053,0.506536365981442
"LOC111128944",0.340632073546432,-0.0220787582393687,0.769852176993117,0.732004274001542,NA
"LOC111128953",0.112043487732426,0,0.765081237401465,1,NA
"LOC111105691",16.0886667803404,0.059390288487692,0.38794792352496,0.578836920876835,0.844082385262731
"LOC111105685",0,0,1.89798208147895,NA,NA
"LOC111105702",0,0,1.89798208147895,NA,NA
"LOC111133554",3.25867193927421,0.0158587342826873,0.407432229799876,0.867606368500633,0.964902472747025
"LOC111125466",2.78670795766705,0.104094535693021,0.475676699177608,0.30563478344161,0.659865960408306
"LOC111128964",0.448302586070273,0,0.765081237401465,1,NA
"LOC111113860",697.136556455043,0.233099505293124,0.315178433082348,0.127996214169545,0.440907462845913
"LOC111109550",142.775677015356,0.0501611069659524,0.369386579414743,0.647155602264719,0.877523019295138
"LOC111109753",18.3300591732835,-0.487444299462819,0.85460338918607,0.0171640354411139,0.150757262126479
"LOC111109452",3250.51073637416,-0.668740640080042,0.313273192740327,0.000865165340975826,0.0249152305540136
"LOC111124802",2330.46815469767,-0.0720551234995862,0.121459979331785,0.490943055527774,0.796728725976134
"LOC111101273",1225.92810642959,0.0887722085896967,0.153639073002695,0.462169398708959,0.77889674058173
"LOC111101250",1036.57676060353,-0.0992489225183797,0.154711001753919,0.412942086068714,0.746132913004464
"LOC111101262",8501.15681588089,-0.203800167971365,0.163675506342826,0.105127240078254,0.398584486383148
"LOC111133260",2167.08084126293,-0.336708918260379,0.134179553151094,0.00263070965696346,0.0498303571926106
"LOC111113503",24.4003560895774,0.0695842088930419,0.38366146394744,0.527727753536495,0.816597383557232
