"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.96499620426125,-0.110818767378817,0.359482012071935,0.487726668851608,0.756520327997547
"LOC111126949",578.978178085266,0.00218799335946545,0.264234344615853,0.989955948374199,0.998640580054967
"LOC111110729",120.655977392993,-0.403898191768899,0.209526010197586,0.0149122039566699,0.10517402279106
"LOC111112434",7.9890062064629,-0.141909914224483,0.406409342222014,0.357068307552302,0.654502419597989
"LOC111120752",425.58808062333,0.373405940206383,0.247224684173933,0.0378838876379602,0.186747910443878
"LOC111128944",0.340632073546432,-0.0766049411870726,1.2671009882241,0.657819749122528,NA
"LOC111128953",0.112043487732426,0,1.23869019173651,1,NA
"LOC111105691",16.0886667803404,-0.171188495160402,0.526096062811634,0.26100543493504,0.560229461358491
"LOC111105685",0,0,2.52439315109573,NA,NA
"LOC111105702",0,0,2.52439315109573,NA,NA
"LOC111133554",3.25867193927421,-0.411869551110602,1.05137689570636,0.0805200899841463,0.292736539857456
"LOC111125466",2.78670795766705,-0.0294185619790154,0.49710737469387,0.819454926534603,0.933511944944657
"LOC111128964",0.448302586070273,0,1.23869019173651,1,NA
"LOC111113860",697.136556455043,0.779001179595769,0.503913701798559,0.00254259053705777,0.0335700615181745
"LOC111109550",142.775677015356,2.53476120477524,1.80610393187877,0.00106790746429826,0.0185838741728309
"LOC111109753",18.3300591732835,-0.45242025039614,0.874556401965568,0.0506310974863496,0.222233230968545
"LOC111109452",3250.51073637416,-0.255695063934927,0.231982649457713,0.138842422370419,0.397694754755581
"LOC111124802",2330.46815469767,-0.134844780621719,0.128972864209831,0.253184232411106,0.550798800956974
"LOC111101273",1225.92810642959,0.264367382358004,0.170374062109114,0.0689728521159413,0.267841832166702
"LOC111101250",1036.57676060353,-0.0508662606802053,0.166385855658036,0.72228039963359,0.894351385597059
"LOC111101262",8501.15681588089,-0.369764825158451,0.176868765280507,0.0131228613465159,0.0973652881756316
"LOC111133260",2167.08084126293,-0.22560025262467,0.130019073219147,0.0572342102732461,0.239767722800203
"LOC111113503",24.4003560895774,0.305041098815807,0.649129890545833,0.100481639652278,0.332101718216984
