"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.96499620426125,0.0349253524911044,0.214579443039956,0.540302871101777,0.928147574782678
"LOC111126949",578.978178085266,0.0320156133287773,0.177975523620278,0.68259501199802,0.968388915792907
"LOC111110729",120.655977392993,0.320038739106448,0.204046119762634,0.00339141990292838,0.11452460198096
"LOC111112434",7.9890062064629,-0.0329403265157512,0.23008567467618,0.520304952153055,0.922281083373186
"LOC111120752",425.58808062333,0.0264454751108462,0.161935736567575,0.765833906232006,0.985165833200474
"LOC111128944",0.340632073546432,-0.00591265886164427,0.633216832616672,0.896345135344576,1
"LOC111128953",0.112043487732426,0,0.65558911110016,1,NA
"LOC111105691",16.0886667803404,-0.197581427170222,0.605328647045498,0.0224471657878418,0.3011668812311
"LOC111105685",0,0,1.82264259269376,NA,NA
"LOC111105702",0,0,1.82264259269376,NA,NA
"LOC111133554",3.25867193927421,0.0694059843495026,0.389747310560261,0.141971415785217,0.65495463062564
"LOC111125466",2.78670795766705,0.0185280573408752,0.276266243396394,0.623483194721904,0.953005675023866
"LOC111128964",0.448302586070273,0,0.65558911110016,1,1
"LOC111113860",697.136556455043,0.0930115462600869,0.20520189206654,0.21545606632981,0.74380679273693
"LOC111109550",142.775677015356,0.00646541028339149,0.233067426265014,0.886159835049443,1
"LOC111109753",18.3300591732835,0.0258736224611108,0.247828344720021,0.563319218224301,0.936915004981495
"LOC111109452",3250.51073637416,0.0436827184106095,0.161677888461524,0.624679008722732,0.953005675023866
"LOC111124802",2330.46815469767,-0.102918401590534,0.113049142428769,0.257810984552465,0.785167095777146
"LOC111101273",1225.92810642959,0.0330231442337264,0.135565313230698,0.729562768677957,0.979392255958228
"LOC111101250",1036.57676060353,-0.0356626446988514,0.135917338554659,0.708927347332197,0.974771305870789
"LOC111101262",8501.15681588089,-0.168728502703,0.139694131041581,0.0812807432919197,0.536137935818665
"LOC111133260",2167.08084126293,0.0351096482035963,0.112943026601226,0.699256667312026,0.973041522474169
"LOC111113503",24.4003560895774,5.3029305577417,1.70609280544901,3.79083712257313e-06,0.000714025232242886
"LOC111102393",581.849408242027,0.071120190808225,0.158311770029746,0.437379556916932,0.894986734732733
"LOC111119377",135.442728134606,0.0518032345292466,0.197807436203968,0.448677501462133,0.897411919042475
"LOC111101799",6956.2595772252,0.116485179599384,0.166358909180176,0.201204005299535,0.728782678404284
"LOC111117743",91.1464827357316,-0.0122240198428831,0.264322488541396,0.749977368396925,0.983128289839494
"LOC111117672",1990.16369730131,-0.235830926491084,0.16938175551144,0.01865050399681,0.274397090227728
"LOC111114053",3170.26385375086,0.135608667573702,0.143861503687275,0.158651677154148,0.676616646540379
"LOC111109809",166.888077504038,-0.192656729369064,0.342155381672858,0.0323846306884021,0.358899001340286
"LOC111102064",1273.8417322357,-0.0649862017763111,0.176989505792142,0.427194211400437,0.891207674833251
"LOC111112773",397.745924150982,0.0202185155518518,0.170596800461496,0.808023095874924,0.991452690117716
"LOC111135169",311.612175339837,0.24083229578962,0.477762261654231,0.017642853776018,0.266442456312746
"LOC111135172",287.122483531837,-0.160434449229066,0.203634420041582,0.072756460189668,0.512408605374014
"LOC111135178",0,0,1.82264259269376,NA,NA
"LOC111114201",822.946648447651,-0.0226935199239199,0.150277790469436,0.808400966296282,0.991452690117716
"LOC111114212",4758.50004092776,-0.215722191467524,0.153902137483853,0.0287868129648035,0.339710444399129
"LOC111138315",1519.38540077097,-0.178268812869466,0.138256945372008,0.065653900587582,0.490765636028337
"LOC111138321",6327.60728869238,-0.163748880274183,0.150320302164088,0.0900711645572885,0.555238390891977
"LOC111121058",95.1791987625258,0.246897672945013,0.390294918024736,0.017404610332318,0.264514058045469
"LOC111138070",1025.3550183578,0.116233928623454,0.118740507763028,0.210838763563263,0.739145635389191
"LOC111108931",18.5328946182228,-0.0119600983904013,0.216926554710177,0.817000744672834,0.992512170339474
"LOC111108878",0,0,1.82264259269376,NA,NA
"LOC111108901",1360.8096882978,0.0509247424330165,0.14737251834592,0.589977384990827,0.943769184800666
"LOC111130095",2702.30401713504,0.0546761233830351,0.163626990318808,0.537344029699639,0.927123524221653
"LOC111103204",942.503219953002,0.405997601243514,0.23443214011399,0.000722880692938607,0.043454870591118
"LOC111103224",1071.26436290279,0.083951347230064,0.170131514171735,0.335263140084169,0.84563651758964
"LOC111131060",277.933852071965,0.0362726718879164,0.19272525237683,0.595725128437309,0.945878403995344
"LOC111131074",326.478509213445,-0.0483529756110551,0.16328190541228,0.585237111658943,0.942237005617809
"LOC111131094",43.9485560991934,-0.039447300548055,0.189451861726822,0.578122220317317,0.939944169071036
"LOC111131052",269.744601751282,0.020768168998469,0.179453362634007,0.785991880629858,0.988039767462574
"LOC111116497",561.889343950232,0.290332416466605,0.247375360785982,0.00798509003193184,0.176397078471136
"LOC111115921",109.503044438986,0.0709012792632851,0.278701854270289,0.198962972098323,0.725754718183697
"LOC111116467",867.603928326184,0.570864213182925,0.438435921353315,0.000781287523244904,0.0454523869097815
"LOC111104259",53.2775618005299,0.0820840628450808,0.294566538245976,0.154264886906163,0.67278064389845
"LOC111114340",5.59348185637326,0.0501622453789439,0.239574644288394,0.35384303040766,0.857553119822515
"LOC111134965",944.678127018394,0.225384138772719,0.165695632686413,0.0234482494178045,0.307655141551286
"LOC111111519",7780.71020695678,0.131789635717564,0.133860320968223,0.169527487586143,0.692074869794693
"LOC111113087",3.28467545608999,-0.0376120945565773,0.277137829508766,0.385974720711873,0.875430672414963
"LOC111136780",917.847487215318,-0.133887301788066,0.126557254006182,0.158254917251134,0.676493411020163
"LOC111136794",570.914919216326,-0.0445941784374495,0.179859392717658,0.567431894224814,0.937381655402975
"LOC111118408",797.968478054014,-0.184563399848329,0.259532352049884,0.0414722351331136,0.401001415568832
"LOC111133372",1665.9530979184,-0.0723496326714306,0.123923205795898,0.442366669388856,0.895510795697875
"LOC111118838",128.777473226455,0.111549027503958,0.254889889031431,0.118990215702099,0.616213962233511
"LOC111118844",314.232011852546,0.125511759841108,0.16289333366453,0.175962915717119,0.70023145141237
"LOC111110627",14.5123647856039,0.100891940621825,0.291689021969626,0.117661761457856,0.613818181330537
"LOC111137104",4587.92571157547,-0.0491001942355669,0.126177562506323,0.603734669453009,0.947147279959104
"LOC111105880",2049.97977465154,-0.051140532338203,0.157498138938854,0.575702315160888,0.939310826304963
"LOC111102585",86.3045897709234,0.00840666113620539,0.236723346044194,0.849226359806394,0.996010546032761
"LOC111099747",109.746380323153,-0.0893430681077147,0.164784406348618,0.319861091070065,0.833613443443569
"LOC111128995",53.1552627786799,-0.00397549673377273,0.227034898093472,0.932644584967007,1
"LOC111124195",0.23418357629236,0,0.571811750018918,1,1
"LOC111129046",0,0,1.82264259269376,NA,NA
"LOC111129066",11.0460990550237,0.12046944794006,0.431549712972993,0.0603799842688787,0.475434340273305
"LOC111124462",1.34739847244612,-0.0741643617044423,0.391076502100513,0.129525128665885,0.634965292407197
"LOC111115406",613.912735068101,0.000995792513062112,0.207398415183276,0.985734370611767,1
"LOC111135942",44.5110482303009,-0.0656760240227951,0.198160565874246,0.356270545648229,0.858776944807672
"LOC111135933",0,0,1.82264259269376,NA,NA
"LOC111114441",2.97532412972194,0.0468996581873844,0.333146940905444,0.259887806170539,0.786899466895381
"LOC111114430",251.393690227176,0.0416449313608204,0.261625248474782,0.376193436626079,0.87052144790202
"LOC111111547",60.6915633524099,-0.172885332268013,0.517240543750306,0.0303684732533399,0.34949515179268
"LOC111103592",33.9701013068023,-0.19718775393424,0.572874902672647,0.0231458578970877,0.305343320443782
"LOC111129108",0.147967168118972,0,0.65558911110016,1,NA
"LOC111129120",41.5449507930406,0.438125399325218,0.834786353770984,0.00499430980367905,0.138604649484236
"LOC111135210",1189.2686480252,0.0588407684644671,0.175882804151499,0.472435205012153,0.907094160908852
"LOC111113958",301.867826009591,0.0432728468048422,0.208867919657489,0.480982249770843,0.909890147838293
"LOC111103230",664.427788445405,0.0661783236001674,0.165529879890263,0.452964188570264,0.89920960432421
"LOC111101640",378.97861083292,0.156310149556694,0.215461767770188,0.0734253625059087,0.51455425597361
"LOC111103171",62.4525081000552,0.0267249368527869,0.256963613818212,0.535494283708272,0.926793541157496
"LOC111103163",1.44571910165879,-0.029052675747106,0.319320015122136,0.425857124496635,0.890814305026798
"LOC111103177",5.96514786716038,-0.0135107818018353,0.219785180969407,0.789788064393874,0.988957094197178
"LOC111115024",0.50521481674129,0.0035049666331196,0.4184887478094,0.914859230633822,1
"LOC111115591",5.57688199365974,0.0507961456306894,0.325420434772361,NA,NA
"LOC111119406",665.711497900057,-0.0303529232792768,0.193784782651184,0.649589571561609,0.959939165030344
"LOC111102439",50.9806324835983,-0.0299660928228172,0.203510426644858,0.623444789260202,0.953005675023866
"LOC111102448",4865.09973641191,-0.152051436722258,0.157036649223167,0.111112801008838,0.602457765137316
"LOC111129274",17.8682356236104,0.0133686328741322,0.210683535075075,0.807059720940057,0.991452690117716
"LOC111113346",1201.53358676416,-0.0477376143330092,0.16227709712295,0.59210137910716,0.944232211603631
"LOC111100652",2616.3428715465,-0.0808741594752205,0.10642642967642,0.359106787599932,0.861510499398396
"LOC111134791",1031.04022680056,-0.380659968749052,0.177550164432289,0.000446228207412221,0.0315069888663233
"LOC111128971",2450.61783393737,0.0149968342563671,0.144730854278683,0.874323279763528,0.999738922916535
"LOC111104153",1643.58455956395,-0.0921021142270079,0.111162141084546,0.307293929839852,0.826188927992344
"LOC111134573",470.137808240594,0.169371490045921,0.164196803353246,0.0764498266662246,0.523627257230642
