"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111107221",5.76896009338388,19.5692943037393,3.7820038893949,4.90990883320067,9.11187442514162e-07,0.000615139137874224,0,0,0,0,9.25033578769282,0,63.6510857963291,0,6.57730553001454,0,0,0,0,0,0,0,0,0,0,10.9274493608788,0,0,0,0,0,20.0616584167275,0,0,0,0,0,0,0,0,1.99844348897375,3.5020809231794,0,0,22.5652021038836,0,0,0,76.91706317591,0,0,0,15.1020239773017,0,0,1.3579180251617,0,0,31.2186973730623,0,0,0,1.64971143789195,0,11.6398909859229,0,0,0,0,0,0,0,2.32891606735765,0,0,0,30.7244150321434,0,6.94119831079388,0,2.05974072769038,28.6385988053215,7.74192765506807,0,0,0,0,0,94.2204431783087,0,0,93.2081426184712,0,0,0,0,0,0,0,0,"CC vs. CW","CW"
"LOC111119985",27.6189534284681,-15.6029716965715,3.42807361976663,-4.25981857926541,2.04592898120574e-05,0.0107197517739146,0,0,42.5133021474643,0,0,67.0060202858245,202.764799083151,84.8385831976889,0,0,0,0,0,49.8234762551728,0,174.196159046738,63.1457816224675,0,1.75923260621086,0,153.668166978757,0,0,0,0,0,207.877526439982,0,0,226.434227636048,0,0,0,0,0,0,1.50749483699548,250.247156074353,0,0,0,0,15.5781393773995,0,75.6823313945513,0,0,0,0,0,0,0,0,69.2851595588582,0,75.206281712222,92.3838405219489,29.9368447216256,0,0,0,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0.686580242563462,0,7.74192765506807,0,0,0,285.634331778099,0,0,61.1873453880387,1.0840263118318,137.359368069326,0,0,0,173.087726023759,0,0,40.8879611751408,0,"CC vs. CW","CC"
"LOC111114190",23.9366629397085,-38.3528563311507,5.81417381322082,-6.4244478288926,1.32349041394512e-10,1.65932610648369e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995406623124216,0,0,0,0,0,312.696828393486,250.917916591523,0,0,0,0,0,0,4.37554063064826,0,276.518510135254,0,0,0,0,175.623148509973,0,0,0,0,0,0,0,0,1.8498644343631,0,0,322.02209908544,0,68.2154565848585,0,0,0,426.164507757974,0,0,0,0,114.423199316805,0,0,0,12.0633683591512,3.84816711111446,0,0,0,0,0,0,0,0,132.578485707122,0,0,8.84791732007779,0,0,0,0,0,0,0,0,0,0,0,138.905899771685,0,0,0,0,0,"CC vs. CW","CC"
"LOC111112854",37.1828509125764,22.7340439634577,3.07110492886964,7.07694607212822,1.4736584599705e-12,2.19822333058763e-09,130.316575902629,0,0,15.6609696345287,0,0,3.93718056472139,0,6.57730553001454,0,239.565872114525,0,0,0,0,0,2.14053497025314,0,0,513.590119961305,0,0,300.26160730199,229.090010061257,0,4.7203902157006,0,6.2664679687681,0,4.37554063064826,0,231.001059907229,0,0,169.867696562769,15.7593641543073,0,0,0,0,0,0,1.94726742217494,0,0,0,0,0,0,0,0,0,0,1.84760425490288,0,5.93733802991226,0,3.52198173195595,0,0,75.7359013504913,0,0,386.027787492837,26.9371697778013,0,0,326.541869049591,43.5140979347224,0,0,181.723551120367,13.8823966215878,0,0,124.10059482306,204.608088026799,0,0,168.904171487749,26.5021544948752,1.34625730222186,0,0,0,0,14.9265446974679,0,0,0,0,2.2165259217932,11.835988761225,0,"CC vs. CW","CW"
"LOC111099906",5.29911945554826,18.0751921352415,3.29524844860675,5.18176167944514,2.19799944815557e-07,0.000167740805711959,0,0,0,0,1.1562919734616,0,0,0,0,0,0,6.3775814667557,7.37926880176248,249.117381275864,0,0,0,0,0,0,0,0,0,0,0,1.18009755392515,0,0,0,10.9388515766207,2.10644652824363,0,0,0,0,0,0,0,0,0,0,2.11830606368173,0.973633711087469,0,0,0,5.03400799243391,8.15495412583803,0,19.0108523522638,0,0,0,1.84760425490288,0,0.98955633831871,0,0,0,0,1.08194144786416,0,0.902495440111749,7.03696487617151,0,13.3025584299594,0,0,0,0,0,0,0,0,22.6571480045942,0,0,63.0887727817714,20.3605564065948,0,0,0,0,0,8.67221049465437,0,28.6092106701468,0,0,0,13.8040103327152,2.2165259217932,0,0,"CC vs. CW","CW"
"LOC111119065",6.99719232315441,22.110634606861,3.02862522963113,6.97036873374795,3.16111351481334e-12,4.26811115144316e-09,2.81258796912149,0,0,0,0,0,0,0,0,4.95438527281718,0,12.7551629335114,0,0,0,0,0,3.00308887003107,0,0,0.925711849269618,0,0,111.681379904863,0,0,0,4.17764531251207,0,0,1.05322326412181,0,0,0,0,0,0,0,2.14906686703653,0,0,0,0,0,0,0,0,8.15495412583803,0,0,182.607529934852,0,0,0,0,0,0,1.76099086597798,0,0,0,0,0,2.01056139319186,0,0,0,0,4.24527784728999,5.66727112240177,2.88041390926344,0,0,239.002032057057,0,0,0,2.03512170263779,1.77048316579085,0,1.96312255517594,2.69251460444373,6.01407084116864,0,2.16805262366359,0,0,2.00659232465115,0,0,0,8.86610368717282,0,40.3787333726539,"CC vs. CW","CW"
"LOC111118279",16.5314604877494,-19.0321370522491,2.46109152978855,-7.32688599102951,2.35562053246658e-13,4.59411437734664e-10,0,0,10.3921405249357,16.5310235031136,0,7.05326529324469,0.656196760786898,0,0,0,18.1948763631285,0,2.10836251478928,0,0,9.95406623124216,4.28106994050627,0,23.7496401838466,8.19558702065912,0,2.84269843994078,0,0,16.6804833512042,0,0,0,0,10.9388515766207,0,1128.83276565503,0,0,0,5.25312138476909,0,6.2302196533034,19.3416018033288,0,0,0,2.92090113326241,0,0.734779916451954,0,0,19.8048885913209,0,12.9002212390362,0,0,45.0936739833123,30.4854702058976,0,1.97911267663742,6.59884575156778,0,0,0,2.16388289572832,0,0,0,0,0,2.32891606735765,2.12730859315695,4.24527784728999,0,0.96013796975448,0,0,0,0,0,0,0,61.9669108026798,2.26717008708388,0,0,12.0281416823373,0,0,0,0,0,0,0,40.2616968037525,0,3.22799693487954,10.6259824664879,"CC vs. CW","CC"
"LOC111127083",25.8073178407797,-17.2716746548425,2.89750845955135,-5.6157470744234,1.95714771448849e-08,1.90849084769773e-05,1.87505864608099,0.994299817330973,0,0,0,1.17554421554078,0,1.0346168682645,0,0,0,1.06293024445928,1.05418125739464,0,0,0,0,0,1.75923260621086,0,0,0,0,0,1.11203222341361,0.590048776962575,1.11762110989238,0,0,1.09388515766207,0,1.13793625570063,2.80103381807089,0,0,0,0,7.26858959552063,286.900426749377,0,0,0,472.212349877422,0,0,0,0,0,0,1.3579180251617,0,0,0,0,0,0,0,0,0,0,0,1.25789615285113,0,0,0,0,1.16445803367882,749.876279087824,0,0.708408890300221,0,10.9307399170145,0,0,0,0,0,0,7.08193266316341,217.648328360052,645.867320652885,0,0,0,0,0,1.24387872478899,0,0,0,2.30066838878586,1.1082629608966,2.15199795658636,0,"CC vs. CW","CC"
"LOC111123832",50.7645578672188,19.4017712431011,3.72830834741596,4.93568919959508,7.98682107173396e-07,0.000560754707446441,0,0,155.882107874036,1.74010773716986,168.818628125394,5.8777210777039,187.672273585053,0,0,0,0,883.295033145664,0,0,0,1.99081324624843,0,2.2523166525233,0,0,0,0,0,0,0,0,6.70572665935426,0,0,5.46942578831033,8.42578611297451,0,0,8.91212589257802,0.999221744486874,0.875520230794849,0,0,0,0,0,3.17745909552259,549.129413053333,0,0,0,2.01360319697357,0,0,0,226.685209574299,0,0,0,0,37.603140856111,0,0,557.65659541649,0,2.16388289572832,0,0,0,0,119.723025869635,0,0,0,0,611.607886733604,0,212.284981671779,0,1.37316048512692,0,276.497416252431,0,0,0,0,0,0,0,0,0,0,0,0,0,722.40987407876,0,0,10.6259824664879,"CC vs. CW","CW"
"LOC111123549",106.478509371917,8.59027802867213,1.70948947429242,4.44008468189829,8.99234865822679e-06,0.00493244374448518,0.937529323040497,36.789093241246,93.5292647244214,32.1919931376424,144.5364966827,8.22880950878547,1.3123935215738,76.5616482515729,3.28865276500727,0.990877054563437,6.0649587877095,390.095399716557,33.7338002366285,0,0,0,6.42160491075941,222.979348599807,5.27769781863257,0,1.85142369853924,14.2134921997039,6.299194558783,4.77270854294286,6.67219334048168,2.3601951078503,56.9986766045112,2.08882265625603,0,27.3471289415516,475.003692118938,0,0,2435.23840014694,356.722162781814,125.199393003663,0,0,1.07453343351827,1.69796295158921,5.1114335060041,116.506833502495,55.4971215319857,0.774260480490804,0.734779916451954,6.47452552027085,422.856671364449,83.8795281514769,2.03811455117367,0,1198.49309876782,0,0,2.77140638235433,2.86657740644377,162.287239484268,379.433630715147,0.880495432988988,55.0249392061812,5.81812877882061,1.08194144786416,0,0,1.00528069659593,4.81020888889308,76.9648023447651,2.32891606735765,5.31827148289237,100.825348873137,2.12522667090066,864.124172779032,0,256.245904306807,2.70568338177801,1.37316048512692,118.645623622046,51.981514255457,0,8.85241582895426,0,1.96312255517594,10.7700584177749,6.01407084116864,20.0913671423411,394.585577506774,0,29.8530893949357,7.02307313627901,4.59953310502268,0,256.524525349623,0,13.9879867178113,683.25067259517,"CC vs. CW","CW"
