"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105495",3.17489917970225,-33.2639703422991,6.59003872953178,-4.89586960964514,9.78719481321787e-07,0.000404211145785898,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05881386457687,0,0,0,0,0,5.46372468043942,0,0,0,0,0,0,0,0,1.01314339727531,0,0,4.55174502280254,0,0,0,0,0,0,0,0,0,0,127.546016152458,0,0,0,0,0,0,8.14750815097022,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0,0,0,0,7.08193266316341,0,0,0,0,11.8721714932015,0,0,4.97551489915596,0,0,0,0,110.82629608966,0,0,"CB vs. HB","CB"
"LOC111136853",88.4529321797491,-7.64149997370302,1.52082726419158,-4.36703110871267,1.25946794812608e-05,0.00460558565822563,2.81258796912149,216.757360178152,22.6737611453143,5.22032321150957,4.62516789384641,10.579897939867,1779.60561525407,9.31155181438049,0,40.6259592371009,6.0649587877095,0,7.37926880176248,45.2940693228843,71.5504891634673,0.995406623124216,7.49187239588597,0.750772217507766,0.879616303105429,333.287205506804,205.508030537855,1.42134921997039,4.19946303918866,6.68179196012001,0,2.95024388481287,8.94096887913901,133.684650000386,81.0514717820246,1.09388515766207,3.15966979236544,0,822.570264573485,18.9382675217283,274.78597973389,3.5020809231794,0,0,11.8198677687009,4.24490737897302,2.04457340240164,0,1434.16245643184,638.764896404913,0,1.8498644343631,8.05441278789426,0,1.01905727558684,12.2212622264553,0,0,5.7812402542708,45.2663042451207,164.350437969443,0,1.64971143789195,0.880495432988988,308.986197080864,587.631006660881,4.32776579145664,12.5789615285113,0.902495440111749,1.00528069659593,0,0.9501827449971,15.1379544378247,0,5.30659730911249,9.91772446420309,14.4020695463172,20.4951373444022,2.31373277026463,0,2.74632097025385,12.2736852022806,4.4239586600389,434.498483513168,0.885241582895426,3.40075513062581,308.210241162623,0.673128651110932,15.0351771029216,0,4.33610524732718,9.81138343352329,3.73163617436697,16.0527385972092,0,0,6.90200516635758,17.7322073743456,2.15199795658636,21.2519649329757,"CB vs. HB","CB"
"LOC111105578",14.9071188951812,22.3841667092973,3.09097049268233,6.9182694431807,4.57194107048161e-12,5.94437004737989e-09,5.62517593824298,0,9.44740047721428,0,6.93775184076961,0,0,0,0,0,0,49.9577214895863,0,4.52940693228843,0,0,0,1.50154443501553,0,3.64248312029294,0,0,2.09973151959433,12.4090422116514,28.9128378087539,0,287.228625242341,0,0,0,10.5322326412181,0,0,2.22803147314451,0,0,2.26124225549322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93937625960687,0,0,0,2.01056139319186,161.623018666808,3.8007309799884,0,4.25461718631389,4.24527784728999,2.83363556120088,0,0,0,0,0,2.72748560050681,14.3778656451264,0,569.210337801759,0,0,0,195.457302337981,0,0,0,0,7.02307313627901,0,0,2.30066838878586,0,2.15199795658636,0,"CB vs. HB","HB"
"LOC111109234",174.938303150981,5.31409637448828,0.834676879323583,5.16858257531273,2.35876066820943e-07,0.000108953017444068,20.6256451068909,54.6864899532035,52.9054426724,38.2823702177369,47.4079709119257,4.70217686216312,55.7767246668863,20.69233736529,35.0789628267442,9.90877054563437,60.649587877095,27.6361863559414,46.3839753253642,27.1764415937306,13.2500905858273,1679.25097321055,33.1782920389236,48.8001941380048,23.7496401838466,32.7823480826365,22.2170843824708,42.6404765991117,6.299194558783,39.1362100521315,192.381574650555,59.59492647322,56.9986766045112,43.8652757813767,32.4205887128098,26.2532437838896,72.6724052244051,35.2760239267197,52.28596460399,611.594639378167,28.9774305901194,66.5395375404085,19.5974328809412,51.9184971108616,32.236003005548,20.3755554190705,47.0251882552377,96.3829258975187,56.4707552430732,26.3248563366873,30.8607564909821,13.8739832577233,66.4489055001277,9994.47877793778,40.7622910234735,42.0954587800128,51.4239595793548,55.8714217173558,50.8749142375831,23.0950531862861,42.0431352945086,61.35249297576,339.840556205741,31.6978355876036,19.0470943406012,62.0600403074198,38.9498921231098,30.1895076684271,37.9048084846935,38.2006664706453,30.7853368889157,25.6549341149217,39.59157314508,2.12730859315695,41.3914590110774,20.5438578187064,23.0433112741075,28.6931922821631,52.0589873309541,41.4871451872628,46.6874564943154,38.1847984070953,27.6497416252431,51.8956034172636,12.393382160536,21.5381158272968,56.9305541001023,12.7894443711077,20.0469028038955,26.4840748694496,112.738736430507,22.8932280115543,24.8775744957798,35.115365681395,60.7138369862994,0,150.693779465474,6.64957776537961,27.9759734356226,239.084605495977,"CB vs. HB","HB"
"LOC111109253",15.388781276285,22.0221175285317,2.1346256508631,9.84815183872252,6.9815927301436e-23,4.90177625583382e-19,0,0,3.77896019088571,0.870053868584929,0,0,8.53055789022967,0,0,0,0,47.8318610006678,2.10836251478928,9.05881386457687,0,0,0,1.50154443501553,0,2.73186234021971,0,0.710674609985194,12.598389117566,3.81816683435429,34.472998925822,0,184.407483132242,0,0,0,5.26611632060907,0,0,0,0,0,3.01498967399096,0,0,1.69796295158921,2.04457340240164,15.887295477613,0,2.32278144147241,4.40867949871173,1.8498644343631,0,2.32998689309658,0,1.3579180251617,138.529850295405,0,0,0,0.955525802147924,0,0,0,0,0,161.20927573176,0,0,6.03168417957558,147.192392000128,0,0,0,14.858472465515,0.708408890300221,6.72096578828136,58.0695558091397,0,2.70568338177801,0,17.7286564032942,2.21197933001945,0,293.900205521281,2.26717008708388,9.81561277587971,1.34625730222186,185.433850936033,0,0,0.817615286126941,7.46327234873394,5.01648081162786,5.51943972602722,0,11.5033419439293,1.1082629608966,6.45599386975907,6.37558947989272,"CB vs. HB","HB"
"LOC111101347",30.4298755561245,-23.1122078395071,3.98938064129376,-5.54276711793941,2.97728720806341e-08,1.60796411444717e-05,0,1.98859963466195,1.88948009544286,0,0,0,0,0,0,0,311.334551102421,0,0,0,0,0.995406623124216,0,0,0,5.46372468043942,0,0,38.8450331124952,0,0,0,0,0,0,0,0,291.311681459362,0,2.22803147314451,253.802323099666,0,6.02997934798191,0,0,0,0,0,0,24.0020748952149,3.67389958225977,0,0,0,0,0,0,0,0,3.69520850980577,0,0,0,0,0,0,90.8830816205895,0,105.591966493075,16.0844911455349,0,0,0,1.06365429657847,0,0,0,519.893317303004,0,0,0,17.7286564032942,1.10598966500972,0,920.651246211243,230.117763839013,0,0,12.0281416823373,0,0,0,0,0,0,0,0,0,0,0,"CB vs. HB","CB"
"LOC111103058",6.37647171906931,21.9021379411461,2.79990981858378,7.46528970412289,8.31165374631585e-14,1.71635649861422e-10,1.87505864608099,0,0,0,9.25033578769282,0,0,0,0,0,1.01082646461825,2.12586048891857,0,0,0,1.99081324624843,0,1.50154443501553,0,1.82124156014647,0,0,9.4487918381745,0,3.33609667024084,0,137.467396516762,0,0,0,7.37256284885269,0,0,0,0,0,0,0,0,0,0,0,0,6.19408384392643,0,0,0,2.32998689309658,0,0,0,0,0,1.84760425490288,2.86657740644377,0,0,0,0,0,0,0,0.902495440111749,0,79.8494675556252,15.2029239199536,0,0,0,1.41681778060044,0,1.36634248962682,1.73529957769847,0,0,1.3637428002534,17.6958346401556,0,173.507350247503,2.26717008708388,0,0,101.236859159672,0,0,4.0880764306347,0,4.01318464930229,0,0,0,0,4.30399591317271,0,"CB vs. HB","HB"
"LOC111118967",5.48803296035819,-17.8666681067954,3.19347205526469,-5.28160817283161,1.28054838462479e-07,6.07481770841262e-05,0,0,197.450669973779,0,0,0,0,24.830804838348,0,5.94526232738062,0,18.0698141558078,4.21672502957856,0,0,0,20.3350822174048,0.750772217507766,0,1.82124156014647,0.925711849269618,0,0,24.8180844233029,0,0,0,0,0,0,0,0,0,6.68409441943352,1.99844348897375,5.25312138476909,0,0,0,0,0,0,0.973633711087469,20.1307724927609,0,3.6997288687262,0,0,0,0,0,0,0,0,1.91105160429585,0,0,0,0,0,6.49164868718497,2.51579230570226,0,0,0,0,13.9734964041459,0,0,0,0,0,0,0,5.49264194050769,0,86.2671938707585,0,49.5735286421438,0,0,0,2.00469028038955,0,0,0,0,0,5.51943972602722,4.22165185423803,0,0,0,0,"CB vs. HB","CB"
"LOC111122181",11.1209209731689,19.7005105783355,3.6575405175059,5.1128649125909,3.17309219354664e-07,0.000141001773992981,0,0,412.851400854264,0,0,0,0,0,0,0,0,4.25172097783713,12.6501750887357,0,1.32500905858273,0,25.6864196430376,6.00617774006213,0,20.0336571616112,0,0,0,104.999587944743,0,22.4218535245778,0,0,0,0,38.9692607725071,0,0,0,0,0,18.8436854624435,0,0,0,0,0,0,20.1307724927609,0,1.8498644343631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8612533333585,0,60.5518177512988,0,0,0,0,0,0,5.41136676355601,21.9705677620308,0,44.239586600389,0,121.278096856673,0,0,0,8.01876112155818,0,0,0,0,0,1.83981324200907,0,0,0,38.7359632185544,24.4397596729221,"CB vs. HB","HB"
"LOC111118306",6.78932992107511,-16.7510184905378,3.67384592970807,-4.28733779039814,1.80827212142407e-05,0.00628508839827643,0,0,80.3029040563214,0,0,4.70217686216312,0,0,0,0,0,0,11.595993831341,0,0,0,7.49187239588597,4.5046333050466,0,0,0,0,2.09973151959433,41.9998351778972,0,373.50087581731,0,0,0,0,0,0,0,0,0,0,0,0,3.2236003005548,0,0,0,0,2.32278144147241,0,0,0,0,0,0.678959012580851,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,1.8049908802235,0,0,0,9.31566426943058,0,0,4.25045334180132,0,0,0,0,8.23896291076154,0,36.4976589453209,0,25.6720059039673,0,0,0.673128651110932,8.01876112155818,1.82648792203101,0,0,0,4.01318464930229,0,0,0,2.2165259217932,0,0,"CB vs. HB","CB"
"LOC111121464",4.02558932192442,19.0478640524803,3.39840430986404,5.31068772485234,1.09212323741669e-07,5.26234518351844e-05,0,0,0,0.870053868584929,0,0,0,24.830804838348,0,0,0,0,0,0,0,0,0,0.750772217507766,0,0,0,0,245.668587792537,0,3.33609667024084,0,0,0,0,0,9.47900937709632,0,0,0,0,0,0,0,0,0,1.02228670120082,0,0,54.1982336343563,0,0,0,2.32998689309658,8.15245820469469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9003654899942,0,0,1.0613194618225,0,0,5.46536995850727,2.89216596283078,0,0,4.09122840076021,1.10598966500972,0,0,0,0,0,0,0,2.16805262366359,0,2.48775744957798,0,0,0,1.15033419439293,2.2165259217932,3.22799693487954,0,"CB vs. HB","HB"
"LOC111121445",26.0636327086341,49.0361131290308,4.9885069493432,9.62935676281966,6.01045339123213e-22,3.51661610498673e-18,0,0,0,0,0,17.6331632331117,0,73.4577976467794,0,0,0,0,0,0,0,26.8759788243538,207.631892114554,0,0,0,0,0,0,0,0,0,36.8814966264484,0,34.4468755073605,0,2.10644652824363,0,0,0,0,0,0,17.652289017693,0,0,0,182.174321476629,0,0,0,17.5737121264495,0,0,0,0,0,0,0,0,0,29.6866901495613,204.564218298601,0,0,0,375.433682408864,0,0,0,0,0,0,0,274.881740612027,0,18.2426214253351,0,0,0,0,0,13.2718759801167,0,0,276.594750624233,30.4283996052271,0,0,294.064555446992,0,44.1512254508548,0,0,0,0,0,0,272.227741508174,0,"CB vs. HB","HB"
