"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105495",3.17489917970225,29.8992772428674,6.92670489221455,4.17215367083842,3.01734018311209e-05,0.00566437043466042,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05881386457687,0,0,0,0,0,5.46372468043942,0,0,0,0,0,0,0,0,1.01314339727531,0,0,4.55174502280254,0,0,0,0,0,0,0,0,0,0,127.546016152458,0,0,0,0,0,0,8.14750815097022,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0,0,0,0,7.08193266316341,0,0,0,0,11.8721714932015,0,0,4.97551489915596,0,0,0,0,110.82629608966,0,0,"HH vs. HC","HC"
"LOC111122352",2.1832548498635,19.3948325290143,3.23055410937156,5.69401777721429,1.24084156170889e-08,4.14854695464673e-06,0,0,0.944740047721428,0,0,0,0,0,0,0,0,0,3.16254377218392,0,0,0,0,0,0,30.0504857424168,0,1.42134921997039,0,0,0,0,0,0,2.02628679455062,0,2.10644652824363,0,0,0,0,0,0,0,0,0,0,0,1.94726742217494,0,0,0,0,8.15495412583803,2.03811455117367,6.11063111322766,0,24.7123596057535,1.15624805085416,0,0,1.97911267663742,0,2.64148629896696,0,0,0,0,0,1.00528069659593,1.92408355555723,0,4.65783213471529,0,2.122638923645,0,0,0,0,0,0.686580242563462,0,0,0,92.9503662040197,0,0,0,0,0,2.16805262366359,0,0,7.02307313627901,0,2.11082592711901,0,0,0,2.12519649329757,"HH vs. HC","HC"
"LOC111123472",227.831737407038,25.3556938896892,5.54722630231684,4.39060758698755,1.13034370380779e-05,0.00224184834588546,0,0,2166.28892942523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910620780073236,0,0,2.09973151959433,2908.48858606938,0,0,0,2997.46051172741,0,0,2.10644652824363,1.13793625570063,0,0,0.999221744486874,0,2869.51642222089,0,0,0,0,0,0,2462.92258844125,0,0,0,0,0,1869.17416163508,0,0,1815.30943984103,0,0,0,0,0,0,0,0,0,0,0,0,0.9501827449971,0,0,2.122638923645,0,0,2408.17863796726,0,4.50947230296334,0,0,0,0,0,0,0,0.673128651110932,0,455.708736546736,0,0,603.28118152266,0,0,842.219544920487,0,0,0,2.12519649329757,"HH vs. HC","HC"
"LOC111120951",33.0076841272047,22.4262565701055,2.09007945228495,10.2514076901151,1.16632398062355e-24,4.09438033397898e-21,133.129163871751,0,16.0605808112643,0,9.25033578769282,0,0,0,46.0411387101018,0,119.277522824953,0,0,0,0,40.8116715480928,6.42160491075941,266.524137215257,0,98.3470442479095,16.6628132868531,0,283.463755145235,33.4089598006,0,0,0,9.39970195315215,0,1.09388515766207,4.21289305648725,578.071617895922,0,26.7363776777341,144.887152950597,0,17.336190625448,17.652289017693,0,2.54694442738381,22.490307426418,6.35491819104519,2.92090113326241,4.64556288294482,41.8824552377614,0,0,85.0445215980252,5.09528637793418,1.3579180251617,10.4946856284398,0,0,16.628438294126,0,20.7806831046929,1.64971143789195,19.3708995257577,0,0,125.505207952243,0,0,161.850192151945,7.69633422222893,41.8080407798724,0,12.7638515589417,230.306323215482,0,0.96013796975448,129.802536514548,26.0294936654771,9.01894460592669,0.686580242563462,2.72748560050681,38.7096382753403,2.03512170263779,129.245271102732,14.7366055660452,0.981561277587971,18.1744735799952,29.0680090656484,0,1.0840263118318,0,2.48775744957798,2.00659232465115,2.75971986301361,0,1.15033419439293,0,1.07599897829318,0,"HH vs. HC","HC"
"LOC111110995",632.880542664976,-7.44783022676037,1.48823545109373,-4.33253368747651,1.47403099852939e-05,0.00285888719355659,10.3128225534455,0,52.9054426724,33.0620470062273,16.1880876284624,2603.83043742283,114.17823637692,83.8039663294244,21.9243517667151,3.96350821825375,30.3247939385475,3.18879073337785,1.05418125739464,4.52940693228843,10.6000724686618,2875.72973420586,3522.25029355153,7.50772217507766,2.63884890931629,66.4753169453462,8.33140664342656,6.39607148986675,3614.68781098164,3200.57834889748,3.33609667024084,2664.07022798602,2830.93427135739,13.5773472656642,9.11829057547777,19.6899328379172,2279.1751435596,20.4828526026114,83.0973366027698,71.2970071406242,23.981321867685,12.2572832311279,3422.76702739823,3411.04526018361,46.2049376412854,31.4123146044003,16.3565872192131,2.11830606368173,12.6572382441371,0.774260480490804,26.4520769922704,9.24932217181551,3533.87361068861,37.2797902895453,4730.46387327409,8.82646716355107,20.9893712568795,108.519492181787,20.8124649153749,10.1618234019659,1905.31844948296,2657.94832472406,31.344517319947,5.28297259793393,79.3628930858383,3803.11684508907,115.767734921465,44.0263653497896,2615.43178544385,8.04224557276744,3477.7810266697,57.9611474448231,6.98674820207294,7.44558007604931,19.103750312805,3.5420444515011,0,7.51488369294749,17.3529957769847,5.41136676355601,4.80606169794423,4.09122840076021,15.4838553101361,4.07024340527558,9.73765741184968,1.13358504354194,10.7971740534677,25.5788887422154,1.00234514019477,31.9635386355426,34.6888419786175,26.1636891560621,13.6826659726789,4.01318464930229,6.43934634703176,15.8311944533926,62.1180464972182,9.97436664806942,2737.34140077785,1827.66898423591,"HH vs. HC","HH"
"LOC111125092",4.38886990330183,-18.2324154044748,3.14682847371476,-5.47612160892023,4.34748970512924e-08,1.3156778111945e-05,3.75011729216199,0,0,0,0,1.17554421554078,0,0,0,0,1.01082646461825,1.06293024445928,0,0,1.32500905858273,0,3.2108024553797,1.50154443501553,0,3.64248312029294,0,11.3707937597631,0,48.6816271380172,0,34.2228290638293,0,1.04441132812802,0,0,0,0,0,0,0,0,24.8736648104254,0,0,0,0,0,2.92090113326241,0,0,0,37.251659144011,0,120.248758519247,0,0,0,0,0,0,0,0,0,0,4.84844064901717,2.16388289572832,0,1.8049908802235,0,3.84816711111446,0,0,0,0,0,0,0,0,0,0,5.45497120101362,0,0,0.885241582895426,2.26717008708388,0,0.673128651110932,0,0,4.33610524732718,0,4.97551489915596,0,0,0,1.15033419439293,0,82.8519213285748,0,"HH vs. HC","HH"
"LOC111100593",10.3395270635139,-20.5105821659105,2.3623376253704,-8.25901511975936,1.46879325242959e-16,1.9831533510208e-13,7.50023458432398,0,1.88948009544286,0,0,0,0,0,0,0,0,31.8879073337785,0,0,5.30003623433091,0,12.8432098215188,0,1.75923260621086,0,2.77713554780885,4.26404765991117,0,51.5452522637829,18.9045477980314,15.3412682010269,0,21.9326378906883,0,28.4410140992137,18.9580187541926,0,0,0,6.99455221140812,4.37760115397425,0,0,4.29813373407306,0,0,0,0,16.2594700903069,13.2260384961352,0,28.1904447576299,0,22.4192600629104,0,97.6005763444898,26.8612604410364,11.5624805085416,0,3.8221032085917,0,0,0,0,3.87875251921374,219.634113916425,2.51579230570226,28.879854083576,0,16.3547102222365,0,0,0,0,1.41681778060044,0,0,0,133.480380167715,2.74632097025385,24.5473704045613,6.63593799005834,2.03512170263779,9.73765741184968,39.6754765239678,3.92624511035188,0,12.0281416823373,0,0,0,0,0,0,3.16623889067852,2.30066838878586,0,0,0,"HH vs. HC","HH"
"LOC111113589",5.10078479960862,-19.8926832745989,2.83821864409969,-6.65652849327675,2.80370800176071e-11,1.49127529396681e-08,0,1.98859963466195,5.66844028632857,0,0,2.35108843108156,3.93718056472139,0,0,0,0,2.12586048891857,35.8421627514178,0,0,0,0,0,1.75923260621086,0,0,0,9.4487918381745,0,1.11203222341361,0,0,0,0,0,3.15966979236544,0,0,51.2447238823236,0.999221744486874,1.7510404615897,0,0,0,0,0,0,0,0,0,0,0,6.98996067928974,2.03811455117367,0,33.5829940110072,0,0,0,0,0,16.4971143789195,0,16.9307505249788,3.87875251921374,0,2.51579230570226,0,2.01056139319186,0,0,0,0,0,0,0,0,0,0,0,9.54619960177383,0,0,0,5.66792521770969,0,0,0,1.82648792203101,2.16805262366359,0.817615286126941,0,2.00659232465115,0,0,233.517841461765,0,2.15199795658636,15.9389736997318,"HH vs. HC","HH"
"LOC111099049",30.0410168856043,19.5170743753686,2.4994814719354,7.40836632848907,1.27864702102722e-13,1.06873580174192e-10,0,0,7.55792038177143,6.96043094867943,16.1880876284624,2.35108843108156,0,0,0,1.98175410912687,0,55.2723727118827,0,0,0,0,0,15.0154443501553,0,0,0,0,6.299194558783,7.63633366870858,156.796543501319,0,301.757699670942,0,0,0,23.1709118106799,0,1.86735587871393,0,0,7.00416184635879,6.02997934798191,0,0,0,0,10.5915303184086,2.92090113326241,26.3248563366873,0,0,2.01360319697357,0,6.11434365352102,0,0,58.0203225526387,6.93748830512496,0,0,0,6.59884575156778,0,0,0,2.16388289572832,5.03158461140452,0,22.1161753251105,468.514345778186,7.6014619599768,2.32891606735765,0,36.0848617019649,0,0,6.83171244813408,2.31373277026463,0,2.74632097025385,2.72748560050681,11.0598966500972,0,1041.04410148502,9.0686803483355,0,5.38502920888745,399.935710937714,0,0,0,0,4.01318464930229,0,0,9.20267355514344,2.2165259217932,19.3679816092772,28.6901526595172,"HH vs. HC","HC"
"LOC111137128",15.1189226939394,18.8545199709791,2.70016167074178,6.61238923744672,3.78166057429724e-11,1.95228227148095e-08,0.937529323040497,0,0,0,6.93775184076961,7.05326529324469,0,0,0,0,0,49.9577214895863,0,9.05881386457687,2.65001811716545,0,0,8.25849439258543,0,0,2.77713554780885,0,0,0,42.2572244897173,0,280.522898582986,0,0,0,14.7451256977054,1.13793625570063,0,0,1.99844348897375,0,0,0,0,0,0,0,0.973633711087469,3.87130240245402,0,0,4.02720639394713,0,4.07622910234735,5.43167210064681,0,25.786810023395,0,0,0,0,0,0,0,0,4.32776579145664,0,0,132.697051950663,77.9253840000679,1.9003654899942,1.16445803367882,0,15.9197919273375,0,0,3.41585622406704,0,5.41136676355601,1.37316048512692,0,8.84791732007779,0,351.440908409484,6.80151026125163,0,0,297.696506637848,0,0,3.27046114450776,0,2.00659232465115,4.59953310502268,0,1.15033419439293,0,6.45599386975907,22.3145631796245,"HH vs. HC","HC"
