"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111116296",466.599152051024,-9.90764651445932,2.03495463560926,-4.37731945399971,1.20147813305007e-05,0.00261974471184613,0,0,180.445349114793,1.74010773716986,0,0,19.02970606282,122.084790455211,0,0,0,246.599816714554,108.580669511648,0,0,43.7978914174655,0,36.0370664403728,1.75923260621086,7.28496624058589,0,0,10.4986575979717,0,37814.6557571799,0,131.8792909673,44.9096871095047,0,50.318717252455,510.813283099079,4.55174502280254,0,689.575740938224,9.99221744486874,28.89216761623,25.6274122289231,2.07673988443447,36.5341367396211,16.1306480400975,0,2.11830606368173,21.4199416439243,0,1.46955983290391,2.77479665154465,2.01360319697357,1116.06372179326,4.07622910234735,4.07375407548511,38.8303368252271,64.4670250584875,50.8749142375831,0,0,246.399528241359,1083.86041469501,12.3269360618458,27.5124696030906,0,1.08194144786416,37.7368845855339,5.41497264067049,6.03168417957558,0,30.4058478399072,11.6445803367882,0,40.3301395492549,0,59.5285541247778,4.09902746888045,2.89216596283078,0,2.74632097025385,139.101765625847,96.221100855846,4.07024340527558,43.3768375618759,0,1.96312255517594,10.7700584177749,58.1360181312968,5.47946376609302,301.359314689239,3.27046114450776,2.48775744957798,60.1977697395344,0,4.22165185423803,103.530077495364,0,0,2.12519649329757,"CC vs. HH","CC"
"LOC111122352",2.1832548498635,-16.4220604412433,3.31687428568209,-4.64957641229138,3.3261743821377e-06,0.000799762682773588,0,0,0.944740047721428,0,0,0,0,0,0,0,0,0,3.16254377218392,0,0,0,0,0,0,30.0504857424168,0,1.42134921997039,0,0,0,0,0,0,2.02628679455062,0,2.10644652824363,0,0,0,0,0,0,0,0,0,0,0,1.94726742217494,0,0,0,0,8.15495412583803,2.03811455117367,6.11063111322766,0,24.7123596057535,1.15624805085416,0,0,1.97911267663742,0,2.64148629896696,0,0,0,0,0,1.00528069659593,1.92408355555723,0,4.65783213471529,0,2.122638923645,0,0,0,0,0,0.686580242563462,0,0,0,92.9503662040197,0,0,0,0,0,2.16805262366359,0,0,7.02307313627901,0,2.11082592711901,0,0,0,2.12519649329757,"CC vs. HH","CC"
"LOC111123472",227.831737407038,-26.8665008837975,5.54716174255675,-4.66301544542225,3.1160935576663e-06,0.000759933487024099,0,0,2166.28892942523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910620780073236,0,0,2.09973151959433,2908.48858606938,0,0,0,2997.46051172741,0,0,2.10644652824363,1.13793625570063,0,0,0.999221744486874,0,2869.51642222089,0,0,0,0,0,0,2462.92258844125,0,0,0,0,0,1869.17416163508,0,0,1815.30943984103,0,0,0,0,0,0,0,0,0,0,0,0,0.9501827449971,0,0,2.122638923645,0,0,2408.17863796726,0,4.50947230296334,0,0,0,0,0,0,0,0.673128651110932,0,455.708736546736,0,0,603.28118152266,0,0,842.219544920487,0,0,0,2.12519649329757,"CC vs. HH","CC"
"LOC111120951",33.0076841272047,-18.9219014166011,2.10655283646192,-8.50769138394935,1.77430708665248e-17,3.89294064230846e-14,133.129163871751,0,16.0605808112643,0,9.25033578769282,0,0,0,46.0411387101018,0,119.277522824953,0,0,0,0,40.8116715480928,6.42160491075941,266.524137215257,0,98.3470442479095,16.6628132868531,0,283.463755145235,33.4089598006,0,0,0,9.39970195315215,0,1.09388515766207,4.21289305648725,578.071617895922,0,26.7363776777341,144.887152950597,0,17.336190625448,17.652289017693,0,2.54694442738381,22.490307426418,6.35491819104519,2.92090113326241,4.64556288294482,41.8824552377614,0,0,85.0445215980252,5.09528637793418,1.3579180251617,10.4946856284398,0,0,16.628438294126,0,20.7806831046929,1.64971143789195,19.3708995257577,0,0,125.505207952243,0,0,161.850192151945,7.69633422222893,41.8080407798724,0,12.7638515589417,230.306323215482,0,0.96013796975448,129.802536514548,26.0294936654771,9.01894460592669,0.686580242563462,2.72748560050681,38.7096382753403,2.03512170263779,129.245271102732,14.7366055660452,0.981561277587971,18.1744735799952,29.0680090656484,0,1.0840263118318,0,2.48775744957798,2.00659232465115,2.75971986301361,0,1.15033419439293,0,1.07599897829318,0,"CC vs. HH","CC"
"LOC111106287",5.57937339570866,-40.2425351786697,5.75649990088815,-6.81708257696923,9.29078670553229e-12,5.62332874651226e-09,0,0,0,0,0,0,0,0,0,0,0,0,1.05418125739464,0,0,0,0,0,0,135.682496230912,17.5885251361227,0,0,0,0,0,0,0,0,0,0,0,0,14.4822045754393,0,0,0,0,3.2236003005548,0,0,0,0,15.4852096098161,0,0,0,0,1.01905727558684,0,0,0,0,0,0,0,0,0,0,0,143.898212565933,0,0,0,0,0,0,0,0,0,0,63.534925767647,0,36.9776728842994,0,17.7286564032942,0,0,52.2292533908301,0,19.6312255517594,0,0,0,0,0.817615286126941,0,0,0,0,0,1.1082629608966,0,0,"CC vs. HH","CC"
"LOC111099049",30.0410168856043,-21.8332562059207,2.49099828681088,-8.36341651306099,6.09276462469741e-17,9.72211373409103e-14,0,0,7.55792038177143,6.96043094867943,16.1880876284624,2.35108843108156,0,0,0,1.98175410912687,0,55.2723727118827,0,0,0,0,0,15.0154443501553,0,0,0,0,6.299194558783,7.63633366870858,156.796543501319,0,301.757699670942,0,0,0,23.1709118106799,0,1.86735587871393,0,0,7.00416184635879,6.02997934798191,0,0,0,0,10.5915303184086,2.92090113326241,26.3248563366873,0,0,2.01360319697357,0,6.11434365352102,0,0,58.0203225526387,6.93748830512496,0,0,0,6.59884575156778,0,0,0,2.16388289572832,5.03158461140452,0,22.1161753251105,468.514345778186,7.6014619599768,2.32891606735765,0,36.0848617019649,0,0,6.83171244813408,2.31373277026463,0,2.74632097025385,2.72748560050681,11.0598966500972,0,1041.04410148502,9.0686803483355,0,5.38502920888745,399.935710937714,0,0,0,0,4.01318464930229,0,0,9.20267355514344,2.2165259217932,19.3679816092772,28.6901526595172,"CC vs. HH","CC"
"LOC111137128",15.1189226939394,-19.8861068413094,2.69127427669405,-7.01753329449166,2.25819360325475e-12,1.55438993024036e-09,0.937529323040497,0,0,0,6.93775184076961,7.05326529324469,0,0,0,0,0,49.9577214895863,0,9.05881386457687,2.65001811716545,0,0,8.25849439258543,0,0,2.77713554780885,0,0,0,42.2572244897173,0,280.522898582986,0,0,0,14.7451256977054,1.13793625570063,0,0,1.99844348897375,0,0,0,0,0,0,0,0.973633711087469,3.87130240245402,0,0,4.02720639394713,0,4.07622910234735,5.43167210064681,0,25.786810023395,0,0,0,0,0,0,0,0,4.32776579145664,0,0,132.697051950663,77.9253840000679,1.9003654899942,1.16445803367882,0,15.9197919273375,0,0,3.41585622406704,0,5.41136676355601,1.37316048512692,0,8.84791732007779,0,351.440908409484,6.80151026125163,0,0,297.696506637848,0,0,3.27046114450776,0,2.00659232465115,4.59953310502268,0,1.15033419439293,0,6.45599386975907,22.3145631796245,"CC vs. HH","CC"
"LOC111110147",18.6327429481398,-20.8627071454825,3.07466338963181,-6.46012412690842,1.04617133233717e-10,5.48146934652184e-08,0,0,9.44740047721428,2.61016160575479,0,0,0,0,0,0,0,203.019676691723,0,0,1.32500905858273,0,0,1.50154443501553,0,0,0,0,9.4487918381745,7.63633366870858,53.3775467238534,1.18009755392515,349.815407396314,0,0,0,4.21289305648725,0,0,2.22803147314451,0,5.25312138476909,1.50749483699548,0,0,0,0,0,0,3.09704192196322,0,0,0,11.6499344654829,0,1.3579180251617,0,0,0,0,0,0,9.89826862735167,5.28297259793393,0,0,0,0,0,0,168.357311111258,0,0,20.209431634991,16.98111138916,0,0,0,0,0,0.686580242563462,0,9.95390698508752,0,682.521260412373,0,0,6.73128651110932,146.342390468437,0,0,1.63523057225388,0,11.0362577855813,0,2.11082592711901,0,0,0,1.06259824664879,"CC vs. HH","CC"
"LOC111107221",5.76896009338388,19.4515728885799,3.95884246536961,4.66085050112171,3.14905400789014e-06,0.000762396834117126,0,0,0,0,9.25033578769282,0,63.6510857963291,0,6.57730553001454,0,0,0,0,0,0,0,0,0,0,10.9274493608788,0,0,0,0,0,20.0616584167275,0,0,0,0,0,0,0,0,1.99844348897375,3.5020809231794,0,0,22.5652021038836,0,0,0,76.91706317591,0,0,0,15.1020239773017,0,0,1.3579180251617,0,0,31.2186973730623,0,0,0,1.64971143789195,0,11.6398909859229,0,0,0,0,0,0,0,2.32891606735765,0,0,0,30.7244150321434,0,6.94119831079388,0,2.05974072769038,28.6385988053215,7.74192765506807,0,0,0,0,0,94.2204431783087,0,0,93.2081426184712,0,0,0,0,0,0,0,0,"CC vs. HH","HH"
"LOC111119985",27.6189534284681,-15.4283100391917,3.59539163993087,-4.01300094235885,5.99516739025308e-05,0.0121653382216667,0,0,42.5133021474643,0,0,67.0060202858245,202.764799083151,84.8385831976889,0,0,0,0,0,49.8234762551728,0,174.196159046738,63.1457816224675,0,1.75923260621086,0,153.668166978757,0,0,0,0,0,207.877526439982,0,0,226.434227636048,0,0,0,0,0,0,1.50749483699548,250.247156074353,0,0,0,0,15.5781393773995,0,75.6823313945513,0,0,0,0,0,0,0,0,69.2851595588582,0,75.206281712222,92.3838405219489,29.9368447216256,0,0,0,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0.686580242563462,0,7.74192765506807,0,0,0,285.634331778099,0,0,61.1873453880387,1.0840263118318,137.359368069326,0,0,0,173.087726023759,0,0,40.8879611751408,0,"CC vs. HH","CC"
"LOC111109699",11.9638968541716,-21.0157801500869,3.28593777880612,-6.09134484505036,1.11966069435343e-09,5.17180114148384e-07,0,3.97719926932389,8.50266042949285,6.96043094867943,1.1562919734616,0,80.0560048160015,0,0,0,0,35.0766980671564,46.3839753253642,0,0,0.995406623124216,0,33.7847497878495,0,0,0,0,0,0,130.107770139393,0,0,0,0,1.09388515766207,5.26611632060907,0,0,67.9549599309074,10.9914391893556,26.2656069238455,0,0,0,0,0,94.264619833837,52.5762203987233,0,0,0,9.06121438638104,0,0,0,18.8904341311916,0,0,0,0,0,23.0959601304872,0,0,0,0,0,0,0,0,24.7047513699246,0,0,37.1461811637874,0,6.72096578828136,0,14.4608298141539,0,0,210.016391239024,16.5898449751459,0,0,0,0,0,0,0,45.5291050969354,0,0,0,0,0,18.4053471102869,0,0,94.571243951742,"CC vs. HH","CC"
"LOC111099906",5.29911945554826,14.9841283829205,3.52872445035357,3.96294144801228,7.4031943343559e-05,0.014766428244748,0,0,0,0,1.1562919734616,0,0,0,0,0,0,6.3775814667557,7.37926880176248,249.117381275864,0,0,0,0,0,0,0,0,0,0,0,1.18009755392515,0,0,0,10.9388515766207,2.10644652824363,0,0,0,0,0,0,0,0,0,0,2.11830606368173,0.973633711087469,0,0,0,5.03400799243391,8.15495412583803,0,19.0108523522638,0,0,0,1.84760425490288,0,0.98955633831871,0,0,0,0,1.08194144786416,0,0.902495440111749,7.03696487617151,0,13.3025584299594,0,0,0,0,0,0,0,0,22.6571480045942,0,0,63.0887727817714,20.3605564065948,0,0,0,0,0,8.67221049465437,0,28.6092106701468,0,0,0,13.8040103327152,2.2165259217932,0,0,"CC vs. HH","HH"
"LOC111135300",5.38576624440584,-18.4653043099783,4.68517231563088,-3.72778270112069,0.000193171820775035,0.0353192540016021,0,0,5.66844028632857,0,0,0,0,0,0,0,2.0216529292365,10.6293024445928,0,0,0,0,0,0,0,1.82124156014647,0,0,0,0,6.67219334048168,0,18.9995588681704,0,0,0,6.31933958473088,4.55174502280254,5.60206763614178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65997378619316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73429244445031,0,0,252.086068289098,0,0,0,0,0,0,0,0,2.21197933001945,0,126.589546354046,0,0,0,28.0656639254536,0,0,0,6.21939362394495,0,0,0,0,6.64957776537961,10.7599897829318,0,"CC vs. HH","CC"
"LOC111119491",15.4908181062913,-20.6713453590289,2.45739608428591,-8.00495511684888,1.1951025370793e-15,1.49835980586318e-12,0,0,5.66844028632857,3.48021547433971,2.3125839469232,0,0,0,0,1.98175410912687,1.01082646461825,73.3421868676905,0,4.52940693228843,0,0,3.2108024553797,1.50154443501553,1.75923260621086,1.82124156014647,0.925711849269618,0,0,19.0908341717714,42.2572244897173,16.5213657549521,91.6449310111748,2.08882265625603,0,8.75108126129652,16.851572225949,0,0.933677939356964,0,0,0,0.753747418497739,3.1151098266517,415.844438771569,0,4.08914680480328,0,0,4.64556288294482,0,0,0,0,0,0,0,0,0,0,0,5.93733802991226,3.29942287578389,0,0,0,0,0,0,4.02112278638372,66.3808826667245,7.6014619599768,2.32891606735765,0,9.55187515640248,0,0,0,2.31373277026463,0,0,8.18245680152042,6.63593799005834,0,437.30934195034,0,0,4.03877190666559,144.337700188047,0,0,1.63523057225388,0,0,0,15.8311944533926,0,1.1082629608966,4.30399591317271,3.18779473994636,"CC vs. HH","CC"
"LOC111121272",38.5740695420966,-22.453044467456,2.46918136349382,-8.68832269052144,3.67829743063256e-18,1.07605526085297e-14,0,0,2.83422014316429,0,1.1562919734616,0,0,0,0,5.94526232738062,0,247.662746959013,0,0,0,0,0,4.5046333050466,0,0,0,0,10.4986575979717,5.72725025153143,172.36499462911,0,1072.91626549668,4.17764531251207,0,0,18.9580187541926,0,0,0,0,7.00416184635879,27.1349070659186,0,4.29813373407306,0,0,0,0,7.74260480490804,0,1.8498644343631,0,3.49498033964487,4.07622910234735,1.3579180251617,0,0,2.31249610170832,0,0,0,42.8924973851906,1.76099086597798,0,0,4.32776579145664,2.51579230570226,0,12.0633683591512,437.72900888927,5.7010964699826,2.32891606735765,0,10.613194618225,0,0,9.56439742738772,1.15686638513231,9.01894460592669,0,2.72748560050681,39.8156279403501,0,999.437747088936,4.53434017416775,9.81561277587971,0,374.877082432845,0,0,0.817615286126941,4.97551489915596,15.0494424348836,0,0,2.30066838878586,8.86610368717282,4.30399591317271,12.7511789597854,"CC vs. HH","CC"
"LOC111119065",6.99719232315441,18.0800281911798,3.21430369706748,5.31375681979349,1.07387907873273e-07,3.52322664101986e-05,2.81258796912149,0,0,0,0,0,0,0,0,4.95438527281718,0,12.7551629335114,0,0,0,0,0,3.00308887003107,0,0,0.925711849269618,0,0,111.681379904863,0,0,0,4.17764531251207,0,0,1.05322326412181,0,0,0,0,0,0,0,2.14906686703653,0,0,0,0,0,0,0,0,8.15495412583803,0,0,182.607529934852,0,0,0,0,0,0,1.76099086597798,0,0,0,0,0,2.01056139319186,0,0,0,0,4.24527784728999,5.66727112240177,2.88041390926344,0,0,239.002032057057,0,0,0,2.03512170263779,1.77048316579085,0,1.96312255517594,2.69251460444373,6.01407084116864,0,2.16805262366359,0,0,2.00659232465115,0,0,0,8.86610368717282,0,40.3787333726539,"CC vs. HH","HH"
"LOC111120991",24.4741526827774,-22.1385623101546,3.0886701040608,-6.84390420406596,7.70634651674237e-12,4.83091597268287e-09,0,0,0,0,218.539182984243,68.1815645013653,0,0,0,0,20.216529292365,0,1.05418125739464,0,0,180.168598785483,0,0.750772217507766,0,0,1.85142369853924,0,0,0.954541708588572,0,0,236.935675297184,0,0,0,0,1.13793625570063,8.40310145421267,0,0,0,30.1498967399096,2.07673988443447,0,93.3879623374064,1.02228670120082,249.960115514444,0.973633711087469,0,0,27.7479665154465,0,1.16499344654829,0,0,29.3851197596313,0,0,0.923802127451442,0,34.6344718411549,0,2.64148629896696,0,0,0,0,0,1.00528069659593,0,0,0,0,8.49055569457998,0,0,2.04951373444022,205.922216553552,0,0,0,212.350015681867,5.08780425659447,0,0,0,28.2714033466591,0,0,2.16805262366359,0,0,622.043620641855,0.919906621004537,0,0,0,0,0,"CC vs. HH","CC"
"LOC111122181",11.1209209731689,-19.8904787249009,3.83953341449759,-4.91999331313874,8.65471691355429e-07,0.00023371064403871,0,0,412.851400854264,0,0,0,0,0,0,0,0,4.25172097783713,12.6501750887357,0,1.32500905858273,0,25.6864196430376,6.00617774006213,0,20.0336571616112,0,0,0,104.999587944743,0,22.4218535245778,0,0,0,0,38.9692607725071,0,0,0,0,0,18.8436854624435,0,0,0,0,0,0,20.1307724927609,0,1.8498644343631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8612533333585,0,60.5518177512988,0,0,0,0,0,0,5.41136676355601,21.9705677620308,0,44.239586600389,0,121.278096856673,0,0,0,8.01876112155818,0,0,0,0,0,1.83981324200907,0,0,0,38.7359632185544,24.4397596729221,"CC vs. HH","CC"
"LOC111121464",4.02558932192442,-21.3959972118936,3.54887446774137,-5.7471734763485,9.07476138685761e-09,3.57943256725434e-06,0,0,0,0.870053868584929,0,0,0,24.830804838348,0,0,0,0,0,0,0,0,0,0.750772217507766,0,0,0,0,245.668587792537,0,3.33609667024084,0,0,0,0,0,9.47900937709632,0,0,0,0,0,0,0,0,0,1.02228670120082,0,0,54.1982336343563,0,0,0,2.32998689309658,8.15245820469469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9003654899942,0,0,1.0613194618225,0,0,5.46536995850727,2.89216596283078,0,0,4.09122840076021,1.10598966500972,0,0,0,0,0,0,0,2.16805262366359,0,2.48775744957798,0,0,0,1.15033419439293,2.2165259217932,3.22799693487954,0,"CC vs. HH","CC"
"LOC111121995",24.951365824215,-21.6936804888169,3.4884068631857,-5.93212927861257,2.99031017893377e-09,1.28018096135939e-06,101.253166888374,0,0,1.74010773716986,0,0,0.656196760786898,0,0,0,0,336.948887493593,0,106.441062908778,0,0,89.9024687506317,0,0,0,247.165063754988,0.710674609985194,0,122.181338699337,0,76.7063410051347,0,0,35.4600189046358,0,112.694889261034,0,0,0,0.999221744486874,3.5020809231794,109.293375682172,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09893712568795,0,0,0.923802127451442,0,0,0,73.081120938086,0,0,0,0,0,76.4013329412907,119.293180444548,0,4.65783213471529,0,0,0,0,0,0,2.70568338177801,88.5688512906865,51.8222264096293,80.7372455457098,1.01756085131889,167.310659167235,0,0,0,0,0,0,0,0,0,0,123.483316736462,0,0,122.663883525422,85.0078597319029,"CC vs. HH","CC"
"LOC111122019",125.787130667926,-9.76991511227067,2.10577397462747,-4.16469916426911,3.11763373326185e-05,0.00651455548846173,1.87505864608099,46.7320914145557,28.3422014316428,0,1.1562919734616,27.037516957438,58.4015117100339,25.8654217066125,0,1.98175410912687,0,280.613584537251,521.819722410347,2.26470346614422,0,237.902182926688,2.14053497025314,33.7847497878495,0,1.82124156014647,0.925711849269618,0.710674609985194,0,0,5681.37262942015,0,0,0,2.02628679455062,7.65719610363446,1.05322326412181,1.13793625570063,0.933677939356964,386.563460590572,48.9618654798568,232.88838139143,0,0,0,0,0,8.47322425472692,58.4180226652481,1.54852096098161,0,5.5495933030893,99.6733582501915,431.047575222867,0,0,10.4946856284398,0,8.09373635597912,0,0,1.97911267663742,1621.66634344778,1.76099086597798,0,0,78.9817256940838,26.4158192098737,5.41497264067049,2.01056139319186,0,26.6051168599188,2.32891606735765,3.19096288973542,13.7971530036925,0,28.8041390926344,24.5941648132827,12.7255302364554,3.60757784237067,4.11948145538077,31.3660844058283,11.0598966500972,1.01756085131889,0.885241582895426,0,0,0,0,8.21919564913953,1039.58123304669,0,6.21939362394495,0,30.3569184931497,9.49871667203556,331.296247985164,107.50150720697,6.45599386975907,123.261396611259,"CC vs. HH","CC"
