"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144618596",118.999680509415,1.92808810158029,1.31100007281907,4.26731394534962,1.9784064957216e-05,0.00425734955071695,0.0267849999920325,114.045312957778,45.4444144773625,168.34689933789,155.775960254803,20.9422397907856,376.730260542558,320.043937393794,126.737161061338,177.568180489353,254.94697122568,103.596598638554,184.447114566214,210.195717649117,114.6182731214,146.622139762809,180.459143895035,63.6300427421089,40.7959617606228,216.300224149472,98.4121248355483,294.343826302651,51.8317241557595,77.8265897497505,41.9057091535293,46.8477591208141,13.763451515756,203.473401588049,54.6894461838737,26.5251389751963,114.238915975727,59.9227268767322,19.403848635984,75.7190335965498,316.126797826255,41.3106556612362,54.0028520441999,28.0499764319437,179.180341144085,350.157475765318,46.6546057782558,138.15301358746,137.79416463678,46.1150598523733,31.1606895628756,38.0665482786757,144.319802228986,55.870684702916,383.982513836594,67.1709525840377,54.8314153075238,80.179294138646,55.4423225035536,95.2021379258597,46.4699678477436,49.9737938890381,29.7674864348498,23.0451419681362,465.114980681641,54.5585589640581,48.7696437997222,151.603124672236,180.049854446631,75.4652622585218,120.761622914728,28.4024815659428,39.6459944145888,85.6161213375319,116.283545986891,27.6326893510427,76.4339695305551,126.460962437367,71.0130705412598,97.5930616546644,60.6684596773712,110.950338768732,78.7097711658074,70.2981330924124,47.8892907512185,174.966294594017,131.197246808129,366.319818262624,64.0259397299792,202.583191142581,43.4658952491315,44.636233165256,449.737635604317,133.406255850236,112.774987337077,120.594992999034,220.563538418466,34.7947874160301,91.0933092899611,71.997752780702,96.7132068046491,"CC vs. BC","BC"
"LOC144622046",14.7602029542618,-12.0505459716229,5.98803414756254,-4.12244928373347,3.74865160439662e-05,0.00744186540337611,0.0121579120278283,0,0,0,0,0,0,0,0,0,0,22.3443644122372,6.39700975374154,0,0,0,27.220094330536,0,78.5700004278662,0,293.396895537756,0,10.0783908080643,189.768944869255,102.859467922299,1.11542283620986,0,0,0,0,0,0,28.5350715235059,0,0,105.795581571458,0,0,0,0,0,0,0,0,0,0,0,0,69.0700253547533,10.3339927052366,0,0,0,0,0,1.92206899573223,0,0,0,0,0,18.675747242232,0,83.6482425034218,104.387165570358,11.7527509928039,0,0,62.4485709929601,13.8163446755213,0,0,66.9161626254179,3.50633754447896,0,0,27.1413004020026,0,0,0,13.6901474930222,0.995434288757132,0,4.03150629139464,0,18.5077064343744,0,0,5.07995438455302,0,0,0,0,5.45437521065925,0,"CC vs. BC","CC"
"LOC144619349",53.4966508945842,-21.119807386316,4.18886240354943,-5.26130240059046,1.43038556580446e-07,4.20026761458621e-05,7.26812989645526e-05,0,0,443.823643708984,0,126.816896510868,0,0,0,123.187925214488,0,0,0,0,0,0,0,0,0,0,449.7526078933,0,0,0,344.769698035855,170.659693940108,0,0,7.36204083244454,1.02019765289217,1.09845111515122,0,0,0,0,129.977428787792,0,0,0,211.395380105997,0,0,0,0,2.33705171721567,0,288.639604457972,0,275.10942302317,195.312462128971,0,0,0,42.9570622348392,0,0,0,0,0,0,85.834573087511,0,0,0,0,166.497305731389,0,0,274.558372469049,0,0,544.457884081489,4.09690791584191,126.812541191989,0,0,0,0,0,306.19101553953,0,0,0,0,0.924806281896415,0,0,2.49357487570535,0,358.045599369225,0,56.8314861128492,287.721550074389,0,0,"CC vs. BC","CC"
"LOC111137262",324.671975445883,2.90509063207861,3.65076275526354,3.68008796563174,0.000233153510678731,0.0379918928672452,0.0789457616969002,4.75188803990742,8.07900701819777,33.4780765728759,2168.54218117421,6.98074659692853,2.33993950647552,6.58526620151839,0,5.54900564029227,5.01864116585985,53.8296051749351,6.39700975374154,0,4.49483424005489,2.66585708659653,0,4747.44827374175,6.04384618675894,5.31885797088865,10.1171343288881,0.931467804755225,0.719885057718882,1974.44992077449,1678.1331711027,3.34626850862958,2.99205467733825,0,11.5689213081271,8.16158122313733,1575.17889912685,1889.14281048224,4.56561144376094,2.80440865172407,7.84711909497795,6.04546180408334,0,1.51621494226722,0,4.33631548935378,0,1.03099263871239,2.15303382244968,1.96234297244142,3.89508619535945,1.49280581485003,1.87428314583099,2669.60289816842,10.5361055625895,0,0.685392691344048,1799.81415527013,0,9.28801345618144,3.71759742781948,1.92206899573223,1.98449909565666,2353.8966438882,1.77186659307292,0,2.92617862798333,14.2814537734715,8.81362923864628,11.8198603537444,4.09361433609246,10.7733550767369,4.83487736763278,0,7.53689649915036,1667.526522761,6.42902547453268,10.6188594413056,6.14536187376287,5.25950631671844,9.0549939816972,9.01471502495947,2.71413004020026,11.1584338241924,1.01892107981316,0,6.8450737465111,0,12.2602863312726,0,10.1728691008606,1.08868861378673,78.1079988709509,2.49357487570535,5.07995438455302,2434.33613774794,2.14139357687831,0,12.2198341730436,3395.89400615645,1649.49747161263,"CC vs. BC","BC"
"LOC111105307",316.618384570679,-24.6567023730059,3.99226413161481,-6.34025746598068,2.29381506428362e-10,1.04921366965073e-07,3.29787381653401e-07,0,0,111.912427400757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8431731468627,0,0,0,0,0,0,52.4248733018634,1.1968218709353,0,0,0,0,3.15382773035433,0,0,0,6.04546180408334,24.3883847941548,1225.85978082305,0,0,0,0,0,1.96234297244142,0,0,0,129.010490132188,0,0,0,0,0,0,0,0,0,0,0,0,12.6801073879278,56.0272417266959,0,0,0,0,0,10.5554122196957,1458.92782233553,1.06279574427087,0,0,0,0,231.807845931448,0,0,4.46337352967698,0,228.527405184023,0,0,187.991057079513,0,22193.5011529502,5.44344306893365,0,7.48072462711606,144.270704521306,0,3628.5914160203,0,15.5525162202373,0,6.44754712030994,"CC vs. BC","CC"
"LOC111105070",9.02939474538583,-18.2908078678845,2.92611819528803,-6.33861871276226,2.31834175736266e-10,1.04921366965073e-07,1.47473336648122e-07,0,0,59.3040213576659,0,0,0,0,0,0,1.00372823317197,0,0,0,0,0,4.03260656748682,0,0,1.77295265696288,0,0,10.7982758657832,0,396.199431997004,0,10.1729859029501,15.7382741559817,0,8.16158122313733,0,0,0,0,0,0,0,5.30675229793529,12.722864459935,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,23.9887441970417,4.21996284940242,0,0,0,17.2986209615901,0,0,0,0,0,13.1828804062814,2.51817978247037,0.909220027211106,10.2340358402312,0,0,39.8760017188505,2.15339899975724,0,0,0,0,0,16.298989167055,12.4819131114823,0,0,7.13244755869212,8.03416658850079,0,0,0,0,0,0,154.571618818303,0,1.0159908769106,4.67422453484627,1.07069678843916,1.159826247201,0,0,0,"CC vs. BC","CC"
"LOC144619466",3.19122519030149,-17.324949838674,5.05853245430065,-4.52815236404869,5.95016726056559e-06,0.00135270334738181,0.00236318045140995,0,0,0,0,0,0,0,0,0,0,0,2.13233658458051,0,0,0,0,0,0,0,1.83947896888875,0,0,0,0,10.0388055258887,0,26.9798985531115,0,0,0,4.20510364047244,0,0,0,1.00757696734722,0,0,0,0,0,0,0,0,1.55803447814378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,13.7115428249379,0,1.17282357996619,0,0,0,0,0.682817985973652,0.584389590746494,0,0,1.35706502010013,2.23168676483849,0,183.893146359018,9.12676499534813,0,0,32.2520503311571,0,0,0,0,4.06396350764241,0,0,0,0,1.09087504213185,0,"CC vs. BC","CC"
"LOC111104604",173.372107130686,-25.0367822086882,4.58560596204265,-5.66544152855179,1.46646426818752e-08,4.75168134715013e-06,1.23457583111499e-05,0,0,168.34689933789,0,0,0,0,393.716262641369,0,984.657396741703,0,0,0,0,1098.33311967777,0,0,0,0,1317.98668120879,0,447.768505901144,0,0,2114.84169745389,0,0,0,1081.4095120657,0,378.459327642519,0,0,0,0,0,0,0,182.125250552859,0,0,0,548.474860797376,0,0,0,283.416746038429,0,0,0,0,252.208212173028,214.785311174196,1197.99577111483,0,0,0,0,0,0,0,407.945124760199,0,669.305943951118,1.95879183213399,0,286.168953511751,0,0,657.903606893844,982.727173749921,0,0,0,620.628457487594,0,0,0,0,0,3.98173715502853,617.782205692459,0,0,0,0,0,1192.77328949305,0,0,0,0,0,191.277231235862,"CC vs. BC","CC"
"LOC111104521",18.6290169634685,-20.1297712477347,2.93695275158649,-6.95057894734764,3.63790145335358e-12,2.13650920770911e-09,4.39616808327128e-09,0,0,3.82606589404296,0,4.65383106461902,0,0,0,0,0,0,125.80785849025,0,0,0,8.06521313497364,0,4.5328846400692,0,0,0,0,0,0,69.1562158450112,0,299.027208963653,0,0,0,23.1280700225984,9.13122288752189,0,2.24203402713656,0,0,9.09728965360335,0,0,0,6.18595583227432,0,1.96234297244142,1.55803447814378,0,0,0,0,2.06679854104731,0,0,0,0,0,1.92206899573223,0,46.0902839362724,5.31559977921876,0,0,0,7.5545393474111,0,8.18722867218493,201.755558709801,0,0,0,14.8791404197922,0,0,0,0,0,0,5.42826008040051,29.0119279429004,0,499.903698840049,4.56338249767407,0,1.36225403680807,308.41023129169,5.54883769137849,4.35475445514692,0,0,12.1918905229272,0,0,0,13.3307281887748,8.72700033705479,2.14918237343665,"CC vs. BC","CC"
"LOC144618975",13.1684028179907,-19.9270131193131,3.07887481596284,-6.57271643371685,4.94054952608954e-11,2.487037341794e-08,5.03157974197648e-08,0,0,0,0,2.32691553230951,0,0,0,0,0,0,72.4994438757374,0,0,0,0,0,0,0,0,0,0,2.1322353356096,1.90480496152406,64.6945245001718,0,299.027208963653,0,0,0,6.30765546070866,2.28280572188047,0,0,0,0,5.30675229793529,0,2.16815774467689,0,0,0,0,0,0,0,0,2.34135679168655,0,1.3707853826881,0,0,0,0,0,1.98449909565666,0,0,0,3.90157150397777,0,0,0,15.3510537603467,69.5371100407565,1.93395094705311,0,0,4.25118297708349,0,0,2.73127194389461,0,0,4.16063770382745,8.14239012060077,29.0119279429004,0,302.62027483353,4.56338249767407,0,0,294.299959271809,0,0,0,0,4.06396350764241,0,2.14139357687831,9.27860997760804,2.22178803146247,15.2722505898459,0,"CC vs. BC","CC"
