"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144619234",20.0045612801197,13.6184477731322,4.30807135899252,4.39033068100413,1.13178414193454e-05,0.00175668158839143,0.00475714691186314,0,19.1876416682197,0.956516473510741,1.76018034186219,17.4518664923213,0,0.658526620151839,0,0,0,0,84.2272950909303,35.9128361812562,0,0,0,0,21.9089424270012,0,0,0,0,1.0661176678048,0.95240248076203,3.34626850862958,0,0,0,0,4.39380446060488,252.306218428346,0,0,17.9362722170925,1.00757696734722,7.83912368383548,0,0,0,0,0,5.3825845561242,0,0,0,0,1.01583063096211,9.36542716674621,0,0,75.9593312892436,0,0,0,0,50.6047269392447,59.2589364894931,0,0,0,3.29572010157034,0,0,0,9.79395916066994,0,0,0,23.3815063739592,0,125.495611579067,0,23.3755836298597,0,0,0,0,0,0,0,0,0,0,0,17.4190178205877,0,0,0,0,0,5.79913123600502,0,0,999.369803648041,"HH vs. BH","BH"
"LOC111102792",8.13932128794636,16.1407313862524,3.1518795732268,5.26645737480271,1.39081520989928e-07,3.43084309099082e-05,4.97227561373159e-05,1.90075521596297,0,14.3477471026611,3.52036068372437,2.32691553230951,0,0,0,0,0,0,45.845236568481,10.5625988768401,0,0,4.03260656748682,0,3.02192309337947,0,0,0,0,3.1983530034144,1.90480496152406,44.6169134483943,0,189.983452311494,0,0,0,2.10255182023622,0,0,3.36305104070484,0,0,25.0175465474092,0,0,0,0,0,1.96234297244142,4.67410343443134,0,0,0,10.5361055625895,0,0,2.10998142470121,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,36.2376488944788,0,0,0,4.25118297708349,0,0,0,0,0,0,0,6.69506029451547,0,220.493238595522,0,3.98173715502853,0,97.76402756632,0,4.35475445514692,0,0,1.0159908769106,0,0,2.31965249440201,0,10.9087504213185,0,"HH vs. BH","BH"
"LOC144622059",37.4844226836873,-20.2582916594248,2.97922260032465,-6.89518966565236,5.37929836767042e-12,2.85806260196151e-09,4.58506746033709e-09,3.80151043192593,71.7011872865052,0.956516473510741,0,0,0,0,0,0,0,0,167.38842188957,0,0,0,0,0,174.516058642664,0,0,0.931467804755225,0,0,0,648.060667837928,0.598410935467651,0,0,0,5.4922555757561,224.973044765275,0,0,13.4522041628193,6.04546180408334,121.941923970774,0.758107471133612,0,1.08407887233844,0,0,0,3.92468594488283,0,0,0,10.1583063096211,0,2.06679854104731,2.74157076537619,0,0,0,0,0,105.178452069803,0,4.4296664826823,50.2794563002104,0,12.0843070390913,0,0,0,0.979395916066994,0,0,7.53689649915036,0,0,2.89605257490154,0,0,0,0,14.9277152211014,94.8466875056358,0,1.78537035300018,0,0,0,0,0,702.204155892441,0,2.49357487570535,2.03198175382121,0,0,403.61953402595,0,0,657.649806271614,"HH vs. BH","HH"
"LOC111105244",30.7404562390527,-6.07239904214267,3.2869926410199,-4.08464097088495,4.41450195640076e-05,0.00572600281931644,0.0213605785416506,1.90075521596297,11.1086346500219,32.5215600993652,19.361983760484,39.5575640492617,0,18.4387453642515,0,0,0,0,43.7128999839005,42.2503955073603,4.49483424005489,3.9987856298948,2.01630328374341,2.15695060142742,12.8431731468627,0,17.4750502044432,0,0.719885057718882,0,1.90480496152406,16.7313425431479,1.79523280640295,10.1174619574168,21.034402378413,0,119.731171551483,17.8716904720079,0,7.47842307126418,266.80204922925,14.1060775428611,5.22608245589032,0,0,2.16815774467689,3.3930622384186,19.5888601355354,69.9735992296146,13.7364008070899,5.45312067350323,3.73201453712507,0,5.07915315481055,21.072211125179,0,0,31.6497213705182,0,0,0,0,3.96899819131331,118.517872978986,3.54373318614584,1345.7777877801,0,0,0,10.9106403265333,16.3744573443699,0,9.66975473526556,16.4195301195267,0,22.3187106296883,40.7171613387069,41.510086906922,20.4845395792096,19.8692460853808,0,0,28.4983654221027,4.46337352967698,2.03784215962632,5.35611105900053,0,3.98173715502853,0,0,0,183.988375729958,2.46656838539845,0,6.09594526146362,0,0,49.8725286296432,0,4.3635001685274,17.1934589874932,"HH vs. BH","HH"
"LOC144619349",53.4966508945842,-20.1597805157941,4.2358644209036,-5.03466688286242,4.78680506557538e-07,0.000107520203537981,0.000149041904672074,0,0,443.823643708984,0,126.816896510868,0,0,0,123.187925214488,0,0,0,0,0,0,0,0,0,0,449.7526078933,0,0,0,344.769698035855,170.659693940108,0,0,7.36204083244454,1.02019765289217,1.09845111515122,0,0,0,0,129.977428787792,0,0,0,211.395380105997,0,0,0,0,2.33705171721567,0,288.639604457972,0,275.10942302317,195.312462128971,0,0,0,42.9570622348392,0,0,0,0,0,0,85.834573087511,0,0,0,0,166.497305731389,0,0,274.558372469049,0,0,544.457884081489,4.09690791584191,126.812541191989,0,0,0,0,0,306.19101553953,0,0,0,0,0.924806281896415,0,0,2.49357487570535,0,358.045599369225,0,56.8314861128492,287.721550074389,0,0,"HH vs. BH","HH"
"LOC111105307",316.618384570679,-17.2531868044492,4.74106768797277,-4.53025017354723,5.89138827390996e-06,0.00102369355491563,0.00228249122569355,0,0,111.912427400757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8431731468627,0,0,0,0,0,0,52.4248733018634,1.1968218709353,0,0,0,0,3.15382773035433,0,0,0,6.04546180408334,24.3883847941548,1225.85978082305,0,0,0,0,0,1.96234297244142,0,0,0,129.010490132188,0,0,0,0,0,0,0,0,0,0,0,0,12.6801073879278,56.0272417266959,0,0,0,0,0,10.5554122196957,1458.92782233553,1.06279574427087,0,0,0,0,231.807845931448,0,0,4.46337352967698,0,228.527405184023,0,0,187.991057079513,0,22193.5011529502,5.44344306893365,0,7.48072462711606,144.270704521306,0,3628.5914160203,0,15.5525162202373,0,6.44754712030994,"HH vs. BH","HH"
"LOC144619421",141.53652251682,24.7896338286685,3.83598000606379,6.61414508844799,3.73705082112314e-11,1.63884508073e-08,4.14082689700494e-08,0,0,0,340.594896150333,0,0,0,0,0,856.180182895691,0,1.06616829229026,479.541989008539,0,0,0,648.163655728939,0.755480773344867,448.55702221161,0,0,639.977816312086,0,0,303.395011449082,0,8.99329951770384,898.168981558234,0,228.477831951454,0,0,0,0,0,0,4.54864482680167,4.24095481997833,801.13428665811,0,0,0,0,530.510739807958,0,460.136512301507,0,0,0,0,0,733.795444899974,639.711926794497,0,0,0,312.755498138992,0,0,0,0,956.908317338739,0,567.988989132829,11.7527509928039,0,0,0,2.12559148854174,0,0,0,0,0,0,0,1823.28808687305,0,0,0,0,0,0,0,0,727.637673692543,0,0,0,566.398601084314,0,0,307.626761881181,0,"HH vs. BH","BH"
"LOC144619428",12.7816596059878,-14.1876161794335,3.30443582341084,-4.77594053166551,1.78869250935677e-06,0.000355525155744669,0.000738404829356589,0,51.5036697410108,1.91303294702148,0,37.2306485169521,0,0.658526620151839,0,0,0,0,0,52.8129943842003,0,0,2.01630328374341,0,87.6357697080046,0,1.83947896888875,0,0,0,0,11.1542283620986,0,0,0,0,34.0519845696878,6.30765546070866,2.28280572188047,0,264.560015202114,18.13638541225,2.61304122794516,0,0,0,0,0,16.1477536683726,0.981171486220708,0,0,0,0,2.34135679168655,1.03339927052366,0,112.884006221515,0,0,0,0,1.98449909565666,46.0902839362724,0,0,0,4.39429346876046,0,0,1.02340358402312,0,1.93395094705311,0,0,116.907531869796,0.714336163836964,0.965350858300512,0,35.6477650355361,0,0,0,2.23168676483849,4.07568431925264,1.78537035300018,0,0,2.0433810552121,0,0,264.551333150176,0,0,0,0,0,5.79913123600502,0,0,3.22377356015497,"HH vs. BH","HH"
"LOC144623974",81.4787404268529,23.9741168590121,5.23036918035197,4.97152993993013,6.64266034487717e-07,0.000145653507943069,0.000260325609042585,0,0,0.956516473510741,0,0,0,0,0,0,1004.73196140514,0,0,991.828034535282,0,1.33292854329827,0,0,0,1299.57429755379,0,244.044564845869,0,24.5207063595104,0,0,0,0,0,0,0,26.2818977529527,12.5554314703426,0,0,0,0,0,0,0,0,0,0,0,222.019913135489,0,0,0,0,0,7.53931960478453,0,0,0,0,0,0,0,0,0,0,23.0700407109924,1293.08531829853,0,0,0,0,34.0118838190195,0,0,0,0,0,0,349.522767693512,22.883507371051,0,0,0,0,0,305.598326648439,0,15.1181485927299,0,0,0,0,67.0553978760998,0,1670.28698996509,0,0,0,42.983647468733,"HH vs. BH","BH"
"LOC111102542",15.140488808199,13.7341853943133,4.95789935411705,4.27315600379617,1.92725516742007e-05,0.00275887076505086,0.00734937158836432,0,0,8.60864826159667,0,0,44.4588506230348,0,0,0,0,10.1565292782896,0,1.05625988768401,0,0,0,2.15695060142742,0.755480773344867,0,1.83947896888875,39.1216477997195,0,1.0661176678048,0,0,0,0,0,0,13.1814133818146,0,0,0,0,2.01515393469445,0,0,0,0,0,0,0,0,4.67410343443134,0,0,1.01583063096211,0,0,3.42696345672024,0,0,0,0,0,35.7209837218198,9.87648941491553,35.4373318614584,0,0,0,0,0,0,0,0,0,0,6.37677446562523,0,3.86140343320205,0,0,0,0,358.265165306434,1.11584338241924,0,6.24879623550062,784.90178959994,40.8128058390424,0,7.05513600994062,0,0,0,0,0,0,0,0,0,0,0,"HH vs. BH","BH"
"LOC111102559",369.475880239555,2.72512702648877,2.05679248269384,3.98722010891609,6.68519990032135e-05,0.00813650673330741,0.0494237295747639,2056.61714367193,44.4345386000877,25.82594478479,56.3257709395899,54.6825150092735,171.985553725951,84.2914073794353,1932.22229159089,34.4038349698121,63.2348786898341,48.7513405357902,308.122636471884,31.6877966305202,2153.02560098629,82.6415696844925,22.1793361211775,74.414795749246,44.5733656273472,2075.24108497506,70.819940302217,62.4083429186001,23.7562069047231,41.5785890443872,10.4764272883823,52.4248733018634,48.4712857728797,10.1174619574168,37.8619242811434,75.4946263140203,47.2333979515025,38.8972086743701,50.2217258813704,12.1524374908043,228.687470767929,57.4318871387917,28.7434535073967,103.860723545305,28.6264450348538,87.810388659414,2167.31850478988,24.7438233290973,36.6015749816446,27.4728016141798,50.6361205396729,35.8273395564007,59.9770606665915,44.6965477623328,115.897161188484,217.013846809968,2601.75065634201,39.0346563569724,4974.58956424042,33.6690487786577,28.811380065601,88.4151738036828,363.163334505168,131.686525532207,77.9621300952084,40.6514753065531,106.317823483394,23.0700407109924,4012.71948336653,23.6397207074888,221.055174148993,229.178644359677,136.343541767244,17.5923536994929,17.227191998058,64.8305404005232,27.1447742258046,56.9557006397302,11.6079057615521,29.2194795373247,14.4879903707155,83.9061936938535,223.915728316521,152.870543391437,24.4541059155158,24.1024997655024,211.056440517426,88.5936516993847,17.7093024785049,43.3386926324924,86.931790498263,66.4100054409906,208.013933835269,2866.3643196233,23.3677901689439,39.2634860927087,206.644480168757,3598.94084506472,29.9941384247433,53.4528770644606,48.3566034023246,"HH vs. BH","BH"
"LOC111104521",18.6290169634685,-15.2436897939479,3.11702438635972,-5.09521530707743,3.48345133142423e-07,7.99380911653861e-05,0.000120184842311348,0,0,3.82606589404296,0,4.65383106461902,0,0,0,0,0,0,125.80785849025,0,0,0,8.06521313497364,0,4.5328846400692,0,0,0,0,0,0,69.1562158450112,0,299.027208963653,0,0,0,23.1280700225984,9.13122288752189,0,2.24203402713656,0,0,9.09728965360335,0,0,0,6.18595583227432,0,1.96234297244142,1.55803447814378,0,0,0,0,2.06679854104731,0,0,0,0,0,1.92206899573223,0,46.0902839362724,5.31559977921876,0,0,0,7.5545393474111,0,8.18722867218493,201.755558709801,0,0,0,14.8791404197922,0,0,0,0,0,0,5.42826008040051,29.0119279429004,0,499.903698840049,4.56338249767407,0,1.36225403680807,308.41023129169,5.54883769137849,4.35475445514692,0,0,12.1918905229272,0,0,0,13.3307281887748,8.72700033705479,2.14918237343665,"HH vs. BH","HH"
"LOC111105317",33.205567901709,-12.2493431291896,3.24423423245818,-4.59409810474274,4.34624885130834e-06,0.000774697827509334,0.00184821181046571,1.90075521596297,7.06913114092305,9.56516473510741,0,2.32691553230951,4.67987901295104,0,0,0,2.00745646634394,0,20.2571975535149,0,0,0,0,0,3.02192309337947,0,1.83947896888875,1.86293560951045,0,0,7.61921984609624,191.852727828096,0,101.174619574168,0,0,0,8.41020728094488,0,0,0,0,0,0,0,4.33631548935378,0,12.3719116645486,0,0,3.89508619535945,1.49280581485003,0,0,2.34135679168655,0,1.3707853826881,0,0,0,7.43519485563897,0,0,0,0,0,0,1.09857336719011,0,0,0,245.828374932815,0.966975473526556,0,0,0,0.714336163836964,2.89605257490154,4.09690791584191,0.584389590746494,2.71649819450916,0,0,1.11584338241924,0,1497.03304099065,0,0,0,756.915306209344,0,1.08868861378673,199.792039217274,0,1.0159908769106,0,0,0,0,2.1817500842637,6.44754712030994,"HH vs. BH","HH"
"LOC111104290",12.1090849131054,15.0641425903199,3.61312982502838,4.72138423448015,2.34244943412006e-06,0.000449424951151869,0.0011086680564875,38.9654819272408,0,125.303658029907,0,0,14.0396370388531,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9002008177727,8.38321024279703,0.719885057718882,1.0661176678048,2.85720744228609,8.92338268967887,0,31.4765483119634,0,0,2.19690223030244,0,0,0,0,1.00757696734722,0,0,0,0,0,0,0,0,84.1338618197642,0,0,0,0,0,0,0,0,2.32200336404536,0,0,5.95349728696997,0,1.77186659307292,0,0,0,0,0,3.07021075206935,0.979395916066994,0,0,38.7611819956304,4.25118297708349,0,0,0,0,0,0,139.777697070313,8.92674705935396,0,363.322866835536,52.4788987232518,3.98173715502853,0,95.7482744206227,0,0,0,0,13.2078813998378,10.2832939766618,0,0,4.44357606292493,0,0,"HH vs. BH","BH"
