"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111104304",131.759146793933,-10.9214859410816,12.7962874775615,-3.68449499518628,0.000229156528150055,0.0353001231068308,0.128798845105117,0,0,0,582.619693156383,0,2143.38458793157,0,0,0,0,991.277257561068,0,0,0,0,873.059321860896,0,0,0,0,0,0,0,0,0,0,2420.32173270205,0,1.02019765289217,0,0,0,762.799153268946,0,0,0,0,1035.85321477971,0,0,912.428485260462,609.30857175326,0,0,0,0,0,0,1.03339927052366,0,0,0,0,640.356156941906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12559148854174,0,0,0,0,0,0,0,0,0,0,657.127079665066,0,752.645355336458,0,0,0,0,0,0,0,0,0,0,0,0,"CH vs. CB","CH"
"LOC144622046",14.7602029542618,21.6510204449226,3.27411053507837,6.7059084969523,2.00157123055129e-11,1.44677674331387e-08,2.53608091974112e-08,0,0,0,0,0,0,0,0,0,0,22.3443644122372,6.39700975374154,0,0,0,27.220094330536,0,78.5700004278662,0,293.396895537756,0,10.0783908080643,189.768944869255,102.859467922299,1.11542283620986,0,0,0,0,0,0,28.5350715235059,0,0,105.795581571458,0,0,0,0,0,0,0,0,0,0,0,0,69.0700253547533,10.3339927052366,0,0,0,0,0,1.92206899573223,0,0,0,0,0,18.675747242232,0,83.6482425034218,104.387165570358,11.7527509928039,0,0,62.4485709929601,13.8163446755213,0,0,66.9161626254179,3.50633754447896,0,0,27.1413004020026,0,0,0,13.6901474930222,0.995434288757132,0,4.03150629139464,0,18.5077064343744,0,0,5.07995438455302,0,0,0,0,5.45437521065925,0,"CH vs. CB","CB"
"LOC111105539",6.61449734094822,-33.5668957365284,5.16376842530172,-6.72983853506724,1.69851463432888e-11,1.26002967215082e-08,3.38121635787674e-08,0,0,0,0,0,0,1.31705324030368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19690223030244,0,0,0,0,0,0,0,0,0,0,0,3.22955073367452,0,0.779017239071891,0,0,0,0,0,0,0,0,3.48300504606804,0,0,0,0,0,0,0,0,0,0,2.04680716804623,0,5.80185284115934,0,0,99.902799961462,0,0,0,0,0,0,0,0,0,32.1366663540032,4.56338249767407,0,0,0,0,314.631009384365,0,0,1.0159908769106,0,0,134.539844675317,0,0,16.1188678007749,"CH vs. CB","CH"
"LOC144622074",202.584821257042,2.13876678421047,0.867160023887341,4.3055619485091,1.6656236946704e-05,0.00423008395970799,0.0155593334100321,163.464948572815,42.4147868455383,129.12972392395,224.422993587429,176.845580455523,211.764525336034,187.021560123122,157.902036732158,154.262356800125,138.514496177732,120.862698411647,143.932719459185,116.188587645241,334.865150884089,123.962354526739,161.304262699473,135.887887889927,145.052308482215,188.819457966547,40.4685373155526,88.4894414517464,114.461724177302,68.2315307395073,66.6681736533421,250.970138147218,48.4712857728797,116.91289373015,89.3962101082552,183.63557752059,292.187996630225,182.922008360551,86.7466174314579,216.874269066661,136.76407565533,111.841043375542,2265.50674462845,97.0377563051024,129.349122009339,15.1771042127382,188.314954232233,180.423711774668,100.11607274391,2168.38898454776,116.073568621712,164.208639633503,125.576970770676,93.4564180485141,94.8249500633053,55.8035606082775,100.067332936231,91.7841919745027,165.239863147846,32.508047096635,151.492095183644,329.634832768078,57.550473774043,202.468033005768,77.9621300952084,46.0003536363627,82.9083944595277,175.771738750418,104.50446097252,128.200023836766,173.97860928393,130.25965683691,117.97100777024,163.022477615301,69.9854674921104,155.168178663547,210.729168331904,198.862276809905,146.123048998361,160.122747864539,113.187424771215,137.301044226306,234.772248477322,118.27939853644,230.276164037774,88.3758324735087,149.450776798826,61.7169259029422,250.654742772685,103.811287003412,98.9542721629164,207.939525233266,161.971323974498,196.992415180723,174.750430828624,90.6799559760177,148.826853593043,149.61758588893,1810.75724564191,133.086755140086,163.337860381185,"CH vs. CB","CB"
"LOC111105070",9.02939474538583,-19.6479696961386,2.78530401879985,-7.12675822861025,1.02760358492714e-12,8.77822577548364e-10,1.87593695598692e-09,0,0,59.3040213576659,0,0,0,0,0,0,1.00372823317197,0,0,0,0,0,4.03260656748682,0,0,1.77295265696288,0,0,10.7982758657832,0,396.199431997004,0,10.1729859029501,15.7382741559817,0,8.16158122313733,0,0,0,0,0,0,0,5.30675229793529,12.722864459935,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,23.9887441970417,4.21996284940242,0,0,0,17.2986209615901,0,0,0,0,0,13.1828804062814,2.51817978247037,0.909220027211106,10.2340358402312,0,0,39.8760017188505,2.15339899975724,0,0,0,0,0,16.298989167055,12.4819131114823,0,0,7.13244755869212,8.03416658850079,0,0,0,0,0,0,154.571618818303,0,1.0159908769106,4.67422453484627,1.07069678843916,1.159826247201,0,0,0,"CH vs. CB","CH"
"LOC144623974",81.4787404268529,9.87820492075249,9.59213101711194,3.79143047209472,0.000149782082008893,0.0249843603066905,0.0870041715624782,0,0,0.956516473510741,0,0,0,0,0,0,1004.73196140514,0,0,991.828034535282,0,1.33292854329827,0,0,0,1299.57429755379,0,244.044564845869,0,24.5207063595104,0,0,0,0,0,0,0,26.2818977529527,12.5554314703426,0,0,0,0,0,0,0,0,0,0,0,222.019913135489,0,0,0,0,0,7.53931960478453,0,0,0,0,0,0,0,0,0,0,23.0700407109924,1293.08531829853,0,0,0,0,34.0118838190195,0,0,0,0,0,0,349.522767693512,22.883507371051,0,0,0,0,0,305.598326648439,0,15.1181485927299,0,0,0,0,67.0553978760998,0,1670.28698996509,0,0,0,42.983647468733,"CH vs. CB","CB"
"LOC111104604",173.372107130686,23.4980507035536,4.46871662447543,5.44787917821342,5.09739638715457e-08,2.14471050975951e-05,4.94816698314791e-05,0,0,168.34689933789,0,0,0,0,393.716262641369,0,984.657396741703,0,0,0,0,1098.33311967777,0,0,0,0,1317.98668120879,0,447.768505901144,0,0,2114.84169745389,0,0,0,1081.4095120657,0,378.459327642519,0,0,0,0,0,0,0,182.125250552859,0,0,0,548.474860797376,0,0,0,283.416746038429,0,0,0,0,252.208212173028,214.785311174196,1197.99577111483,0,0,0,0,0,0,0,407.945124760199,0,669.305943951118,1.95879183213399,0,286.168953511751,0,0,657.903606893844,982.727173749921,0,0,0,620.628457487594,0,0,0,0,0,3.98173715502853,617.782205692459,0,0,0,0,0,1192.77328949305,0,0,0,0,0,191.277231235862,"CH vs. CB","CB"
"LOC144619485",19.9679271722894,-19.0992558673405,3.00608160492633,-6.43641028860212,1.22332082860989e-10,8.01986375779365e-08,1.63101742513167e-07,0,1.00987587727472,240.085634851196,0,0,0,109.315418945205,0,1.10980112805845,0,2.03130585565793,0,176.395401243229,0,0,4.03260656748682,0,37.0185578938985,54.9615323658494,0,0,0,0,0,0,2.3936437418706,29.2282234325375,0,0,0,353.228705799685,0,0,10.0891531221145,0,0,1.51621494226722,0,0,0,0,3.22955073367452,0,1.55803447814378,0,0,0,0,0,0,7.38493498645424,0,0,0,0,0,0,0,20.3257376532765,0,2.19714673438023,0,16.3659604897999,0,0,2.90092642057967,2.34564715993238,0,0,0,0,0,0,0,0,29.8554304422028,64.7189161803162,4.07568431925264,0,0,0,0,0,0,78.3855801926446,0,0,22.3517992920333,0,6.42418073063494,194.850809529769,0,0,397.59873908578,"CH vs. CB","CH"
"LOC111104947",6.13784090293195,-16.5103306578301,2.51367474758123,-6.6468965139058,2.99337330665716e-11,2.10957983786663e-08,4.51056781901182e-08,0,0,189.390261755127,0,0,0,3.29263310075919,0,0,0,0,0,11.6188587645241,0,0,0,4.31390120285484,6.04384618675894,0,4.59869742222188,0,0,0,4.76201240381015,0,0.598410935467651,0,0,0,0,1.05127591011811,0,0,2.24203402713656,0,0,1.51621494226722,0,0,0,0,0,0,18.6964137377254,1.49280581485003,3.74856629166197,0,2.34135679168655,0,0,0,0,2.32200336404536,0,0,0,6.58432627661035,3.54373318614584,0,0,8.78858693752092,12.5908989123518,0,2.04680716804623,0,0,5.86411789983095,0,0,0,0,4.09690791584191,0,0,1.38687923460915,44.7831456633042,84.8040970638626,10.1892107981316,75.8782400025075,20.5352212395333,0,0,16.1260251655786,0,0,17.2659786977891,0,0,0,0,0,4.44357606292493,0,0,"CH vs. CB","CH"
"LOC144622852",5.57898563188029,-1.9900666070413,2.07681717844578,-3.65121941034855,0.00026099814300072,0.0391358385701612,0.10497351535268,3.80151043192593,3.02962763182416,19.1303294702148,3.52036068372437,4.65383106461902,4.67987901295104,1.31705324030368,2.07765837805472,1.10980112805845,1.00372823317197,4.06261171131585,2.13233658458051,4.22503955073603,0,1.33292854329827,1.0081516418717,3.23542590214113,2.2664423200346,4.43238164240721,0.919739484444377,0,2.87954023087553,5.330588339024,3.80960992304812,14.5004968707282,74.2029559979887,0,1.05172011892065,1.02019765289217,9.88606003636098,2.10255182023622,0,2.80440865172407,8.96813610854623,1.00757696734722,0.871013742648386,0,0,0,0,3.09297791613716,1.07651691122484,1.96234297244142,0.779017239071891,0.746402907425014,10.3085573020704,84.3139423698551,2.34135679168655,5.16699635261828,12.3370684441929,0,0,2.32200336404536,3.71759742781948,8.64931048079506,4.96124773914164,0,1.77186659307292,2.13955133192385,0,2.19714673438023,0,0,17.397860928393,1.95879183213399,2.90092642057967,10.5554122196957,3.23009849963587,3.18838723281262,1.42867232767393,11.5842102996061,0.682817985973652,1.16877918149299,0,2.7737584692183,8.14239012060077,6.69506029451547,6.11352647887896,11.6049072945011,7.98591937092962,0.995434288757132,1.36225403680807,0,7.39845025517132,10.8868861378673,10.6884630033933,1.24678743785268,3.04797263073181,3.73937962787702,27.8381164994181,4.63930498880402,1.11089401573123,8.72700033705479,1.07459118671832,"CH vs. CB","CH"
"LOC144620744",137.27487481905,3.42753933654429,1.56425309715143,4.18592530333561,2.84006742390247e-05,0.00667179172331755,0.0184713079107482,37.0647267112779,17.1678899136703,45.9127907285156,112.65154187918,62.8267193723567,22.2294253115174,19.7557986045552,3.11648756708207,27.7450282014613,33.123031694675,65.0017873810536,61.8377609528349,45.4191751704123,11.2370856001372,274.583279919443,15.1222746280756,49.6098638328306,12.8431731468627,49.6426743949608,26.6724450488869,65.2027463328658,26.6357471355986,13.8595296814624,15.2384396921925,29.0009937414563,15.5586843221589,26.9798985531115,2872.24764477229,31.6261272396572,35.150435684839,13.6665868315354,7.98982002658165,16.8264519103444,14.5732211763876,5.03788483673612,33.0985222206387,18.1945793072067,28.6264450348538,23.8497351914458,9.33092115565116,18.557867496823,24.7598889581713,9.81171486220708,1923.3935632685,2.98561162970006,49.6685033645211,6.09498378577266,12.877462354276,6.20039562314194,13.0224611355369,2.10998142470121,41.3099657869615,109.134158110132,12.0821916404133,8.64931048079506,18.8527414087382,70.7815074735613,7.08746637229168,5.34887832980961,10.7293216359389,21.9714673438023,36.5136068458203,26.3673807891221,147.370116099329,14.6909387410049,18.3725339970046,48.0857667786138,15.0737929983007,19.1303233968757,40.7171613387069,1095.67322417108,19.1189036072623,28.6350899465782,8.14949458352748,28.4310243094876,5.42826008040051,458.611630174309,1715.86309840536,2068.3515539507,7.98591937092962,43.7991087053138,32.0129698649896,47.370198923887,8.32325653706774,3.26606584136019,26.3100627775835,57.3522221412231,48.767562091709,27.1105023021084,19.2725421919048,53.3520073712462,36.6595025191307,13.0905005055822,12.8950942406199,"CH vs. CB","CB"
"LOC144619911",263.266791624448,-5.24677916603919,3.67040759028469,-4.02234800280615,5.76208382196824e-05,0.0113589610448451,0.0498372951053376,0,20.1975175454944,8.60864826159667,6.16063119651765,1.16345776615475,2162.10410398338,1587.70768118608,1.03882918902736,1.10980112805845,0,4.06261171131585,5.33084146145128,0,0,3.9987856298948,1756.20016014051,0,0,1.77295265696288,0.919739484444377,1481.96527736556,3.59942528859441,4.2644706712192,1.90480496152406,0,2.3936437418706,0,2.1034402378413,2111.80914148678,0,2.10255182023622,1.14140286094024,872.171090686184,3.36305104070484,3.02273090204167,0,1364.5934480405,2034.59807488461,1.08407887233844,0,1.03099263871239,3.22955073367452,0,3.11606895628756,0,4.68570786457746,0,0,0,1182.30239256848,2.10998142470121,1.08710436281478,0,1.85879871390974,0,2.97674864348498,3.29216313830517,1280.17361349518,1131.82265458771,0.975392875994443,2.19714673438023,3.77726967370555,0.909220027211106,4.09361433609246,0,0.966975473526556,0,2.15339899975724,2.12559148854174,2.85734465534786,0,1648.3226181404,4.09072713522546,0.90549939816972,0.693439617304575,816.953142100277,2.23168676483849,1.01892107981316,0,0,14.931514331357,0.681127018404034,1.00787657284866,1687.77146446096,0,2431.21423854107,1034.83357341772,1.0159908769106,0.934844906969255,0,2.31965249440201,5.55447007865616,4.3635001685274,0,"CH vs. CB","CH"
"LOC111104111",4.66875791234559,-21.7288742911267,4.50738575533245,-5.1373229073541,2.78679874257642e-07,0.000103368232306881,0.000272862751339822,0,0,0,0,0,0,0,0,0,0,0,26.6542073072564,0,0,0,0,0,0.755480773344867,0,3.67895793777751,0,0,0,0,15.615919706938,0,186.610964992355,0,0,0,10.5127591011811,0,0,0,0,0,2.27432241340084,0,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,0,0,0,0,0,0,0,4.93824470745776,0,0,0,0,2.51817978247037,0,0,69.5371100407565,0,0,0,0,0,0,0.682817985973652,0,0,0,0,0,0,62.4879623550062,0,0,0,41.3229394867951,0,0,0,0,2.03198175382121,0,0,0,0,4.3635001685274,2.14918237343665,"CH vs. CB","CH"
