"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144621391",5.86186443739724,-43.0658746260931,4.74706379269927,-9.39864870346376,5.52682864355883e-21,1.94751624327404e-17,8.32668466771206e-17,0,0,0,0,0,0,0,0,0,0,0,0,8.45007910147205,0,0,0,0,0,3.54590531392577,207.861123484429,0,0,0,0,7.80795985346901,0,0,0,0,0,0,0,13.0872403747123,0,0,0,0,0,3.25223661701533,0,0,0,0,0,0,13.1199820208169,0,0,0,91.8426206401024,0,0,0,0,0,0,0,0,0,0.975392875994443,82.3930025392586,0,0.909220027211106,0,0,0,0,33.3776844962373,0,0,2.89605257490154,0,0,0,0,0,0,0,0,0,0,0,62.4883475166169,0,0,0,0,0,6.54391434878478,0,5.79913123600502,6.6653640943874,0,0,"CH vs. CW","CH"
"LOC144622046",14.7602029542618,21.1923367318421,3.26834023061036,6.58806083211889,4.45608082454494e-11,3.92552870137255e-08,6.71734628131512e-08,0,0,0,0,0,0,0,0,0,0,22.3443644122372,6.39700975374154,0,0,0,27.220094330536,0,78.5700004278662,0,293.396895537756,0,10.0783908080643,189.768944869255,102.859467922299,1.11542283620986,0,0,0,0,0,0,28.5350715235059,0,0,105.795581571458,0,0,0,0,0,0,0,0,0,0,0,0,69.0700253547533,10.3339927052366,0,0,0,0,0,1.92206899573223,0,0,0,0,0,18.675747242232,0,83.6482425034218,104.387165570358,11.7527509928039,0,0,62.4485709929601,13.8163446755213,0,0,66.9161626254179,3.50633754447896,0,0,27.1413004020026,0,0,0,13.6901474930222,0.995434288757132,0,4.03150629139464,0,18.5077064343744,0,0,5.07995438455302,0,0,0,0,5.45437521065925,0,"CH vs. CW","CW"
"LOC111103131",209.842116318423,-1.47758101237385,1.28749096684369,-3.77641051969989,0.000159104680781763,0.0299010730082527,0.0817968261961468,234.743269171427,43.424662722813,133.912306291504,30.8031559825882,102.384283421618,610.72421119011,133.680903890823,84.145164311216,110.980112805845,499.856660119641,244.77235560678,216.432163334922,234.489695065849,564.101697126888,354.558992517339,521.214398847671,34.5112096228387,92.9241351214187,453.875880182498,16.5553107199988,87.5579736469912,403.135632322574,152.454826496087,29.5244769036229,184.044767974627,35.904656128059,630.655128678982,171.430379384066,34.6867201983337,491.007648472595,55.7176232362598,172.351832001976,40.1965240080449,82.9552590040526,70.5303877143056,442.47498126538,263.063292483363,812.142848025851,422.790760211993,139.963817334767,222.694409961876,23.6833720469465,159.930952253975,92.703051449555,510.53958867871,46.8570786457746,2.03166126192422,210.72211125179,22.7347839515205,24.6741368883857,87.5642291251003,379.399422622357,406.350588707938,23.2349839238718,591.997250685528,97.2404556871762,106.995301994918,85.0495964675001,43.8608023044388,58.5235725596666,424.049319735384,94.4317418426388,69.1007220680441,242.546649413478,188.044015884863,234.975040066953,97.3443571371938,105.516550988105,117.970327614067,180.012713286915,359.11051928779,107.202423797863,50.8418943949449,76.0619494462565,29.1244639267921,260.556483859225,143.943796332083,705.093387230706,143.722313416514,528.211524105773,148.319709024813,19.752683533717,398.111246275221,344.027936865466,131.731322268194,258.989680466837,345.360120285191,92.4551697988649,230.906692021406,195.937512284366,398.980229037146,274.390821885615,40.3623765588784,50.5057857757612,"CH vs. CW","CH"
"LOC144619421",141.53652251682,-23.7931977105337,3.67985193178708,-6.59825670600119,4.16020482086873e-11,3.78310238388031e-08,4.53520882152462e-08,0,0,0,340.594896150333,0,0,0,0,0,856.180182895691,0,1.06616829229026,479.541989008539,0,0,0,648.163655728939,0.755480773344867,448.55702221161,0,0,639.977816312086,0,0,303.395011449082,0,8.99329951770384,898.168981558234,0,228.477831951454,0,0,0,0,0,0,4.54864482680167,4.24095481997833,801.13428665811,0,0,0,0,530.510739807958,0,460.136512301507,0,0,0,0,0,733.795444899974,639.711926794497,0,0,0,312.755498138992,0,0,0,0,956.908317338739,0,567.988989132829,11.7527509928039,0,0,0,2.12559148854174,0,0,0,0,0,0,0,1823.28808687305,0,0,0,0,0,0,0,0,727.637673692543,0,0,0,566.398601084314,0,0,307.626761881181,0,"CH vs. CW","CH"
"LOC111102392",22.3727686200669,1.95649193176369,1.74437834363809,3.7827321199335,0.000155116326263999,0.0295454678201496,0.086086309202401,1.90075521596297,80.7900701819777,4.7825823675537,13.2013525639664,8.14420436308328,26.9093043244685,59.2673958136655,101.805260524681,8.87840902446763,14.0521952644076,37.5791583296716,11.7278512151928,6.33755932610404,13.4845027201647,2.66585708659653,2.01630328374341,8.62780240570968,34.7521155738639,6.2053342993701,0,5.58880682853135,10.0783908080643,1.0661176678048,9.5240248076203,12.2696511983084,6.58252029014416,11.2416243971298,4.2068804756826,32.6463248925493,7.68915780605854,249.152390697992,2.28280572188047,17.7612547942524,130.03797357392,4.03030786938889,25.2593985368032,15.1621494226722,2.12047740998917,10.8407887233844,9.33092115565116,7.21694847098671,59.2084301173662,8.83054337598637,4.67410343443134,2.98561162970006,6.55999101040845,9.14247567865899,9.36542716674621,12.4007912462839,8.91010498747263,43.2546192063748,0,26.7030386865216,1.85879871390974,3.84413799146447,55.5659746783864,23.0451419681362,11.517132854974,5.34887832980961,9.75392875994443,43.9429346876046,17.6272584772926,2.72766008163332,0,13.7115428249379,4.83487736763278,4.69129431986476,4.30679799951449,36.1350553052096,7.8576978022066,9.65350858300512,2.73127194389461,10.5190126334369,31.6924789359402,4.16063770382745,31.2124954623029,6.69506029451547,0,2.67805552950026,6.8450737465111,26.8767257964426,8.85465123925245,2.01575314569732,12.0224816646534,144.795585633635,5.75532623259638,9.97429950282141,9.14391789219543,1.86968981393851,0,62.6306173488542,0,4.3635001685274,252.528928878806,"CH vs. CW","CW"
"LOC144623974",81.4787404268529,13.3782196044061,9.4555043525221,4.01135411820059,6.03714768064495e-05,0.0146713097514984,0.0483419372074246,0,0,0.956516473510741,0,0,0,0,0,0,1004.73196140514,0,0,991.828034535282,0,1.33292854329827,0,0,0,1299.57429755379,0,244.044564845869,0,24.5207063595104,0,0,0,0,0,0,0,26.2818977529527,12.5554314703426,0,0,0,0,0,0,0,0,0,0,0,222.019913135489,0,0,0,0,0,7.53931960478453,0,0,0,0,0,0,0,0,0,0,23.0700407109924,1293.08531829853,0,0,0,0,34.0118838190195,0,0,0,0,0,0,349.522767693512,22.883507371051,0,0,0,0,0,305.598326648439,0,15.1181485927299,0,0,0,0,67.0553978760998,0,1670.28698996509,0,0,0,42.983647468733,"CH vs. CW","CW"
"LOC111104604",173.372107130686,23.1965036169711,4.46212923674071,5.41619157981509,6.08818669937739e-08,3.12047241918997e-05,6.30910447563482e-05,0,0,168.34689933789,0,0,0,0,393.716262641369,0,984.657396741703,0,0,0,0,1098.33311967777,0,0,0,0,1317.98668120879,0,447.768505901144,0,0,2114.84169745389,0,0,0,1081.4095120657,0,378.459327642519,0,0,0,0,0,0,0,182.125250552859,0,0,0,548.474860797376,0,0,0,283.416746038429,0,0,0,0,252.208212173028,214.785311174196,1197.99577111483,0,0,0,0,0,0,0,407.945124760199,0,669.305943951118,1.95879183213399,0,286.168953511751,0,0,657.903606893844,982.727173749921,0,0,0,620.628457487594,0,0,0,0,0,3.98173715502853,617.782205692459,0,0,0,0,0,1192.77328949305,0,0,0,0,0,191.277231235862,"CH vs. CW","CW"
"LOC144622804",42.6463043513586,-42.9137944049052,7.82443534624365,-6.02725138159919,1.66771507796645e-09,1.14665580604571e-06,6.93013523052683e-06,0,0,0,0,0,0,25.6825381859217,0,0,0,0,0,0,0,0,0,0,0,0,65.3015033955508,0,0,0,0,0,0.598410935467651,231.577462580874,861.358777396012,784.531995074076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.086567149578,0,0,0,0,0,0,0,0,0,0,0,460.403790192344,0,0,0,0,0,0,347.322050394643,0,0,0,0,0,0,0,525.150866915478,0,0,0,0,27.1413004020026,0,0,0,0,0,0,0,0,0,66.5973464057581,0,0,0,0,0,0,0,0,"CH vs. CW","CH"
"LOC111104612",5067.37882448919,-27.4618464973435,3.30310400382453,-8.45299258216796,2.83929722443676e-17,5.71712776834801e-14,1.35174865015079e-13,0,0,2012.5106602666,0,0,12601.7442121239,13.1705324030368,0,0,7114.42571672293,0,16556.5274109754,0,0,0,7091.33864892557,0,2.2664423200346,0,0,12864.5018514744,4.31931034631329,6857.26883932048,0,249.854715311008,0,1459.16284674745,0,38830.7630643816,0,0,16008.1751246868,6037.89182716191,0,6.04546180408334,0,64230.6554917953,9384.17277790706,0,0,0,0,240.387014124073,0,0,395.473743770338,0,0,10.3339927052366,1408.48198071202,4215.74288655302,0,0,0,64733.3617072659,1100.40474854162,0,12986.0102606314,1570.4306776321,0,0,0,0,2806.17262739138,0,0,2048.92279420094,25.8407879970869,0,150.724930569599,35566.4216723658,0,0,20689.7557487799,0,0,2684.7191781007,10.1892107981316,5920.28809054858,0,879.963911261304,1101.38238875932,0,9628.15820082358,0,0,42246.1455442001,186.942321351551,40.1983309996779,25830.5600210947,38107.2511780362,35.5486085033995,0,389.002009592033,"CH vs. CW","CH"
"LOC111104336",89.8788190207705,1.76935834193763,1.83146745875017,3.69657245307325,0.000218529912424227,0.0382630946039687,0.102296129902153,53.2211460469631,47.4641662319119,263.998546688964,34.3235166663126,10.4711198953928,9.35975802590207,3.95115972091103,316.842902653344,16.6470169208768,23.0857493629553,63.9861344532247,0,84.5007910147205,4.49483424005489,15.9951425195792,3.02445492561511,56.0807156371129,19.6425001069666,5.31885797088865,27.5921845333313,11.1776136570627,5.75908046175105,3570.42806947828,58.0965513264838,100.388055258887,2.3936437418706,7.86913707799086,24.1895627351749,21.4241507107355,3.29535334545366,826.302865352834,15.9796400531633,12.1524374908043,29.1464423527752,15.1136545102084,36.5825771912322,67.4715649308915,5.30119352497292,6.50447323403067,63.6199169703488,42.2706981872079,0,6.86820040354495,50.6361205396729,17.1672668707753,31.8628134791267,13.2057982025074,14.0481407501193,62.0039562314194,7.53931960478453,7.38493498645424,11.9581479909625,81.2701177415876,1.85879871390974,1.92206899573223,6.9457468347983,24.6912235372888,1.77186659307292,44.9305779704008,14.6308931399166,63.7172552970267,8.81362923864628,20.0028405986443,3.07021075206935,14.6909387410049,33.8441415734295,24.62929517929,44.1446794950235,81.8352723088571,4.28601698302178,33.7872800405179,142.708959068493,57.2701798931564,1.81099879633944,201.097489018327,373.192880527535,16.7376507362887,20.3784215962632,104.44416565051,53.6197443476703,15.9269486201141,4.76788912882824,29.2284206126111,144.269779975841,8.70950891029385,18.9103576213881,103.483357341772,11.1758996460166,30.8498819299854,6.42418073063494,41.7537448992362,97.7586733843485,222.538508594897,22.5664149210848,"CH vs. CW","CW"
