"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144621391",5.86186443739724,-40.5747433228077,4.78975161785413,-8.79387599573607,1.44487036424776e-18,5.93470181612164e-15,1.09029747049586e-14,0,0,0,0,0,0,0,0,0,0,0,0,8.45007910147205,0,0,0,0,0,3.54590531392577,207.861123484429,0,0,0,0,7.80795985346901,0,0,0,0,0,0,0,13.0872403747123,0,0,0,0,0,3.25223661701533,0,0,0,0,0,0,13.1199820208169,0,0,0,91.8426206401024,0,0,0,0,0,0,0,0,0,0.975392875994443,82.3930025392586,0,0.909220027211106,0,0,0,0,33.3776844962373,0,0,2.89605257490154,0,0,0,0,0,0,0,0,0,0,0,62.4883475166169,0,0,0,0,0,6.54391434878478,0,5.79913123600502,6.6653640943874,0,0,"CB vs. HB","CB"
"LOC111105539",6.61449734094822,35.2704210077545,5.12093008396798,7.18179720408625,6.88009256174612e-13,8.99165551524203e-10,1.16247080279104e-09,0,0,0,0,0,0,1.31705324030368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19690223030244,0,0,0,0,0,0,0,0,0,0,0,3.22955073367452,0,0.779017239071891,0,0,0,0,0,0,0,0,3.48300504606804,0,0,0,0,0,0,0,0,0,0,2.04680716804623,0,5.80185284115934,0,0,99.902799961462,0,0,0,0,0,0,0,0,0,32.1366663540032,4.56338249767407,0,0,0,0,314.631009384365,0,0,1.0159908769106,0,0,134.539844675317,0,0,16.1188678007749,"CB vs. HB","HB"
"LOC111105307",316.618384570679,-18.6457904762956,4.07612028541691,-4.9951313510726,5.87957358872818e-07,0.000277130327578873,0.000831696166493862,0,0,111.912427400757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8431731468627,0,0,0,0,0,0,52.4248733018634,1.1968218709353,0,0,0,0,3.15382773035433,0,0,0,6.04546180408334,24.3883847941548,1225.85978082305,0,0,0,0,0,1.96234297244142,0,0,0,129.010490132188,0,0,0,0,0,0,0,0,0,0,0,0,12.6801073879278,56.0272417266959,0,0,0,0,0,10.5554122196957,1458.92782233553,1.06279574427087,0,0,0,0,231.807845931448,0,0,4.46337352967698,0,228.527405184023,0,0,187.991057079513,0,22193.5011529502,5.44344306893365,0,7.48072462711606,144.270704521306,0,3628.5914160203,0,15.5525162202373,0,6.44754712030994,"CB vs. HB","CB"
"LOC144622074",202.584821257042,-2.86584894007671,0.648052109592806,-5.12187659179482,3.02509856200341e-07,0.000159681172371063,0.00182736340476738,163.464948572815,42.4147868455383,129.12972392395,224.422993587429,176.845580455523,211.764525336034,187.021560123122,157.902036732158,154.262356800125,138.514496177732,120.862698411647,143.932719459185,116.188587645241,334.865150884089,123.962354526739,161.304262699473,135.887887889927,145.052308482215,188.819457966547,40.4685373155526,88.4894414517464,114.461724177302,68.2315307395073,66.6681736533421,250.970138147218,48.4712857728797,116.91289373015,89.3962101082552,183.63557752059,292.187996630225,182.922008360551,86.7466174314579,216.874269066661,136.76407565533,111.841043375542,2265.50674462845,97.0377563051024,129.349122009339,15.1771042127382,188.314954232233,180.423711774668,100.11607274391,2168.38898454776,116.073568621712,164.208639633503,125.576970770676,93.4564180485141,94.8249500633053,55.8035606082775,100.067332936231,91.7841919745027,165.239863147846,32.508047096635,151.492095183644,329.634832768078,57.550473774043,202.468033005768,77.9621300952084,46.0003536363627,82.9083944595277,175.771738750418,104.50446097252,128.200023836766,173.97860928393,130.25965683691,117.97100777024,163.022477615301,69.9854674921104,155.168178663547,210.729168331904,198.862276809905,146.123048998361,160.122747864539,113.187424771215,137.301044226306,234.772248477322,118.27939853644,230.276164037774,88.3758324735087,149.450776798826,61.7169259029422,250.654742772685,103.811287003412,98.9542721629164,207.939525233266,161.971323974498,196.992415180723,174.750430828624,90.6799559760177,148.826853593043,149.61758588893,1810.75724564191,133.086755140086,163.337860381185,"CB vs. HB","CB"
"LOC111105070",9.02939474538583,14.5573719090715,3.00111993844608,5.12004931045141,3.0545577630803e-07,0.000159681172371063,0.000309288284917953,0,0,59.3040213576659,0,0,0,0,0,0,1.00372823317197,0,0,0,0,0,4.03260656748682,0,0,1.77295265696288,0,0,10.7982758657832,0,396.199431997004,0,10.1729859029501,15.7382741559817,0,8.16158122313733,0,0,0,0,0,0,0,5.30675229793529,12.722864459935,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,23.9887441970417,4.21996284940242,0,0,0,17.2986209615901,0,0,0,0,0,13.1828804062814,2.51817978247037,0.909220027211106,10.2340358402312,0,0,39.8760017188505,2.15339899975724,0,0,0,0,0,16.298989167055,12.4819131114823,0,0,7.13244755869212,8.03416658850079,0,0,0,0,0,0,154.571618818303,0,1.0159908769106,4.67422453484627,1.07069678843916,1.159826247201,0,0,0,"CB vs. HB","HB"
"LOC144619485",19.9679271722894,15.6328850519515,3.20193992660651,5.13951771368276,2.75444526340186e-07,0.000149426057006283,0.000259538550167636,0,1.00987587727472,240.085634851196,0,0,0,109.315418945205,0,1.10980112805845,0,2.03130585565793,0,176.395401243229,0,0,4.03260656748682,0,37.0185578938985,54.9615323658494,0,0,0,0,0,0,2.3936437418706,29.2282234325375,0,0,0,353.228705799685,0,0,10.0891531221145,0,0,1.51621494226722,0,0,0,0,3.22955073367452,0,1.55803447814378,0,0,0,0,0,0,7.38493498645424,0,0,0,0,0,0,0,20.3257376532765,0,2.19714673438023,0,16.3659604897999,0,0,2.90092642057967,2.34564715993238,0,0,0,0,0,0,0,0,29.8554304422028,64.7189161803162,4.07568431925264,0,0,0,0,0,0,78.3855801926446,0,0,22.3517992920333,0,6.42418073063494,194.850809529769,0,0,397.59873908578,"CB vs. HB","HB"
"LOC144620542",11.1676317441689,-18.1722532302762,3.28174131822526,-5.64267475012968,1.67428456964702e-08,1.20347574866227e-05,2.01849670511401e-05,0,0,0,0,0,0,145.534383053556,0,0,0,0,18.1248609689344,4.22503955073603,0,13.3292854329827,0,0,6.04384618675894,0,104.850301226659,11.1776136570627,14.3977011543776,11.7272943458528,5.71441488457218,15.615919706938,0,0,0,0,0,0,28.5350715235059,0,99.7705142075768,0,0,0,0,2.16815774467689,0,0,0,0,21.033465454941,0,14.0571235937324,0,0,0,0,8.43992569880485,0,0,5.57639614172923,73.999656335691,0,0,0,0,0,0,0,0,0,0,0,0,59.2184724933242,0,30.7164550449895,0,1.3656359719473,0,36.2199759267888,0,0,0,0,1.78537035300018,0,14.931514331357,0,0,0,1.08868861378673,253.234354234241,0,0,22.4362777672621,0,0,24.4396683460871,0,0,"CB vs. HB","CB"
"LOC111104947",6.13784090293195,17.3735738759733,2.48036964723311,7.06690665692904,1.58425437976593e-12,1.98045573595783e-09,2.25190890982977e-09,0,0,189.390261755127,0,0,0,3.29263310075919,0,0,0,0,0,11.6188587645241,0,0,0,4.31390120285484,6.04384618675894,0,4.59869742222188,0,0,0,4.76201240381015,0,0.598410935467651,0,0,0,0,1.05127591011811,0,0,2.24203402713656,0,0,1.51621494226722,0,0,0,0,0,0,18.6964137377254,1.49280581485003,3.74856629166197,0,2.34135679168655,0,0,0,0,2.32200336404536,0,0,0,6.58432627661035,3.54373318614584,0,0,8.78858693752092,12.5908989123518,0,2.04680716804623,0,0,5.86411789983095,0,0,0,0,4.09690791584191,0,0,1.38687923460915,44.7831456633042,84.8040970638626,10.1892107981316,75.8782400025075,20.5352212395333,0,0,16.1260251655786,0,0,17.2659786977891,0,0,0,0,0,4.44357606292493,0,0,"CB vs. HB","HB"
"LOC144622804",42.6463043513586,-44.264021418819,7.83881413933869,-6.2257363652556,4.79299449620656e-10,4.59360592516437e-07,1.73750536461276e-06,0,0,0,0,0,0,25.6825381859217,0,0,0,0,0,0,0,0,0,0,0,0,65.3015033955508,0,0,0,0,0,0.598410935467651,231.577462580874,861.358777396012,784.531995074076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.086567149578,0,0,0,0,0,0,0,0,0,0,0,460.403790192344,0,0,0,0,0,0,347.322050394643,0,0,0,0,0,0,0,525.150866915478,0,0,0,0,27.1413004020026,0,0,0,0,0,0,0,0,0,66.5973464057581,0,0,0,0,0,0,0,0,"CB vs. HB","CB"
"LOC111104111",4.66875791234559,20.1518099954498,4.83350646143145,4.84076790956045,1.2933835792071e-06,0.000581052572958789,0.00154444802192558,0,0,0,0,0,0,0,0,0,0,0,26.6542073072564,0,0,0,0,0,0.755480773344867,0,3.67895793777751,0,0,0,0,15.615919706938,0,186.610964992355,0,0,0,10.5127591011811,0,0,0,0,0,2.27432241340084,0,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,0,0,0,0,0,0,0,4.93824470745776,0,0,0,0,2.51817978247037,0,0,69.5371100407565,0,0,0,0,0,0,0.682817985973652,0,0,0,0,0,0,62.4879623550062,0,0,0,41.3229394867951,0,0,0,0,2.03198175382121,0,0,0,0,4.3635001685274,2.14918237343665,"CB vs. HB","HB"
