"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144622060",87.1609503182156,-25.493423617618,3.20513246503612,-8.0782279998136,6.5714656242182e-16,1.57452316356268e-12,1.76756648110626e-12,2.85113282394445,18.177765790945,332.867732781738,0,0,8.18978827266431,0,122.581844305228,0,0,0,40.5143951070297,1.05625988768401,17.9793369602195,0,0,0,26.4418270670704,0,0,1.86293560951045,0,0,0,2129.34219432462,0,39.3456853899543,0,0,0,51.5125195957874,0,0,446.164771400175,507.818791543001,265.659191507758,0,0,0,0,0,190.543493286797,3090.69018159523,0,0,0,143.232118965657,1.17067839584328,0,0,2.10998142470121,0,0,0,0.961034497866117,69.457468347983,0,0,22.4652889852004,0,5.49286683595057,0,0,0,1.95879183213399,0,0,0,0,1.42867232767393,0,0,0,0,0,0,289.003436046584,0,0,0,0,0,0,0,121.933124744114,0,2.49357487570535,0,0,0,77.7083585624673,0,0,160.11408682103,"CC vs. HC","CC"
"LOC111104993",61.7138696130074,-19.4674080655377,3.8434802611893,-5.27298903200188,1.34219587654194e-07,6.02981497536468e-05,0.000203910862215928,0,0,105.216812086182,0,0,0,9.87789930227758,0,0,0,0,57.5730877836739,499.610926874535,0,0,0,0,3.02192309337947,0,0,1.86293560951045,0,0,0,49.0786047932338,1.1968218709353,0,0,0,21.9690223030244,0,0,0,1591.84415926696,0,33.0985222206387,0,0,0,0,0,0,7.84937188976566,0,0,1.87428314583099,0,0,0,0,0,0,0,0,0,0,6.58432627661035,0,3328.07209680754,1.95078575198889,0,0,0,0,0,3.86790189410622,0,0,0,0,5.79210514980307,36.1893532566035,0,0,0,6.78532510050064,4.46337352967698,0,1.78537035300018,0,0,0,0,0,7.62082029650712,0,0,0,0,0,13.9179149664121,0,0,0,"CC vs. HC","CC"
"LOC144622804",42.6463043513586,-44.8538133073871,7.80215730285404,-6.38474570721064,1.71682518035899e-10,1.33411236718059e-07,9.39466241587929e-07,0,0,0,0,0,0,25.6825381859217,0,0,0,0,0,0,0,0,0,0,0,0,65.3015033955508,0,0,0,0,0,0.598410935467651,231.577462580874,861.358777396012,784.531995074076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.086567149578,0,0,0,0,0,0,0,0,0,0,0,460.403790192344,0,0,0,0,0,0,347.322050394643,0,0,0,0,0,0,0,525.150866915478,0,0,0,0,27.1413004020026,0,0,0,0,0,0,0,0,0,66.5973464057581,0,0,0,0,0,0,0,0,"CC vs. HC","CC"
"LOC144620744",137.27487481905,-2.39668220890738,2.18295430490446,-4.10896622770171,3.97434185010615e-05,0.0113138887994309,0.0519396372959459,37.0647267112779,17.1678899136703,45.9127907285156,112.65154187918,62.8267193723567,22.2294253115174,19.7557986045552,3.11648756708207,27.7450282014613,33.123031694675,65.0017873810536,61.8377609528349,45.4191751704123,11.2370856001372,274.583279919443,15.1222746280756,49.6098638328306,12.8431731468627,49.6426743949608,26.6724450488869,65.2027463328658,26.6357471355986,13.8595296814624,15.2384396921925,29.0009937414563,15.5586843221589,26.9798985531115,2872.24764477229,31.6261272396572,35.150435684839,13.6665868315354,7.98982002658165,16.8264519103444,14.5732211763876,5.03788483673612,33.0985222206387,18.1945793072067,28.6264450348538,23.8497351914458,9.33092115565116,18.557867496823,24.7598889581713,9.81171486220708,1923.3935632685,2.98561162970006,49.6685033645211,6.09498378577266,12.877462354276,6.20039562314194,13.0224611355369,2.10998142470121,41.3099657869615,109.134158110132,12.0821916404133,8.64931048079506,18.8527414087382,70.7815074735613,7.08746637229168,5.34887832980961,10.7293216359389,21.9714673438023,36.5136068458203,26.3673807891221,147.370116099329,14.6909387410049,18.3725339970046,48.0857667786138,15.0737929983007,19.1303233968757,40.7171613387069,1095.67322417108,19.1189036072623,28.6350899465782,8.14949458352748,28.4310243094876,5.42826008040051,458.611630174309,1715.86309840536,2068.3515539507,7.98591937092962,43.7991087053138,32.0129698649896,47.370198923887,8.32325653706774,3.26606584136019,26.3100627775835,57.3522221412231,48.767562091709,27.1105023021084,19.2725421919048,53.3520073712462,36.6595025191307,13.0905005055822,12.8950942406199,"CC vs. HC","CC"
"LOC111104111",4.66875791234559,-17.4584767229624,6.20823729669965,-4.43498399495447,9.20791294746355e-06,0.00290929574797222,0.00795793078733132,0,0,0,0,0,0,0,0,0,0,0,26.6542073072564,0,0,0,0,0,0.755480773344867,0,3.67895793777751,0,0,0,0,15.615919706938,0,186.610964992355,0,0,0,10.5127591011811,0,0,0,0,0,2.27432241340084,0,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,0,0,0,0,0,0,0,4.93824470745776,0,0,0,0,2.51817978247037,0,0,69.5371100407565,0,0,0,0,0,0,0.682817985973652,0,0,0,0,0,0,62.4879623550062,0,0,0,41.3229394867951,0,0,0,0,2.03198175382121,0,0,0,0,4.3635001685274,2.14918237343665,"CC vs. HC","CC"
"LOC111101372",48.0702967435283,5.19367634779216,4.30686632277348,4.00208466339737,6.27868220778049e-05,0.0170306293243495,0.0378911595865005,0,0,0,0,0,2.33993950647552,0.658526620151839,0,1.10980112805845,2.00745646634394,1.01565292782896,2.13233658458051,0,0,1.33292854329827,13.1059713443322,210.302683639173,1.51096154668973,0,6.43817639111064,0,0.719885057718882,5.330588339024,9.5240248076203,0,5.38569841920885,0,2.1034402378413,1.02019765289217,1.09845111515122,19.9742422922441,3.42420858282071,1.86960576781604,0,1.00757696734722,0,0.758107471133612,0,0,0,1.03099263871239,0,0,0.779017239071891,0,0.937141572915493,3.04749189288633,0,1.03339927052366,1439.3246518225,3.16497213705182,0,0,0,1.92206899573223,0,9.87648941491553,0,1.06977566596192,3.90157150397777,0,0,0,0,0,0,2.34564715993238,0,1.06279574427087,0,0.965350858300512,1.3656359719473,2.33755836298597,0,1959.66035850273,0,0,0,0,0,0.995434288757132,1.36225403680807,0,490.1473294051,0,0.822189461799483,180.784178488638,0,7.47875925575404,0,0,0,104.724004044658,4.2983647468733,"CC vs. HC","HC"
"LOC111102028",7.95108793783265,18.172452514283,3.50505373890192,5.34854840294421,8.86624655175514e-08,4.17905444026334e-05,0.000125327212303033,0,3.02962763182416,5.73909884106445,0,27.9229863877141,0,3.95115972091103,0,0,0,0,0,0,0,0,0,0,24.9308655203806,0,0,0,0,125.801884800967,0,0,0,0,0,0,1.09845111515122,5.25637955059055,49.0803230204302,0,4.48406805427311,0,0,0,0,0,0,12.3719116645486,0,0,0,37.3201453712507,50.6056449374366,0,0,2.06679854104731,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54610013605553,92.1063225620804,0,78.325013355651,5.86411789983095,0,0,0,0,0,0,0,13.8687923460915,0,93.7308441232165,0,2.67805552950026,25.0986037372074,0,0,0,0,59.8778737582702,12.3328419269922,0,1.0159908769106,0,0,0,0,0,4.2983647468733,"CC vs. HC","HC"
"LOC144625915",5.38931775633419,-21.2923707441513,5.41880527036828,-4.76316019256208,1.90584423190222e-06,0.000711647186437046,0.00173206068588899,0,0,0.956516473510741,4.40045085465546,0,0,0.658526620151839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1322353356096,0,41.2706449397648,2.99205467733825,0,0,0,0,1.05127591011811,0,138.350826818387,0,0,0,3.79053735566806,0,0,0,0,0,0,0,0,0,3.04749189288633,0,3.10019781157097,0,0,0,0,0,0,0,0,0,191.489844207184,0,0,0,0,0,0,0,0,0,0,0,111.980699562859,0,0,0,0.693439617304575,0,0,0,0,0,0,0.681127018404034,0,0,0,0,0,0,0,0,0,0,0,0,"CC vs. HC","CC"
"LOC111101301",1028.16936861323,-8.67695500807438,2.39273952981315,-4.71379140905304,2.43149574790354e-06,0.000863090935107687,0.00256618060229992,0.950377607981484,62.6123043910327,0,0,43.0479373477259,10.5297277791398,11.1949525425813,0,26.6352270734029,3195.87069441955,14.2191409896055,8.52934633832205,1632.97778635947,215.752043522635,5.33171417319306,19.1548811955624,1.07847530071371,0,2259.6281612992,11.9566132977769,17.6978882903493,41.7533333476951,1.0661176678048,3.80960992304812,2.23084567241972,0,33.7248731913894,18483.9810900304,25.5049413223042,0,22.0767941124803,0,53.2837643827572,16.8152552035242,25.1894241836806,1.74202748529677,23720.4246642996,16.9638192799133,6.50447323403067,1.6965311192093,41.2397055484955,11.8416860234732,15.6987437795313,7256.54558195466,14716.826125699,0,60.9498378577266,18.7308543334924,3.10019781157097,1.3707853826881,14.7698699729085,16.3065654422217,6.96601009213608,24.1643832808267,79.7658633228877,1.98449909565666,0,7.08746637229168,1.06977566596192,0,13.1828804062814,2841.76588451781,1.81844005442221,35.8191254408091,15.6703346570719,0.966975473526556,4.69129431986476,6.46019699927173,15.9419361640631,44.2888421578918,8.68815772470461,37.5549892285508,15.7785189501553,42.5584717139768,4.16063770382745,9.4994551407009,0,2.03784215962632,11.6049072945011,11932.1043857933,36.8310686840139,5252.85156593191,0,27.7441884568925,1.08868861378673,9.04408407979431,0,1.0159908769106,0.934844906969255,3889.84143239946,57.9913123600502,28.8832444090121,2.1817500842637,22.5664149210848,"CC vs. HC","CC"
"LOC144620237",2.26865170611375,-29.1753321584616,4.58587269678002,-6.57348733881024,4.91502546694221e-11,4.7212817969756e-08,1.31693439143718e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85720744228609,1.11542283620986,4.18887654827355,0,0,58.1512662148535,0,0,0,0,0,0,0,0.758107471133612,0,3.25223661701533,0,4.12397055484955,0,0,0.779017239071891,0,0,1.01583063096211,10.5361055625895,5.16699635261828,0,0,0,0,0,0,0.992249547828328,0,0,0,0,101.068749781491,0,0,0,6.85577141246896,0,0,0,0,0,0,10.2422697896048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14918237343665,"CC vs. HC","CC"
