"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144622036",59.1558261078273,22.1330594252232,3.7990814988078,5.97208114455419,2.34245961748375e-09,1.00522983465512e-06,1.56183315817561e-06,0,205.004803086768,0,0,202.441651310927,0,772.451725438107,0,0,0,0,191.910292612246,12.6751186522081,0,0,0,0,117.099519868454,0,0,1.86293560951045,0,0,1.90480496152406,85.8875583881591,0,0,0,0,49.4303001818049,16.8204145618898,0,0,276.891202351365,20.1515393469445,9.58115116913225,0,0,2.16815774467689,0,0,0,45.1338883661526,0,0,0,37.5857333455981,161.553618626372,0,0,1094.02536870758,0,0,0,0,137.922687148138,851.024171251888,0,0,0,0,0,0,0,0,51.2497000969075,0,0,303.959582861469,0,128.391664153968,0,226.158771618893,0,0,62.4249909246059,17.8534941187079,0,0,0,0,0,0,0,400.637409873517,0,0,0,0.934844906969255,0,18.5572199552161,0,0,56.9533328960712,"HH vs. HC","HC"
"LOC144619234",20.0045612801197,18.4924192634635,3.21117020955051,5.86622768417225,4.45821505747829e-09,1.73219728827859e-06,3.42823902078333e-06,0,19.1876416682197,0.956516473510741,1.76018034186219,17.4518664923213,0,0.658526620151839,0,0,0,0,84.2272950909303,35.9128361812562,0,0,0,0,21.9089424270012,0,0,0,0,1.0661176678048,0.95240248076203,3.34626850862958,0,0,0,0,4.39380446060488,252.306218428346,0,0,17.9362722170925,1.00757696734722,7.83912368383548,0,0,0,0,0,5.3825845561242,0,0,0,0,1.01583063096211,9.36542716674621,0,0,75.9593312892436,0,0,0,0,50.6047269392447,59.2589364894931,0,0,0,3.29572010157034,0,0,0,9.79395916066994,0,0,0,23.3815063739592,0,125.495611579067,0,23.3755836298597,0,0,0,0,0,0,0,0,0,0,0,17.4190178205877,0,0,0,0,0,5.79913123600502,0,0,999.369803648041,"HH vs. HC","HC"
"LOC111102792",8.13932128794636,16.4823186451408,3.11282239149846,5.42403033067997,5.82699877802835e-08,1.88244796478507e-05,3.45592386972597e-05,1.90075521596297,0,14.3477471026611,3.52036068372437,2.32691553230951,0,0,0,0,0,0,45.845236568481,10.5625988768401,0,0,4.03260656748682,0,3.02192309337947,0,0,0,0,3.1983530034144,1.90480496152406,44.6169134483943,0,189.983452311494,0,0,0,2.10255182023622,0,0,3.36305104070484,0,0,25.0175465474092,0,0,0,0,0,1.96234297244142,4.67410343443134,0,0,0,10.5361055625895,0,0,2.10998142470121,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,36.2376488944788,0,0,0,4.25118297708349,0,0,0,0,0,0,0,6.69506029451547,0,220.493238595522,0,3.98173715502853,0,97.76402756632,0,4.35475445514692,0,0,1.0159908769106,0,0,2.31965249440201,0,10.9087504213185,0,"HH vs. HC","HC"
"LOC111105539",6.61449734094822,36.5031163073277,5.21909513367379,7.32960422933463,2.30833393645631e-13,2.074038041906e-10,8.75195818733507e-10,0,0,0,0,0,0,1.31705324030368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19690223030244,0,0,0,0,0,0,0,0,0,0,0,3.22955073367452,0,0.779017239071891,0,0,0,0,0,0,0,0,3.48300504606804,0,0,0,0,0,0,0,0,0,0,2.04680716804623,0,5.80185284115934,0,0,99.902799961462,0,0,0,0,0,0,0,0,0,32.1366663540032,4.56338249767407,0,0,0,0,314.631009384365,0,0,1.0159908769106,0,0,134.539844675317,0,0,16.1188678007749,"HH vs. HC","HC"
"LOC144622060",87.1609503182156,-19.3303574743249,3.34650243324258,-5.89137151293147,3.83003397073512e-09,1.55100192572642e-06,3.04360765289075e-06,2.85113282394445,18.177765790945,332.867732781738,0,0,8.18978827266431,0,122.581844305228,0,0,0,40.5143951070297,1.05625988768401,17.9793369602195,0,0,0,26.4418270670704,0,0,1.86293560951045,0,0,0,2129.34219432462,0,39.3456853899543,0,0,0,51.5125195957874,0,0,446.164771400175,507.818791543001,265.659191507758,0,0,0,0,0,190.543493286797,3090.69018159523,0,0,0,143.232118965657,1.17067839584328,0,0,2.10998142470121,0,0,0,0.961034497866117,69.457468347983,0,0,22.4652889852004,0,5.49286683595057,0,0,0,1.95879183213399,0,0,0,0,1.42867232767393,0,0,0,0,0,0,289.003436046584,0,0,0,0,0,0,0,121.933124744114,0,2.49357487570535,0,0,0,77.7083585624673,0,0,160.11408682103,"HH vs. HC","HH"
"LOC111104261",74.2425902562567,1.41359238338202,1.84497083459047,3.64932712415831,0.00026292811216328,0.0343623140041756,0.132869200907838,8.55339847183335,55.5431732501097,53.5649225166015,15.8416230767597,133.797643107797,4.67987901295104,223.240524231473,22.8542421586019,7.76860789640918,27.1006622956432,19.2974056287503,92.7566414292523,178.507921018597,35.9586739204391,7.99757125978959,12.0978197024605,39.9035861264073,107.278269814971,6.2053342993701,19.3145291733319,314.836118007266,14.3977011543776,55.4381187258496,17.1432446537165,237.5850641127,7.18093122561181,57.332284425362,25.2412828540956,19.3837554049512,188.93359180601,85.1533487195669,15.9796400531633,9.34802883908022,263.438998188545,60.4546180408334,69.6810994118709,45.4864482680167,5.30119352497292,5.42039436169222,8.48265559604651,9.27893374841148,50.5962948275675,64.7573180905667,25.7075688893724,23.1384901301754,19.6799730312253,51.8073621790676,19.9015327293357,9.30059343471291,4.79774883940834,105.499071235061,0,146.286211934858,9.29399356954871,1.92206899573223,575.50473774043,233.743582819667,582.94410912099,5.34887832980961,9.75392875994443,9.88716030471103,23.9227079334685,20.9120606258554,17.397860928393,25.4642938177418,29.9762396793232,14.0738829595943,23.6873889973297,58.453765934898,6.42902547453268,41.510086906922,29.361173396867,42.0760505337475,19.9209867597338,25.6572658402693,187.274972773818,17.8534941187079,20.3784215962632,47.3123143545047,12.5493018686037,302.612023782168,29.9695888097775,76.5986195364982,231.201570474104,214.471656915986,25.487873315784,17.4550241299375,16.2558540305697,11.2181388836311,37.4743875953705,189.051678293764,8.88715212584986,35.998876390351,580.279240827895,"HH vs. HC","HC"
"LOC144619421",141.53652251682,14.6453995198605,5.91080587615673,4.22355202600191,2.40481824798144e-05,0.00457902875933526,0.010224483019916,0,0,0,340.594896150333,0,0,0,0,0,856.180182895691,0,1.06616829229026,479.541989008539,0,0,0,648.163655728939,0.755480773344867,448.55702221161,0,0,639.977816312086,0,0,303.395011449082,0,8.99329951770384,898.168981558234,0,228.477831951454,0,0,0,0,0,0,4.54864482680167,4.24095481997833,801.13428665811,0,0,0,0,530.510739807958,0,460.136512301507,0,0,0,0,0,733.795444899974,639.711926794497,0,0,0,312.755498138992,0,0,0,0,956.908317338739,0,567.988989132829,11.7527509928039,0,0,0,2.12559148854174,0,0,0,0,0,0,0,1823.28808687305,0,0,0,0,0,0,0,0,727.637673692543,0,0,0,566.398601084314,0,0,307.626761881181,0,"HH vs. HC","HC"
"LOC144623974",81.4787404268529,15.8335387098542,8.73100885817067,4.01657413597785,5.9050293361172e-05,0.0101060359209549,0.02315788947251,0,0,0.956516473510741,0,0,0,0,0,0,1004.73196140514,0,0,991.828034535282,0,1.33292854329827,0,0,0,1299.57429755379,0,244.044564845869,0,24.5207063595104,0,0,0,0,0,0,0,26.2818977529527,12.5554314703426,0,0,0,0,0,0,0,0,0,0,0,222.019913135489,0,0,0,0,0,7.53931960478453,0,0,0,0,0,0,0,0,0,0,23.0700407109924,1293.08531829853,0,0,0,0,34.0118838190195,0,0,0,0,0,0,349.522767693512,22.883507371051,0,0,0,0,0,305.598326648439,0,15.1181485927299,0,0,0,0,67.0553978760998,0,1670.28698996509,0,0,0,42.983647468733,"HH vs. HC","HC"
"LOC144619466",3.19122519030149,8.21299000683293,7.86753803370963,3.66286353790129,0.000249411422721698,0.0331994316022882,0.0616079942032813,0,0,0,0,0,0,0,0,0,0,0,2.13233658458051,0,0,0,0,0,0,0,1.83947896888875,0,0,0,0,10.0388055258887,0,26.9798985531115,0,0,0,4.20510364047244,0,0,0,1.00757696734722,0,0,0,0,0,0,0,0,1.55803447814378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,13.7115428249379,0,1.17282357996619,0,0,0,0,0.682817985973652,0.584389590746494,0,0,1.35706502010013,2.23168676483849,0,183.893146359018,9.12676499534813,0,0,32.2520503311571,0,0,0,0,4.06396350764241,0,0,0,0,1.09087504213185,0,"HH vs. HC","HC"
"LOC111102542",15.140488808199,19.8637350717987,3.42020652088939,5.92736888109183,3.07826962279993e-09,1.29257454411485e-06,2.40114553297326e-06,0,0,8.60864826159667,0,0,44.4588506230348,0,0,0,0,10.1565292782896,0,1.05625988768401,0,0,0,2.15695060142742,0.755480773344867,0,1.83947896888875,39.1216477997195,0,1.0661176678048,0,0,0,0,0,0,13.1814133818146,0,0,0,0,2.01515393469445,0,0,0,0,0,0,0,0,4.67410343443134,0,0,1.01583063096211,0,0,3.42696345672024,0,0,0,0,0,35.7209837218198,9.87648941491553,35.4373318614584,0,0,0,0,0,0,0,0,0,0,6.37677446562523,0,3.86140343320205,0,0,0,0,358.265165306434,1.11584338241924,0,6.24879623550062,784.90178959994,40.8128058390424,0,7.05513600994062,0,0,0,0,0,0,0,0,0,0,0,"HH vs. HC","HC"
