"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144622046",14.9732307861746,20.7752479878386,3.46339148195148,8.34210521777919e-10,4.00971944194198e-07,0,0,0,0,0,0,0,0,0,0,22.1925873488014,6.36561923231896,0,0,27.0498671959729,0,78.1368110164304,0,291.329178209586,0,10.022698920976,188.60003591728,102.21026625997,0,0,0,0,0,0,28.3721358612988,0,0,105.115422680825,0,0,0,0,0,0,0,0,0,0,0,0,68.6188020212954,10.2847483966655,0,0,0,0,0,1.91161335429392,0,0,0,0,0,18.5406044138798,0,83.2381576368552,103.748862873175,11.6755750245327,0,0,62.0731802945189,13.7238899446932,0,0,66.4593984667442,3.48227054397107,0,0,26.9585235117486,0,0,0,13.6024941773819,0.989483751231176,0,4.00493699563363,0,18.3603009055623,0,0,5.04801047332626,0,0,0,0,5.42175689909071,0,"BC vs. CB","CB"
"LOC144619349",52.4617887645281,22.367164970029,4.1384296417386,2.05831479658985e-08,7.28271797821202e-06,0,0,440.820969005408,0,126.019564127396,0,0,0,122.460334660862,0,0,0,0,0,0,0,0,0,446.582972239773,0,0,0,342.593670241751,0,0,7.31505885500817,1.01435984742021,1.09092795971432,0,0,0,0,129.14180500787,0,0,0,210.240125706144,0,0,0,0,2.32430616697382,0,286.545174134075,0,273.312177542448,194.381744696977,0,0,0,42.7034415405925,0,0,0,0,0,0,85.3217054810825,0,0,0,0,165.403979514214,0,0,272.907947846592,0,0,540.557715786555,4.06894276327005,125.942118006954,0,0,0,0,0,303.867796653218,0,0,0,0,0.920626356558067,0,0,2.47762215354032,0,355.677855245828,0,56.4866780856368,286.304946710722,0,0,"BC vs. CB","CB"
"LOC111105307",321.260020332642,19.1177825768771,4.4809048565611,1.08704110645852e-06,0.000314686047579897,0,0,111.155287443174,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7723633392242,0,0,0,0,0,0,1.18931637470861,0,0,0,0,3.12989497381048,0,0,0,6.00659558176141,24.2608339947529,1218.89094309595,0,0,0,0,0,1.94886480302041,0,0,0,128.207842762387,0,0,0,0,0,0,0,0,0,0,0,0,12.6043428551599,55.6218132416394,0,0,0,0,0,10.5036306219247,1450.15791894954,1.05568384189948,0,0,0,0,230.195595545979,0,0,4.43410937124457,0,226.793457560419,0,0,186.996089551228,0,22093.1913046805,5.40008850163597,0,7.43286646062097,143.363497442466,0,3598.72918898918,0,15.4759430654444,0,6.4043975554522,"BC vs. CB","CB"
"LOC111117765",924.237142308226,2.04446926546778,0.514862725862061,1.65821587077468e-07,5.55829596157696e-05,1023.65924688583,720.887833760176,989.947089878524,147.825465363485,845.140379606666,412.666985864681,305.077071794927,800.68921425266,1484.96946354523,932.092260813876,834.239533520852,1640.20788886085,323.887048854427,1167.98987547601,551.015813251299,981.578166699166,1483.09677833109,729.47415545139,3274.02853881306,417.602449839968,1521.302514791,1150.67212924813,598.119335891676,651.745373340317,577.302332096507,715.830759382942,529.495840353352,388.370353658299,488.263615914436,961.247962980803,252.543772989523,1354.88433600693,1341.47301326005,1062.27794562739,542.73437169393,915.979220938105,3136.35141373934,244.445653743989,435.362931635895,482.244499822613,1524.98670836347,311.457026374491,1351.15400482958,1121.06147672584,1863.55651763281,1845.72947131857,1675.3855138168,1137.55547562419,575.102189280536,783.891045408097,1211.85442209789,479.729390324395,634.655633625582,494.862408583336,1349.3177323128,520.332992485388,1846.62000896229,634.095402098045,2622.95021266946,499.756719527204,809.76251179332,773.030742976601,1661.82351182516,689.613089878645,337.283249970694,394.913853942715,277.644850419562,1664.1095670518,168.684677266726,495.732859991735,418.452843700524,547.613740966802,743.105699190203,1707.82246446927,1436.65143628324,189.484942953934,1732.84376167258,537.298520006584,1124.05354139862,991.214779034225,618.762765825396,1162.75108833284,1365.14237321357,942.689102934746,351.822345802726,780.422419176241,620.346755363481,614.831572860647,1449.05621129889,604.667204057008,374.101226037259,543.306392620861,"BC vs. CB","CB"
"LOC144619407",11.9438706104724,15.6291141194709,5.6805806745219,1.05326274349693e-05,0.00246163930188847,5.666010591619,0,9.50045191822,0,0,0,0,0,0,3.99182981076607,0,126.251448107659,0,0,0,0,0,0,2.73977283582683,0,0,4.2382030543209,0,0,22.3327788045071,0,0,0,0,3.40465630335585,0,0,4.0043970545076,0,0,0,0,0,0,0,0.974432401510207,0,0,0,0,0,3.08542451899964,0,0,23.7542741032757,2.30829413732932,0,0,0,0,0,0,0,2.18124757810351,7.51513863950682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.502258359213,1.13354118144849,0,0,24.0296219738018,0,0,0,0,0,0,0,9.22231478949172,0,0,0,"BC vs. CB","CB"
"LOC111104604",153.217591418722,22.5797930094238,4.82229665884825,3.37956936727745e-07,0.000108980417254928,0,0,167.207953760672,0,0,0,0,391.058263146595,0,978.996261090378,0,0,0,1092.42185856099,0,0,0,0,1308.69815791328,0,445.294194917649,0,0,0,0,0,1075.22143826543,0,375.587396857258,0,0,0,0,0,0,0,181.129954454524,0,0,0,544.707712444206,0,0,0,281.653449848079,0,0,0,0,250.499617816361,213.517207702962,1191.46663608506,0,0,0,0,0,0,0,405.817486533369,0,665.213297245654,1.94592917075545,0,284.76509686107,0,0,653.858750535283,975.687508281406,0,0,0,617.529805733734,0,0,0,0,0,3.9579350049247,614.512511677404,0,0,0,0,0,1185.27285913701,0,0,0,0,0,189.997127478415,"BC vs. CB","CB"
"LOC144619485",20.2629836357229,-21.8373985595943,3.08559096306698,5.76659469059017e-13,4.19725713550813e-10,0,1.0026256380531,238.461343147322,0,0,0,108.675523429094,0,1.10324625820597,0,2.01750794080012,0,175.045751322619,0,4.00738773273672,0,36.8144590365874,54.6224609154422,0,0,0,0,0,2.37863274941721,29.0326124458592,0,0,0,350.548237066774,0,0,10.0279268289987,0,0,1.50759547692758,0,0,0,0,3.20783481034998,0,1.54953744464921,0,0,0,0,0,0,7.346195848474,0,0,0,0,0,0,0,20.2107028630666,0,2.18124757810351,0,16.2857264941673,0,0,2.88139174044002,2.33414013820549,0,0,0,0,0,0,0,0,29.6543758629234,64.2945858830462,4.0531538599772,0,0,0,0,0,0,77.7612744235579,0,0,22.2112460826356,0,6.37131163586163,193.668610579326,0,0,394.937849252885,"BC vs. CB","BC"
"LOC111104521",18.159721576554,17.5595108525609,2.97256260604973,1.85844114083328e-09,8.45424786834425e-07,0,0,3.800180767288,0,4.62457116063839,0,0,0,0,0,0,125.19051156894,0,0,8.01477546547344,0,4.5078929432556,0,0,0,0,0,0,0,297.025958099944,0,0,0,22.9525631412769,9.07908347561561,0,2.22842818422193,0,0,9.0455728615655,0,0,0,6.14630021133029,0,1.94886480302041,1.54953744464921,0,0,0,0,2.05694967933309,0,0,0,0,0,1.91161335429392,0,45.8506025543184,5.27364519410866,0,0,0,7.51513863950682,0,8.13716571554317,200.430704587812,0,0,0,14.7795737865927,0,0,0,0,0,0,5.39170470234971,28.8217109130897,0,496.110688413417,4.53416472579395,0,1.35504412718281,306.377680165973,5.5237581393484,4.32007080130877,0,0,12.115225135983,0,0,0,13.2650940560952,8.67481103854514,2.13479918515073,"BC vs. CB","CB"
"LOC144618975",12.6656229958938,16.4248138360567,3.19180334618686,1.01509590274731e-07,3.4479424163317e-05,0,0,0,0,2.3122855803192,0,0,0,0,0,0,72.1436846329483,0,0,0,0,0,0,0,0,0,2.11910152716045,1.89278270851796,0,297.025958099944,0,0,0,6.25978994762097,2.2697708689039,0,0,0,0,5.27658416924654,0,2.15630898160147,0,0,0,0,0,0,0,0,2.32606108546764,0,1.36315814933995,0,0,0,0,0,1.97549863705923,0,0,0,3.87825934004921,0,0,0,15.2571857166434,69.0804855618186,1.92092782696001,0,0,4.22273536759791,0,0,2.7126285088467,0,0,4.13986461944403,8.08755705352457,28.8217109130897,0,300.324148878836,4.53416472579395,0,0,292.360400681255,0,0,0,0,4.03840837866101,0,2.12377054528721,9.22231478949172,2.21084900934921,15.180919317454,0,"BC vs. CB","CB"
"LOC144622387",288.961915159153,3.39025750793754,3.73452246470424,0.000142230893233271,0.0186058899747601,1.88867019720633,1257.29255011858,288.813738313888,8.74706895641923,1412.80648957503,0,0,0,1153.99558608344,650.668259154869,8.0700317632005,0,5.24089075816225,989.012993308856,427.788640469645,564.273350474056,642.374744413923,4.40503717060018,379.001908956044,0,0,253.232632495674,301.898842008615,1.18931637470861,0,720.010793014375,10.1435984742021,7.63649571800027,426.709014762829,518.642643544542,0,346.52058264651,387.425415023611,1071.8089875539,3.01519095385517,569.591676468408,2.15630898160147,268.047303070995,413.850880896239,0,0,338.573931655852,212.324200758933,537.737372238621,1.00951057293218,359.37643770475,0,251.502678553221,549.915232085768,0,0,413.177336175346,0,294.349296921825,212.877797573621,234.677211137836,277.631234066335,0,3.27187136715526,10.0201848526758,426.143176597378,742.516371543314,0,444.694791941243,355.956371076338,3.21068173937167,345.208616301129,0,983.354993611712,265.837593866977,1016.82299883955,354.285408769983,545.772152330038,1.34792617558743,336.992312214587,0,902.7442705237,357.065472156274,0,313.69271544282,8.00987399126726,15.6506480614871,439.567204033168,1.6337766082058,0,1088.35105804914,0,0,11.5278934868647,0,403.378713292349,428.027236622722,"BC vs. CB","CB"
"LOC144622389",53.5553999766047,7.00640745212372,3.66716703079023,2.30828338474439e-05,0.00488691738532113,0,162.425353364601,22.801084603728,0,169.952990153461,0,0,4.12726399099309,141.215521050364,42.9121704657352,0,8.48749230975862,0,178.976882167152,65.1200506569717,48.2743360671721,88.6552278840268,0,56.6219719404211,0,0,19.0719137444441,135.333963659034,1.78397456206291,0,245.576975846703,63.9046703874735,1.09092795971432,134.585483873851,40.8558756402702,3.71387901455181,119.220907855873,36.0395734905684,45.055834561684,0,85.2808240183753,40.969870650428,53.9466270331563,96.2920366441745,0,0,58.88242289667,54.9370309655981,249.331515155624,5.04755286466091,138.400634585325,0,8.86052797070966,159.517395566864,0,0,71.1737245760663,0,60.2527084303064,57.313253192898,38.6733980901302,59.5683873858804,0,0,0,43.4286039844462,231.90922289298,0,39.3790204526803,64.1888538006511,0,67.5637658815665,0,225.232381577731,48.1491560320289,69.6454108794214,51.2544880707844,113.156299598137,26.9585235117486,75.3798593111576,0,163.893709565147,119.021824052091,0,69.7847725499146,0,0,36.7206018111246,0,0,283.698188600936,0,0,0,0,46.6271093321801,76.8527706654264,"BC vs. CB","CB"
"LOC111104947",6.22957083235473,-18.1868875028346,2.53969944844126,4.22012974024145e-13,3.257812276747e-10,0,0,188.108947980756,0,0,0,3.27335913943055,0,0,0,0,0,11.5299596679569,0,0,4.29105209485974,6.0105239243408,0,4.56628805971138,0,0,0,4.7319567712949,0.594658187354303,0,0,0,0,1.04329832460349,0,0,2.22842818422193,0,0,1.50759547692758,0,0,0,0,0,0,18.5944493357905,1.48478462069184,3.72136589784513,0,2.32606108546764,0,0,0,0,2.30829413732932,0,0,0,6.55008607918834,3.51576346273911,0,0,8.72499031241402,12.5252310658447,0,2.03429142888579,0,0,5.83535034551373,0,0,0,0,4.06894276327005,0,0,1.37995487314801,44.4815637943851,84.2480780536468,10.132884649943,75.3025152056079,20.4037412660728,0,0,16.0197479825345,0,0,17.1546543861609,0,0,0,0,0,4.42169801869841,0,0,"BC vs. CB","BC"
