"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144619421",140.440413018684,22.366236277314,3.72931226696081,8.28030740035713e-10,1.59409888388032e-06,0,0,0,338.511568613424,0,0,0,0,0,851.257707145864,0,1.06093653871983,475.872880841132,0,0,644.730577252676,0.7513154905426,445.789761664738,0,0,636.441381481977,0,0,0,8.93311152180282,892.437180310996,0,226.913015620579,0,0,0,0,0,0,4.52278643078275,4.21139871695681,796.756168701745,0,0,0,0,527.617499903056,0,456.797663960489,0,0,0,0,0,728.824319077776,635.935034834228,0,0,0,311.129088761446,0,0,0,0,951.917561004198,0,564.515871515807,11.6755750245327,0,0,0,2.11136768379895,0,0,0,0,0,0,0,1811.33367815341,0,0,0,0,0,0,0,0,722.946149131066,0,0,0,561.737309228467,0,0,305.787089108716,0,"CW vs. WW","WW"
"LOC111102542",15.3697479132957,-12.6646686050068,6.10440401362902,6.14261312239955e-06,0.00514810424300202,0,0,8.550406726398,0,0,44.1728041207265,0,0,0,0,10.0875397040006,0,1.04817815163245,0,0,2.14552604742987,0.7513154905426,0,1.82651522388455,38.8898068587109,0,1.05955076358023,0,0,0,0,0,13.0911355165719,0,0,0,0,2.0021985272538,0,0,0,0,0,0,0,0,4.64861233394763,0,0,1.00951057293218,0,0,3.40789537334987,0,0,0,0,0,35.5589754670661,9.82512911878252,35.1576346273911,0,0,0,0,0,0,0,0,0,0,6.33410305139686,0,3.83374266515287,0,0,0,0,355.852510355081,1.10852734281114,0,6.20138360516771,779.87633283656,40.5688338004782,0,7.00863974235885,0,0,0,0,0,0,0,0,0,0,0,"CW vs. WW","CW"
"LOC111117821",55.9398304568671,3.16885104478602,3.06046013738586,2.68562654355193e-05,0.0178910931353904,15.1093615776507,8.02100510442476,59.852847084786,1.74941379128385,23.122855803192,11.6244221370333,140.754442995513,214.617727531641,26.4779101969432,120.752851775673,12.1050476448007,68.9608750167888,602.702437188659,0,16.0295509309469,0,0,0,105.024625373362,106.48399497028,22.193119039304,0,0,7.13589824825164,13.3996672827042,58.5204708400653,134.909859706889,69.8193894217167,0,4.5395417378078,48.2804271891735,0,15.0164889544035,1.73291671391092,58.7962236001757,16.8455948678272,53.9077245400368,4.21458023696533,0,10.6927827011666,34.1051340528573,127.83683918356,21.5293770000317,173.043514249798,0,88.3903212477703,0,22.4921094641091,11.544022047602,0,13.8497648239759,23.1083521350865,3.82322670858784,17.779487733533,0,0,106.372120331929,3.87825934004921,54.5311894525876,310.625730432949,56.0952801465763,63.0630342954595,0,3.84185565392003,53.6852231787264,142.340223778811,0,87.3231556089466,0,0,0.580378423995179,106.105782321975,165.594584777761,6.73963087793714,55.4263671405571,52.6910001797035,13.2886791539308,22.6708236289698,94.0009563669617,1.35504412718281,47.0580096986951,103.110151934503,2.16003540065439,63.7172877200261,0,41.3936858812754,438.328845107131,16.9901643622977,119.890092263392,289.621220224746,0,33.0893873698363,"CW vs. WW","WW"
"LOC111104612",5142.86588220616,26.9027220177355,3.29923450878742,1.02619096985709e-16,4.44357793130951e-13,0,0,1998.89508359349,0,0,12520.6650837985,13.0934365577222,0,0,7073.52242467747,0,16475.2835097802,0,0,7046.99132801752,0,2.2539464716278,0,0,12788.2648220394,4.29544239470401,6815.03051134801,0,0,1449.39734441251,0,38608.5645125082,0,0,15916.7682181886,5996.98613874753,0,6.00659558176141,0,63865.5133913447,9318.77251094617,0,0,0,0,238.735938370001,0,0,392.604102222661,0,0,10.2847483966655,1400.6449984468,4193.62837292887,0,0,0,64381.226159265,1095.41399424934,0,12883.5152092075,1561.54272647272,0,0,0,0,2789.01354900242,0,0,2038.8714107225,25.6854539149734,0,149.798258808843,35311.6452530568,0,0,20545.8561040237,0,0,2667.11678680361,10.132884649943,5875.36800992461,0,874.70363608836,1095.5531768273,0,9584.64099812603,0,0,41975.8745252801,185.766785418407,39.9325007195055,25617.982202527,37876.0468404425,35.3735841495873,0,386.398652512283,"CW vs. WW","WW"
"LOC111103088",14.5593843091826,-1.33716577731061,1.56705343094289,3.9304300423348e-05,0.0232082961204319,2.8330052958095,10.026256380531,8.550406726398,6.12294826949346,16.1859990622344,5.81221106851664,11.78409290195,4.12726399099309,2.20649251641193,2.99387235807455,16.140063526401,14.8531115420776,6.2890689097947,13.2575468271965,6.01108159910508,4.29105209485974,3.0052619621704,0.881007434120036,26.484470746326,18.5189556470052,8.59088478940801,7.41685534506158,0,6.54124006089734,26.7993345654085,3.13502522357493,8.11487877936172,2.18185591942865,3.12989497381048,17.0232815167793,11.1416370436554,445.685636844386,5.0054963181345,3.46583342782184,2.26139321539137,12.6341961508704,9.70339041720663,8.42916047393067,16.3901338968808,11.7620609712833,10.7187564166123,14.7206057241675,8.16631541380513,9.30341474461282,15.1426585939827,9.30424434187056,16.4555974346647,2.04473722400992,15.74184824673,6.47843839180245,5.77073534332331,2.77300225621038,16.2487135114983,12.840741140885,3.27504303959417,11.4262312539021,67.0144358091155,7.75651868009841,8.72499031241402,6.26261553292235,21.7143019922231,19.325768574415,13.6215041952882,9.60463913480007,1.16707006910275,6.42136347874334,11.6125222608942,9.93922096361994,2.87530699886466,6.78157127211675,6.38416266394697,20.681635537334,4.13986461944403,2.69585235117486,22.1705468562228,5.06644232497149,0.885911943595387,2.26708236289698,17.8107075221612,10.8403530174625,3.00370274672522,9.20626356558067,10.8001770032719,27.7742023394986,2.47762215354032,7.06721466265677,12.0726164965947,16.9901643622977,1.15278934868647,3.31627351402381,2.16870275963628,7.47179714802756,"CW vs. WW","CW"
"LOC144620836",28.5245490996058,-19.2494790114648,8.01900768099491,3.99060297548658e-06,0.00357516744503851,107.654201240761,0,0,0,0,0,62.8484954770665,0,60.6785442013281,0,0,0,0,0,0,0,0,78.4096616366832,0,0,0,0,0,0,0,0,279.963317887979,0,0,0,243.259075453143,258.497669369744,0,107.440836262477,65.5804032463498,0,19.4067808344133,0,0,0,0,0,0,0,0,41.8690995384175,0,0,0,113.372671856543,0,0,0,0,0,0,219.126567883774,0,0,113.979602699187,0,0,0,0,0,194.781358855215,0,0,0,173.608224566189,79.5118440873395,0,0,0,162.953519393238,0,0,0,0,0,0,0,0,60.4497345036146,97.8660750648427,0,0,0,83.0008331054255,0,0,0,"CW vs. WW","CW"
"LOC144620953",281.580040713904,-1.41127912933151,1.98903470480145,6.52701132786223e-05,0.0346078125120793,20.7753721692697,757.98498236814,15.200723069152,31.4894482431092,127.175706917556,909.029811116002,44.5176842962554,22.699951950462,1950.53938450815,39.9182981076607,1193.35594698327,320.402834693388,46.1198386718278,76.8937715977394,95.1754586524971,16.091445355724,22.539464716278,78.4096616366832,56.6219719404211,41.6676502057617,27.920375565576,41.3224797796288,28.3917406277694,35.6794912412582,36.8490850274366,1155.77929909129,140.99601879141,130.911355165719,32.3422480627083,1532.09533651013,469.805695340803,1817.28318423299,1541.69286598543,61.5185433438377,27.1367185846965,74.7523272259833,89.4868227364611,608.585386217794,71.7068357988534,770.949632754111,133.497239006898,10.8467621125445,918.339287897904,76.2880009058251,88.836930418032,34.8909162820146,22.626446472664,95.4210704537964,698.938062154812,2.15947946393415,30.0078237852812,673.839548259122,26.7625869601149,874.158146898708,1087.31428914527,730.39985938405,43.612569336091,24.2391208753075,19.6312282029315,31.3130776646118,32.5714529883346,40.6858285777158,44.7563709273754,74.9161852514406,12.8377707601302,19.26409043623,761.148050009523,14.9088314454299,130.347250615198,918.224750244608,52.8144365835613,7.19361236081184,51.0583303064764,70.0921611305462,39.9069843412011,34.4518078098062,46.0674210669601,113.354118144849,28.6950287857041,887.55390330474,234.288814244567,1045.83154104996,2.16003540065439,61.2666228077175,675.152036839738,77.7393612892245,62.2204080978342,81.7651659935576,40.3476272040263,26.5301881121905,16.2652706972721,16.0109938886305,"CW vs. WW","CW"
"LOC144620391",11.4263363553459,20.5795059900844,2.91698443938995,8.56582815215048e-13,2.22548781221022e-09,0,0,0,149.574879154769,1.1561427901596,0,0,0,0,9.97957452691517,219.908365547214,13.7921750033578,1.04817815163245,0,0,95.4759091106292,0,11.4530966435605,32.8772740299219,1.85189556470052,0,1.05955076358023,0,0,0,0,0,117.820219649147,0,0,0,0,2.0021985272538,0,0,0,0,0,0,0,0,0,0,70.7059520590574,0,1.16303054273382,0,0,1.049456549782,0,0,0,12.4254868029105,0,0,0,0,0,0,1.25252310658447,0,0,0,0,0,59.9327258016045,0,0,0,0,0,0.89920154510148,0,6.73963087793714,1.10852734281114,0,17.7182388719077,1.13354118144849,0,16.2605295261937,0,0,0,44.1119684215566,0,4.03840837866101,86.3656410910236,5.30942636321803,0,63.0091967664524,0,0,"CW vs. WW","WW"
"LOC111125971",888.148728825922,3.20561506221323,1.95378587552241,8.89405612978954e-06,0.00700231734266854,138.817259494665,113.2966971,72.203434578472,99.7165861031793,175.733704104259,689.328232726073,136.171740200311,30.9544799324482,175.416155054749,183.624171295239,111.971690714407,134.738940417418,156.178544593235,152.461788512759,193.356458104547,19547.8878181335,229.151224615493,154.176300971006,149.774248358533,664.830507727487,112.397409328088,105.955076358023,204.42053251994,140.339332215616,141.81314540862,96.1407735229645,2713.41259184907,109.092795971432,69.9009877484342,96.4652619284158,77.06298955195,167.132113816645,207.227547570768,71.0495852703478,122.869031369598,779.108762637009,111.049912552476,111.264918255885,166.974489074473,125.105557603649,181.244426680899,148.755594686324,125.464300448461,216.769563549479,147.388543648099,154.683062183598,99.7620594476549,139.723710307345,293.84783393896,113.372671856543,66.9405299825503,169.153137628833,60.2158206602585,826.746179609286,12640.0286113137,636.353186755779,141.474920041466,141.556465911796,176.681053826384,191.636035307424,133.000099702366,157.657585738649,38.9185834151091,204.578813571242,94.5326755973225,212.975222044987,13564.4816845664,144.828648327033,148.557528274674,162.07955340359,150.318011814751,123.190611678903,145.585239117115,233.191228376625,88.6821874248914,102.342134964424,139.088175144476,94.0839180602245,723.31262214999,134.826890654689,176.21722780788,82.856372090226,163.082672749406,42.4781918133508,52.0300652243468,185.766785418407,234.023027472451,172.025414168264,221.335554947801,205.608957869476,17414.6831598794,252.973703440362,"CW vs. WW","WW"
"LOC111124814",40.4143971034308,4.12559138479815,1.24988882773372,1.0927088414758e-06,0.00118290285043261,16.998031774857,1.0026256380531,19.950949028262,29.7400344518254,11.561427901596,10.46197992333,38.6256378452804,61.9089598648964,4.41298503282386,5.9877447161491,25.2188492600016,32.8890327003146,34.5898790038708,45.0756592124679,12.0221631982102,7.50934116600455,30.052619621704,7.04805947296029,13.6988641791341,3.70379112940104,10.022698920976,64.6325965783938,5.67834812555389,12.4878219344404,100.497504620282,65.8355296950735,26.3733560329256,2.18185591942865,15.6494748690524,57.8791571570495,7.42775802910361,8.91371273688773,65.0714521357486,7.79812521259915,51.2582462155378,16.8455948678272,1.07815449080074,55.6324591279424,0,11.7620609712833,1.94886480302041,42.6122797278533,1.48478462069184,5.58204884676769,27.2567854691689,56.9884965939572,47.3098426246611,14.9947396427394,6.296739298692,23.7542741032757,9.23317654931729,9.24334085403459,1.91161335429392,8.88974386676652,16.3752151979709,0,0,15.5130373601968,13.087485468621,10.0201848526758,13.5714387451394,4.06858285777158,75.8912376594627,5.76278348088004,9.33656055282198,8.56181797165778,24.280728363688,54.6657152999097,12.4596636617468,29.8389135973137,2.90189211997589,6.29441081571036,2.75990974629602,111.877872573757,80.9224960252133,16.2126154399088,74.4166032620125,22.6708236289698,24.7370937807794,10.1628309538711,83.1024426593978,50.6344496106937,1477.4642140476,20.4222076025725,28.4926547657137,26.2496544612966,3.71465122972145,3.18565581793082,13.8334721842376,33.1627351402381,53.133217611089,21.3479918515073,"CW vs. WW","WW"
