"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
398,"LOC111122605",558.844913652192,-9.82851389422504,2.64795397632553,-4.5701209201647,4.87442881944115e-06,0.00124998150464256,0.00246138922600355,0,1.97521727306095,19380.0465766386,0,6.89427786536384,4.67009327134642,3.91243022655478,65.7370795975914,0,1.96691771394421,0,3.17288792599298,674.36435645157,0,0,0,259.902957486462,311.041951934203,1183.07291200072,1.74807500708561,507.235141647199,0,16.9269000472617,11.4702214895173,13631.561589637,2.21249545695435,0,2.21850780281136,0,65.4607989200087,2.17457019494119,19.8637525043581,0,3.70970795966538,2.21386121515245,3.97290680763716,6.96681403968772,0,0,0,0,14.2194742055994,15.7961290543979,4.83509737424142,1177.62991898193,0,3.67591130552186,15.0013746807323,6.93728124770478,20.2722530953685,0,0,30.9228325470988,6.90343785458554,0,5.6998833680099,5.06318310824453,0,0,9.61750331124609,0,15.4110501297518,258.433346746649,2.49829402578273,1.79451268379089,0,1.91262430807175,0,2654.26924151237,33.8682747078444,0,0,0,12.2155929549604,2.29962294844687,0,750.385506038943,0,3498.20937067263,1.01134647025691,5741.21193808953,0,0,2.67714699429189,2977.41113209434,0,0,40.6116169696635,69.1189494478106,1.99476709044669,3.65881392906334,4.19679265567226,64.0512569017892,17.6234836782764,1.06884418324468,2.11090412750717,"BB vs. CB","BB"
482,"LOC111119534",24.2694814172602,-2.33041638347128,2.39371095508607,-3.78759746562546,0.000152111022685981,0.0258676802842459,0.0768152790940138,1.86663632453424,1.97521727306095,571.35568630152,19.8663405167685,0,4.67009327134642,1.95621511327739,28.7599723239462,17.3985078907238,3.93383542788843,5.01869797288213,1.05762930866433,21.9560488147023,4.50034842962681,2.63616337222125,0,23.4338732159925,8.95084753767491,143.157224511502,3.49615001417122,28.9331988105354,2.76134992766766,0.705287501969238,19.8122007546207,286.082807510102,1.10624772847717,3.51972286562561,2.21850780281136,8.303747038136,4.02835685661592,4.34914038988237,13.5909885556134,3.39585523623221,8.34684290924709,2.21386121515245,2.97968010572787,6.09596228472676,1.49775109780461,7.22197937812306,3.19940096800311,0,6.09406037382832,3.15922581087958,1.93403894969657,51.5694147528036,3.65207046978726,3.67591130552186,0,12.7183489541254,1.01361265476843,3.36954502391653,13.5477941219816,0,1.15057297576426,0,4.74990280667492,3.79738733118339,11.8033215000529,0,5.24591089704332,1.05113704214999,0.963190633109488,22.6129178403318,4.99658805156547,2.69176902568633,8.00318314382916,4.78156077017937,8.51178070782147,90.3679619545895,15.8757537693021,3.16567053702274,2.1110229241971,9.52838199755026,2.71457621221343,4.59924589689374,17.0156203936283,19.8008914241395,0,107.67101706216,6.06807882154145,228.663465671458,6.76490694609721,1.95320122768764,3.34643374286486,230.104373206354,18.1579328218631,8.61636569473323,2.43669701817981,18.5140043163778,1.99476709044669,8.23233134039252,22.0331614422794,18.3003591147969,1.10146772989227,5.34422091622338,17.942685083811,"BB vs. CB","BB"
1148,"LOC111136853",86.6892658043248,3.70092808103096,2.89823466646098,3.89532844766598,9.80657510227853e-05,0.0178011375353776,0.0438717368376848,2.79995448680136,215.298682763644,22.5535139329547,5.18252361307005,4.59618524357589,10.5077098605294,1768.41846240276,9.24427681841129,0,40.3218131358564,6.02243756745855,0,7.31868293823409,45.0034842962681,71.1764110499737,0.988268911730512,7.45623238690669,0.745903961472909,37.8151159086988,0.874037503542804,330.923461395499,204.339894647407,1.41057500393848,4.17098963255173,6.6310584522209,0,2.93310238802134,8.87403121124546,132.859952610176,80.5671371323184,1.08728509747059,3.13638197437233,0,817.063178116299,18.8178203287958,273.137343025055,3.48340701984386,0,0,11.7311368826781,4.21514472985033,2.03135345794277,0,1424.41968645152,634.996524941239,0,1.83795565276093,8.00073316305725,0,1.01361265476843,12.1303620860995,0,0,5.75286487882128,45.0210314756814,163.396656549617,22.7843239871004,0,1.64106657477544,0.874318482840554,306.932016307798,583.69352366435,4.30722244577749,12.4914701289137,0.897256341895444,1.00039789297865,0,0.945753411980163,15.0613269924316,0,5.27611756170457,9.85144031291981,14.2925729963254,20.3593215916007,2.29962294844687,0,2.73115743781235,12.2101454570289,4.39473539029225,431.8449427997,0.879474867967145,3.3824534730486,306.65259274696,0.669286748572972,14.941842415997,0,4.30818284736662,9.74678807271924,3.70280086327557,15.9581367235735,0,0,6.86263466804885,17.6234836782764,2.13768836648935,21.1090412750717,"BB vs. CB","CB"
1941,"LOC111124678",19.0081943700315,-2.63413423173679,2.97987345763612,-3.67341722713416,0.000239328226635178,0.0361352071533141,0.0930569038024543,0,4.93804318265238,58.2632443267997,2.59126180653503,2.29809262178795,0,354.727007207633,0,0,1.96691771394421,0,616.597886951302,4.18210453613377,13.5010452888804,0,1.97653782346102,2.13035211054477,17.1557911138769,48.6194347397556,0,30.7415237361939,1.84089995177844,23.9797750669541,0,16.1039990982508,2.21249545695435,7.03944573125121,5.54626950702841,0,0,0,99.3187625217906,2.26390349082147,1.85485397983269,0,1.98645340381858,0.870851754960965,12.7308843313392,4.12684535892746,0,0,4.06270691588555,0,8.70317527363455,13.8544696350816,2.92165637582981,1.83795565276093,1.00009164538216,6.93728124770478,4.0544506190737,0,0,6.39782742353769,2.30114595152851,0,19.9495917880346,2.53159155412226,0,16.4106657477544,0,3.15341112644998,12.5214782304233,0,11.2423231160223,9.86981976084988,13.0051726087224,4.78156077017937,17.9693148276231,6.95138168881458,0,0,2.1110229241971,0,0,9.19849179378748,0,0,17.636876771264,3.29605154271919,31.3517405779641,43.9737433983573,11.274844910162,0,9.37001448002161,87.6588088405159,0.907896641093157,14.0015942539415,0,3.70280086327557,57.8482456229539,1.82940696453167,1.04919816391807,1.14377244467481,9.91320956903047,4.2753767329787,4.22180825501434,"BB vs. CB","BB"
2642,"LOC111113440",11.871569866978,-17.5529429537437,3.94185900855064,-4.87637058636331,1.08055522085681e-06,0.000335709805202926,0.000448605201060561,9.3331816226712,0,3.75891898882579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.415322319734,0,0,0,0,0,1.89458812920597,0,0,0,0,0,0,9.409145923117,0,0,0,0,0,0,0,0,1.68605789194013,6.09406037382832,0,0,1.53938551500906,0,0,0,0,0,24.260724172199,0,0,0,0,0,835.425212860347,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22089404936365,0,0,0,1.14981147422344,0,15.704155267421,27.1336565711753,0,0,14.0715978874743,0,0.976600613843822,6.69286748572972,0,0,0,0,0,0.997383545223343,0,0,2.28754488934962,0,9.61959764920208,0,"BB vs. CB","BB"
3058,"LOC111125595",123.169520404231,-18.0758316715394,8.41830124077803,-4.14909840229467,3.33787314911952e-05,0.00695806576265811,0.0157789206513241,490.925353352505,0,0,0,2.29809262178795,0,0,0,0,0.983458856972107,0,0,1.04552613403344,5110.14564184124,0,0,0,0,0,587.353202380764,0,0.92044997588922,0,1.04274740813793,0.947294064602986,0,2.34648191041707,0,0,0,0,7.31822460686878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3294.88112312191,0,0,0,0,0,0,0,0,0,0,2322.16429696505,0,0,0.956312154035873,0.945753411980163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BB vs. CB","BB"
3139,"LOC111120117",16.4728407275737,-1.52838483328971,1.87560528680945,-3.74047032348342,0.000183676233077142,0.0298229284771634,0.115660073234418,14.9330905962739,3.95043454612191,208.620003879831,11.2288011616518,8.04332417625781,4.67009327134642,1.95621511327739,0,0,17.7022594254979,2.00747918915285,17.9796982472935,24.0471010827692,54.0041811555217,90.947636341633,2.96480673519154,21.3035211054477,5.22132773031036,28.3613369315241,17.4807500708561,30.7415237361939,7.36359980711376,19.7480500551387,18.7694533464828,20.8404694212657,17.6999636556348,11.7324095520854,2.21850780281136,11.417652177437,14.0992489981557,7.61099568229415,2.09092131624822,0,0,0,3.97290680763716,0,8.23763103792534,9.28540205758679,2.13293397866874,5.05817367582039,2.03135345794277,0,3.86807789939313,39.2543306327311,13.8778677851916,15.6226230484679,4.00036658152862,18.4994166605461,22.2994784049054,6.73909004783306,6.2528280562992,33.0554416882781,62.1309406912699,14.7007449716511,7.59984449067987,8.86057043942792,3.93444050001762,8.20533287387719,8.74318482840554,39.9432076016997,15.4110501297518,40.9186132348862,16.2389111675878,3.58902536758177,16.0063662876583,1.91262430807175,17.9693148276231,31.2812175996656,2.11676716924028,7.38656458638639,12.6661375451826,6.66986739828518,6.78644053053357,3.44943442267031,14.3289434893712,10.2418403917963,8.1400969713526,75.8091854825413,3.03403941077072,29.9021455108829,10.1473604191458,8.7894055245944,8.03144098287567,97.6200371178472,11.802656334211,1.07704571184165,7.31009105453943,1.23426695442519,5.98430127134006,5.48822089359501,16.7871706226891,2.28754488934962,28.6381609771991,4.2753767329787,0,"BB vs. CB","BB"
3327,"LOC111109253",115.016381016031,-19.2545398248674,2.33041227741692,-8.36586837982669,5.96737817638644e-17,1.60522365426872e-13,1.5782666250749e-13,0,0,3.75891898882579,0.863753935511675,0,0,8.47693215753535,0,0,0,0,47.5933188898946,2.09105226806688,9.00069685925362,0,0,0,1.49180792294582,1904.26119397376,0,2.71248738848769,0,0.705287501969238,12.5129688976552,3.78917625841194,34.2936795827924,0,183.026893731937,0,0,0,5.22730329062056,0,0,0,0,0,2.99550219560921,0,0,1.68605789194013,2.03135345794277,15.7961290543979,0,2.3090782725136,4.38248456374471,1.83795565276093,0,2.31242708256826,0,1.34781800956661,137.562217238582,0,0,0,0.949980561334983,7699.83571186286,0,0,0,0,0,160.444036105212,0,0,6.00238735787187,146.315759567489,0,0,0,14.7731291727728,0.703674308065701,6.66986739828518,57.6847445095353,0,2.6866769042571,0,17.636876771264,2.19736769514612,0,291.985656165092,2.2549689820324,9.76600613843822,1.33857349714594,184.28272313063,0,0,0.81223233939327,7.40560172655114,4.98691772611671,5.48822089359501,0,11.4377244467481,1.10146772989227,6.41306509946805,6.33271238252152,"BB vs. CB","BB"
3576,"LOC111137785",98.5873743093066,1.48238677069046,1.61707846532572,3.85237776385845,0.000116976374393486,0.0208015487596432,0.0870378638888181,35.4660901661506,36.5415195516276,77.9975690181351,21.5938483877919,12.6395094198337,185.63620753602,58.6864533983216,114.012747427073,25.0103550929154,453.374533064141,22.0822710806814,17.9796982472935,331.431784488601,0,34.2701238388762,267.820875078969,19.1731689949029,43.2624297654287,305.222006977354,24.4730500991985,40.6873108273154,50.6247486739071,35.2643750984619,104.274740813793,37.8917625841194,111.731020576195,31.6775057906305,88.7403121124545,241.846632485711,15.1063382123097,22.8329870468824,97.2278412055423,31.6946488715006,44.5164955159845,28.7801957969819,52.6410152011923,32.2215149335557,37.4437774451152,246.579010195916,1103.79333396107,54.7968814880542,43.6740993457697,42.1230108117277,274.633530856913,132.387154290779,78.8847221474049,38.5970687079796,12.0010997445859,45.0923281100811,15.2041898215264,42.4562673013483,54.1911764879264,31.9891371176884,116.20787055219,33.0766761862149,11.3997667360198,36.7080775347728,320.656900751436,13.1285325982035,110.16412883791,96.7046078777993,29.8589096263941,425.338216520527,8.74402909023957,63.7052002745765,25.0099473244661,18.1699309266816,44.4504103630677,74.1480713473555,63.5030150772083,77.0313164008867,11.9624632371169,53.3589391862814,23.0738978038141,57.4905737111718,33.1356818191709,57.3543061940593,69.1908242564971,19.7763092563151,72.8169458584974,901.461739666324,54.1192555687777,69.3386435829114,34.8029109257946,267.957040660213,32.6842790793537,53.8522855920827,89.3455573332597,18.5140043163778,65.8273139847406,20.1234766098484,22.0331614422794,67.4825742358137,289.686012961668,26.7211045811169,75.9925485902582,"BB vs. CB","CB"
3690,"LOC111115968",60.5379915378867,-3.10762794919085,2.80111132299325,-3.82521710805663,0.000130656890901381,0.0226970688274975,0.0575276036255745,0,0.987608636530477,1746.95760005678,1.72750787102335,1.14904631089397,8.17266322485623,124.545695545327,159.206989650417,0,15.7353417115537,9.03365635118783,5.28814654332163,37.6389408252039,139.510801318431,9.22657180277437,5.92961347038307,222.621795551928,40.2788139195371,6.75269926941049,14.8586375602277,48.8247729927785,56.1474485292424,2.82115000787695,85.5052874673105,323.027276029618,1.10624772847717,5.86620477604268,3.32776170421705,2.075936759534,0,8.69828077976474,147.4099527955,7.92366221787516,0.927426989916344,12.1762366833385,9.93226701909289,3.48340701984386,2.24662664670691,8.25369071785492,6.39880193600623,119.710110327749,6.09406037382832,6.31845162175915,15.4723115975725,183.956569043583,0,2.7569334791414,12.0010997445859,2.31242708256826,5.06806327384213,0,9.3792420844488,0,6.90343785458554,0,3.79992224533993,5.06318310824453,7.86888100003524,11.4874660234281,11.3661402769272,12.6136445057999,116.546066606248,9.69125050299935,6.24573506445684,7.17805073516355,2.00079578595729,126.233204332735,1.89150682396033,194.638687286808,8.4670686769611,15.8283526851137,2.8146972322628,0,106.547116329377,0,98.5114864894269,86.031459291089,265.909834397518,386.736714345718,0,321.887801675975,2.2549689820324,117.192073661259,1.33857349714594,21.914702210129,1.81579328218631,3.23113713552496,2.43669701817981,0,1.99476709044669,1.82940696453167,16.7871706226891,9.15017955739846,18.7249514081687,8.5507534659574,139.319672415473,"BB vs. CB","BB"
