"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111104573",192.678592470791,-3.53833000246379,4.86666494933683,-3.51539157605815,0.000439106019140608,0.0455244906704744,0.184431497649121,0,431.526120721642,0,0,0,605.405271003502,0,1351.20962995344,0,1176.1710637668,0,831.21145116716,0,425.764251635113,0,710.72032891069,449.512343753158,0,0,0.910620780073236,1.85142369853924,0,734.906031858016,293.99884624528,0,0,1010.32948334271,0,1.01314339727531,441.929603695475,0,0,351.996583137575,0,1.99844348897375,0,0,932.456208111075,0,664.752495547175,329.176317786664,0,0,8.51686528539885,0,0.924932217181551,1.00680159848678,0,0,702.0436190086,1.04946856284398,2.14890083528292,0,0,300.990627676596,0,272.202387252171,780.999449061233,419.036075493226,0,1.08194144786416,0,875.420576908397,3.01584208978779,0,0,427.356098360128,0,371.461811637874,627.650276805996,0,0,0,332.799055958695,527.293626288738,0,0,0,0,1.13358504354194,0.981561277587971,0,0,0,0,1290.19692150831,0,0,417.63760593606,0,0,0,0,0,"CH vs. CB","CH"
"LOC111123991",132.896718292969,1.79635464942218,2.09347442811389,3.5318452210236,0.000412670820197513,0.043435181313633,0.158683576152922,1162.53636057022,8.94869835597876,10.3921405249357,187.931635614345,60.1271826200033,51.7239454837944,414.060156056532,73.4577976467794,258.707350847238,318.071534514863,82.8877700986965,11.6922326890521,50.6007003549427,79.2646213150476,3.97502717574818,44.7932980405897,18.1945472471517,969.997705020034,16.7127097590032,8.19558702065912,52.7655754083682,0.710674609985194,7.34906031858016,387.54393368696,30.0248700321675,5.90048776962575,16.7643166483856,16.7105812500483,1153.97032949658,27.3471289415516,7.37256284885269,6.8276175342038,16.8062029084253,15.5962203120115,681.469229740048,885.150953333592,28.6424019029141,12.4604393066068,38.6832036066576,11.8857406611244,38.8468946456311,23.301366700499,18.4990405106619,127.752979280983,11.7564786632313,7.39945773745241,56.3808895152598,0,134.515560377462,0,25.1872455082554,0,0,13.8570319117716,395.58768208924,21.7702394430116,14.8474029410275,41.3832853504824,2.11634381562235,28.1209557642996,7.57359013504913,169.815980634903,5.41497264067049,17.0897718421308,21.1649191111296,19.9538376449391,415.71151802334,10.6365429657847,8.49055569457998,26.9195378314084,119.057108249556,489.833782531214,16.7745625844185,13.52841690889,596.638230787648,721.419941334051,6.63593799005834,737.731617206198,0,38.5418914804259,12.7602966086436,49.8115201822089,7.01641598136341,53.8813936999147,4.33610524732718,26.1636891560621,309.725802472458,13.0428501102324,2.75971986301361,7.38789074491655,169.099126575761,17.7322073743456,134.499872286647,43.5665281126002,"CH vs. CB","CB"
"LOC111100849",352.463689370319,-4.43379745845844,1.79585155932605,-4.26129494735773,2.03245785246544e-05,0.00418881044108716,0.00743525711728488,36.5636435985794,2.98289945199292,156.826847921757,16.5310235031136,107.535153531929,136.363129002731,87.9303659454443,16.553869892232,6.57730553001454,50.5347297827353,6.0649587877095,1275.51629335114,21.0836251478928,29.4411450598748,0,67.6876503724467,34.2485595240502,96.8496160585019,16.7127097590032,7.28496624058589,9.25711849269618,24.8736113494818,26.2466439949292,153.68121508276,3282.71912351698,11.8009755392515,5538.93022062662,12.5329359375362,14.1840075618543,32.816554729862,412.863519535751,31.8622151596178,18.6735587871393,41.2185822531733,5.99533046692125,10.5062427695382,112.308365356163,96.5684046262027,56.9502719764681,5.09388885476762,26.5794542312213,0,25.3144764882742,184.273994356811,34.5346560732418,1.8498644343631,13.0884207803282,51.2597116481247,35.6670046455393,33.9479506290426,6.29681137706386,58.0203225526387,75.1561233055204,14.7808340392231,10.5107838236272,23.749352119649,186.41739248179,89.8105341648768,33.8615010499577,41.6965895815477,23.8027118530115,94.3422114638348,23.4648814429055,186.982209566843,4724.58717067078,89.3171780297274,6.98674820207294,25.5277031178834,202.712017208097,4.25045334180132,1.92027593950896,85.396405601676,37.5981575168002,1.80378892118534,43.9411355240615,98.1894816182451,293.087261227577,11.1931693645078,10771.6195806715,56.6792521770969,64.7830443208061,41.0608477177668,2226.20855637259,2.73973188304651,26.0166314839631,4.90569171676164,7.46327234873394,124.408724128371,1.83981324200907,35.8840407610232,104.680411689757,68.7123035755893,149.563857982752,470.731023265412,"CH vs. CB","CH"
"LOC111105495",3.17489917970225,30.8660266651065,6.52049611091763,5.17053967888456,2.33418902922243e-07,6.98592330502414e-05,0.0002638055083319,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05881386457687,0,0,0,0,0,5.46372468043942,0,0,0,0,0,0,0,0,1.01314339727531,0,0,4.55174502280254,0,0,0,0,0,0,0,0,0,0,127.546016152458,0,0,0,0,0,0,8.14750815097022,0,0,0,0,0,0,0,0,0,0,3.24582434359248,0,0,0,0,0,4.65783213471529,0,0,0,0,0,0,0,0,0,0,0,7.08193266316341,0,0,0,0,11.8721714932015,0,0,4.97551489915596,0,0,0,0,110.82629608966,0,0,"CH vs. CB","CB"
"LOC111108825",88.7739916288024,-7.02791738885536,3.02009478494419,-4.29294838466438,1.76316005633809e-05,0.00374595326043484,0.00829109094689621,0,0,0,306.258961741895,0,438.477992396711,418.653533382041,6.20770120958699,0,35.6715739642837,1.01082646461825,0,63.2508754436784,0,39.7502717574818,567.381775180803,31.0377570686705,303.311975873138,38.7031173366389,0,0,268.635002574404,25.196778235132,62.9997527668458,465.941501610304,46.6138533800434,293.934351901695,1.04441132812802,0,0,60.0337260549434,0,0,0,0.999221744486874,0,164.316937232507,424.693306366848,1.07453343351827,55.1837959266492,0,66.7266410059745,0,0,254.233851092376,62.8953907683454,0,135.139239799602,211.963913322062,87.5857126229298,0,0,110.999812881999,461.901063725721,0,0,0,331.946778236849,0,166.786358326191,0,56.6053268783009,0,23.1214560217064,245.320653333547,214.741300369345,0,34.0369374905111,440.447576656337,22.6690844896071,44.1663466087061,32.1090485062302,351.687381080223,45.9966174902261,0,0,35.3916692803112,40.7024340527558,35.409663315817,2.26717008708388,0,278.002132908815,14.0328319627268,24.6575869474186,171.276157269424,27.798919728316,46.0235128171926,9.02966546093015,0,53.8260611415349,1.15033419439293,29.9230999442083,53.7999489146589,0,"CH vs. CB","CH"
"LOC111122352",2.1832548498635,16.12223039031,3.21416759680199,5.24885840326366,1.53044650287824e-07,4.96933091849653e-05,8.70014742324184e-05,0,0,0.944740047721428,0,0,0,0,0,0,0,0,0,3.16254377218392,0,0,0,0,0,0,30.0504857424168,0,1.42134921997039,0,0,0,0,0,0,2.02628679455062,0,2.10644652824363,0,0,0,0,0,0,0,0,0,0,0,1.94726742217494,0,0,0,0,8.15495412583803,2.03811455117367,6.11063111322766,0,24.7123596057535,1.15624805085416,0,0,1.97911267663742,0,2.64148629896696,0,0,0,0,0,1.00528069659593,1.92408355555723,0,4.65783213471529,0,2.122638923645,0,0,0,0,0,0.686580242563462,0,0,0,92.9503662040197,0,0,0,0,0,2.16805262366359,0,0,7.02307313627901,0,2.11082592711901,0,0,0,2.12519649329757,"CH vs. CB","CB"
"LOC111123472",227.831737407038,24.7848226658286,5.34741982142135,5.0327842487476,4.83407069013377e-07,0.000133103236010419,0.000375059725008116,0,0,2166.28892942523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910620780073236,0,0,2.09973151959433,2908.48858606938,0,0,0,2997.46051172741,0,0,2.10644652824363,1.13793625570063,0,0,0.999221744486874,0,2869.51642222089,0,0,0,0,0,0,2462.92258844125,0,0,0,0,0,1869.17416163508,0,0,1815.30943984103,0,0,0,0,0,0,0,0,0,0,0,0,0.9501827449971,0,0,2.122638923645,0,0,2408.17863796726,0,4.50947230296334,0,0,0,0,0,0,0,0.673128651110932,0,455.708736546736,0,0,603.28118152266,0,0,842.219544920487,0,0,0,2.12519649329757,"CH vs. CB","CB"
"LOC111104556",26.9512230087926,-3.89828291066529,3.07452634378615,-3.84051644314539,0.000122775747805353,0.0183725899476724,0.0582192308561779,0,220.734559447476,0,147.909157659438,0,158.698469098005,20.3420995843938,33.107739784464,0,0,204.186945852886,0,0,6.79411039843265,13.2500905858273,1.99081324624843,8.56213988101254,6.7569499575699,1.75923260621086,0,1.85142369853924,9.94944453979272,10.4986575979717,2.86362512576572,34.472998925822,3.54029266177545,487.282803913076,2.08882265625603,1.01314339727531,1.09388515766207,2.10644652824363,2.27587251140127,267.031890656092,1.11401573657225,0,0.875520230794849,0,1.03836994221723,0,9.33879623374064,0,153.577189616925,0,1.54852096098161,3.67389958225977,0,2.01360319697357,4.65997378619316,0,0.678959012580851,0,5.37225208820729,0,2.77140638235433,6.68868061503547,1.97911267663742,3.29942287578389,0,121.689769398285,4.84844064901717,4.32776579145664,23.9000269041715,228.331346348272,6.03168417957558,12.506543111122,0.9501827449971,0,0,1.0613194618225,8.50090668360265,0.96013796975448,6.14854120332067,0,0,8.925543153325,1.3637428002534,0,0,0,2.26717008708388,0,2.01938595333279,1.00234514019477,3.65297584406201,197.292788753387,4.90569171676164,13.6826659726789,3.00988848697672,0.919906621004537,2.11082592711901,4.60133677757172,8.86610368717282,9.68399080463861,1.06259824664879,"CH vs. CB","CH"
"LOC111110995",632.880542664976,-5.14618042889049,1.98408902162782,-4.32705226838384,1.51118110882717e-05,0.00325073946272585,0.00624303033210841,10.3128225534455,0,52.9054426724,33.0620470062273,16.1880876284624,2603.83043742283,114.17823637692,83.8039663294244,21.9243517667151,3.96350821825375,30.3247939385475,3.18879073337785,1.05418125739464,4.52940693228843,10.6000724686618,2875.72973420586,3522.25029355153,7.50772217507766,2.63884890931629,66.4753169453462,8.33140664342656,6.39607148986675,3614.68781098164,3200.57834889748,3.33609667024084,2664.07022798602,2830.93427135739,13.5773472656642,9.11829057547777,19.6899328379172,2279.1751435596,20.4828526026114,83.0973366027698,71.2970071406242,23.981321867685,12.2572832311279,3422.76702739823,3411.04526018361,46.2049376412854,31.4123146044003,16.3565872192131,2.11830606368173,12.6572382441371,0.774260480490804,26.4520769922704,9.24932217181551,3533.87361068861,37.2797902895453,4730.46387327409,8.82646716355107,20.9893712568795,108.519492181787,20.8124649153749,10.1618234019659,1905.31844948296,2657.94832472406,31.344517319947,5.28297259793393,79.3628930858383,3803.11684508907,115.767734921465,44.0263653497896,2615.43178544385,8.04224557276744,3477.7810266697,57.9611474448231,6.98674820207294,7.44558007604931,19.103750312805,3.5420444515011,0,7.51488369294749,17.3529957769847,5.41136676355601,4.80606169794423,4.09122840076021,15.4838553101361,4.07024340527558,9.73765741184968,1.13358504354194,10.7971740534677,25.5788887422154,1.00234514019477,31.9635386355426,34.6888419786175,26.1636891560621,13.6826659726789,4.01318464930229,6.43934634703176,15.8311944533926,62.1180464972182,9.97436664806942,2737.34140077785,1827.66898423591,"CH vs. CB","CH"
"LOC111133968",75.1921716499176,-3.25246942076466,3.36634574521535,-3.67451481929747,0.000238301813612518,0.0300434865235005,0.11327878879789,0,55.6807897705345,0.944740047721428,43.5026934292464,1.1562919734616,57.6016665614983,1.3123935215738,0,2.19243517667151,1.98175410912687,26.2814880800745,9.56637220013355,0,219.676236215989,23.8501630544891,3.98162649249686,0,6.00617774006213,1.75923260621086,492.645842019621,2.77713554780885,0,0,0.954541708588572,27.8008055853403,427.785363297867,62.5867821539731,0,21.2760113427815,0,0,3.4138087671019,8.40310145421267,6.68409441943352,0,0,557.019342269829,0,0,2.54694442738381,42.9360414504344,49.7801924965207,0.973633711087469,6.96834432441724,2.20433974935586,60.1205941168008,411.781853781094,0,582.90076163567,8.82646716355107,597.147612258223,2.14890083528292,3.46874415256248,5.54281276470865,0,0,0,0,2.11634381562235,0,19.4749460615549,644.042830259779,13.5374316016762,29.153140201282,555.098105778262,9.501827449971,12.8090383704671,29.7823203041973,0,36.1288534053113,0,0.683171244813408,0,9.01894460592669,19.2242467917769,0,2.21197933001945,0,346.129458912111,4.53434017416775,0,0.673128651110932,38.0891153274014,1.82648792203101,36.8568946022811,5.72330700288858,595.817909173926,45.1483273046508,681.650806164362,3.16623889067852,50.6147045532889,26.5983110615185,1.07599897829318,3.18779473994636,"CH vs. CB","CH"
