"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
189,"LOC111116296",489.912158990844,-4.85256592293401,3.94346094877528,-3.88576338845739,0.000102008825871419,0.017698016092601,0.0546674371273156,0,0,179.488381716431,1.72750787102335,0,0,18.9100794283481,121.202740508059,0,0,0,245.369999610123,107.689191805444,0,0,43.4838321161425,0,35.8033901506996,3315.57534128055,1.74807500708561,7.23329970263385,0,0,10.4274740813793,0,37617.9540068663,0,130.89196036587,44.632640329981,0,50.0151144836473,507.048419190194,4.52780698164295,0,685.190046089684,9.93226701909289,28.7381079137119,25.4617686626783,2.06342267946373,36.2598776373686,16.0175499734312,0,2.10615054058638,21.2744284466622,0,1.4608281879149,2.7569334791414,2.00018329076431,1107.6525725502,4.0544506190737,4.04345402869984,38.5591063471784,63.9782742353769,50.6252109336273,0,0,91.1372959484015,244.918921126097,1078.18073962746,12.2404587597678,27.3295630958998,0,1.07680561144437,37.474410386741,5.38353805137266,6.00238735787187,0,30.2641091833652,11.5856361480243,0,40.0984934689547,0,59.0759683848116,4.07186431832014,2.87452868555859,0,2.73115743781235,138.381648512994,95.5854947388564,4.04538588102763,43.0942685303901,0,1.95320122768764,10.7085879771676,57.7751240085218,5.44737984655894,299.41870789198,3.24892935757308,2.46853390885038,59.8430127134006,0,4.19679265567226,102.939520020733,0,0,2.11090412750717,"CC vs. CH","CC"
570,"LOC111105495",3.6584184986205,-32.0835212035062,5.7061252867704,-5.97427578102116,2.31114555166544e-09,1.15061553609871e-06,3.09430957368509e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00069685925362,0,0,0,0,44.5678151781093,0,5.42497477697539,0,0,0,0,0,0,0,0,1.00708921415398,0,0,4.52780698164295,0,0,0,0,0,0,0,0,0,0,126.679551205125,0,0,0,0,0,0,8.08690805739967,0,0,0,0,0,10.1263662164891,0,0,0,0,0,3.23041683433312,0,0,0,0,0,4.63425445920972,0,0,0,0,0,0,0,0,0,0,0,7.03579894373716,0,0,0,0,11.802656334211,0,0,4.93706781770076,0,0,0,0,110.146772989227,0,0,"CC vs. CH","CC"
1001,"LOC111122352",2.12339050975864,-16.0567667913778,3.22252104595392,-5.16572881486889,2.39503830949047e-07,7.54810605574463e-05,0.000179259853547503,0,0,0.939729747206447,0,0,0,0,0,0,0,0,0,3.13657840210033,0,0,0,0,0,0,0,29.8373612733646,0,1.41057500393848,0,0,0,0,0,0,2.01417842830796,0,2.09092131624822,0,0,0,0,0,0,0,0,0,0,0,1.93403894969657,0,0,0,0,8.09349478898891,2.02722530953685,6.06518104304975,0,24.5250051235611,1.15057297576426,0,0,0,1.96722025000881,0,2.62295544852166,0,0,0,0,0,1.00039789297865,1.91262430807175,0,4.63425445920972,0,2.11044702468183,0,0,0,0,0,0.682789359453087,0,0,0,92.3448611365503,0,0,0,0,0,2.15409142368331,0,0,6.9816848165634,0,2.09839632783613,0,0,0,2.11090412750717,"CC vs. CH","CC"
1029,"LOC111123472",221.693425573513,-25.3402898445884,4.96650747528807,-5.3708634754028,7.83605188632808e-08,2.83351636209623e-05,6.73322329840737e-05,0,0,2154.80031034438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7010797077642,0,0.904162462829231,0,0,2.08549481627587,2886.4050148453,0,0,0,2978.96924993129,0,0,2.09092131624822,1.13195174541074,0,0,0.993226701909289,0,2850.96921467107,0,0,0,0,0,0,2448.39266162192,0,0,0,0,0,1855.27149016844,0,0,1806.39957194988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945753411980163,0,0,2.11044702468183,0,0,2392.22028701308,0,4.4777948404285,0,0,0,0,0,0,0,0.669286748572972,0,453.040423905485,0,0,598.619472896217,0,0,837.260134806617,0,0,0,2.11090412750717,"CC vs. CH","CC"
1148,"LOC111136853",86.6892658043248,-6.38279525086354,1.97405833760122,-4.55021687600514,5.35906510543642e-06,0.00130563549292164,0.00416594269647474,2.79995448680136,215.298682763644,22.5535139329547,5.18252361307005,4.59618524357589,10.5077098605294,1768.41846240276,9.24427681841129,0,40.3218131358564,6.02243756745855,0,7.31868293823409,45.0034842962681,71.1764110499737,0.988268911730512,7.45623238690669,0.745903961472909,37.8151159086988,0.874037503542804,330.923461395499,204.339894647407,1.41057500393848,4.17098963255173,6.6310584522209,0,2.93310238802134,8.87403121124546,132.859952610176,80.5671371323184,1.08728509747059,3.13638197437233,0,817.063178116299,18.8178203287958,273.137343025055,3.48340701984386,0,0,11.7311368826781,4.21514472985033,2.03135345794277,0,1424.41968645152,634.996524941239,0,1.83795565276093,8.00073316305725,0,1.01361265476843,12.1303620860995,0,0,5.75286487882128,45.0210314756814,163.396656549617,22.7843239871004,0,1.64106657477544,0.874318482840554,306.932016307798,583.69352366435,4.30722244577749,12.4914701289137,0.897256341895444,1.00039789297865,0,0.945753411980163,15.0613269924316,0,5.27611756170457,9.85144031291981,14.2925729963254,20.3593215916007,2.29962294844687,0,2.73115743781235,12.2101454570289,4.39473539029225,431.8449427997,0.879474867967145,3.3824534730486,306.65259274696,0.669286748572972,14.941842415997,0,4.30818284736662,9.74678807271924,3.70280086327557,15.9581367235735,0,0,6.86263466804885,17.6234836782764,2.13768836648935,21.1090412750717,"CC vs. CH","CC"
1247,"LOC111106287",5.42989392274898,-37.3478987264561,5.50157967047957,-7.19471452187022,6.25915855200994e-13,5.37536536446614e-10,1.78953770313536e-09,0,0,0,0,0,0,0,0,0,0,0,0,1.04552613403344,0,0,0,0,0,0,0,134.720206961555,17.4885495418952,0,0,0,0,0,0,0,0,0,0,0,0,14.3900978984909,0,0,0,0,3.19940096800311,0,0,0,0,15.3938551500906,0,0,0,0,1.01361265476843,0,0,0,0,0,0,0,0,0,0,0,0,143.215146322102,0,0,0,0,0,0,0,0,0,0,63.1138969339622,0,36.7179176915137,0,17.636876771264,0,0,51.8890172100616,0,19.5320122768764,0,0,0,0,0.81223233939327,0,0,0,0,0,1.10146772989227,0,0,"CC vs. CH","CC"
1265,"LOC111122711",16.3530823615118,-8.04903721913051,2.91019476590685,-4.37860485342289,1.19441471866519e-05,0.00273536896103911,0.00551214711958891,66.2655895209655,0.987608636530477,9.39729747206447,2.59126180653503,0,17.5128497675491,1.30414340885159,0,0,4.91729428486054,28.1047086481399,0,0,0,1.31808168611062,0,0,13.4262713065124,86.4345506484543,13.9846000566849,10.8499495539508,5.52269985533532,2.11586250590771,43.7953911417932,5.68376438761791,23.2312022980207,0,0,22.835304354874,0,0,4.18184263249645,2.26390349082147,0,0,80.4513628546524,0,11.2331332335346,0,0,0,0,2.10615054058638,1.93403894969657,389.464535297293,0,0,0,38.1550468623763,2.02722530953685,4.04345402869984,0,0,0,0,0,70.8845635154234,6.88527087503084,1.64106657477544,18.3606881396516,0,0,46.302641292108,0,2.69176902568633,120.047747157437,1.91262430807175,0,2.31712722960486,186.275510893144,3.16567053702274,22.5175778581024,0,25.1098299629742,2.87452868555859,0,0.682789359453087,1.35668282855877,3.29605154271919,0,9.6742235476386,83.4338523351989,1.95320122768764,0.669286748572972,13.9457195882639,0,0,0,1.23426695442519,33.9110405375936,0.914703482265836,3.1475944917542,0,0,8.5507534659574,0,"CC vs. CH","CC"
1509,"LOC111113589",4.96368109315442,-15.0556124217402,2.87864049798503,-5.34702274963427,8.94127816249336e-08,3.13419170855074e-05,6.2270384492737e-05,0,1.97521727306095,5.63837848323868,0,0,2.33504663567321,3.91243022655478,0,0,0,0,2.11525861732865,35.547888557137,0,0,0,0,0,0,1.74807500708561,0,0,0,9.38472667324139,0,1.10624772847717,0,0,0,0,0,3.13638197437233,0,0,50.9188079485064,0.993226701909289,1.74170350992193,0,0,0,0,0,0,0,0,0,0,0,6.93728124770478,2.02722530953685,0,33.3484163002624,0,0,0,0,0,0,16.4106657477544,0,16.8181926743999,3.85276253243795,0,2.49829402578273,0,2.00079578595729,0,0,0,0,0,0,0,0,0,0,0,9.49677979991137,0,0,0,5.63742245508101,0,0,0,1.81579328218631,2.15409142368331,0.81223233939327,0,1.99476709044669,0,0,232.185806268986,0,2.13768836648935,15.8317809563038,"CC vs. CH","CC"
2642,"LOC111113440",11.871569866978,-15.8340801625151,4.99784520212739,-4.42428707157419,9.67612845310253e-06,0.00226118615388421,0.00372410890390702,9.3331816226712,0,3.75891898882579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.415322319734,0,0,0,0,0,1.89458812920597,0,0,0,0,0,0,9.409145923117,0,0,0,0,0,0,0,0,1.68605789194013,6.09406037382832,0,0,1.53938551500906,0,0,0,0,0,24.260724172199,0,0,0,0,0,835.425212860347,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22089404936365,0,0,0,1.14981147422344,0,15.704155267421,27.1336565711753,0,0,14.0715978874743,0,0.976600613843822,6.69286748572972,0,0,0,0,0,0.997383545223343,0,0,2.28754488934962,0,9.61959764920208,0,"CC vs. CH","CC"
3219,"LOC111114504",6.39852811627338,19.8987738262828,4.07610067751354,5.13030644104096,2.89270872095355e-07,8.7938345116988e-05,0.000214559301619277,0,0,0,0,0,0,3.26035852212898,0,0,0,0,0,0,0,0,2.96480673519154,0,0.745903961472909,274.159590338066,0,0,5.52269985533532,0,14.5984637139311,0,0,0,17.7480624224909,0,0,0,0,9.0556139632859,0,0,0,0,0,18.5708041151736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.464141221537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6227055980402,0,0,0,0,1.35668282855877,2.19736769514612,0,26.3842460390144,0,3.90640245537529,0,5.97673696639881,0,1.07704571184165,0,0,0,0,0,19.4441315594717,2.20293545978455,0,0,"CC vs. CH","CH"
