"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
398,"LOC111122605",558.844913652192,-4.24559644438412,4.44542684107359,-3.69653492869943,0.000218562200565604,0.0320856782642292,0.070112174349849,0,1.97521727306095,19380.0465766386,0,6.89427786536384,4.67009327134642,3.91243022655478,65.7370795975914,0,1.96691771394421,0,3.17288792599298,674.36435645157,0,0,0,259.902957486462,311.041951934203,1183.07291200072,1.74807500708561,507.235141647199,0,16.9269000472617,11.4702214895173,13631.561589637,2.21249545695435,0,2.21850780281136,0,65.4607989200087,2.17457019494119,19.8637525043581,0,3.70970795966538,2.21386121515245,3.97290680763716,6.96681403968772,0,0,0,0,14.2194742055994,15.7961290543979,4.83509737424142,1177.62991898193,0,3.67591130552186,15.0013746807323,6.93728124770478,20.2722530953685,0,0,30.9228325470988,6.90343785458554,0,5.6998833680099,5.06318310824453,0,0,9.61750331124609,0,15.4110501297518,258.433346746649,2.49829402578273,1.79451268379089,0,1.91262430807175,0,2654.26924151237,33.8682747078444,0,0,0,12.2155929549604,2.29962294844687,0,750.385506038943,0,3498.20937067263,1.01134647025691,5741.21193808953,0,0,2.67714699429189,2977.41113209434,0,0,40.6116169696635,69.1189494478106,1.99476709044669,3.65881392906334,4.19679265567226,64.0512569017892,17.6234836782764,1.06884418324468,2.11090412750717,"HC vs. CH","HC"
570,"LOC111105495",3.6584184986205,-36.2842787024334,5.74138381085036,-6.64558211903127,3.02021014853493e-11,1.48214655746388e-08,3.16499423226291e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00069685925362,0,0,0,0,44.5678151781093,0,5.42497477697539,0,0,0,0,0,0,0,0,1.00708921415398,0,0,4.52780698164295,0,0,0,0,0,0,0,0,0,0,126.679551205125,0,0,0,0,0,0,8.08690805739967,0,0,0,0,0,10.1263662164891,0,0,0,0,0,3.23041683433312,0,0,0,0,0,4.63425445920972,0,0,0,0,0,0,0,0,0,0,0,7.03579894373716,0,0,0,0,11.802656334211,0,0,4.93706781770076,0,0,0,0,110.146772989227,0,0,"HC vs. CH","HC"
624,"LOC111115098",5.3784806155427,18.5072582800106,2.88171725220811,6.49897774011951,8.08676250526608e-11,3.75400629163379e-08,5.63660611829321e-08,0,4.93804318265238,5.63837848323868,0,6.89427786536384,0,0,0,0,0,2.00747918915285,2.11525861732865,0,0,0,0,0,0,195.828278812904,0,0,0,1.41057500393848,1.04274740813793,1.89458812920597,0,0,12.2017929154625,0,0,1.08728509747059,2.09092131624822,0,0.927426989916344,1.10693060757623,2.97968010572787,0,0,0,0,0,0,0,0,3.07877103001813,0,0,0,0,1.01361265476843,0,2.0842760187664,0,0,0,2.84994168400495,184.806183450925,0,0,0,0,0,0,0,0,2.00079578595729,1.91262430807175,0,0,0,0,0,0,0.678644053053357,0,0,0,0,0,0,49.2505926061601,0,0,0,11.9534739327976,0,0,0,4.93706781770076,0,0,0,0,2.20293545978455,1.06884418324468,6.33271238252152,"HC vs. CH","CH"
743,"LOC111107220",10.3959357878913,16.9809635803516,3.15551187340043,5.47876231128074,4.28311263393554e-08,1.27942161044307e-05,1.90855490115842e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39105633163431,2.98361584589164,39.1656557625809,1.74807500708561,9.04162462829231,0,0,4.17098963255173,0,16.5937159271576,0,4.43701560562273,0,0,0,0,0,0,6.64158364545735,0,10.4502210595316,0,0,0,0,0,0,0,3.07877103001813,0,0,0,0,2.02722530953685,0,0,0,0,0,1.89996112266997,817.704071981491,0,0,0,0,0,2.15361122288875,0,12.5615887865362,0,1.91262430807175,0,0,0,0,0,0,0,3.44943442267031,0,6.14510423507779,4.0700484856763,0,0,7.03579894373716,0,0,0,4.98061413866568,0,0,0,0,1.99476709044669,21.0381800921142,4.19679265567226,0,0,2.13768836648935,0,"HC vs. CH","CH"
1001,"LOC111122352",2.12339050975864,-19.0987964297843,3.09165264378798,-6.26304048578838,3.77542546416876e-10,1.58162701884299e-07,2.67108216842137e-07,0,0,0.939729747206447,0,0,0,0,0,0,0,0,0,3.13657840210033,0,0,0,0,0,0,0,29.8373612733646,0,1.41057500393848,0,0,0,0,0,0,2.01417842830796,0,2.09092131624822,0,0,0,0,0,0,0,0,0,0,0,1.93403894969657,0,0,0,0,8.09349478898891,2.02722530953685,6.06518104304975,0,24.5250051235611,1.15057297576426,0,0,0,1.96722025000881,0,2.62295544852166,0,0,0,0,0,1.00039789297865,1.91262430807175,0,4.63425445920972,0,2.11044702468183,0,0,0,0,0,0.682789359453087,0,0,0,92.3448611365503,0,0,0,0,0,2.15409142368331,0,0,6.9816848165634,0,2.09839632783613,0,0,0,2.11090412750717,"HC vs. CH","HC"
1029,"LOC111123472",221.693425573513,-24.252624021667,5.08646527443316,-5.0742013329735,3.89126886440333e-07,9.21881848482643e-05,0.000195650047726933,0,0,2154.80031034438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7010797077642,0,0.904162462829231,0,0,2.08549481627587,2886.4050148453,0,0,0,2978.96924993129,0,0,2.09092131624822,1.13195174541074,0,0,0.993226701909289,0,2850.96921467107,0,0,0,0,0,0,2448.39266162192,0,0,0,0,0,1855.27149016844,0,0,1806.39957194988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945753411980163,0,0,2.11044702468183,0,0,2392.22028701308,0,4.4777948404285,0,0,0,0,0,0,0,0.669286748572972,0,453.040423905485,0,0,598.619472896217,0,0,837.260134806617,0,0,0,2.11090412750717,"HC vs. CH","HC"
1066,"LOC111104556",26.2260654413922,4.12721207159939,3.53846018457518,3.86735459252929,0.000110022391226586,0.0174170008452336,0.0577203723405094,0,219.249117309766,0,146.838169036985,0,157.615647907942,20.2142228371997,32.8685397987957,0,0,202.755398104438,0,0,6.75052264444022,13.1808168611062,1.97653782346102,8.52140844217908,6.71313565325618,0,1.74807500708561,0,1.84089995177844,9.87402502756933,10.4274740813793,2.84188219380896,34.2936795827924,3.51972286562561,483.634701012877,2.075936759534,1.00708921415398,1.08728509747059,2.09092131624822,2.26390349082147,265.244119116074,1.10693060757623,0,0.870851754960965,0,1.03171133973187,0,9.27331840567072,0,152.695914192513,0,1.53938551500906,3.65207046978726,0,2.00018329076431,4.62485416513652,0,0.673909004783306,0,5.33152285294807,0,2.75638968218457,6.64986392934488,1.26579577706113,1.96722025000881,3.28213314955088,0,120.880759847249,4.81595316554744,4.30722244577749,23.733793244936,227.005854499547,6.00238735787187,12.4320580024664,0.945753411980163,0,0,1.05522351234091,8.44409169678841,0.952838199755026,6.10779647748021,0,0,8.87626167289013,1.35668282855877,0,0,0,2.2549689820324,0,2.00786024571892,0.996122827733135,3.63158656437263,196.022319555181,4.87339403635962,13.5769364986771,2.99215063567003,0.914703482265836,2.09839632783613,4.57508977869923,8.81174183913819,9.61959764920208,1.05545206375359,"HC vs. CH","CH"
1115,"LOC111110995",615.839743360353,7.21668231724763,1.46455365067684,5.12235748025616,3.0173914529914e-07,7.51111820240293e-05,0.000257733324167276,10.2664997849383,0,52.624865843561,32.8226495494437,16.0866483525156,2586.06414900808,113.460476570088,83.1984913657016,21.7481348634047,3.93383542788843,30.1121878372928,3.17288792599298,1.04552613403344,4.50034842962681,10.544653488885,2855.10888598945,3505.49439790142,7.45903961472909,1.3505398538821,2.62211251062841,66.0038597865339,8.28404978300298,6.34758751772314,3590.1793262189,3176.27699861381,3.31874318543152,2648.59145638327,2809.74013226059,13.493588936971,9.06380292738581,19.5711317544707,2262.37686418058,20.3751314173933,82.5410021025546,70.8435588848784,23.8374408458229,12.1919245694535,3400.64386756536,3389.17175101918,45.858080541378,31.1920710008924,16.2508276635422,2.10615054058638,12.5712531730277,0.769692757504532,26.2949073824683,9.18977826380466,3510.32167529137,36.9988333210922,4705.18994343503,8.76081706218298,20.842760187664,107.696761629551,20.7103135637566,10.1067621680101,1894.26123930196,8.86057043942792,2641.97679576183,31.1802649207333,5.24591089704332,78.8352781612495,3777.63366305541,115.218200424548,43.7201454511979,2600.248878813,8.00318314382916,3457.06843683968,57.69095813079,6.95138168881458,7.40868509234096,18.9940232221364,3.5183715403285,0,7.46508458358693,17.2471721133515,5.3733538085142,4.77952551617161,4.0700484856763,15.3815738660229,4.04538588102763,9.6742235476386,1.1274844910162,10.742606752282,25.432896445773,0.996122827733135,31.7763824382605,34.4654627789329,25.9914348605846,13.5769364986771,3.98953418089337,6.40292437586085,15.737972458771,61.7637120124396,9.91320956903047,2719.13960217445,1815.37754965617,"HC vs. CH","CH"
1165,"LOC111111698",14.0829241960118,1.60292541550293,2.35911338139678,3.6348379853991,0.000278155381505469,0.0394842713449416,0.124997696246675,9.3331816226712,0.987608636530477,2.81918924161934,1.72750787102335,0,1.1675233178366,21.5183662460513,58.5470865166049,0,0.983458856972107,0,14.8068103213006,20.9105226806688,0,2.63616337222125,4.94134455865256,0,8.204943576202,22.9591775159957,0.874037503542804,4.52081231414616,4.6022498794461,2.82115000787695,37.5389066929656,5.68376438761791,35.3999273112696,0,559.063966308464,2.075936759534,0,5.43642548735296,0,24.9029383990362,9.27426989916344,1.10693060757623,0,1.74170350992193,2.24662664670691,7.22197937812306,0,0.843028945970065,0,9.47767743263873,19.3403894969657,26.9392465126586,1.4608281879149,13.784667395707,0,82.0911614311732,2.02722530953685,1.34781800956661,3.1264140281496,3.19891371176884,0,0,6.64986392934488,18.986936655917,0,6.56426629910175,2.62295544852166,0,0.963190633109488,23.6897234517762,0,0.897256341895444,1.00039789297865,2.86893646210762,11.349040943762,2.31712722960486,4.23353433848055,11.60745863575,1.4073486161314,6.66986739828518,11.5369489019071,0,12.5378255531998,3.41394679726544,4.0700484856763,10.9868384757306,4.04538588102763,65.9606150975359,19.1672363472754,6.83620429690675,4.68500724001081,2.98836848319941,3.63158656437263,1.07704571184165,0.81223233939327,37.0280086327557,0,10.97644178719,3.1475944917542,0,3.30440318967682,1.06884418324468,3.16635619126076,"HC vs. CH","CH"
1265,"LOC111122711",16.3530823615118,-5.041556260521,3.99269676452507,-3.88311210731101,0.000103127990700497,0.0165544520399228,0.0458250787355777,66.2655895209655,0.987608636530477,9.39729747206447,2.59126180653503,0,17.5128497675491,1.30414340885159,0,0,4.91729428486054,28.1047086481399,0,0,0,1.31808168611062,0,0,13.4262713065124,86.4345506484543,13.9846000566849,10.8499495539508,5.52269985533532,2.11586250590771,43.7953911417932,5.68376438761791,23.2312022980207,0,0,22.835304354874,0,0,4.18184263249645,2.26390349082147,0,0,80.4513628546524,0,11.2331332335346,0,0,0,0,2.10615054058638,1.93403894969657,389.464535297293,0,0,0,38.1550468623763,2.02722530953685,4.04345402869984,0,0,0,0,0,70.8845635154234,6.88527087503084,1.64106657477544,18.3606881396516,0,0,46.302641292108,0,2.69176902568633,120.047747157437,1.91262430807175,0,2.31712722960486,186.275510893144,3.16567053702274,22.5175778581024,0,25.1098299629742,2.87452868555859,0,0.682789359453087,1.35668282855877,3.29605154271919,0,9.6742235476386,83.4338523351989,1.95320122768764,0.669286748572972,13.9457195882639,0,0,0,1.23426695442519,33.9110405375936,0.914703482265836,3.1475944917542,0,0,8.5507534659574,0,"HC vs. CH","HC"
