"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111122605",558.844913652192,-7.18229525315184,4.01505109195462,-4.06889677623891,4.7236267051513e-05,0.0105804827699267,0.0231890202612929,"BB vs. HB","BB"
"LOC111119534",24.2694814172602,-1.57944421858464,2.20789947322513,-3.6735274276407,0.000239224985646024,0.0390993497170679,0.136150412739034,"BB vs. HB","BB"
"LOC111105495",3.6584184986205,-14.4672996474609,10.1144206522311,-3.95462686689543,7.66541886042609e-05,0.0155474088922702,0.0399322813428241,"BB vs. HB","BB"
"LOC111105919",4.73754459478789,-17.7779208596128,2.60101271747038,-6.94958987846892,3.66349662466808e-12,4.5683802909611e-09,6.4015893461271e-09,"BB vs. HB","BB"
"LOC111110995",615.839743360353,5.44055805444668,2.26716702091721,4.32541415472707,1.522455507637e-05,0.00374157332019197,0.0105718289815062,"BB vs. HB","HB"
"LOC111109942",38.333590863308,1.74438143771078,2.20098730394422,3.7422322759367,0.000182392806677318,0.0319842885834304,0.117850075035061,"BB vs. HB","HB"
"LOC111110388",28.7055285149154,2.79724070728305,2.94578457417669,3.78273190261647,0.000155116461739448,0.0279284286112591,0.0864840039737842,"BB vs. HB","HB"
"LOC111107696",263.785980084957,-2.04325959071651,1.14932725067922,-4.32727196876799,1.50967507800305e-05,0.00373744486774153,0.0281239948189621,"BB vs. HB","BB"
"LOC111113440",11.871569866978,-17.109459164651,4.08635753026488,-4.79540298998605,1.62348122690561e-06,0.000515669711591369,0.000992487117478186,"BB vs. HB","BB"
"LOC111109234",170.644370247706,5.32447359246965,0.826528571443643,6.45290672338798,1.09724900315112e-10,1.08656696138515e-07,1.07457374364573e-07,"BB vs. HB","HB"
"LOC111101347",38.9416680666413,-21.1907850436293,3.78310822159029,-5.81167176746116,6.18520244646343e-09,3.47082635283295e-06,1.04802607864308e-05,"BB vs. HB","BB"
"LOC111113389",57.0430815543526,-3.94170855756454,2.73676026353991,-4.0292375730951,5.59580448651649e-05,0.0121551704036467,0.0437354383177868,"BB vs. HB","BB"
"LOC111135447",14.6676880275662,-21.359289159097,3.46180151385398,-6.35717908657646,2.05492374003312e-10,1.86992506495068e-07,2.81490758746287e-07,"BB vs. HB","BB"
"LOC111122106",73.5175856776381,-3.23235161892938,2.66769911282005,-3.94457267438046,7.9942407193867e-05,0.0160213149274423,0.0576149660895068,"BB vs. HB","BB"
"LOC111118967",5.64516942528679,-21.4539356879353,3.02446887353958,-7.25569019278641,3.99618813071101e-13,6.4070313415671e-10,6.11903749998287e-10,"BB vs. HB","BB"
"LOC111118615",36.0129970182496,-4.59784636829623,1.85252496452584,-4.38236537129259,1.17397711340477e-05,0.00297192747603198,0.0094248906280476,"BB vs. HB","BB"
