"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
189,"LOC111116296",489.912158990844,-8.79350055671003,2.3848027789979,-4.61631494214243,3.90614019577928e-06,0.000979443270112479,0.00245226419731945,0,0,179.488381716431,1.72750787102335,0,0,18.9100794283481,121.202740508059,0,0,0,245.369999610123,107.689191805444,0,0,43.4838321161425,0,35.8033901506996,3315.57534128055,1.74807500708561,7.23329970263385,0,0,10.4274740813793,0,37617.9540068663,0,130.89196036587,44.632640329981,0,50.0151144836473,507.048419190194,4.52780698164295,0,685.190046089684,9.93226701909289,28.7381079137119,25.4617686626783,2.06342267946373,36.2598776373686,16.0175499734312,0,2.10615054058638,21.2744284466622,0,1.4608281879149,2.7569334791414,2.00018329076431,1107.6525725502,4.0544506190737,4.04345402869984,38.5591063471784,63.9782742353769,50.6252109336273,0,0,91.1372959484015,244.918921126097,1078.18073962746,12.2404587597678,27.3295630958998,0,1.07680561144437,37.474410386741,5.38353805137266,6.00238735787187,0,30.2641091833652,11.5856361480243,0,40.0984934689547,0,59.0759683848116,4.07186431832014,2.87452868555859,0,2.73115743781235,138.381648512994,95.5854947388564,4.04538588102763,43.0942685303901,0,1.95320122768764,10.7085879771676,57.7751240085218,5.44737984655894,299.41870789198,3.24892935757308,2.46853390885038,59.8430127134006,0,4.19679265567226,102.939520020733,0,0,2.11090412750717,"CC vs. HC","CC"
624,"LOC111115098",5.3784806155427,-16.7845184923977,2.93068524137042,-5.8062527659638,6.3886493009099e-09,2.64413109379346e-06,3.89989917532865e-06,0,4.93804318265238,5.63837848323868,0,6.89427786536384,0,0,0,0,0,2.00747918915285,2.11525861732865,0,0,0,0,0,0,195.828278812904,0,0,0,1.41057500393848,1.04274740813793,1.89458812920597,0,0,12.2017929154625,0,0,1.08728509747059,2.09092131624822,0,0.927426989916344,1.10693060757623,2.97968010572787,0,0,0,0,0,0,0,0,3.07877103001813,0,0,0,0,1.01361265476843,0,2.0842760187664,0,0,0,2.84994168400495,184.806183450925,0,0,0,0,0,0,0,0,2.00079578595729,1.91262430807175,0,0,0,0,0,0,0.678644053053357,0,0,0,0,0,0,49.2505926061601,0,0,0,11.9534739327976,0,0,0,4.93706781770076,0,0,0,0,2.20293545978455,1.06884418324468,6.33271238252152,"CC vs. HC","CC"
726,"LOC111134671",613.020976481396,1.32197718677997,1.84284253017168,3.74364154515359,0.000181372352368556,0.029528450467131,0.126646792502866,1623.04028418252,394.05584597566,3766.43682680344,25.0488641298386,1161.68582031381,1641.53778487827,1724.72965820623,34.9228235362204,72.8562517924058,35.4045188509959,439.637942424474,68.7459050631811,2786.32714719912,693.053658162529,218.801559894364,7.9061512938441,372.811619345335,273.746753860558,85.0840107945722,117.121025474736,35.26233605034,31.2952991802335,1820.3470425826,81.3342978347587,143.988697819654,37.6124227682239,393.035719994859,1503.0390364047,450.478276818878,17.1205166406176,729.568300402768,49.1366509318332,868.206988730035,70.4844512336421,101.837615897013,78.4649094508338,581.728972313925,314.527730538967,147.534721581657,2103.07290296738,42.1514472985032,63.9876339251974,244.313462708021,2022.03772190776,50.0300292377946,734.06616442724,128.656895693265,46.0042156875792,546.889005027393,283.811543335159,2358.68151674157,44.8119344034776,1429.91442916067,2183.78750800056,50.5338108400505,424.641310916737,391.13089511189,55.0821670002467,436.523708890267,3623.17579289125,868.239196815894,51.0491035548029,19.3825010059987,337.269693480669,105.876248343662,11.0043768227651,734.447734299551,148.483285680886,121.649179554255,479.447763832922,8.44178809872731,642.454643263985,27.6323077928957,1194.41353337391,248.359278432262,28.6578869787424,71.6928827425742,1062.28265476151,4571.62348975151,67.7602135072128,514.49279776078,395.747056346687,72.2684454244428,1003.26083611089,2550.07443899683,372.237622848194,137.861851115732,64.9785871514616,340.657679421352,46.8770266254971,18.2940696453167,181.511282357825,1580.69351854058,112.349708449012,34.2030138638296,363.075509931234,"CC vs. HC","HC"
743,"LOC111107220",10.3959357878913,-19.0686490024809,3.08740312591752,-6.26673550417762,3.68695612228733e-10,2.01038597956848e-07,2.00671288365183e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39105633163431,2.98361584589164,39.1656557625809,1.74807500708561,9.04162462829231,0,0,4.17098963255173,0,16.5937159271576,0,4.43701560562273,0,0,0,0,0,0,6.64158364545735,0,10.4502210595316,0,0,0,0,0,0,0,3.07877103001813,0,0,0,0,2.02722530953685,0,0,0,0,0,1.89996112266997,817.704071981491,0,0,0,0,0,2.15361122288875,0,12.5615887865362,0,1.91262430807175,0,0,0,0,0,0,0,3.44943442267031,0,6.14510423507779,4.0700484856763,0,0,7.03579894373716,0,0,0,4.98061413866568,0,0,0,0,1.99476709044669,21.0381800921142,4.19679265567226,0,0,2.13768836648935,0,"CC vs. HC","CC"
1115,"LOC111110995",615.839743360353,-4.84914779193811,2.6019360396533,-4.18187141510958,2.89119475198104e-05,0.00605599525122272,0.022840336280378,10.2664997849383,0,52.624865843561,32.8226495494437,16.0866483525156,2586.06414900808,113.460476570088,83.1984913657016,21.7481348634047,3.93383542788843,30.1121878372928,3.17288792599298,1.04552613403344,4.50034842962681,10.544653488885,2855.10888598945,3505.49439790142,7.45903961472909,1.3505398538821,2.62211251062841,66.0038597865339,8.28404978300298,6.34758751772314,3590.1793262189,3176.27699861381,3.31874318543152,2648.59145638327,2809.74013226059,13.493588936971,9.06380292738581,19.5711317544707,2262.37686418058,20.3751314173933,82.5410021025546,70.8435588848784,23.8374408458229,12.1919245694535,3400.64386756536,3389.17175101918,45.858080541378,31.1920710008924,16.2508276635422,2.10615054058638,12.5712531730277,0.769692757504532,26.2949073824683,9.18977826380466,3510.32167529137,36.9988333210922,4705.18994343503,8.76081706218298,20.842760187664,107.696761629551,20.7103135637566,10.1067621680101,1894.26123930196,8.86057043942792,2641.97679576183,31.1802649207333,5.24591089704332,78.8352781612495,3777.63366305541,115.218200424548,43.7201454511979,2600.248878813,8.00318314382916,3457.06843683968,57.69095813079,6.95138168881458,7.40868509234096,18.9940232221364,3.5183715403285,0,7.46508458358693,17.2471721133515,5.3733538085142,4.77952551617161,4.0700484856763,15.3815738660229,4.04538588102763,9.6742235476386,1.1274844910162,10.742606752282,25.432896445773,0.996122827733135,31.7763824382605,34.4654627789329,25.9914348605846,13.5769364986771,3.98953418089337,6.40292437586085,15.737972458771,61.7637120124396,9.91320956903047,2719.13960217445,1815.37754965617,"CC vs. HC","CC"
1247,"LOC111106287",5.42989392274898,-37.3653051542169,5.50036809877516,-7.15367277185999,8.44863294188701e-13,6.44949864043784e-10,1.80215246936753e-09,0,0,0,0,0,0,0,0,0,0,0,0,1.04552613403344,0,0,0,0,0,0,0,134.720206961555,17.4885495418952,0,0,0,0,0,0,0,0,0,0,0,0,14.3900978984909,0,0,0,0,3.19940096800311,0,0,0,0,15.3938551500906,0,0,0,0,1.01361265476843,0,0,0,0,0,0,0,0,0,0,0,0,143.215146322102,0,0,0,0,0,0,0,0,0,0,63.1138969339622,0,36.7179176915137,0,17.636876771264,0,0,51.8890172100616,0,19.5320122768764,0,0,0,0,0.81223233939327,0,0,0,0,0,1.10146772989227,0,0,"CC vs. HC","CC"
1316,"LOC111125092",4.27058577504486,-19.3942580670076,2.98827737645539,-6.57884445501596,4.7411843008719e-11,2.8573537386588e-08,2.47590455512844e-08,3.73327264906848,0,0,0,0,1.1675233178366,0,0,0,0,1.00373959457643,1.05762930866433,0,0,1.31808168611062,0,3.19552816581715,1.49180792294582,0,0,3.61664985131693,0,11.2846000315078,0,48.3119972947523,0,34.0239877010475,0,1.037968379767,0,0,0,0,0,0,0,0,24.712893113776,0,0,0,0,0,2.90105842454485,0,0,0,37.0033908791398,0,119.606293262674,0,0,0,0,0,0,0,0,0,0,0,4.81595316554744,2.15361122288875,0,1.79451268379089,0,3.82524861614349,0,0,0,0,0,0,0,0,0,0,5.42673131423507,0,0,0.879474867967145,2.2549689820324,0,0.669286748572972,0,0,4.30818284736662,0,4.93706781770076,0,0,0,1.14377244467481,0,82.30100210984,0,"CC vs. HC","CC"
1500,"LOC111100593",10.0634918742379,-16.1357959984806,2.28524350199655,-7.116416682899,1.10769083770756e-12,8.27204253411523e-10,9.30671853704395e-10,7.46654529813696,0,1.87945949441289,0,0,0,0,0,0,0,0,31.7288792599298,0,0,5.2723267444425,0,12.7821126632686,0,0,1.74807500708561,0,2.76134992766766,4.23172501181543,0,51.1538794885612,18.806211384112,15.252132417711,0,21.797335975107,0,28.2694125342354,18.818291846234,0,0,0,6.95258691336502,4.35425877480483,0,0,4.26586795733748,0,0,0,0,16.1635479075952,13.1474536912341,0,28.0025660707004,0,22.2994784049054,0,96.9188348726376,26.6576142647404,11.5057297576426,0,3.79992224533993,0,0,0,0,0,3.85276253243795,218.591539123208,2.49829402578273,28.7122029406542,0,16.2573066186098,0,0,0,0,1.4073486161314,0,0,0,132.542727276684,2.73115743781235,24.4202909140578,6.59210308543837,2.02269294051382,9.6742235476386,39.461957185567,3.90640245537529,0,11.9534739327976,0,0,0,0,0,0,3.1475944917542,2.28754488934962,0,0,0,"CC vs. HC","CC"
1505,"LOC111113491",3.55822952389682,-9.8547577646164,8.24738212970653,-3.73590604283319,0.000187040501945291,0.030307619447286,0.0502984062273843,0,0,0,0,2.29809262178795,0,1.30414340885159,24.6514048490968,0,0,0,2.11525861732865,98.2794565991435,0,2.63616337222125,0,0,0,0,0,0.904162462829231,0,0,0,0,2.21249545695435,0,0,0,0,0,0,0,0,65.3089058469973,0,5.22511052976579,0,0,0,0,0,0,13.538272647876,0,0,0.918977826380466,0,11.5621354128413,0,0,1.0421380093832,0,0,0,0,0,0,0,0,68.3239077397495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9170707139692,0,0,0,3.3824534730486,0,0,0,1.81579328218631,2.15409142368331,0,0,0,0,0,0,0,0,0,"CC vs. HC","CC"
1509,"LOC111113589",4.96368109315442,-14.8709924380674,2.89000876294337,-5.26996149802509,1.36452378091681e-07,4.59550205118179e-05,5.72582018125879e-05,0,1.97521727306095,5.63837848323868,0,0,2.33504663567321,3.91243022655478,0,0,0,0,2.11525861732865,35.547888557137,0,0,0,0,0,0,1.74807500708561,0,0,0,9.38472667324139,0,1.10624772847717,0,0,0,0,0,3.13638197437233,0,0,50.9188079485064,0.993226701909289,1.74170350992193,0,0,0,0,0,0,0,0,0,0,0,6.93728124770478,2.02722530953685,0,33.3484163002624,0,0,0,0,0,0,16.4106657477544,0,16.8181926743999,3.85276253243795,0,2.49829402578273,0,2.00079578595729,0,0,0,0,0,0,0,0,0,0,0,9.49677979991137,0,0,0,5.63742245508101,0,0,0,1.81579328218631,2.15409142368331,0.81223233939327,0,1.99476709044669,0,0,232.185806268986,0,2.13768836648935,15.8317809563038,"CC vs. HC","CC"
