"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","DEG_group"
"LOC111122605",558.844913652192,4.24559644438412,4.44542684107359,0.000218562200565604,0.0320856782642292,"hc"
"LOC111105495",3.6584184986205,36.2842787024334,5.74138381085036,3.02021014853493e-11,1.48214655746388e-08,"hc"
"LOC111115098",5.3784806155427,-18.5072582800106,2.88171725220811,8.08676250526608e-11,3.75400629163379e-08,"ch"
"LOC111107220",10.3959357878913,-16.9809635803516,3.15551187340043,4.28311263393554e-08,1.27942161044307e-05,"ch"
"LOC111122352",2.12339050975864,19.0987964297843,3.09165264378798,3.77542546416876e-10,1.58162701884299e-07,"hc"
"LOC111123472",221.693425573513,24.252624021667,5.08646527443316,3.89126886440333e-07,9.21881848482643e-05,"hc"
"LOC111104556",26.2260654413922,-4.12721207159939,3.53846018457518,0.000110022391226586,0.0174170008452336,"ch"
"LOC111110995",615.839743360353,-7.21668231724763,1.46455365067684,3.0173914529914e-07,7.51111820240293e-05,"ch"
"LOC111111698",14.0829241960118,-1.60292541550293,2.35911338139678,0.000278155381505469,0.0394842713449416,"ch"
"LOC111122711",16.3530823615118,5.041556260521,3.99269676452507,0.000103127990700497,0.0165544520399228,"hc"
"LOC111125092",4.27058577504486,-19.9008463562583,2.99106288533093,1.58876344015775e-11,8.52768776504673e-09,"ch"
"LOC111100593",10.0634918742379,-16.8498702930915,2.28329058325129,1.05149259623234e-13,7.52518201370277e-11,"ch"
"LOC111099751",5.71945019705875,-16.9527621633128,2.54835573607237,1.89452123133427e-11,9.57067549099926e-09,"ch"
"LOC111114907",8.30111529381901,-12.8318196035042,9.53340868608635,0.000151198155285672,0.0231873170998813,"ch"
"LOC111107367",9.650504284012,-26.6908214279129,8.98223562536419,1.07042692184379e-05,0.00208927872836238,"ch"
"LOC111099121",39.0159367804621,-2.29237371279976,3.28869786793307,0.000365909511052148,0.0498798552526325,"ch"
"LOC111113440",11.871569866978,19.7026786140446,3.81854649417652,1.0826737688672e-07,2.86092379293276e-05,"hc"
"LOC111114190",23.2921464189283,-38.9262679242656,5.7969165378384,1.579137203696e-12,9.86300385843e-10,"ch"
"LOC111118368",7.76682247406133,-12.9520799571079,5.14168678356546,2.41364073783879e-05,0.00452715043676895,"ch"
"LOC111114504",6.39852811627338,-19.9694266702854,4.09773659281655,3.39277082169274e-07,8.19979216646037e-05,"ch"
"LOC111135447",14.6676880275662,19.8315005071617,3.52464047182299,9.81855440663429e-09,3.21225696168287e-06,"hc"
"LOC111101935",195.687368168699,2.62482706809523,3.47053166554044,0.000310836368274028,0.0434058980607699,"hc"
"LOC111122106",73.5175856776381,3.74286061531872,2.57897296968443,4.96759138144584e-05,0.00866226899164607,"hc"
"LOC111119065",7.5112489563482,17.6555033993532,3.0679763736345,5.3496171681923e-09,1.85626312082567e-06,"hc"
"LOC111121464",12.7242609096933,14.7363997284821,4.6202609211852,1.04208235705731e-05,0.00204796940541997,"hc"
"LOC111121938",20.4228226023182,-3.0043907048119,3.36926475810595,0.000198289665431736,0.029360545633237,"ch"
"LOC111122207",208.195925323478,-23.0526220337958,2.28494960818603,2.81319459829467e-24,6.03992880253865e-21,"ch"
"LOC111121752",34.2394047460043,-21.2855814814835,2.50814770074832,1.08957819418416e-17,1.20739322989079e-14,"ch"
"LOC111121872",70.5743475960999,-6.12959583736306,3.78372445462248,5.6676633642639e-05,0.00973477859445968,"ch"
"LOC111121252",56.1116693717683,1.34791906125091,1.74120018355244,0.000142103353310642,0.021890288757521,"hc"
"LOC111121331",7.82944715805806,-16.3062626995582,3.0782374872296,6.68841519999182e-08,1.86797104837495e-05,"ch"
"LOC111122013",94.7953669731526,7.93385009309113,2.7542158295083,1.0860336997072e-05,0.00210776438713795,"hc"
"LOC111120465",7.16449448023228,-23.416151804561,11.5248413711489,3.99640371456834e-05,0.00711318447683169,"ch"
"LOC111126824",15.6431116790884,-19.8779206915255,3.57745824709507,1.44624424708749e-08,4.64311984821959e-06,"ch"
"LOC111123405",4.31576529906034,16.7874918315251,3.70960385177384,1.05701716266907e-06,0.000234262281109728,"hc"
"LOC111123112",65.6460334839859,6.12725698140935,1.78447843027451,4.27422985406778e-06,0.000884508096065881,"hc"
"LOC111127400",6.7425973126507,-19.5778386175446,3.03817266163292,6.57876759669311e-11,3.11159486583805e-08,"ch"
"LOC111122621",659.383749036625,2.13856308839847,3.06001155767355,0.00033781228652056,0.0464181106662171,"hc"
"LOC111123832",51.1598728418215,-17.5740349821703,3.57897891251771,3.25775926446652e-07,7.93691817396836e-05,"ch"
"LOC111124980",4.88503837387972,-17.6186605079408,4.66288286940087,4.54166317783977e-06,0.000934222835240429,"ch"
"LOC111126263",6.22679366298922,-17.3316196045443,3.01525423272147,5.66181354486643e-09,1.92568929597279e-06,"ch"
"LOC111122730",27.9293810464141,20.9312706883865,2.44427607090971,5.74660030019286e-18,6.5802404504075e-15,"hc"
"LOC111124163",7.45160418715234,16.7437566255729,2.07210060728266,4.30192242066937e-16,4.10498997207872e-13,"hc"
"LOC111123468",27.6086585456707,21.1347444691892,5.80402667419856,5.31663389031873e-06,0.00107433533764841,"hc"
"LOC111124209",5.03768150850996,17.8060426611379,2.57865807520256,3.15256048891428e-12,1.83553826974887e-09,"hc"
"LOC111123650",10.3697260486108,-38.0567330662856,4.16225010360398,5.97789822410426e-21,1.02676379897215e-17,"ch"
"LOC111125416",68.0782645194258,22.5764538349311,3.64663641237598,2.74502883001926e-10,1.17871537961027e-07,"hc"
"LOC111125415",68.2701651688084,22.6734498426873,3.64176199753915,2.18390749730294e-10,9.53498446868636e-08,"hc"
"LOC111127640",51.3705458588386,-11.2442259152475,7.56687532413607,0.000112255824999123,0.017689046331972,"ch"
"LOC111122505",15.8726129636479,-15.9417764362087,3.29042299233012,4.26562704899465e-07,0.000100364945470592,"ch"
"LOC111123495",28.1921538432169,2.94998749702278,3.20202118782839,0.000173853263929292,0.0263092833590265,"hc"
"LOC111126655",5.89145003979775,18.2207350080462,4.09916026246926,1.25571792000488e-06,0.000271298251496903,"hc"
"LOC111126375",8.13236545158736,-16.393245088237,3.08718076178823,6.26316644700249e-08,1.76354339170024e-05,"ch"
"LOC111124333",4.53265583367049,21.3942994847015,3.06452642875401,1.47479392030976e-12,9.381874213052e-10,"hc"
"LOC111123336",8.94989458899985,19.5047425800931,5.19405842917941,4.61192992577423e-06,0.000943029861965454,"hc"
"LOC111126880",5.20388894339251,41.291057991857,2.75339589213622,5.32621105871454e-52,3.65932004577924e-48,"hc"
"LOC111122538",41.8156191787512,-19.1060521336156,1.8364739304131,1.40676140272553e-25,3.4517905504591e-22,"ch"
"LOC111125496",3.68042488580678,-10.9244278410333,9.59039451739643,0.000229590078078796,0.0334189761108593,"ch"
"LOC111128249",13.8853548042529,22.5800172487212,4.70421219347261,3.85156075142e-07,9.18811214810971e-05,"hc"
"LOC111128341",2427.18423528705,5.62886523810793,3.02426741560019,3.41194495932407e-05,0.0062014356213069,"hc"
"LOC111130899",74.0560098643665,-1.612118407706,2.07739331695293,0.000170695460176281,0.0259457099467948,"ch"
"LOC111128422",5.11605844805309,-33.9241550036585,3.18271253298324,2.59396231354366e-27,7.425649449571e-24,"ch"
"LOC111128098",4.56839659551525,15.097733098814,2.91664057040938,1.21953061249645e-07,3.17373603033926e-05,"hc"
"LOC111131255",6.50220788190572,-18.6802631941446,2.25101895293137,6.33835759682129e-17,6.80422688018766e-14,"ch"
"LOC111129538",2.4631467162126,17.5326602108401,3.18239073910651,2.1345677629579e-08,6.72721759569999e-06,"hc"
"LOC111130340",495.933755998986,6.69472639190356,1.84671396735375,3.55430431573527e-06,0.000744496718622792,"hc"
"LOC111128226",16.0868103484831,21.3853926608316,2.45362023799942,1.46885209082167e-18,1.94069257784254e-15,"hc"
"LOC111129649",3.84655634621497,-12.3229521648824,3.89711791737944,1.00880485259221e-05,0.00200314822521663,"ch"
"LOC111128391",6.00612202802078,19.1075292618597,4.41820460254436,1.62255593108014e-06,0.000348362758402907,"hc"
"LOC111133883",149.443790844938,23.2158691262279,4.30325776390733,2.74112939433747e-08,8.40743544234649e-06,"hc"
"LOC111136717",2.59010525295711,-15.9556028457772,3.17373083591861,2.20704030823528e-07,5.53403274952541e-05,"ch"
"LOC111133230",8.48703916661357,15.8428106133525,2.05622101318201,9.13036726434341e-15,7.46777086344583e-12,"hc"
"LOC111134451",5.53422757111378,-16.5493524698282,11.3059908518028,0.000116239650669439,0.0182331711406236,"ch"
"LOC111133743",11.8523212694363,-12.7566366474493,5.82265136486455,3.77011813327592e-05,0.00681637358496286,"ch"
"LOC111137195",22.8305291391832,5.03154368157366,3.22720692433143,5.31324039041837e-05,0.00921820373190161,"hc"
"LOC111137210",4.4079246824734,-45.0037331977217,3.02236535669174,1.66327775099766e-51,9.52281955037862e-48,"ch"
