"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
189,"LOC111116296",489.912158990844,-6.46834017994221,3.69519694453087,-4.16310403932272,3.13950228561431e-05,0.00873585970697094,0.036948882173527,0,0,179.488381716431,1.72750787102335,0,0,18.9100794283481,121.202740508059,0,0,0,245.369999610123,107.689191805444,0,0,43.4838321161425,0,35.8033901506996,3315.57534128055,1.74807500708561,7.23329970263385,0,0,10.4274740813793,0,37617.9540068663,0,130.89196036587,44.632640329981,0,50.0151144836473,507.048419190194,4.52780698164295,0,685.190046089684,9.93226701909289,28.7381079137119,25.4617686626783,2.06342267946373,36.2598776373686,16.0175499734312,0,2.10615054058638,21.2744284466622,0,1.4608281879149,2.7569334791414,2.00018329076431,1107.6525725502,4.0544506190737,4.04345402869984,38.5591063471784,63.9782742353769,50.6252109336273,0,0,91.1372959484015,244.918921126097,1078.18073962746,12.2404587597678,27.3295630958998,0,1.07680561144437,37.474410386741,5.38353805137266,6.00238735787187,0,30.2641091833652,11.5856361480243,0,40.0984934689547,0,59.0759683848116,4.07186431832014,2.87452868555859,0,2.73115743781235,138.381648512994,95.5854947388564,4.04538588102763,43.0942685303901,0,1.95320122768764,10.7085879771676,57.7751240085218,5.44737984655894,299.41870789198,3.24892935757308,2.46853390885038,59.8430127134006,0,4.19679265567226,102.939520020733,0,0,2.11090412750717,"CC vs. WC","CC"
205,"LOC111105905",24.7295371363799,3.89053995900406,1.51874977904634,4.52817878944385,5.94942336329636e-06,0.0020865743251961,0.0106416070448448,20.5329995698766,13.8265209114267,1.87945949441289,16.4113247747218,34.4713893268192,14.0102798140392,7.82486045310955,19.515695505535,8.69925394536189,4.91729428486054,41.1533233776335,15.8644396299649,8.36420907226753,20.2515679333207,5.2723267444425,1.97653782346102,102.256901306149,19.3935029982956,113.445347726096,30.5913126239981,1.80832492565846,15.6476495901167,4.23172501181543,23.9831903871725,7.57835251682389,2.21249545695435,3.51972286562561,7.76477730983977,49.822482228816,5.0354460707699,52.1896846785885,17.7728311881099,7.92366221787516,0.927426989916344,12.1762366833385,0.993226701909289,31.3506631785947,3.74437774451152,4.12684535892746,12.7976038720125,7.58726051373059,8.1254138317711,2.10615054058638,79.2955969375592,6.15754206003625,22.642836912681,29.4072904441749,28.0025660707004,150.307760366937,10.1361265476843,107.151531760546,10.421380093832,1.06630457058961,2.30114595152851,4.59398280364096,10.4497861746848,111.39002838138,7.86888100003524,62.3605298414667,1.74863696568111,0,3.85276253243795,87.2212545269942,14.9897641546964,9.86981976084988,20.0079578595729,8.60680938632286,13.2405477677223,10.4270725332219,11.6422194308215,5.27611756170457,13.3698118532483,7.6227055980402,7.46508458358693,19.5467950617984,16.1200614255426,4.77952551617161,13.5668282855877,23.0723607990343,6.06807882154145,7.03579894373716,453.248765388513,9.76600613843822,12.7164482228865,25.8991935210615,19.0658294629563,4.30818284736662,12.9957174302923,4.93706781770076,9.97383545223343,4.57351741132918,22.0331614422794,26.3067662275206,29.7396287070914,2.13768836648935,3.16635619126076,"CC vs. WC","WC"
1001,"LOC111122352",2.12339050975864,-15.8634017796748,3.26894935338577,-5.10292114974309,3.3445037732458e-07,0.000158600137382272,0.000181203960455863,0,0,0.939729747206447,0,0,0,0,0,0,0,0,0,3.13657840210033,0,0,0,0,0,0,0,29.8373612733646,0,1.41057500393848,0,0,0,0,0,0,2.01417842830796,0,2.09092131624822,0,0,0,0,0,0,0,0,0,0,0,1.93403894969657,0,0,0,0,8.09349478898891,2.02722530953685,6.06518104304975,0,24.5250051235611,1.15057297576426,0,0,0,1.96722025000881,0,2.62295544852166,0,0,0,0,0,1.00039789297865,1.91262430807175,0,4.63425445920972,0,2.11044702468183,0,0,0,0,0,0.682789359453087,0,0,0,92.3448611365503,0,0,0,0,0,2.15409142368331,0,0,6.9816848165634,0,2.09839632783613,0,0,0,2.11090412750717,"CC vs. WC","CC"
1115,"LOC111110995",615.839743360353,-6.88785839706473,1.6166201372871,-4.89257967700671,9.95228044342205e-07,0.000424156114239971,0.00105112644347246,10.2664997849383,0,52.624865843561,32.8226495494437,16.0866483525156,2586.06414900808,113.460476570088,83.1984913657016,21.7481348634047,3.93383542788843,30.1121878372928,3.17288792599298,1.04552613403344,4.50034842962681,10.544653488885,2855.10888598945,3505.49439790142,7.45903961472909,1.3505398538821,2.62211251062841,66.0038597865339,8.28404978300298,6.34758751772314,3590.1793262189,3176.27699861381,3.31874318543152,2648.59145638327,2809.74013226059,13.493588936971,9.06380292738581,19.5711317544707,2262.37686418058,20.3751314173933,82.5410021025546,70.8435588848784,23.8374408458229,12.1919245694535,3400.64386756536,3389.17175101918,45.858080541378,31.1920710008924,16.2508276635422,2.10615054058638,12.5712531730277,0.769692757504532,26.2949073824683,9.18977826380466,3510.32167529137,36.9988333210922,4705.18994343503,8.76081706218298,20.842760187664,107.696761629551,20.7103135637566,10.1067621680101,1894.26123930196,8.86057043942792,2641.97679576183,31.1802649207333,5.24591089704332,78.8352781612495,3777.63366305541,115.218200424548,43.7201454511979,2600.248878813,8.00318314382916,3457.06843683968,57.69095813079,6.95138168881458,7.40868509234096,18.9940232221364,3.5183715403285,0,7.46508458358693,17.2471721133515,5.3733538085142,4.77952551617161,4.0700484856763,15.3815738660229,4.04538588102763,9.6742235476386,1.1274844910162,10.742606752282,25.432896445773,0.996122827733135,31.7763824382605,34.4654627789329,25.9914348605846,13.5769364986771,3.98953418089337,6.40292437586085,15.737972458771,61.7637120124396,9.91320956903047,2719.13960217445,1815.37754965617,"CC vs. WC","CC"
1502,"LOC111123118",2.88828401095995,-16.7263829670416,12.5510773602758,-3.94927852187925,7.83871010190628e-05,0.0186848864747167,0.0522676899243043,0,0,0,0,0,0,1.30414340885159,0,0,0,0,0,0,0,0,0,0,0,12.1548586849389,0,0,0,0,0,0,0,0.586620477604268,0,0,0,0,0,0,0,0,0,0,0,2.06342267946373,0,0,0,0,0,3.84846378752266,0,0,0,0,0,0,0,0,0,0,0,43.0370564200785,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8283526851137,1.4073486161314,0,0,3.44943442267031,0,0,0,0,0,0,0,0,0,0,0,157.248673928882,0,0,0,0,0,29.738083561545,6.60880637935365,0,0,"CC vs. WC","CC"
1843,"LOC111109459",58.0797414288575,3.51813342433178,2.71636208140853,4.07857129456023,4.53133069837679e-05,0.0114710806980187,0.0585502192357738,3.73327264906848,3.95043454612191,6.57810823044513,43.1876967755838,13.7885557307277,0,0.652071704425796,0,2.17481348634047,8.85112971274896,35.1308858101749,57.1119826678736,2.09105226806688,9.00069685925362,0,19.7653782346102,13.847288718541,237.943363709858,4.0516195616463,23.5990125956557,6.32913723980462,0,5.64230001575391,1442.11966545476,100.413170847916,15.4874681986804,11.1457890744811,18.8573163238966,1.037968379767,1.00708921415398,4.34914038988237,8.36368526499289,11.3195174541074,0.927426989916344,2.21386121515245,203.611473891404,1.74170350992193,12.7308843313392,29.9196288522241,5.33233494667186,0.843028945970065,8.1254138317711,9.47767743263873,11.6042336981794,6.92723481754079,13.8778677851916,1.83795565276093,9.0008248084394,23.1242708256826,3.04083796430528,41.782358296565,0,0,257.728346571194,4.59398280364096,180.496306653647,10.1263662164891,1.96722025000881,3.28213314955088,0,37.8409335173997,0.963190633109488,5.38402805722186,4.99658805156547,20.6368958635952,14.005570501701,5.73787292421524,212.794517695537,2.31712722960486,35.9850418770847,0,38.7020869436135,7.6227055980402,16.2874572732806,17.2471721133515,17.0156203936283,49.1608338806223,10.8534626284701,435.078803638933,2.02269294051382,2.63842460390144,4.50993796406481,18.5554116630326,11.3778747257405,1490.19975028877,2.72368992327947,28.003188507883,17.8691114666519,2.46853390885038,34.908424082817,11.8911452694559,12.5903779670168,14.8690417807725,16.5220159483841,16.0326627486701,0,"CC vs. WC","WC"
2210,"LOC111135743",113.970142254906,4.26117486197285,1.84013871423186,4.43972142428809,9.00753971252094e-06,0.00300272133248384,0.0141831955344758,22.3996358944109,21.7273900036705,13.1562164608903,24.1851101943269,11.4904631089397,3.50256995350981,11.0852189752385,28.7599723239462,224.005789093069,0.983458856972107,14.05235432407,8.4610344693146,2.09105226806688,2722.71079992422,6.59040843055312,10.8709580290356,18.1079929396305,26.8525426130247,47.2688948858735,6.99230002834243,22.6040615707308,21.1703494454521,19.0427625531694,14.5984637139311,3.78917625841194,5.53123864238587,21.1183371937536,5.54626950702841,5.189841898835,55.3899067784689,18.4838466570001,16.7273705299858,0,3.70970795966538,18.8178203287958,19.8645340381858,109.727321125082,7.48875548902304,11.3488247370505,91.7161610827559,5.05817367582039,11.1724440186853,15.7961290543979,5.8021168490897,13.8544696350816,24.8340791945534,12.8656895693265,28.0025660707004,27.7491249908191,19.2586404406001,2.02172701434992,21.8848981970472,11.7293502764858,32.2160433213992,13.7819484109229,30.3993779627195,67.08717618424,22.6230328751013,0,27.1038729680572,4.20454816859997,14.4478594966423,17.22888978311,42.4709984383065,6.28079439326811,51.0202925419109,16.2573066186098,7.56602729584131,25.4883995256534,19.0509045231625,10.5522351234091,6.33306877259131,64.7929975833417,11.5369489019071,27.0205696442507,248.965393127824,8.87626167289013,8.1400969713526,39.5526185126302,2469.70808036737,3334.08922446345,29.3145967664212,14.6490092076573,4.01572049143783,3.98449131093254,36.3158656437263,18.3097771013081,8.1223233939327,11.1084025898267,22.9398215401369,203.064173063016,8.39358531134453,18.3003591147969,8.81174183913819,21.3768836648935,8.44361651002869,"CC vs. WC","WC"
2368,"LOC111107423",21.2202269552621,3.91611253096321,0.997691936927723,4.87802426997397,1.07153742704172e-06,0.000450969920388347,0.0023259091370171,1.86663632453424,6.91326045571334,29.1316221633999,8.63753935511675,3.44713893268192,2.33504663567321,18.2580077239223,3.0814256061371,20.6607281202345,12.7849651406374,19.0710522969521,27.4983620252725,11.5007874743679,9.00069685925362,22.4073886638806,23.7184538815323,24.4990492712649,9.69675149914782,17.5570181004673,11.3624875460564,19.8915741822431,10.1249497347814,4.93701251378467,59.4366022638622,11.3675287752358,2.21249545695435,18.1852348057323,13.3110468168682,9.341715417903,5.0354460707699,18.4838466570001,13.5909885556134,35.0905041077328,1.85485397983269,13.2831672909147,6.95258691336502,30.4798114236338,4.49325329341382,29.9196288522241,43.7251465627092,5.05817367582039,1.01567672897139,14.7430537841047,12.5712531730277,4.61815654502719,2.19124228187236,11.9467117429461,21.0019245530253,20.8118437431143,9.12251389291583,8.76081706218298,15.632070140748,90.6358885001173,36.8183352244562,4.59398280364096,0.949980561334983,1.26579577706113,13.7705417500617,24.6159986216316,8.74318482840554,0,12.5214782304233,1.07680561144437,2.49829402578273,7.17805073516355,12.0047747157437,35.3835496993273,5.67452047188098,17.3784542220364,7.40868509234096,5.27611756170457,23.9249264742338,9.52838199755026,16.2874572732806,13.2228319535695,8.95558968085699,11.6074191107025,25.7769737426166,18.6776254087421,315.540098720155,327.164650883778,5.63742245508101,27.344817187627,22.7557494514811,25.8991935210615,14.5263462574905,19.3868228131498,18.6813438060452,4.93706781770076,6.9816848165634,15.5499591985192,8.39358531134453,3.43131733402442,3.30440318967682,12.8261301989361,26.3863015938397,"CC vs. WC","WC"
2636,"LOC111119985",27.5097416538187,-12.5385046337241,5.30646257350062,-4.27250172740264,1.93292055759096e-05,0.00591631838668456,0.0127357128847961,0,0,42.2878386242901,0,0,66.5488291166864,201.490156667571,84.225633234414,0,0,0,0,0,49.5038327258949,0,172.94705955284,62.8453872610707,0,60.7742934246944,1.74807500708561,0,152.794695997611,0,0,0,0,0,206.321225661457,0,0,225.068015176413,0,0,0,0,0,0,1.49775109780461,248.64243287538,0,0,0,0,15.4723115975725,0,75.2326516776176,0,0,0,0,0,0,0,0,68.9097420546143,0,0,74.7543695003348,91.8997281874246,29.7268284165788,0,0,0,0,0,0,0,0,4.63425445920972,0,0,0,0,0,0,0,0.682789359453087,0,7.69078693301144,0,0,0,284.190778628552,0,0,60.8290749532415,1.07704571184165,136.455033018069,0,0,0,172.068498882563,0,0,40.6160789632977,0,"CC vs. WC","CC"
2642,"LOC111113440",11.871569866978,-14.8768162766867,5.7529781639497,-4.32780587400607,1.50602115694939e-05,0.00478360625786122,0.0100221432175156,9.3331816226712,0,3.75891898882579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.415322319734,0,0,0,0,0,1.89458812920597,0,0,0,0,0,0,9.409145923117,0,0,0,0,0,0,0,0,1.68605789194013,6.09406037382832,0,0,1.53938551500906,0,0,0,0,0,24.260724172199,0,0,0,0,0,835.425212860347,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22089404936365,0,0,0,1.14981147422344,0,15.704155267421,27.1336565711753,0,0,14.0715978874743,0,0.976600613843822,6.69286748572972,0,0,0,0,0,0.997383545223343,0,0,2.28754488934962,0,9.61959764920208,0,"CC vs. WC","CC"
