"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
205,"LOC111105905",24.7295371363799,2.43743930920404,1.94562906940962,4.09139944729245,4.28777854084057e-05,0.00920586052718471,0.0576032988391514,20.5329995698766,13.8265209114267,1.87945949441289,16.4113247747218,34.4713893268192,14.0102798140392,7.82486045310955,19.515695505535,8.69925394536189,4.91729428486054,41.1533233776335,15.8644396299649,8.36420907226753,20.2515679333207,5.2723267444425,1.97653782346102,102.256901306149,19.3935029982956,113.445347726096,30.5913126239981,1.80832492565846,15.6476495901167,4.23172501181543,23.9831903871725,7.57835251682389,2.21249545695435,3.51972286562561,7.76477730983977,49.822482228816,5.0354460707699,52.1896846785885,17.7728311881099,7.92366221787516,0.927426989916344,12.1762366833385,0.993226701909289,31.3506631785947,3.74437774451152,4.12684535892746,12.7976038720125,7.58726051373059,8.1254138317711,2.10615054058638,79.2955969375592,6.15754206003625,22.642836912681,29.4072904441749,28.0025660707004,150.307760366937,10.1361265476843,107.151531760546,10.421380093832,1.06630457058961,2.30114595152851,4.59398280364096,10.4497861746848,111.39002838138,7.86888100003524,62.3605298414667,1.74863696568111,0,3.85276253243795,87.2212545269942,14.9897641546964,9.86981976084988,20.0079578595729,8.60680938632286,13.2405477677223,10.4270725332219,11.6422194308215,5.27611756170457,13.3698118532483,7.6227055980402,7.46508458358693,19.5467950617984,16.1200614255426,4.77952551617161,13.5668282855877,23.0723607990343,6.06807882154145,7.03579894373716,453.248765388513,9.76600613843822,12.7164482228865,25.8991935210615,19.0658294629563,4.30818284736662,12.9957174302923,4.93706781770076,9.97383545223343,4.57351741132918,22.0331614422794,26.3067662275206,29.7396287070914,2.13768836648935,3.16635619126076,"WW vs. WC","WC"
570,"LOC111105495",3.6584184986205,34.5253241856742,5.73156909168545,6.35210839622608,2.12383573115532e-10,1.40303855839707e-07,3.45552449803105e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00069685925362,0,0,0,0,44.5678151781093,0,5.42497477697539,0,0,0,0,0,0,0,0,1.00708921415398,0,0,4.52780698164295,0,0,0,0,0,0,0,0,0,0,126.679551205125,0,0,0,0,0,0,8.08690805739967,0,0,0,0,0,10.1263662164891,0,0,0,0,0,3.23041683433312,0,0,0,0,0,4.63425445920972,0,0,0,0,0,0,0,0,0,0,0,7.03579894373716,0,0,0,0,11.802656334211,0,0,4.93706781770076,0,0,0,0,110.146772989227,0,0,"WW vs. WC","WC"
1001,"LOC111122352",2.12339050975864,-17.2480085058087,3.13746090334762,-5.59293627715632,2.23261248368882e-08,9.83265436406132e-06,1.19244167152766e-05,0,0,0.939729747206447,0,0,0,0,0,0,0,0,0,3.13657840210033,0,0,0,0,0,0,0,29.8373612733646,0,1.41057500393848,0,0,0,0,0,0,2.01417842830796,0,2.09092131624822,0,0,0,0,0,0,0,0,0,0,0,1.93403894969657,0,0,0,0,8.09349478898891,2.02722530953685,6.06518104304975,0,24.5250051235611,1.15057297576426,0,0,0,1.96722025000881,0,2.62295544852166,0,0,0,0,0,1.00039789297865,1.91262430807175,0,4.63425445920972,0,2.11044702468183,0,0,0,0,0,0.682789359453087,0,0,0,92.3448611365503,0,0,0,0,0,2.15409142368331,0,0,6.9816848165634,0,2.09839632783613,0,0,0,2.11090412750717,"WW vs. WC","WW"
1115,"LOC111110995",615.839743360353,-7.31582089907378,1.48881267237765,-5.15624232926493,2.51954788234918e-07,9.51115481917131e-05,0.000243468453085491,10.2664997849383,0,52.624865843561,32.8226495494437,16.0866483525156,2586.06414900808,113.460476570088,83.1984913657016,21.7481348634047,3.93383542788843,30.1121878372928,3.17288792599298,1.04552613403344,4.50034842962681,10.544653488885,2855.10888598945,3505.49439790142,7.45903961472909,1.3505398538821,2.62211251062841,66.0038597865339,8.28404978300298,6.34758751772314,3590.1793262189,3176.27699861381,3.31874318543152,2648.59145638327,2809.74013226059,13.493588936971,9.06380292738581,19.5711317544707,2262.37686418058,20.3751314173933,82.5410021025546,70.8435588848784,23.8374408458229,12.1919245694535,3400.64386756536,3389.17175101918,45.858080541378,31.1920710008924,16.2508276635422,2.10615054058638,12.5712531730277,0.769692757504532,26.2949073824683,9.18977826380466,3510.32167529137,36.9988333210922,4705.18994343503,8.76081706218298,20.842760187664,107.696761629551,20.7103135637566,10.1067621680101,1894.26123930196,8.86057043942792,2641.97679576183,31.1802649207333,5.24591089704332,78.8352781612495,3777.63366305541,115.218200424548,43.7201454511979,2600.248878813,8.00318314382916,3457.06843683968,57.69095813079,6.95138168881458,7.40868509234096,18.9940232221364,3.5183715403285,0,7.46508458358693,17.2471721133515,5.3733538085142,4.77952551617161,4.0700484856763,15.3815738660229,4.04538588102763,9.6742235476386,1.1274844910162,10.742606752282,25.432896445773,0.996122827733135,31.7763824382605,34.4654627789329,25.9914348605846,13.5769364986771,3.98953418089337,6.40292437586085,15.737972458771,61.7637120124396,9.91320956903047,2719.13960217445,1815.37754965617,"WW vs. WC","WW"
1502,"LOC111123118",2.88828401095995,-29.0980287873185,7.66480612975181,-4.72521256938837,2.29874767829189e-06,0.00073117203930262,0.00112460375319578,0,0,0,0,0,0,1.30414340885159,0,0,0,0,0,0,0,0,0,0,0,12.1548586849389,0,0,0,0,0,0,0,0.586620477604268,0,0,0,0,0,0,0,0,0,0,0,2.06342267946373,0,0,0,0,0,3.84846378752266,0,0,0,0,0,0,0,0,0,0,0,43.0370564200785,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8283526851137,1.4073486161314,0,0,3.44943442267031,0,0,0,0,0,0,0,0,0,0,0,157.248673928882,0,0,0,0,0,29.738083561545,6.60880637935365,0,0,"WW vs. WC","WW"
1841,"LOC111106886",42.3992493787855,-3.75797300117148,2.42800375113478,-4.14361613548087,3.4187181503804e-05,0.00777716057297639,0.0385896803781131,3.73327264906848,27.6530418228533,26.3124329217805,6.9100314840934,1.14904631089397,3.50256995350981,25.430796472606,12.3257024245484,10.8740674317024,1.96691771394421,6.02243756745855,120.569741187733,61.6860419079731,0,0,0,2.13035211054477,26.8525426130247,264.705811360891,0,2.71248738848769,5.52269985533532,2.82115000787695,21.8976955708966,20.8404694212657,63.056120523199,8.21268668645975,0,4.151873519068,2.01417842830796,31.5312678266472,9.409145923117,3.39585523623221,0.927426989916344,11.0693060757623,20.8577607400951,60.9596228472676,8.98650658682764,1.03171133973187,53.3233494667185,6.74423156776052,1.01567672897139,34.7514839196753,29.9776037202968,1.53938551500906,5.11289865770217,0.918977826380466,11.0010080992037,4.62485416513652,0,3.36954502391653,689.895362211678,0,35.667762248692,11.9443552894665,10.4497861746848,0,12.7869316250573,0,3.49727393136222,0,0,621.316837803403,4.99658805156547,7.17805073516355,4.00159157191458,4.78156077017937,0,4.63425445920972,5.29191792310069,37.9880464442729,0.703674308065701,19.0567639951005,2.71457621221343,19.5467950617984,522.110878393963,2.04836807835926,2.71336565711753,37.3552508174841,3.03403941077072,26.3842460390144,9.01987592812961,1.95320122768764,2.67714699429189,6.97285979413195,4.53948320546579,30.1572799315663,12.9957174302923,0,2.99215063567003,823.233134039252,6.2951889835084,17.1565866701221,3.30440318967682,0,25.3308495300861,"WW vs. WC","WW"
1892,"LOC111118768",159.794294993281,-2.20565356460998,1.55123440257847,-4.22335281007661,2.40694584458112e-05,0.00574190303146185,0.0473518454133234,184.79699612889,142.215643660389,29.1316221633999,168.432017424777,117.202723711185,54.8735959383204,35.8639437434188,53.411377173043,104.391047344343,80.6436262717128,52.1944589179741,67.6882757545168,168.329707579384,166.512891896192,421.7861395554,254.973379226472,841.489083665184,353.558477738159,60.7742934246944,222.005525899872,212.478178764869,66.2723982640238,55.0124251536006,973.926079200829,50.2065854239582,378.336723139194,21.7049576713579,197.447194450211,146.353541547147,164.155541907099,104.379369357177,590.685271840123,112.063222795663,212.380780690843,40.9564324803203,45.6884282878273,125.402652714379,34.448275249506,214.595958664228,98.1149630187621,63.2271709477549,225.480233831648,49.49453770378,29.0105842454485,64.6541916303807,48.2073302011919,640.527544987185,54.0049488506364,134.120770788959,48.6534074288844,714.343545070304,68.7811086192912,117.293502764858,147.273340897825,15.6195415323792,74.0984837841287,50.6318310824453,14.7541518750661,60.7194632666912,21.8579620710138,212.329682514299,43.343578489927,91.5284769727717,89.9385849281784,242.25921231177,52.0206904348896,573.787292421524,341.416981724839,28.9640903700607,32.8098911232243,40.0984934689547,57.7012932613874,28.5851459926508,21.0379656446541,155.224549020164,116.422665851141,731.267403974256,80.0442868849672,242.809130313647,53.6013629236161,121.367531779466,40.5894416765832,100.589863225914,42.8343519086702,14.941842415997,39.9474522080989,145.401171098623,54.4195667393491,29.6224069062045,39.8953418089337,656.75710026687,58.7550971794117,582.180174339477,48.4645801152601,35.2718580470743,26.3863015938397,"WW vs. WC","WW"
1915,"LOC111123195",89.8356683706646,-1.3232956825896,1.57058011418103,-3.90538470487702,9.40756037080371e-05,0.0173746512826801,0.112106158810949,37.3327264906848,96.7856463799867,14.0959462080967,20.7300944522802,20.6828335960915,84.0616788842355,5.86864533983216,18.4885536368226,139.18806312579,31.4706834231074,282.050826075976,29.6136206426011,9.40973520630098,69.7554006592156,25.0435520361019,86.9676642322851,109.713133693056,61.1641248407786,59.4237535708123,62.9307002550819,64.1955348608754,155.556045925278,52.1912751457236,85.5052874673105,1.89458812920597,8.8499818278174,4.10634334322987,70.9922496899636,124.55620557204,113.8010811994,140.259777573706,78.4095493593083,100.743705341556,99.2346879210488,61.9881140242686,293.00187706324,71.4098439067992,129.555469960099,34.0464742111516,34.1269436586999,62.3841420017848,59.9249270093119,72.6621936502303,56.0871295412004,148.550702198375,87.6496912748943,8.27080043742419,21.0019245530253,53.18582289907,31.4219922978212,20.8911791482825,546.080316916797,35.1880508294573,23.0114595152851,63.3969626902452,193.796034512337,72.1503592924845,101.311842875454,428.318376016389,105.792536423707,50.4545780231997,28.8957189932846,82.9140320812167,67.4539386961338,51.1436114880403,66.0262609365906,106.150649097982,70.9315058985123,2.31712722960486,58.2110971541076,72.810422351523,74.5894766549643,12.3868965968153,64.4711850400689,52.891327814278,868.692199043128,28.6771530970297,5.42673131423507,12.0855223233037,45.5105911615609,38.6968941905544,10.1473604191458,207.03933013489,38.8186314172324,57.7751240085218,59.0132816710552,33.3884170670913,37.3626876120904,4.93706781770076,67.8220810751873,554.310310253097,209.839632783613,10.2939520020733,59.4792574141828,230.87034358085,2.11090412750717,"WW vs. WC","WW"
2167,"LOC111125529",1.64145217450622,26.9207831585921,8.52863382666912,4.50391941429053,6.67115121821763e-06,0.00187842120203452,0.00398995540266901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6582744796092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769692757504532,2.19124228187236,0,0,0,0,0,0,0,0,5.51277936436915,0,0,3.93444050001762,0,0,0,0,0,9.99317610313094,0,2.00079578595729,1.91262430807175,0,0,4.23353433848055,0,0.703674308065701,112.434907571093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23426695442519,0,0,0,0,0,0,0,"WW vs. WC","WC"
2342,"LOC111107367",9.650504284012,25.8445124668646,9.47168807187046,4.37610660739996,1.20817940202035e-05,0.00319256760140023,0.0073542855981596,0,0,0,0,0,0,13.0414340885159,54.4385190417554,4.34962697268094,0,0,0,0,0,0,0,0,0,70.2280724018691,0,0,0,0,0,0,0,0.586620477604268,0,0,0,0,0,0,0,0,0,0,0,6.19026803839119,0,7.58726051373059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.364163364273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4903393997341,0,0,0,0,1.95320122768764,0,5.97673696639881,0,0,0,0,0,0,2.09839632783613,1.14377244467481,0,0,0,"WW vs. WC","WC"
