"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
1029,"LOC111123472",221.693425573513,21.1828867798891,5.70415487530761,4.58355583865501,4.57134735834662e-06,0.00116322166262165,0.00194907884264046,0,0,2154.80031034438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7010797077642,0,0.904162462829231,0,0,2.08549481627587,2886.4050148453,0,0,0,2978.96924993129,0,0,2.09092131624822,1.13195174541074,0,0,0.993226701909289,0,2850.96921467107,0,0,0,0,0,0,2448.39266162192,0,0,0,0,0,1855.27149016844,0,0,1806.39957194988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945753411980163,0,0,2.11044702468183,0,0,2392.22028701308,0,4.4777948404285,0,0,0,0,0,0,0,0.669286748572972,0,453.040423905485,0,0,598.619472896217,0,0,837.260134806617,0,0,0,2.11090412750717,"HW vs. WH","WH"
1502,"LOC111123118",2.88828401095995,21.9836305580138,10.5094300297849,4.13735862572369,3.51326778019859e-05,0.00749613507983739,0.0128946203101033,0,0,0,0,0,0,1.30414340885159,0,0,0,0,0,0,0,0,0,0,0,12.1548586849389,0,0,0,0,0,0,0,0.586620477604268,0,0,0,0,0,0,0,0,0,0,0,2.06342267946373,0,0,0,0,0,3.84846378752266,0,0,0,0,0,0,0,0,0,0,0,43.0370564200785,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8283526851137,1.4073486161314,0,0,3.44943442267031,0,0,0,0,0,0,0,0,0,0,0,157.248673928882,0,0,0,0,0,29.738083561545,6.60880637935365,0,0,"HW vs. WH","WH"
1763,"LOC111106833",6.74598781000701,16.2109660522844,8.11407999991537,4.0417068217274,5.30635502553257e-05,0.0103918161793958,0.0155975147125764,0,0,0,0,2.29809262178795,0,0,0,0,0,0,2.11525861732865,0,0,0,0,0,0,301.170387415708,3.49615001417122,1.80832492565846,0,0,0,0,3.31874318543152,0,3.32776170421705,0,0,0,0,0,0,4.4277224303049,0,0,0,0,10.6646698933437,0,0,0,0,0,0,0,0,18.4994166605461,4.0544506190737,0,0,0,0,0,0,201.26152855272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8663465671458,0,0,0,0,44.4869354135647,3.23113713552496,0,0,0,0,0,20.5879040041465,0,0,0,"HW vs. WH","WH"
1841,"LOC111106886",42.3992493787855,-4.47467859338963,2.13799558617525,-4.25100904573356,2.12809571878996e-05,0.0047470353332385,0.0144882523354987,3.73327264906848,27.6530418228533,26.3124329217805,6.9100314840934,1.14904631089397,3.50256995350981,25.430796472606,12.3257024245484,10.8740674317024,1.96691771394421,6.02243756745855,120.569741187733,61.6860419079731,0,0,0,2.13035211054477,26.8525426130247,264.705811360891,0,2.71248738848769,5.52269985533532,2.82115000787695,21.8976955708966,20.8404694212657,63.056120523199,8.21268668645975,0,4.151873519068,2.01417842830796,31.5312678266472,9.409145923117,3.39585523623221,0.927426989916344,11.0693060757623,20.8577607400951,60.9596228472676,8.98650658682764,1.03171133973187,53.3233494667185,6.74423156776052,1.01567672897139,34.7514839196753,29.9776037202968,1.53938551500906,5.11289865770217,0.918977826380466,11.0010080992037,4.62485416513652,0,3.36954502391653,689.895362211678,0,35.667762248692,11.9443552894665,10.4497861746848,0,12.7869316250573,0,3.49727393136222,0,0,621.316837803403,4.99658805156547,7.17805073516355,4.00159157191458,4.78156077017937,0,4.63425445920972,5.29191792310069,37.9880464442729,0.703674308065701,19.0567639951005,2.71457621221343,19.5467950617984,522.110878393963,2.04836807835926,2.71336565711753,37.3552508174841,3.03403941077072,26.3842460390144,9.01987592812961,1.95320122768764,2.67714699429189,6.97285979413195,4.53948320546579,30.1572799315663,12.9957174302923,0,2.99215063567003,823.233134039252,6.2951889835084,17.1565866701221,3.30440318967682,0,25.3308495300861,"HW vs. WH","HW"
1851,"LOC111133395",1474.25822350787,-1.14966198550484,1.46386471391044,-3.8148917383914,0.000136242650054762,0.0225009976667365,0.117391000259435,828.786528093202,2313.96703539091,3636.75412168895,639.17791227864,2198.12559274017,191.473824125203,397.11166799531,266.029743996503,156.586571016514,568.439219329878,580.161485665174,1335.78581684304,2723.59557915712,4963.88431787837,1117.73326982181,860.782222117276,2805.67372958746,1434.3733179124,726.590441388569,451.003351828087,1038.88266979079,130.703896576269,2194.85470612827,915.532224345105,752.151487294771,990.091716987071,784.311578556906,545.752919491595,331.111913145673,639.501650987777,581.697527146767,1797.14687131535,408.634580093276,333.873716369884,2185.08101935547,459.863962984001,10222.0578997318,495.755613373325,556.092412115475,1393.87235506002,296.746188981463,1396.55550233566,698.188904204386,1961.11549499232,584.19680294594,154.84778791898,641.446522813565,671.061494051427,2395.67445754072,1668.40642974883,7815.322728472,657.589083920799,11099.1642752673,9520.99137444923,316.066016890498,957.580405825663,367.080775347728,480.985351127154,490.678905857856,512.350630944565,1175.17121312369,503.748701116262,551.324473059519,3565.06557479196,993.262770478256,886.35253317908,1093.064792063,672.430675917896,478.486772913403,1303.92857625201,221.596937591592,828.928334901395,440.211248286822,867.30709980219,625.497441977549,536.439821883334,1959.60546163036,518.252840509449,9179.50354647294,1181.25267726007,611.235033237166,887.33029442975,125.004878572009,483.225032469686,5139.99379110298,216.987297221265,817.477695287815,277.783460072498,610.962142440469,621.369948674142,1428.76683929924,654.699654284873,584.467719228827,299.599222530699,1593.64667721781,1955.7526741354,"HW vs. WH","HW"
1893,"LOC111112331",78.8054386683024,5.97792260822556,2.45376119084178,4.30003672222581,1.70769809690319e-05,0.00391085633498789,0.00914487074472864,0,6.91326045571334,11.2767569664774,3.4550157420467,25.2790188396674,1.1675233178366,73.6841026001149,0,60.8947776175332,0,0,0,15.6828920105016,20.2515679333207,11.8627351749956,8.89442020557461,391.984788340238,7.45903961472909,6.75269926941049,6.11826252479963,4.52081231414616,183.169545201955,2.11586250590771,180.395301607862,134.515757173624,367.274245854422,42.2366743875073,12.2017929154625,2.075936759534,14.0992489981557,0,288.547141642255,1.13195174541074,0.927426989916344,7.74851425303358,0,21.7712938740241,296.554717365312,12.3805360767824,0,8.43028945970065,48.7524829906266,2.10615054058638,0.967019474848283,267.083386854073,24.1036651005959,292.234948788988,31.0028410068468,9.24970833027304,44.5989568098107,695.474092936372,1.0421380093832,1.06630457058961,0,20.2135243360202,0.949980561334983,1.26579577706113,0,6.56426629910175,7.86886634556498,26.2784260537498,47.1963410223649,5.38402805722186,0,5.38353805137266,0,164.48569049417,9.45753411980163,6.95138168881458,0,9.49701161106822,9.14776600485411,282.040107127488,0,41.3932130720437,643.906898053618,852.803909956906,2.71336565711753,4.39473539029225,0,0.879474867967145,0,286.14397985624,10.0393012285946,9.96122827733135,147.987152498185,6.46227427104992,10.5590204121125,660.332820617476,278.270009117313,173.793661630509,2.09839632783613,144.115328029026,2.20293545978455,23.5145720313829,11.6099727012894,"HW vs. WH","WH"
2167,"LOC111125529",1.64145217450622,-21.7846754797566,10.4845242364825,-4.13012213247146,3.62570569327597e-05,0.00761804101552604,0.013416967249089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6582744796092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769692757504532,2.19124228187236,0,0,0,0,0,0,0,0,5.51277936436915,0,0,3.93444050001762,0,0,0,0,0,9.99317610313094,0,2.00079578595729,1.91262430807175,0,0,4.23353433848055,0,0.703674308065701,112.434907571093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23426695442519,0,0,0,0,0,0,0,"HW vs. WH","HW"
2342,"LOC111107367",9.650504284012,21.2228258240157,11.0503319059934,4.07955605907781,4.51217880139879e-05,0.00911778624621478,0.016804913675642,0,0,0,0,0,0,13.0414340885159,54.4385190417554,4.34962697268094,0,0,0,0,0,0,0,0,0,70.2280724018691,0,0,0,0,0,0,0,0.586620477604268,0,0,0,0,0,0,0,0,0,0,0,6.19026803839119,0,7.58726051373059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.364163364273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4903393997341,0,0,0,0,1.95320122768764,0,5.97673696639881,0,0,0,0,0,0,2.09839632783613,1.14377244467481,0,0,0,"HW vs. WH","WH"
2395,"LOC111120422",15.2348728122139,-3.39452286427222,1.51828891979377,-4.35887987224508,1.30729844113704e-05,0.00309712524482342,0.0118908074989287,75.5987711436367,3.95043454612191,1.87945949441289,6.9100314840934,4.59618524357589,0,9.78107556638694,18.4885536368226,6.52444045902142,13.7684239976095,16.0598335132228,14.8068103213006,8.36420907226753,31.5024390073877,6.59040843055312,3.95307564692205,9.58658449745146,9.69675149914782,16.2064782465852,143.34215058102,32.5498486618523,1.84089995177844,1.41057500393848,18.7694533464828,4.73647032301493,15.4874681986804,9.38592764166828,6.65552340843409,8.303747038136,10.0708921415398,2.17457019494119,27.1819771112269,5.65975872705368,9.27426989916344,12.1762366833385,10.9254937210022,6.96681403968772,5.24212884231612,7.22197937812306,11.7311368826781,1.68605789194013,31.485978598113,22.114580676157,5.8021168490897,13.8544696350816,9.49538322144688,12.8656895693265,23.0021078437896,4.62485416513652,15.2041898215264,2.69563601913322,0,104.497847917782,17.2585946364639,10.1067621680101,3.79992224533993,2.53159155412226,7.86888100003524,8.20533287387719,1.74863696568111,0,7.7055250648759,15.0752785602212,139.904465443833,5.38353805137266,2.00079578595729,12.4320580024664,4.72876705990082,1.15856361480243,9.52545226158124,2.11044702468183,4.2220458483942,17.1510875955905,7.46508458358693,3.44943442267031,16.1200614255426,2.73115743781235,104.464577799025,5.49341923786531,0,1.75894973593429,91.3262437723123,0,7.3621542343027,4.98061413866568,1.81579328218631,15.0786399657832,11.3712527515058,6.17133477212595,3.98953418089337,10.97644178719,5.24599081959033,2.28754488934962,1.10146772989227,14.9638185654255,14.7763288925502,"HW vs. WH","HW"
2549,"LOC111107647",10.7157429742519,15.9208707872796,2.89455781079746,5.5867692322467,2.31332794851648e-08,9.13418869970555e-06,1.03119435977861e-05,0,0,2.81918924161934,8.63753935511675,0,0,0,0,1.08740674317024,0,0,3.17288792599298,0,0,0,0,0,2.98361584589164,525.360003160136,0,27.1248738848769,0,0,4.17098963255173,1.89458812920597,14.3812204702033,0.586620477604268,7.76477730983977,0,2.01417842830796,0,2.09092131624822,3.39585523623221,0,0,0,0,2.24662664670691,0,0,0,0,0,0,0,0,0,8.00073316305725,0,0,0,0,0,1.15057297576426,0,0,287.335641392877,0,0,0,0,0,0,0,2.69176902568633,0,2.86893646210762,0,2.31712722960486,0,0,0,1.90567639951005,16.2874572732806,2.29962294844687,0,0,0,0,0,52.7684920780287,0,0,0,33.8681761429266,0,1.07704571184165,0,0,0,0.914703482265836,0,2.28754488934962,0,3.20653254973403,0,"HW vs. WH","WH"
