"X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_C1_O09","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_H5_B51","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
570,"LOC111105495",3.6584184986205,-32.4466181003966,5.7573641412702,-5.93930952610551,2.86225010760163e-09,1.96380183035452e-06,4.48914516328473e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00069685925362,0,0,0,0,44.5678151781093,0,5.42497477697539,0,0,0,0,0,0,0,0,1.00708921415398,0,0,4.52780698164295,0,0,0,0,0,0,0,0,0,0,126.679551205125,0,0,0,0,0,0,8.08690805739967,0,0,0,0,0,10.1263662164891,0,0,0,0,0,3.23041683433312,0,0,0,0,0,4.63425445920972,0,0,0,0,0,0,0,0,0,0,0,7.03579894373716,0,0,0,0,11.802656334211,0,0,4.93706781770076,0,0,0,0,110.146772989227,0,0,"CC vs. WW","CC"
758,"LOC111105902",147.263163373218,1.1911632233766,1.21472155392732,4.14506755339139,3.39713545576592e-05,0.00875425882878428,0.0682136631401799,157.730769423143,94.8104291069258,136.260813344935,86.3753935511675,111.457492156715,214.824290481935,39.1243022655478,30.814256061371,109.828081060194,71.7924965589638,87.325344728149,129.030775657048,88.8697213928425,112.50871074067,974.062366035751,64.2374792624833,133.147006909048,143.213560602799,33.7634963470525,48.0720626948542,56.9622351582416,107.692647179039,105.793125295386,619.391960433932,89.9929361372836,54.2061386953816,73.9141801781377,61.0089645773125,87.189343900428,121.857794912632,67.4116760431768,132.773503581762,139.230064685521,151.170599356364,74.1643507076071,101.309123594748,54.8636605625408,44.1836573852359,80.4734844990855,90.6496940934215,128.98342873342,104.614703084053,50.5476129740732,36.7467400442348,104.678215020616,37.9815328857875,130.494851346026,114.010447573566,101.746791633003,104.402103441148,35.0432682487319,293.882918646062,129.022853041343,96.6481299641976,71.6661317367989,72.1985226614587,53.1634226365675,121.967655500546,187.0815895244,127.650498494721,135.596678437349,96.3190633109488,313.350432930312,138.655318430942,56.527149539413,72.0286482944625,88.9370303253362,23.6438352995041,123.96630678386,157.699154108401,120.295480406864,113.995237906643,105.765040172808,143.193895194258,77.6122745100819,1294.08270888384,90.8109848072606,108.534626284701,130.743377861194,40.4538588102763,89.7064365326488,136.42562341296,55.6662349890979,84.3301303201945,801.878876325174,49.0264186190305,36.6195542026162,70.6642135272145,87.6329537641884,96.7462038866642,1286.98779954803,111.215005375315,121.23987913553,125.567321207719,107.953262507712,159.373261626792,"CC vs. WW","WW"
1148,"LOC111136853",86.6892658043248,-2.83967678011997,3.00152835798027,-3.89984074719347,9.62559805706586e-05,0.021452726480562,0.074538319557131,2.79995448680136,215.298682763644,22.5535139329547,5.18252361307005,4.59618524357589,10.5077098605294,1768.41846240276,9.24427681841129,0,40.3218131358564,6.02243756745855,0,7.31868293823409,45.0034842962681,71.1764110499737,0.988268911730512,7.45623238690669,0.745903961472909,37.8151159086988,0.874037503542804,330.923461395499,204.339894647407,1.41057500393848,4.17098963255173,6.6310584522209,0,2.93310238802134,8.87403121124546,132.859952610176,80.5671371323184,1.08728509747059,3.13638197437233,0,817.063178116299,18.8178203287958,273.137343025055,3.48340701984386,0,0,11.7311368826781,4.21514472985033,2.03135345794277,0,1424.41968645152,634.996524941239,0,1.83795565276093,8.00073316305725,0,1.01361265476843,12.1303620860995,0,0,5.75286487882128,45.0210314756814,163.396656549617,22.7843239871004,0,1.64106657477544,0.874318482840554,306.932016307798,583.69352366435,4.30722244577749,12.4914701289137,0.897256341895444,1.00039789297865,0,0.945753411980163,15.0613269924316,0,5.27611756170457,9.85144031291981,14.2925729963254,20.3593215916007,2.29962294844687,0,2.73115743781235,12.2101454570289,4.39473539029225,431.8449427997,0.879474867967145,3.3824534730486,306.65259274696,0.669286748572972,14.941842415997,0,4.30818284736662,9.74678807271924,3.70280086327557,15.9581367235735,0,0,6.86263466804885,17.6234836782764,2.13768836648935,21.1090412750717,"CC vs. WW","CC"
2342,"LOC111107367",9.650504284012,-26.2041084845395,9.62268445370853,-4.42868603413162,9.48089201511078e-06,0.00287269422062384,0.00633855240334973,0,0,0,0,0,0,13.0414340885159,54.4385190417554,4.34962697268094,0,0,0,0,0,0,0,0,0,70.2280724018691,0,0,0,0,0,0,0,0.586620477604268,0,0,0,0,0,0,0,0,0,0,0,6.19026803839119,0,7.58726051373059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.364163364273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4903393997341,0,0,0,0,1.95320122768764,0,5.97673696639881,0,0,0,0,0,0,2.09839632783613,1.14377244467481,0,0,0,"CC vs. WW","CC"
2921,"LOC111113237",4.08616655688585,-17.1754131801876,2.68726472039618,-6.4581435012877,1.05995210291191e-10,9.98929146129979e-08,1.37671944268463e-07,0,0,0,0,0,0,3.26035852212898,0,16.3111011475535,9.83458856972107,0,2.11525861732865,0,0,0,0,0,0,43.2172753242272,3.49615001417122,1.80832492565846,0,2.11586250590771,0,0.947294064602986,0,0,2.21850780281136,0,1.00708921415398,1.08728509747059,0,0,0,0,0,34.8340701984386,0.748875548902304,0,0,0,0,0,0,2.3090782725136,0.730414093957452,0,0,0,4.0544506190737,1.34781800956661,1.0421380093832,0,0,1.83759312145638,0,175.945613011497,0,0,0,0,3.85276253243795,0,7.4948820773482,0,0,0,0,0,11.6422194308215,3.16567053702274,0,2.85851459926508,0.678644053053357,28.7452868555859,0,0,0,0,0,7.91527381170431,0,0,7.3621542343027,1.99224565546627,0,0,0,0,0,0,6.2951889835084,0,0,0,0,"CC vs. WW","CC"
3219,"LOC111114504",6.39852811627338,9.11869431027561,8.0708834047763,3.8083837657789,0.000139878069900025,0.0297669557138861,0.0458992205375063,0,0,0,0,0,0,3.26035852212898,0,0,0,0,0,0,0,0,2.96480673519154,0,0.745903961472909,274.159590338066,0,0,5.52269985533532,0,14.5984637139311,0,0,0,17.7480624224909,0,0,0,0,9.0556139632859,0,0,0,0,0,18.5708041151736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.464141221537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6227055980402,0,0,0,0,1.35668282855877,2.19736769514612,0,26.3842460390144,0,3.90640245537529,0,5.97673696639881,0,1.07704571184165,0,0,0,0,0,19.4441315594717,2.20293545978455,0,0,"CC vs. WW","WW"
3361,"LOC111112854",55.7391220353635,17.9923697143691,3.31762783184708,5.53406914728439,3.12885529833912e-08,1.69189003304452e-05,2.4923915468561e-05,129.73122455513,0,0,15.5475708392102,0,0,3.91243022655478,0,6.52444045902142,0,237.886283914613,0,0,0,0,0,2.13035211054477,0,742.796919635154,0,509.947629035687,0,0,298.225758727449,227.350575504717,0,4.69296382083414,0,6.227810278602,0,4.34914038988237,0,229.78620431838,0,0,168.848539324579,15.6753315892974,0,0,0,0,0,0,1.93403894969657,0,0,0,0,0,0,0,0,0,0,1.83759312145638,0,1134.15301624677,5.90166075002643,0,3.49727393136222,0,0,75.3763928011061,0,0,384.1527909038,26.7767403130045,0,0,324.923760478382,43.2641640059774,0,0,180.519318112193,13.7977376906812,0,0,123.458137398848,203.256511801017,0,0,167.995189161414,26.3682165737832,1.33857349714594,0,0,0,0,14.8112034531023,0,0,0,0,2.20293545978455,11.7572860156914,0,"CC vs. WW","WW"
3363,"LOC111101347",38.9416680666413,-19.0654015431549,3.99005730863304,-5.07238757920127,3.92855225649048e-07,0.000154265828786117,0.000387712455668931,0,1.97521727306095,1.87945949441289,0,0,0,0,0,0,0,309.151795129539,0,0,0,0,0.988268911730512,0,0,74.2796919635154,0,5.42497477697539,0,0,38.5816541011035,0,0,0,0,0,0,0,0,289.779646825149,0,2.21386121515245,252.279582284959,0,5.99100439121843,0,0,0,0,0,0,23.8604754826405,3.65207046978726,0,0,0,0,0,0,0,0,3.67518624291276,0,821.501459312674,0,0,0,0,0,90.4516713613273,0,104.978992001767,16.0063662876583,0,0,0,1.05838358462014,0,0,0,516.448124373605,0,0,0,17.636876771264,1.09868384757306,0,914.653862685831,228.879351676289,0,0,11.9534739327976,0,0,0,0,0,0,0,0,0,0,0,"CC vs. WW","CC"
3439,"LOC111099906",5.15563560191574,19.7558912120953,3.28435200180139,6.11145450581588,9.87271482828665e-10,7.57329066537291e-07,1.03650160461657e-06,0,0,0,0,1.14904631089397,0,0,0,0,0,0,6.34577585198595,7.31868293823409,247.519163629475,0,0,0,0,0,0,0,0,0,0,0,0,1.17324095520854,0,0,0,10.8728509747059,2.09092131624822,0,0,0,0,0,0,0,0,0,0,2.10615054058638,0.967019474848283,0,0,0,5.00045822691078,8.09349478898891,0,18.8694521339326,0,0,0,1.83759312145638,0,0,0.983610125004405,0,0,0,0,1.07680561144437,0,0.897256341895444,7.00278525085052,0,13.2405477677223,0,0,0,0,0,0,0,0,22.5320488619519,0,0,62.7034811559283,20.2279219632443,0,0,0,0,0,8.61636569473323,0,28.3881399517794,0,0,0,13.7252693360977,2.20293545978455,0,0,"CC vs. WW","WW"
4808,"LOC111119065",7.5112489563482,23.0392917611023,3.01599217604561,7.74221701462298,9.76980458805566e-15,1.69608949651061e-11,1.42995755913504e-11,2.79995448680136,0,0,0,0,0,0,0,0,4.91729428486054,0,12.6915517039719,0,0,0,0,0,2.98361584589164,33.7634963470525,0,0,0.92044997588922,0,0,110.833405558549,0,0,0,4.151873519068,0,0,1.04546065812411,0,0,0,0,0,0,0,2.13293397866874,0,0,0,0,0,0,0,0,8.09349478898891,0,0,181.332013632677,0,0,0,0,34.1764859806506,0,0,1.74863696568111,0,0,0,0,0,2.00079578595729,0,0,0,0,4.22089404936365,5.62939446452561,2.85851459926508,0,0,237.32312654271,0,0,0,2.02269294051382,1.75894973593429,0,1.95320122768764,2.67714699429189,5.97673696639881,0,2.15409142368331,0,0,1.99476709044669,0,0,0,8.81174183913819,0,40.1071784226363,"CC vs. WW","WW"
