"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,-0.0202080594825861,0.124290171595997,0.204900786831924,0.900171814049604
"LOC111126949",558.918842779483,0.0281683329702079,0.102453373033853,0.228946406475238,0.916746352166613
"LOC111110729",112.702369029826,-0.0317087954665003,0.0904976293334567,0.316314393312073,0.956939452890053
"LOC111112434",7.02069313797398,0.00508856620932494,0.113282085720282,0.673596021809733,0.998394075129135
"LOC111120752",427.481170862324,-0.0732965248222386,0.124825040417959,0.0293564216737532,0.566227848027384
"LOC111128944",0.105886614705338,0.00029576843955474,0.424231444725739,0.989190274269544,0.998394075129135
"LOC111128953",0.11812726542086,0.000295849001896276,0.424231466686324,0.989187330435709,0.998394075129135
"LOC111105691",15.7506301266116,0.00712538480199306,0.123445670913905,0.516166398494511,0.998394075129135
"LOC111105685",0,0,1.19165619569396,NA,NA
"LOC111105702",0,0,1.19165619569396,NA,NA
"LOC111133554",3.14598678579197,0.000746249886406564,0.129739971495583,0.934726890407638,0.998394075129135
"LOC111125466",2.78931116436741,-0.00191348805490531,0.131993872218513,0.832862700482834,0.998394075129135
"LOC111128964",0.373333747321949,0.000296133723555486,0.424231544331093,0.98917692640599,0.998394075129135
"LOC111113860",697.444345539626,-0.00658477089889009,0.0971699428471571,0.740320219984197,0.998394075129135
"LOC111109550",162.359720332877,-0.00542460925285252,0.118222082222083,0.628024502588522,0.998394075129135
"LOC111109753",16.0347391961751,0.172837607558558,0.759526180036945,0.00438438215166322,0.259040602228021
"LOC111109452",2965.79087768442,0.0199389236604157,0.0905046780778479,0.499755548537562,0.998394075129135
"LOC111124802",2208.83335037743,0.00969458275514891,0.0785481923078761,0.813766467221617,0.998394075129135
"LOC111101273",1221.06685453401,-0.0484485677679712,0.086498689201688,0.198046400906527,0.895429590037037
"LOC111101250",970.461833535473,0.0271714924681501,0.086012883701661,0.443328314886272,0.998394075129135
"LOC111101262",7696.49330440847,0.0500231712591613,0.0880188344916738,0.174375107544752,0.872727330228258
"LOC111133260",2024.5335717369,0.0811593791903818,0.0819947785268383,0.0638560452377052,0.707120545165117
"LOC111113503",28.2422260437006,0.352795878023918,1.1082362732206,0.00161801249562781,0.152279356848785
"LOC111102393",551.880222667061,0.097235416254918,0.152872993144926,0.0117808055638253,0.404779222927973
"LOC111119377",122.925669600129,0.0335453516377001,0.127684403396625,0.106550629460737,0.800224578757155
"LOC111101799",7075.69770695315,-0.0164843271210311,0.0911797937535389,0.558796260816139,0.998394075129135
"LOC111117743",90.9781332593378,0.0126270653563215,0.164505547780933,0.248764230454419,0.924307168511987
"LOC111117672",1885.44618705712,0.0112877943851305,0.0881207458753879,0.720875690590159,0.998394075129135
"LOC111114053",3126.00107457069,-0.0375702471908579,0.0890057984635613,0.26928236648423,0.935260105659103
"LOC111109809",152.63943354762,-1.48399143781067e-05,0.101184685339264,0.99926588171072,0.999945768852534
"LOC111102064",1173.68940100507,0.0199900800236028,0.0966942585312283,0.398475664099839,0.990224700484876
"LOC111112773",358.90433469192,0.0407686479209495,0.106697788606446,0.122497832371898,0.821188201488371
"LOC111135169",314.958928811685,0.0173863350486026,0.124208043226766,0.240208462095054,0.922041072080011
"LOC111135172",252.97316809511,0.00426950652343079,0.0940125651528425,0.85254293290728,0.998394075129135
"LOC111135178",0,0,1.19165619569396,NA,NA
"LOC111114201",772.637156466283,0.0303239383788629,0.0894944892373217,0.348357945654714,0.973450375645938
"LOC111114212",4528.23856670688,0.00934658303000674,0.0861555691625868,0.783405753329692,0.998394075129135
"LOC111138315",1366.14501141685,0.0673454586715887,0.0848466890147472,0.101447567515795,0.785150678223552
"LOC111138321",5677.65889874337,-5.40625567646551e-05,0.0865181872283096,0.998706659392145,0.999945768852534
"LOC111121058",101.834235882733,0.00321551385771301,0.0995096914744012,0.853881785732135,0.998394075129135
"LOC111138070",970.767088319915,0.0350605908925715,0.0791966464801335,0.398835940282324,0.990224700484876
"LOC111108931",16.4382235403197,0.00296012569421279,0.109856809286461,0.813575404961427,0.998394075129135
"LOC111108878",0,0,1.19165619569396,NA,NA
"LOC111108901",1283.03110451253,0.0516474208628763,0.0919539950217905,0.137002360607565,0.838716139179122
"LOC111130095",2709.49058139196,-0.010781805376603,0.0911788334697899,0.694070863829239,0.998394075129135
"LOC111103204",930.794907486073,-0.0182759959841267,0.0879329516800519,0.572949176789424,0.998394075129135
"LOC111103224",1070.98227575491,-0.0269532587005164,0.0945227735917233,0.321632865672053,0.958915408325664
