"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,-0.000836155629181906,0.0663497241066667,0.8836312784667,1
"LOC111126949",558.918842779483,0.0168724776739146,0.125284947658198,0.0621449382058474,0.62667404057471
"LOC111110729",112.702369029826,-0.000113359645338247,0.014063998426789,0.884705329843578,1
"LOC111112434",7.02069313797398,-0.00307905349529185,0.109984409637628,0.77462054049284,1
"LOC111120752",427.481170862324,-0.000243783668515997,0.0171879874565229,0.804031925673687,1
"LOC111128944",0.105886614705338,0,0.931943484653381,1,NA
"LOC111128953",0.11812726542086,0.000848997899370814,0.931919436419066,0.993568968153255,NA
"LOC111105691",15.7506301266116,0.0372777442165465,0.305040824719513,0.219318909883569,0.894883008722109
"LOC111105685",0,0,2.38513574514356,NA,NA
"LOC111105702",0,0,2.38513574514356,NA,NA
"LOC111133554",3.14598678579197,0.253119533722662,0.98169311894991,0.0524172434798586,0.581159794713578
"LOC111125466",2.78931116436741,0.0127520768143928,0.258824167663896,0.679382253746831,1
"LOC111128964",0.373333747321949,0,0.93194348465338,1,NA
"LOC111113860",697.444345539626,0.0295601300396938,0.182268763727747,0.0487114812464039,0.567166251499016
"LOC111109550",162.359720332877,0.0133087302844416,0.178982442866359,0.443543440042073,0.989475426359155
"LOC111109753",16.0347391961751,0.0495112232579277,0.362846413108194,0.184026473590807,0.865024276230738
"LOC111109452",2965.79087768442,0.000316866212556793,0.0167430123233328,0.734813973169739,1
"LOC111124802",2208.83335037743,-0.000111373933128693,0.00851156999962975,0.81279764221376,1
"LOC111101273",1221.06685453401,-0.000180074074611145,0.0107481952314335,0.752775881404743,1
"LOC111101250",970.461833535473,1.15368210345484e-05,0.01114852124271,0.984767935398143,1
"LOC111101262",7696.49330440847,-0.000166568697195289,0.0111726199464835,0.780059634088024,1
"LOC111133260",2024.5335717369,2.32241456446417e-05,0.00797750054740076,0.959004075170581,1
"LOC111113503",28.2422260437006,0.000119264700881984,0.138239464583382,0.993622045526358,1
"LOC111102393",551.880222667061,-0.0010237542344829,0.0234637637558386,0.405893574852093,0.981112517451849
"LOC111119377",122.925669600129,0.000853711731397556,0.0433302407284765,0.789691668072486,1
"LOC111101799",7075.69770695315,5.33275567718101e-05,0.0169856579276606,0.956982843261427,1
"LOC111117743",90.9781332593378,0.571829960956089,1.47418304946012,0.0187261408623219,0.357041477655312
"LOC111117672",1885.44618705712,0.00673311543956396,0.0615428060857649,0.0616729396132517,0.624271418465791
"LOC111114053",3126.00107457069,0.000215473842695464,0.0129296719287395,0.7566923195334,1
