"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,0.0525271689619441,0.251444194585821,0.0153563377250048,0.403215610357772
"LOC111126949",558.918842779483,0.00562516547825507,0.0883255141428583,0.772955779261655,1
"LOC111110729",112.702369029826,0.0118124421283862,0.0845087922811602,0.681682203609902,1
"LOC111112434",7.02069313797398,0.00913709547055839,0.109505904112728,0.338895666786816,0.9731002570244
"LOC111120752",427.481170862324,0.00823775257784125,0.0859047775301141,0.749228181572664,1
"LOC111128944",0.105886614705338,-0.00404883607809751,0.588083352791436,0.922537753430137,1
"LOC111128953",0.11812726542086,0.0058029427702418,0.59151301922509,0.889596239809534,1
"LOC111105691",15.7506301266116,0.00464355833136505,0.1077157500361,0.579449472920992,1
"LOC111105685",0,0,2.1831770529701,NA,NA
"LOC111105702",0,0,2.1831770529701,NA,NA
"LOC111133554",3.14598678579197,0.00391799306599731,0.12757168844217,0.633601333882408,1
"LOC111125466",2.78931116436741,-0.00907103626597727,0.161821689005582,0.348833451962354,0.977758547362959
"LOC111128964",0.373333747321949,0.0193875874657395,0.647970777799915,0.662869695774087,1
"LOC111113860",697.444345539626,-0.0203975986391824,0.0918414431465976,0.234133334302522,0.923794734951314
"LOC111109550",162.359720332877,-0.00162325706790621,0.100684264578664,0.845707411892709,1
"LOC111109753",16.0347391961751,0.0109808118852218,0.14156370457768,0.255952202404082,0.93762129311016
"LOC111109452",2965.79087768442,0.0376420769984354,0.0869347766241635,0.163666649124637,0.86310665193883
"LOC111124802",2208.83335037743,0.0141575984546808,0.076500664450013,0.716625962002721,1
"LOC111101273",1221.06685453401,0.0333043952938108,0.0814655716997466,0.336466657379864,0.9731002570244
"LOC111101250",970.461833535473,-0.0318849178980825,0.082697510624953,0.332785294792146,0.9731002570244
"LOC111101262",7696.49330440847,0.0336602924039902,0.0822275116189639,0.31772975006727,0.968011469368033
"LOC111133260",2024.5335717369,0.0192253551533702,0.0751469020123603,0.63152163217025,1
"LOC111113503",28.2422260437006,0.000199585415045897,0.102526545241522,0.980270242673081,1
"LOC111102393",551.880222667061,0.0325200525567625,0.0865921083578452,0.223688557666628,0.917513036222314
"LOC111119377",122.925669600129,-0.0112752403283507,0.0912126507327545,0.448292030859861,1
"LOC111101799",7075.69770695315,0.0308618335055337,0.0871061668436225,0.228053907393944,0.920743049726485
"LOC111117743",90.9781332593378,0.00498984560408737,0.130457070009902,0.552027048020696,1
"LOC111117672",1885.44618705712,0.000978773151947101,0.0842842133656175,0.973081100295379,1
"LOC111114053",3126.00107457069,-0.00701187855512961,0.083238837127888,0.820691391260514,1
"LOC111109809",152.63943354762,-0.0196569957963403,0.101670170641145,0.154076004158066,0.856767045416041
"LOC111102064",1173.68940100507,0.00724399391471723,0.0880154310232235,0.723237183344085,1
"LOC111112773",358.90433469192,0.0414948599449333,0.093920722327658,0.0637002025489233,0.679860676748444
"LOC111135169",314.958928811685,0.0140314596796182,0.108345198125813,0.211499739001726,0.906966824421122
"LOC111135172",252.97316809511,0.018636135593814,0.0888251702844076,0.35855065161062,0.979249745830221
"LOC111135178",0,0,2.1831770529701,NA,NA
"LOC111114201",772.637156466283,0.0140804383962719,0.0842254995042253,0.632209804372184,1
"LOC111114212",4528.23856670688,-0.0161884658021226,0.0830277644602321,0.607872401392907,1
"LOC111138315",1366.14501141685,-0.0489881096390624,0.0793138477820943,0.196671388714487,0.896662861741169
"LOC111138321",5677.65889874337,-0.0181101595918995,0.0834635382559785,0.55814605242617,1
"LOC111121058",101.834235882733,0.00253680148592425,0.0902616220670971,0.860045289818497,1
