"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,-0.0140674486506819,0.0960589551223048,0.197915720786276,0.941917377572604
"LOC111126949",558.918842779483,0.0153518415789424,0.0872577970867177,0.417732341771156,1
"LOC111110729",112.702369029826,0.00934998943525588,0.0835326236441627,0.739861408219596,1
"LOC111112434",7.02069313797398,-0.00807368296538374,0.0990089855570621,0.333949560577,0.99164705168559
"LOC111120752",427.481170862324,-0.0603832163989897,0.09068394496862,0.0196894293564971,0.514624001147812
"LOC111128944",0.105886614705338,0.0033300105632182,0.483605838590702,0.90551313147707,1
"LOC111128953",0.11812726542086,0,0.479643191090854,1,1
"LOC111105691",15.7506301266116,0.00163829270685196,0.0955327103403254,0.814991347849099,1
"LOC111105685",0,0,1.79757252912343,NA,NA
"LOC111105702",0,0,1.79757252912343,NA,NA
"LOC111133554",3.14598678579197,0.00274348143142443,0.110102104852227,0.660884479821162,1
"LOC111125466",2.78931116436741,0.00781230802890467,0.142692850220455,0.29142185744487,0.983079572446547
"LOC111128964",0.373333747321949,0,0.479643191090853,1,1
"LOC111113860",697.444345539626,0.00789384949530394,0.0878152066776452,0.628650232832559,1
"LOC111109550",162.359720332877,-0.00566471108037314,0.0988764152306571,0.453529784416605,1
"LOC111109753",16.0347391961751,-0.00282136372258384,0.0988313541755594,0.676011237300657,1
"LOC111109452",2965.79087768442,0.012561607021988,0.0844892324656479,0.630751347539139,1
"LOC111124802",2208.83335037743,-0.000136780121180786,0.0759310679792503,0.997165778444369,1
"LOC111101273",1221.06685453401,-0.0403807810040448,0.0807275040868532,0.235912392345373,0.955671826160433
"LOC111101250",970.461833535473,0.0289869844769335,0.0816182579909061,0.368766475698915,1
"LOC111101262",7696.49330440847,0.0232694742544227,0.081012524722027,0.480242031674671,1
"LOC111133260",2024.5335717369,0.048085869470163,0.0752916745145582,0.227588213539593,0.953399929471107
"LOC111113503",28.2422260437006,-0.000308453032366526,0.0951282925920527,0.964650411234252,1
"LOC111102393",551.880222667061,0.0273024252569385,0.0849317144445089,0.292826364278443,0.983079572446547
"LOC111119377",122.925669600129,0.0122157707144513,0.0890524768738549,0.391724802864791,1
"LOC111101799",7075.69770695315,-0.025938397938293,0.0853671536459716,0.296912728795025,0.983694817845577
"LOC111117743",90.9781332593378,-0.000447753711547104,0.104107907949754,0.941651584617555,1
"LOC111117672",1885.44618705712,0.00435481082356238,0.0833863283878741,0.878093984546414,1
"LOC111114053",3126.00107457069,-0.00820284907198561,0.0824034192353864,0.786792801314613,1
"LOC111109809",152.63943354762,0.0028083438934204,0.0889118450796351,0.821506100210716,1
"LOC111102064",1173.68940100507,0.0114335192653107,0.0867863867819547,0.565057623958772,1
"LOC111112773",358.90433469192,-0.0100160359772794,0.0863610596451618,0.634326799667569,1
"LOC111135169",314.958928811685,-0.00257413110450929,0.0904980345652758,0.789161744668655,1
"LOC111135172",252.97316809511,0.00158391306843621,0.0867323396087618,0.935551922960136,1
"LOC111135178",0,0,1.79757252912343,NA,NA
"LOC111114201",772.637156466283,0.00948582913939548,0.083231955042246,0.741657314350497,1
"LOC111114212",4528.23856670688,0.0129200494675695,0.082116829890792,0.676017277328476,1
"LOC111138315",1366.14501141685,0.0646089777555399,0.0788896871865425,0.0847038768420948,0.805577956057486
"LOC111138321",5677.65889874337,0.00719200407852723,0.0824299850596558,0.812170489487784,1
"LOC111121058",101.834235882733,-0.000845142196339451,0.088398706252583,0.951221472392938,1
"LOC111138070",970.767088319915,0.0567062384200887,0.0767830374067386,0.145997333978457,0.89635032032841
"LOC111108931",16.4382235403197,0.00139772393038292,0.0912601087281528,0.872586034798665,1
"LOC111108878",0,0,1.79757252912343,NA,NA
"LOC111108901",1283.03110451253,0.0345594370008729,0.0828378814728963,0.25768320358747,0.968420086392771
"LOC111130095",2709.49058139196,-0.0217153083036256,0.0855224239319691,0.368335220371174,1
"LOC111103204",930.794907486073,-0.0143154744002472,0.0830845479389046,0.623667587849933,1
"LOC111103224",1070.98227575491,-0.0230329411973409,0.0858691044919801,0.325314822740502,0.990862701720552
"LOC111131060",267.895720190325,-0.00860707793417055,0.0885895011088945,0.546901219719658,1
"LOC111131074",311.690986464672,0.000915153915562983,0.085272091142505,0.969517204785923,1
"LOC111131094",39.3388587334826,0.0159368355151336,0.0886620661331445,0.316651654678163,0.989682331541506
"LOC111131052",254.931374973265,-0.0310761701580866,0.0914517796463195,0.0821873255305877,0.799160723943142
