"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,0.00162558777556748,0.0475600759888964,0.311534325463709,1
"LOC111126949",558.918842779483,2.92195258865378e-05,0.0151794871509515,0.959511269139052,1
"LOC111110729",112.702369029826,0.0022189777165524,0.0311994081026448,0.0638487243288375,0.73814892232323
"LOC111112434",7.02069313797398,0.000583726169557323,0.0456261770269629,0.742305621047558,1
"LOC111120752",427.481170862324,0.00045685994291443,0.0147422572582048,0.418995130585378,1
"LOC111128944",0.105886614705338,0.000743273249814248,0.519801981446034,0.981897871974481,1
"LOC111128953",0.11812726542086,0,0.519692336657337,1,1
"LOC111105691",15.7506301266116,-0.0404386066346359,0.361150952201333,0.0280685066576165,0.569394270154927
"LOC111105685",0,0,1.82367147058788,NA,NA
"LOC111105702",0,0,1.82367147058788,NA,NA
"LOC111133554",3.14598678579197,-0.00654505364442722,0.150074723685165,0.280767530652706,0.986034208756981
"LOC111125466",2.78931116436741,-0.00971414973790624,0.18463854922642,0.195279303208178,0.946071010687437
"LOC111128964",0.373333747321949,0,0.519692336657336,1,1
"LOC111113860",697.444345539626,-0.00239406718352745,0.0456930601035136,0.115287355563167,0.854387405285909
"LOC111109550",162.359720332877,0.000312972598973991,0.049748341799809,0.87647219590144,1
"LOC111109753",16.0347391961751,0.145449231655608,0.742581060905657,0.00740247949506754,0.321948051083613
"LOC111109452",2965.79087768442,0.000606089959737472,0.0159674760244898,0.316997336035327,1
"LOC111124802",2208.83335037743,0.000100493621785891,0.00789153375964352,0.805221171451933,1
"LOC111101273",1221.06685453401,-0.000263969843890357,0.00986724008490988,0.553767715835543,1
"LOC111101250",970.461833535473,7.97479413292096e-05,0.0094232189719643,0.851461845771638,1
"LOC111101262",7696.49330440847,0.000146313511337233,0.00945365569204769,0.733150090392691,1
"LOC111133260",2024.5335717369,0.000141805458802983,0.00774721753302822,0.730805814335174,1
"LOC111113503",28.2422260437006,0.140043626104915,0.703645010458042,0.00690793213429918,0.312238532470323
"LOC111102393",551.880222667061,0.000473297365431211,0.0145910725149126,0.400525140585033,1
"LOC111119377",122.925669600129,0.00125387678974545,0.0343647312331547,0.267041611266002,0.981223148423078
"LOC111101799",7075.69770695315,0.000199267811033738,0.0125570702459744,0.691553548116161,1
"LOC111117743",90.9781332593378,0.000674428876909482,0.0798252457959295,0.847089521165572,1
"LOC111117672",1885.44618705712,-0.000100555309174383,0.0106625301592662,0.824640832110092,1
"LOC111114053",3126.00107457069,0.000160157719830379,0.0102889444564862,0.720067421958078,1
"LOC111109809",152.63943354762,-0.000882715779382838,0.0320789172533227,0.416735108154183,1
"LOC111102064",1173.68940100507,4.00676264344217e-05,0.0145236625379212,0.94257272854097,1
"LOC111112773",358.90433469192,0.00297637376711205,0.0449713292271397,0.063294296007359,0.736525244628284
"LOC111135169",314.958928811685,0.00913449938781953,0.129597811928214,0.0671540495964648,0.744393646898277
"LOC111135172",252.97316809511,-0.000174136475343821,0.0152375896431595,0.762081686978263,1
"LOC111135178",0,0,1.82367147058788,NA,NA
"LOC111114201",772.637156466283,0.00021515893837994,0.0111293061765119,0.645757280132401,1
"LOC111114212",4528.23856670688,-0.000676758617102416,0.0147700640606766,0.252353346851634,0.979049931346979
"LOC111138315",1366.14501141685,-0.000342833908776063,0.009502136120358,0.447546302725294,1
"LOC111138321",5677.65889874337,0.000261523321544175,0.0109603098174955,0.575347867314303,1
"LOC111121058",101.834235882733,0.000639712404261459,0.0262276951173323,0.47763581080093,1
"LOC111138070",970.767088319915,5.34171113999099e-05,0.00777312766584891,0.894980018731414,1
"LOC111108931",16.4382235403197,0.000489109670849863,0.0392364279177022,0.74254472447358,1
"LOC111108878",0,0,1.82367147058788,NA,NA
"LOC111108901",1283.03110451253,0.000340999234900455,0.0115629810699434,0.482620762867635,1
