"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,0.0263488187271827,0.167794352681841,0.475392843589373,0.937890114334834
"LOC111126949",558.918842779483,-0.0560515418803645,0.155308818089723,0.344940510109641,0.882808621763356
"LOC111110729",112.702369029826,-0.125537936584676,0.141288740217159,0.103896102501675,0.657305399139068
"LOC111112434",7.02069313797398,0.00632927299273122,0.172114796230497,0.8190826237907,1
"LOC111120752",427.481170862324,0.0280902853398282,0.142863993980386,0.693347063579475,0.996519611185294
"LOC111128944",0.105886614705338,-0.00338644115388936,0.476706892692895,0.90119857070735,1
"LOC111128953",0.11812726542086,0,0.473023518714674,1,1
"LOC111105691",15.7506301266116,0.0350356246604085,0.215513529941616,0.180868204987973,0.762089096320353
"LOC111105685",0,0,1.81358456246151,NA,NA
"LOC111105702",0,0,1.81358456246151,NA,NA
"LOC111133554",3.14598678579197,0.0150145277789977,0.205146298454838,0.452441237070944,0.931008828073624
"LOC111125466",2.78931116436741,-0.00711667572384608,0.1947971874937,0.708461376060095,0.998976487579689
"LOC111128964",0.373333747321949,0.00291419792478695,0.475747247335188,0.914804788545928,1
"LOC111113860",697.444345539626,0.0683032856771395,0.161764105437309,0.200747819486576,0.782204565378616
"LOC111109550",162.359720332877,-0.00243263519623067,0.174506998121399,0.923212768926397,1
"LOC111109753",16.0347391961751,-0.0707627075048207,0.337271184878827,0.0423782567515605,0.494161946727514
"LOC111109452",2965.79087768442,-0.106451455739985,0.144699979820406,0.149922980672815,0.725951005816184
"LOC111124802",2208.83335037743,0.101688118733351,0.111178138470335,0.208155776810958,0.78747348645242
"LOC111101273",1221.06685453401,0.175765347319906,0.129917081732004,0.0341318913127686,0.460525817115565
"LOC111101250",970.461833535473,-0.0639243991387306,0.128525991002472,0.421165232397272,0.915208810740013
"LOC111101262",7696.49330440847,0.0159769154060461,0.125645555861936,0.840742465277524,1
"LOC111133260",2024.5335717369,-0.177995280046368,0.110138993373728,0.0291830169215676,0.432718632645968
"LOC111113503",28.2422260437006,-0.0289790921536534,0.196166567232611,0.264657022651483,0.831223183791974
"LOC111102393",551.880222667061,-0.148117662899771,0.149462130842035,0.0478972995622843,0.511301440199997
"LOC111119377",122.925669600129,-0.0977774914398502,0.184492651978298,0.0510942929138234,0.521146524878427
"LOC111101799",7075.69770695315,0.0787399695237605,0.145617592924318,0.26940456240426,0.83523833410453
"LOC111117743",90.9781332593378,0.0108746999608413,0.193206351516087,0.590609900902204,0.974054334998849
"LOC111117672",1885.44618705712,0.0535502003191322,0.136946351785808,0.480461874363452,0.939856859411953
"LOC111114053",3126.00107457069,-0.0042871667786945,0.131782759731963,0.955930957773283,1
"LOC111109809",152.63943354762,0.0611459203922108,0.172948635131312,0.156775838389266,0.734836970411425
"LOC111102064",1173.68940100507,0.0182338647448188,0.152141040223914,0.765441472794874,1
"LOC111112773",358.90433469192,-0.0689063838712939,0.15223990890334,0.283801090808862,0.845058295453339
"LOC111135169",314.958928811685,-0.0473769454131108,0.183911648327875,0.174296641715381,0.754290777747832
"LOC111135172",252.97316809511,0.0782912273215931,0.155925859941499,0.201856334256121,0.783842623906491
"LOC111135178",0,0,1.81358456246151,NA,NA
"LOC111114201",772.637156466283,-0.0720296089033418,0.136853889710597,0.346928200730509,0.882847457556454
"LOC111114212",4528.23856670688,0.124545991407716,0.134647301301913,0.118472218887635,0.682355243938616
"LOC111138315",1366.14501141685,-0.00895763954908596,0.114261580106242,0.911278238032547,1
"LOC111138321",5677.65889874337,-0.0439566168804465,0.132466457774417,0.571808230136847,0.969419420263382
"LOC111121058",101.834235882733,-0.0565088292708195,0.165977449529567,0.225160100284264,0.799617467689965
"LOC111138070",970.767088319915,-0.119502385238254,0.111389152710058,0.14034283298285,0.713644619990395
"LOC111108931",16.4382235403197,0.0342152201182741,0.180029592248409,0.277133275810771,0.840922382355942
"LOC111108878",0,0,1.81358456246151,NA,NA
"LOC111108901",1283.03110451253,-0.127902953207782,0.136118504931706,0.107456529729268,0.662006224759649
"LOC111130095",2709.49058139196,0.0786962714883646,0.14704395957883,0.261758085276923,0.829282831820794
"LOC111103204",930.794907486073,-0.060530699813544,0.135552615596621,0.430699612316328,0.920159851311107
