"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,0.0602201852678643,0.178109718288757,0.0322203095414657,0.497452617244237
"LOC111126949",558.918842779483,-0.00770968774276609,0.13366430035158,0.862885108167141,1
"LOC111110729",112.702369029826,-0.0895940844994464,0.123393525706296,0.143514642128736,0.757161750601599
"LOC111112434",7.02069313797398,0.0135368513993206,0.145204736050577,0.479869336001475,0.961535159744972
"LOC111120752",427.481170862324,-0.00734096254084558,0.126773400548892,0.896244360136578,1
"LOC111128944",0.105886614705338,-0.00655983992411948,0.490864236483696,0.815444579676036,1
"LOC111128953",0.11812726542086,0,0.476916907603619,1,1
"LOC111105691",15.7506301266116,-0.0197724875536587,0.158466595677909,0.245894308381046,0.847407833216864
"LOC111105685",0,0,1.92770174514137,NA,NA
"LOC111105702",0,0,1.92770174514137,NA,NA
"LOC111133554",3.14598678579197,0.0179046880956905,0.202173520877608,0.213256191166072,0.82263511077518
"LOC111125466",2.78931116436741,0.00477364924991048,0.15887871072262,0.695782614152116,1
"LOC111128964",0.373333747321949,0.003409250092756,0.481004568841093,0.902195549292437,1
"LOC111113860",697.444345539626,0.0206448098844479,0.136079833241747,0.598524744619096,0.989019779264925
"LOC111109550",162.359720332877,-0.547703117149389,1.36984751027468,0.000864702375253807,0.0964423895932428
"LOC111109753",16.0347391961751,-0.0330626734144392,0.208893953258983,0.080556959319198,0.649361084404228
"LOC111109452",2965.79087768442,-0.0912731881653059,0.126604957303458,0.116081215379904,0.717063018558697
"LOC111124802",2208.83335037743,0.0898334243488709,0.102883957035855,0.202230899106744,0.813058978062803
"LOC111101273",1221.06685453401,0.078772471708066,0.113495342712278,0.24484964481536,0.846014383292825
"LOC111101250",970.461833535473,-0.0806860688598581,0.116782293285424,0.221863342327262,0.827332597323076
"LOC111101262",7696.49330440847,0.0749889485675574,0.115353504645752,0.261576871813103,0.857933064182978
"LOC111133260",2024.5335717369,-0.238246087927526,0.102818606643036,0.000872911943721414,0.0970429485136505
"LOC111113503",28.2422260437006,0.0112956546377336,0.148055074638088,0.497894586782737,0.965564725058721
"LOC111102393",551.880222667061,-0.0685953345362384,0.126441161448688,0.233160283576843,0.838482720892867
"LOC111119377",122.925669600129,-0.0258583067519407,0.13803447326114,0.453723184457285,0.954113527748969
"LOC111101799",7075.69770695315,0.0643778375290634,0.127775388939458,0.248421600275572,0.848842541251953
"LOC111117743",90.9781332593378,0.0051928822473639,0.153570784212151,0.691867423001429,1
"LOC111117672",1885.44618705712,0.0615891713757695,0.122749700198662,0.314983951353444,0.892091729431562
"LOC111114053",3126.00107457069,0.0113631731821135,0.119466404541521,0.858546542759217,1
"LOC111109809",152.63943354762,-0.000643032696463706,0.138909637762428,0.983150357808292,1
"LOC111102064",1173.68940100507,0.0419446518116718,0.133083661552711,0.368646516709484,0.921240785279933
"LOC111112773",358.90433469192,-0.0128684654282301,0.13153097968835,0.792582206563798,1
"LOC111135169",314.958928811685,-0.00495810262961482,0.141212294700968,0.832885710089806,1
"LOC111135172",252.97316809511,0.0382048720693273,0.13327123528346,0.407716152160438,0.93492484479627
"LOC111135178",0,0,1.92770174514137,NA,NA
"LOC111114201",772.637156466283,-0.120118887308506,0.123455443671732,0.0534066364427905,0.58745589980235
"LOC111114212",4528.23856670688,0.126787471835701,0.119975705672786,0.0508163193052872,0.582132338616256
"LOC111138315",1366.14501141685,-0.0262763585883502,0.106452342720041,0.706602170425753,1
"LOC111138321",5677.65889874337,-0.0297950354578203,0.119611634548813,0.639994324198859,0.997120162520279
"LOC111121058",101.834235882733,0.00762369076135271,0.137967630821069,0.82008129976723,1
"LOC111138070",970.767088319915,-0.0319464201847621,0.102335943110199,0.649810731908216,0.998128266637044
"LOC111108931",16.4382235403197,0.00977896240034794,0.142451683711418,0.648813639969648,0.998128266637044
"LOC111108878",0,0,1.92770174514137,NA,NA
"LOC111108901",1283.03110451253,-0.0719402466080242,0.119706657375705,0.260945148225039,0.857019712418528
"LOC111130095",2709.49058139196,0.0371830806418542,0.128287037099203,0.494950401923825,0.96546865175097
"LOC111103204",930.794907486073,-0.106437706141655,0.122401952500882,0.0889030759182107,0.669363147826356
"LOC111103224",1070.98227575491,0.0633435186263111,0.129563185844017,0.234771545975342,0.839137137674881
"LOC111131060",267.895720190325,-0.032177982779438,0.138246615268005,0.354114477033786,0.915447678896733
"LOC111131074",311.690986464672,0.0201833114551086,0.128299761900033,0.709920671616978,1
"LOC111131094",39.3388587334826,0.00848007355432847,0.136206330003629,0.825842336623076,1
"LOC111131052",254.931374973265,-0.0436452705577239,0.135497638354606,0.297706848286365,0.88202699289722
"LOC111116497",586.682298581441,-0.0712239147500619,0.129500891553395,0.184816984142132,0.798613328535582
"LOC111115921",119.280801585913,0.0158223482800537,0.146888994711968,0.399911683355356,0.930756727441133
"LOC111116467",910.264203785537,0.00199361702432658,0.131490836758284,0.967518577605876,1
"LOC111104259",47.8396937234969,-0.0587214929801005,0.25658702880595,0.02339934389532,0.448057001946507
"LOC111114340",5.54282638063545,-0.0173678835132366,0.144652681744051,0.405175684763225,0.933544950873226
"LOC111134965",950.188094894525,-0.0352178685438304,0.122092551520271,0.567665857735302,0.97945562044014
"LOC111111519",7435.90966607185,0.033943997658445,0.112460376901134,0.617445390302654,0.993863253631537
"LOC111113087",3.01475118642959,-0.00182725921839931,0.149944487452952,0.892330801197955,1
"LOC111136780",869.473228909534,-0.0684937299287303,0.108395559015683,0.324125897909836,0.89936796597451
"LOC111136794",483.680490909319,0.0622265632001122,0.133931387116513,0.179215680338476,0.794376393675784
"LOC111118408",689.541772410093,0.0189039737578068,0.134953448730361,0.651862274091696,0.998128266637044
"LOC111133372",1506.83862660389,-0.0788840481387653,0.107162083554485,0.25840791162695,0.855200871515455
"LOC111118838",132.432574935779,-0.0221543883325698,0.139362386663753,0.470527553453735,0.958004602550995
"LOC111118844",308.054354075577,0.0428714471981258,0.126622364172369,0.450316591581087,0.953182687851704
"LOC111110627",14.3814031443948,-0.0472777466287401,0.185562507526197,0.0480740867605681,0.571410194271587
"LOC111137104",4392.18429556814,0.0542232222585097,0.109483484012933,0.432663725959604,0.94421347526614
"LOC111105880",2021.6734857395,0.150350194916412,0.129439685527275,0.0120012218973389,0.360048111561748
"LOC111102585",65.4868491506536,-0.00866750025964824,0.147507951332124,0.5902929360211,0.986331581030471
"LOC111099747",96.3767486470089,-0.0200923652295673,0.128749867230239,0.70776907143554,1
"LOC111128995",54.0403664761419,0.00723236198536233,0.144395442032589,0.689361170624996,1
"LOC111124195",0.245402300319268,-0.00137829932252501,0.477592790423042,0.960187473169382,1
"LOC111129046",0,0,1.92770174514137,NA,NA
"LOC111129066",6.4140055732664,-0.0241615916997222,0.174070014013775,0.159291006147011,0.771880061608389
"LOC111124462",1.30955307882374,-0.0144547796636116,0.174813504905916,0.29949431136208,0.882603478469527
"LOC111115406",550.666228491318,0.0103085080526283,0.141093638743884,0.67382611140088,1
"LOC111135942",42.9065808869596,-0.0171057121828679,0.1365430936607,0.651541998486979,0.998128266637044
"LOC111135933",0,0,1.92770174514137,NA,NA
"LOC111114441",2.55959068997438,-0.0106853521239972,0.194951390397508,0.391890068735372,0.928218683859148
"LOC111114430",202.224242273921,-0.0195990320350588,0.160001929422421,0.24275284329482,0.844460321302649
"LOC111111547",52.1399243174692,-0.0736896954817068,0.37518925026297,0.0151849376060346,0.395775645746399
"LOC111103592",29.4891872030734,0.00327715139808168,0.145922608496793,0.836124859099285,1
"LOC111129108",0.0624062957418586,0,0.476916907603619,1,1
"LOC111129120",46.4855560804294,-0.00525119981690419,0.142543748300698,0.797346003004453,1
"LOC111135210",1055.74739371071,0.000676523766955547,0.133599703843741,0.98793888951264,1
