"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,-0.00169446078094933,0.0538961246100425,0.0871730357266826,1
"LOC111126949",558.918842779483,1.34896899653975e-05,0.0077990161474813,0.929087219543277,1
"LOC111110729",112.702369029826,0.000649411685601248,0.0158154592132752,0.0432196017484707,0.886841267543038
"LOC111112434",7.02069313797398,-0.000892205237610467,0.0432186335090534,0.26581117710487,1
"LOC111120752",427.481170862324,-0.000179025970935367,0.00805874748358015,0.318072058060828,1
"LOC111128944",0.105886614705338,0.00491431949189087,0.412250382687501,0.802072251122058,NA
"LOC111128953",0.11812726542086,0,0.397246891579259,1,NA
"LOC111105691",15.7506301266116,0.000373853596219292,0.0342169352087202,0.603627282558784,1
"LOC111105685",0,0,1.72932598930164,NA,NA
"LOC111105702",0,0,1.72932598930164,NA,NA
"LOC111133554",3.14598678579197,-0.00308720946012892,0.110386741456335,0.252014917426255,1
"LOC111125466",2.78931116436741,-0.00233181285805957,0.0954648668802364,0.314632096580218,1
"LOC111128964",0.373333747321949,0,0.397246891579259,1,NA
"LOC111113860",697.444345539626,-5.57177722709106e-05,0.0090704667043959,0.735079801342653,1
"LOC111109550",162.359720332877,0.0443093880748039,0.397420524072095,0.00818620163530095,0.495452955853948
"LOC111109753",16.0347391961751,0.00980729362994382,0.182282021023946,0.0463360463212409,0.903306434932701
"LOC111109452",2965.79087768442,0.000380415418223504,0.0116079656480009,0.106761339308624,1
"LOC111124802",2208.83335037743,5.82656807469828e-05,0.00620601305719568,0.820494727863272,1
"LOC111101273",1221.06685453401,-0.000176298456469526,0.00655781823732815,0.411852554300664,1
"LOC111101250",970.461833535473,0.000343742714239233,0.0083046097017749,0.132820684046659,1
"LOC111101262",7696.49330440847,2.52699088896014e-05,0.00633514256410478,0.90046205170147,1
"LOC111133260",2024.5335717369,0.00144492916593099,0.0187268343201054,0.00697445292669537,0.456459938276861
"LOC111113503",28.2422260437006,0.000795204405892011,0.0451394253128704,0.381889865866204,1
"LOC111102393",551.880222667061,0.000205609062919393,0.00828094108301313,0.268920903261447,1
"LOC111119377",122.925669600129,0.000163919438691457,0.0128441525738202,0.445190393918363,1
"LOC111101799",7075.69770695315,-0.000116396336689532,0.00736307056462328,0.486405103810816,1
"LOC111117743",90.9781332593378,0.000309160969554969,0.0472015328129673,0.793666231811989,1
"LOC111117672",1885.44618705712,-6.44461879736886e-05,0.00661275644297924,0.713280192870262,1
"LOC111114053",3126.00107457069,-2.68997694986692e-05,0.00643753991915093,0.884254527631026,1
"LOC111109809",152.63943354762,0.000228714519884207,0.0163309400477349,0.394604832526679,1
"LOC111102064",1173.68940100507,7.0256947103132e-06,0.00755055533027722,0.962791136284101,1
"LOC111112773",358.90433469192,9.10441866693277e-05,0.00789764271082082,0.566781042640068,1
"LOC111135169",314.958928811685,0.000136586698055994,0.0178936228629611,0.677560238391321,1
"LOC111135172",252.97316809511,3.4551134354872e-05,0.0077128896831847,0.820259820132605,1
"LOC111135178",0,0,1.72932598930164,NA,NA
"LOC111114201",772.637156466283,0.00045835270758031,0.0118306610058293,0.0749677481345825,0.994351864260275
"LOC111114212",4528.23856670688,-0.000227223704488204,0.007284345897711,0.263314303749603,1
"LOC111138315",1366.14501141685,0.000306796303871323,0.00674505819255688,0.219086551874671,1
"LOC111138321",5677.65889874337,0.000132546451602908,0.00671265783303634,0.483847536533634,1
"LOC111121058",101.834235882733,-0.000178731840457923,0.0135865162882432,0.428070790318038,1
"LOC111138070",970.767088319915,0.000146213853772828,0.00624816613411218,0.573322900340914,1
"LOC111108931",16.4382235403197,0.000729898659694972,0.0366719050734248,0.26193051653225,1
"LOC111108878",0,0,1.72932598930164,NA,NA
"LOC111108901",1283.03110451253,0.000285569898221118,0.00808383417535655,0.177668721841932,1
"LOC111130095",2709.49058139196,-5.61959527861683e-05,0.00701400468475608,0.723339333532825,1
"LOC111103204",930.794907486073,6.69966015157183e-05,0.00656448248648211,0.708830741854843,1
"LOC111103224",1070.98227575491,-8.38603557015077e-05,0.00731837995890001,0.599981553017145,1
"LOC111131060",267.895720190325,5.64033460315903e-05,0.0102653612832839,0.756662742982489,1
"LOC111131074",311.690986464672,0.000129202119598611,0.00768228700717638,0.441324543021244,1
"LOC111131094",39.3388587334826,0.000562105462316895,0.0225792513107853,0.120889787416923,1
"LOC111131052",254.931374973265,2.06232192786401e-05,0.0082427198815616,0.894193492767029,1
"LOC111116497",586.682298581441,-0.000102745742013107,0.00745586458234818,0.528216377477823,1
"LOC111115921",119.280801585913,-0.000985480238201395,0.0463693786889657,0.259341173518434,1
"LOC111116467",910.264203785537,-9.50146660787602e-05,0.00794476663495436,0.551738159882644,1
"LOC111104259",47.8396937234969,-0.000108350036725929,0.0224451558495966,0.810733347174963,1
"LOC111114340",5.54282638063545,0.000435224819296755,0.0289324423497679,0.406624519464954,1
"LOC111134965",950.188094894525,-9.4472922460886e-05,0.00669097118856543,0.596899387858733,1
"LOC111111519",7435.90966607185,-0.00013469169889255,0.00641671235946199,0.531840427458554,1
"LOC111113087",3.01475118642959,0.000218170116473604,0.0424150129528864,0.833548596087342,1
"LOC111136780",869.473228909534,0.000274866716115146,0.00670268443955103,0.253135802530371,1
"LOC111136794",483.680490909319,2.79002822423996e-05,0.00766947448130994,0.853946970930118,1
"LOC111118408",689.541772410093,0.0002844037981752,0.0140055357593716,0.219514015664629,1
"LOC111133372",1506.83862660389,0.000385062155782278,0.00729120258277542,0.133980505118214,1
"LOC111118838",132.432574935779,2.44378662925704e-05,0.0113831012571877,0.904648990451212,1
"LOC111118844",308.054354075577,-1.14045994575715e-06,0.00673698145389404,0.994350239104378,1
"LOC111110627",14.3814031443948,0.000663666717937795,0.0346968738874404,0.278862841554902,1
"LOC111137104",4392.18429556814,-0.000256216024318559,0.00668690242200625,0.274965439344517,1
"LOC111105880",2021.6734857395,-0.000911781307880547,0.0214111804554827,0.0288468465243481,0.793589018019701
"LOC111102585",65.4868491506536,0.000986658343742953,0.0508054432340133,0.338888696790744,1
"LOC111099747",96.3767486470089,-0.000191085479385835,0.00871977616917099,0.291446678009836,1
"LOC111128995",54.0403664761419,-9.15176423382256e-05,0.0246350979586381,0.858909918028131,1
"LOC111124195",0.245402300319268,-0.00452433411033444,0.40946964870534,0.816534875094617,NA
"LOC111129046",0,0,1.72932598930164,NA,NA
"LOC111129066",6.4140055732664,0.00239451310099718,0.0821188949782957,0.16849215901479,1
"LOC111124462",1.30955307882374,0.0184834464722403,0.29521937115476,0.0469253623578345,0.905135160163533
"LOC111115406",550.666228491318,-5.57436033186053e-05,0.0155421297806982,0.847048188714728,1
"LOC111135942",42.9065808869596,0.000360451096195324,0.0174671601936405,0.196645495492922,1
"LOC111135933",0,0,1.72932598930164,NA,NA
"LOC111114441",2.55959068997438,0.000478413950918274,0.0734312852994966,0.822451255096928,1
"LOC111114430",202.224242273921,0.000264560823617621,0.0328328219481028,0.711456242108804,1
"LOC111111547",52.1399243174692,0.00618971018799224,0.135701829143363,0.060307435572891,0.954519747335911
"LOC111103592",29.4891872030734,-2.56330703185817e-05,0.0301688840746531,0.969836559643126,1
"LOC111129108",0.0624062957418586,-0.00611706113577433,0.419742096579306,0.757793209982935,NA
"LOC111129120",46.4855560804294,9.41748376587419e-05,0.0204897693669834,0.815533630548632,1
"LOC111135210",1055.74739371071,-1.79605418838026e-05,0.00779841084946789,0.905745130782525,1
"LOC111113958",259.208438861698,-0.000200764132243972,0.0166301921651628,0.47499321763298,1
"LOC111103230",577.246566832573,8.2928216479855e-05,0.00726472787425415,0.604878836485825,1
"LOC111101640",340.012084863055,3.01249900469402e-05,0.00782176176475003,0.843152482722993,1
"LOC111103171",51.7008592426508,0.000485891947115998,0.042486067590937,0.611921992050464,1
"LOC111103163",1.22366823786279,0.00230204736622777,0.112844432957549,0.471910754168688,1
"LOC111103177",5.13899458844589,0.000283978307106737,0.0257938761106018,0.564384477916351,1
"LOC111115024",0.448870239729467,0.00642994496821594,0.414901255631265,0.741248695141953,NA
"LOC111115591",6.33097090750129,-0.00700528740422974,0.172384943418554,NA,NA
"LOC111119406",573.669206782868,0.00078354045149273,0.0300645540439895,0.110889151768065,1
"LOC111102439",48.7461675590065,6.63368377611293e-05,0.0132523374803781,0.779870445957289,1
"LOC111102448",4729.98802319571,-0.000214327140251293,0.00757761165687152,0.269545155856212,1
"LOC111129274",16.8600951069763,1.87630390354316e-05,0.0149369991776061,0.946288095613111,1
"LOC111113346",1107.9440207159,-6.18751310765535e-05,0.0068358201972651,0.706633430167534,1
"LOC111100652",2407.86627446556,-0.000337866327694432,0.0063864988037989,0.253319210265797,1
"LOC111134791",955.218033138739,6.02377739709348e-05,0.0063003178353946,0.780859461521705,1
"LOC111128971",2362.10111428135,1.67353872967278e-06,0.00645144249107771,0.992643576914388,1
"LOC111104153",1593.50823303362,-0.00025131817419607,0.00626562039452837,0.389327947326176,1
"LOC111134573",484.839824914507,8.83025565227189e-05,0.00685941419356271,0.603188407376935,1
"LOC111129318",0.126913306858294,0,0.397246891579259,1,NA
"LOC111134552",586.900331261575,-6.18303153789821e-05,0.0138577962013653,0.805270790209935,1
"LOC111134566",716.323278051925,-7.65906833417315e-07,0.00834615596761736,0.996082116979726,1
"LOC111121766",5.47991917858681,0.000620441457789588,0.0424599553835572,0.488439948550822,1
"LOC111121733",7433.96732221843,-0.000202638362150123,0.00613183389493072,0.599534611500272,1
"LOC111129336",6.69324979890026,-7.98312688467501e-05,0.035090064878455,0.922689497201218,1
"LOC111109736",58.0243154566557,-0.00427758996844998,0.113618351757685,0.0990048532263231,1
"LOC111109754",642.238243057159,-0.00104245658032145,0.0385755629684838,0.112034680501126,1
"LOC111109763",388.110549071767,0.000209786868362961,0.0106042732046917,0.274139061015295,1
"LOC111129344",44.7132240962933,2.54970710294258e-05,0.00916431016085932,0.878105687489254,1
"LOC111109745",19939.7261293565,5.51618363174507e-05,0.00761627814813656,0.719769125903592,1
"LOC111132141",52.4457665260837,0.000290599770486765,0.0143388654405583,0.217868778121443,1
"LOC111132148",46.7019712207485,4.76291682536224e-06,0.0281719623872443,0.993876113521542,1
"LOC111132134",1358.49137871378,9.57613973357616e-05,0.0138414731879613,0.695759648737223,1
"LOC111132126",594.209970430247,0.00241095717860768,0.0635404515503989,0.0523060488234448,0.924511023852285
"LOC111099207",3785.23312290439,-0.000169030813706579,0.00780553948343536,0.342055351804677,1
"LOC111115013",12.1670141140866,5.24217546808862e-05,0.0241957373806101,0.917733045214501,1
"LOC111132349",2344.95400649405,8.72921288279999e-05,0.00702766517959194,0.596989556501025,1
"LOC111129373",0,0,1.72932598930164,NA,NA
"LOC111132366",2012.74899616812,-5.42771370489751e-05,0.00741329453187333,0.724672342966007,1
"LOC111103463",598.383622542074,1.17439165110816e-05,0.00765400904182826,0.937978361600118,1
"LOC111131773",63.443482436813,1.20018986216768e-05,0.00858605352802874,0.939718277533385,1
"LOC111131721",601.225123318894,-0.000217241666439542,0.00772239496787144,0.26125157021664,1
"LOC111131752",2566.76464367821,-0.000173100489815426,0.00703104196230251,0.364360930893746,1
"LOC111131766",129.289508237888,-0.000221956785694074,0.0113018971359263,0.264094393774819,1
"LOC111129378",71.9359938210883,0.000198065135289116,0.0145600230447162,0.409491867031034,1
"LOC111131682",2038.6457319088,0.000146010936896747,0.00657561930196653,0.471196143301501,1
"LOC111128103",3939.66563592331,0.000264134313304278,0.00673167954199998,0.260883321071637,1
"LOC111100789",1987.98745985255,2.2638592411996e-05,0.00735105777011858,0.881069700341612,1
"LOC111100985",881.320755276988,8.3574186325411e-05,0.00813752107916929,0.597599661394239,1
"LOC111103238",1857.69283688351,6.66447651027067e-05,0.00724055171856054,0.67182792797172,1
"LOC111103245",22.1070093817838,0.000166017335862208,0.0301519115321935,0.801226950761299,1
"LOC111112387",1746.06993191275,-1.74638736174015e-05,0.00728127858899817,0.908140437977144,1
"LOC111114799",2811.19826036059,-0.000172292920994818,0.00684296769087305,0.381375938646147,1
"LOC111129421",35.112274992982,0.000133095058596809,0.011871834835582,0.509533069393492,1
