"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,-0.0169619940727846,0.199660198379429,0.750456967850628,0.990285543819823
"LOC111126949",558.918842779483,0.0787842291348681,0.183670980274149,0.333476305875875,0.827414937530616
"LOC111110729",112.702369029826,-0.0667232322869662,0.155420549614156,0.474363886261795,0.905442715141456
"LOC111112434",7.02069313797398,-0.507405202416278,1.12215022295173,0.00210834292100019,0.0796167399234091
"LOC111120752",427.481170862324,-0.136308836766994,0.171832158980072,0.15035982768059,0.639828213274832
"LOC111128944",0.105886614705338,0,0.711205719357628,1,NA
"LOC111128953",0.11812726542086,0,0.711205719357627,1,NA
"LOC111105691",15.7506301266116,-0.0436589835888689,0.236504618534551,0.235372480410247,0.745281105902663
"LOC111105685",0,0,2.35130118428157,NA,NA
"LOC111105702",0,0,2.35130118428157,NA,NA
"LOC111133554",3.14598678579197,0.0603532055927695,0.387606183132805,0.112880247145987,0.576492715199964
"LOC111125466",2.78931116436741,-0.0650828451703939,0.42099489767291,0.101924856567468,0.555292555949849
"LOC111128964",0.373333747321949,0.0337565477018174,0.807185387018609,0.614060601369634,0.958420650985725
"LOC111113860",697.444345539626,-0.0402136499487806,0.187286987576384,0.584316757979018,0.949278447340981
"LOC111109550",162.359720332877,-0.0356320533380135,0.220957366185683,0.342853220450154,0.834009470366032
"LOC111109753",16.0347391961751,0.00405543186780296,0.214736455087997,0.899684821415628,1
"LOC111109452",2965.79087768442,-0.00428952277946663,0.157508208114297,0.962389241629429,1
"LOC111124802",2208.83335037743,-0.35346873041547,0.131129083877304,0.000543014516845796,0.0338569551253354
"LOC111101273",1221.06685453401,-0.362447455553162,0.157033227930883,0.000946463039598717,0.0496362368851234
"LOC111101250",970.461833535473,-0.0194045832036007,0.137759251458792,0.832861436797322,1
"LOC111101262",7696.49330440847,0.190918554962321,0.15100726613019,0.0580419032468361,0.441724338479553
"LOC111133260",2024.5335717369,-0.162146729120484,0.120820376200918,0.0762346651511126,0.497840518228911
"LOC111113503",28.2422260437006,-0.0143114816988936,0.213915724133144,0.677842329911549,0.975352358715251
"LOC111102393",551.880222667061,-0.196524342112646,0.177423023569352,0.0478226698289014,0.403140077733921
"LOC111119377",122.925669600129,0.118039731869745,0.206848517709634,0.0900373256216403,0.528150885472518
"LOC111101799",7075.69770695315,-0.118861386170477,0.170796314952966,0.203039674931034,0.710913354331632
"LOC111117743",90.9781332593378,0.00717531813023758,0.224558280173054,0.80004440360217,0.997110713051648
"LOC111117672",1885.44618705712,-0.0901209529108398,0.155880954321203,0.340441573510407,0.832185177715692
"LOC111114053",3126.00107457069,-0.339322683565008,0.174157509121912,0.00211988553465758,0.0797479620853474
"LOC111109809",152.63943354762,-0.0797818406022392,0.203916963766505,0.19426356486826,0.700641551619713
"LOC111102064",1173.68940100507,-0.205942315206223,0.203848547493484,0.0233225890713312,0.294652251948461
"LOC111112773",358.90433469192,-0.0418166927575482,0.174125543036141,0.622679482868297,0.961715216364651
"LOC111135169",314.958928811685,0.0652184473358653,0.214765576326188,0.190579885877166,0.697210284622961
"LOC111135172",252.97316809511,-0.312374120332299,0.257173339854268,0.00204413216411785,0.0782385080283419
"LOC111135178",0,0,2.35130118428157,NA,NA
"LOC111114201",772.637156466283,0.0394243704147323,0.150170758435478,0.67068294106217,0.974505648821455
"LOC111114212",4528.23856670688,-0.242036889554459,0.1632473767506,0.0204753235347012,0.274905332649408
"LOC111138315",1366.14501141685,-0.0257378836949686,0.119724826373501,0.768557334238373,0.992465649770712
"LOC111138321",5677.65889874337,-0.181632122578101,0.159997422267049,0.0707434122257531,0.482548611472626
"LOC111121058",101.834235882733,0.148271441848004,0.224785853144883,0.0358192465732331,0.352781404487116
"LOC111138070",970.767088319915,0.118717461192744,0.121900087259003,0.187885023180914,0.693381916772565
"LOC111108931",16.4382235403197,0.0741070400348528,0.240238066003417,0.108848165591169,0.569269131603042
"LOC111108878",0,0,2.35130118428157,NA,NA
"LOC111108901",1283.03110451253,-0.00178578440869676,0.143490297753911,0.98456269774808,1
"LOC111130095",2709.49058139196,-0.255134368628831,0.193867599802209,0.0118727189591417,0.212675606654932
"LOC111103204",930.794907486073,-0.0276564916764488,0.148433415800038,0.76501114469653,0.992032465063118
"LOC111103224",1070.98227575491,-0.122883498561997,0.175915591343388,0.180530617483561,0.684106399555884
"LOC111131060",267.895720190325,-0.00427003196652412,0.190991154676606,0.948967549672336,1
"LOC111131074",311.690986464672,-0.14546593015235,0.177187635524766,0.121070378269985,0.593418223931488
"LOC111131094",39.3388587334826,0.00545602908561858,0.18705739183219,0.93946481252153,1
"LOC111131052",254.931374973265,0.0061010701327511,0.182640469400348,0.936579067725119,1
"LOC111116497",586.682298581441,-0.279688963052447,0.201629585522123,0.00644326874739354,0.153201031486689
"LOC111115921",119.280801585913,-0.00403008255847024,0.207828601857497,0.91734574573855,1
"LOC111116467",910.264203785537,-0.0435289273257961,0.174189136482089,0.608783591108417,0.956781717267857
"LOC111104259",47.8396937234969,0.135196946933078,0.408922572368373,0.0209933788666518,0.278826853278619
"LOC111114340",5.54282638063545,-0.0278107222145676,0.207662879577269,0.521716855995185,0.925581453498888
"LOC111134965",950.188094894525,0.0710810404863703,0.153038863846696,0.448380003999614,0.895121456688934
"LOC111111519",7435.90966607185,-0.0133737338186409,0.129849705209102,0.88246611102655,1
"LOC111113087",3.01475118642959,-0.0434663886758803,0.296196721476729,0.190843833158695,0.697390819694662
"LOC111136780",869.473228909534,-0.349607717290198,0.143787217059482,0.000994864673521877,0.0510853847374214
"LOC111136794",483.680490909319,0.137083641196465,0.189932028586436,0.110097471355671,0.570990721360765
"LOC111118408",689.541772410093,-0.0654905949318031,0.185934613470126,0.399582298543589,0.868076969830136
"LOC111133372",1506.83862660389,-0.107887474661612,0.128184336724329,0.241111799815136,0.749568955186672
"LOC111118838",132.432574935779,0.00820051656140806,0.195236922162703,0.891898545596683,1
