"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,-0.000386857672240308,0.0235255610063814,0.400142675540577,1
"LOC111126949",558.918842779483,5.19083162115924e-05,0.00866226667629987,0.773573357220087,1
"LOC111110729",112.702369029826,-0.000264575469344069,0.00895071022834779,0.222927594534743,1
"LOC111112434",7.02069313797398,-0.00328031965695043,0.0884449023263664,0.123245996332064,1
"LOC111120752",427.481170862324,0.000235762945485517,0.00944738353568227,0.262008558846812,1
"LOC111128944",0.105886614705338,0,0.47063495699328,1,1
"LOC111128953",0.11812726542086,-0.00263698523891827,0.473411233474875,0.922108041806988,1
"LOC111105691",15.7506301266116,-0.00200158805264251,0.0719835994551991,0.249466662916152,1
"LOC111105685",0,0,1.78387347121909,NA,NA
"LOC111105702",0,0,1.78387347121909,NA,NA
"LOC111133554",3.14598678579197,-0.000763795022139472,0.0628125144453446,0.683585612540716,1
"LOC111125466",2.78931116436741,-0.0107240452755315,0.217399915245733,0.123400288423139,1
"LOC111128964",0.373333747321949,0.00290988569795619,0.469342091451084,0.913125339813346,1
"LOC111113860",697.444345539626,-0.000280862427908527,0.0150645865405889,0.308740398886103,1
"LOC111109550",162.359720332877,-0.000237079408358349,0.0329320227098203,0.775515313210949,1
"LOC111109753",16.0347391961751,-0.00170327256230284,0.0686485422448565,0.318482038082346,1
"LOC111109452",2965.79087768442,0.000231819673239291,0.0090236704392305,0.265912846586704,1
"LOC111124802",2208.83335037743,-1.38151170475276e-05,0.00621865540814803,0.957293246788807,1
"LOC111101273",1221.06685453401,-9.09753076414399e-05,0.00644564872793004,0.672829737066995,1
"LOC111101250",970.461833535473,0.000211804770069224,0.0071798681356463,0.326004385354955,1
"LOC111101262",7696.49330440847,-4.45923733924126e-05,0.00642899529335472,0.829702517762273,1
"LOC111133260",2024.5335717369,-4.68379937635657e-05,0.00619745765150345,0.863771552983906,1
"LOC111113503",28.2422260437006,-0.000217166041814382,0.0362326130775557,0.819832640316533,1
"LOC111102393",551.880222667061,0.000112047236943568,0.00743709857310362,0.539189032523463,1
"LOC111119377",122.925669600129,0.000523772230667647,0.0230649778076872,0.20954641494691,1
"LOC111101799",7075.69770695315,2.65489310868007e-05,0.00710205453903803,0.87746855082435,1
"LOC111117743",90.9781332593378,0.000461731889335877,0.0566995116552306,0.786020429828433,1
"LOC111117672",1885.44618705712,-1.47257382871094e-05,0.00669135582113535,0.935703388999861,1
"LOC111114053",3126.00107457069,-1.6920886191194e-05,0.00655162842763856,0.929584131941258,1
"LOC111109809",152.63943354762,-7.82067810662989e-05,0.0138183152356271,0.781290812663827,1
"LOC111102064",1173.68940100507,-0.000381103735279719,0.0153060513661586,0.179369802580857,1
"LOC111112773",358.90433469192,2.78454323743391e-06,0.00775944021847657,0.986970726009749,1
"LOC111135169",314.958928811685,-1.89834228892793e-05,0.0189445202610806,0.964174559819199,1
"LOC111135172",252.97316809511,-0.000222282254018001,0.0115921550715976,0.320714074297269,1
"LOC111135178",0,0,1.78387347121909,NA,NA
"LOC111114201",772.637156466283,0.000225764836240766,0.00810168648226028,0.278785415198188,1
"LOC111114212",4528.23856670688,-0.000106541986854266,0.00671276025620476,0.591226217519581,1
"LOC111138315",1366.14501141685,4.39271058993827e-05,0.00626723425990741,0.855469820876367,1
"LOC111138321",5677.65889874337,7.33493243734242e-05,0.00665375824309627,0.704043648176284,1
"LOC111121058",101.834235882733,6.4766958694496e-05,0.0119736889284578,0.787823708242815,1
"LOC111138070",970.767088319915,0.000130950350858014,0.0062722384948362,0.616459977171632,1
