"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC111116054",8.95370177555495,0.00873485409925518,0.115297877672042,0.545779819747643,1
"LOC111126949",558.918842779483,-0.00242838477759315,0.0690938814484533,0.836969954784059,1
"LOC111110729",112.702369029826,0.00805756421476189,0.060505427948289,0.553576930451839,1
"LOC111112434",7.02069313797398,0.00618000772585167,0.142800905948401,0.731685832376474,1
"LOC111120752",427.481170862324,0.0107311468127373,0.0668405729807422,0.429874578293791,0.968602608827036
"LOC111128944",0.105886614705338,0,1.06484812801771,1,1
"LOC111128953",0.11812726542086,0.0157229306032936,1.0694861905977,0.909236728648042,1
"LOC111105691",15.7506301266116,0.0258759828685339,0.252865192217917,0.400026416122039,0.956320984735296
"LOC111105685",0,0,2.68303814406562,NA,NA
"LOC111105702",0,0,2.68303814406562,NA,NA
"LOC111133554",3.14598678579197,0.0529464190752566,0.441518352237676,0.362727551399265,0.938967135904794
"LOC111125466",2.78931116436741,-0.00228696578296946,0.272808685542145,0.95299749817866,1
"LOC111128964",0.373333747321949,0,1.06484812801771,1,1
"LOC111113860",697.444345539626,-0.037221649724001,0.163379759670076,0.0845758188436526,0.602540058875459
"LOC111109550",162.359720332877,0.00143776164692253,0.156653410750638,0.943812485338806,1
"LOC111109753",16.0347391961751,0.00268622949784081,0.187453227672517,0.914340823491911,1
"LOC111109452",2965.79087768442,-0.0728175011901415,0.171762017805464,0.0197620015718821,0.299587060016459
"LOC111124802",2208.83335037743,0.00682415661151732,0.0479411019839725,0.636543727488932,1
"LOC111101273",1221.06685453401,7.49487387999457e-05,0.0511007469647057,0.995663840777795,1
"LOC111101250",970.461833535473,-0.0186424038223278,0.0666406569386065,0.245230370562931,0.853655404864963
"LOC111101262",7696.49330440847,0.0246886419371371,0.0731842838761115,0.159743764589841,0.752777479363274
"LOC111133260",2024.5335717369,-0.140832523078062,0.151395579348933,0.00358113975245433,0.105106659185738
"LOC111113503",28.2422260437006,0.000812700774506027,0.168685358850127,0.970787721635846,1
"LOC111102393",551.880222667061,-0.0747341955993985,0.176288005428916,0.0189776585202146,0.29203638561646
"LOC111119377",122.925669600129,0.0351765528527704,0.175425831210351,0.106064870100649,0.653518210760944
"LOC111101799",7075.69770695315,0.0100463144320313,0.0666128016134072,0.454413768156499,0.978413589768911
"LOC111117743",90.9781332593378,-0.279421781392401,0.996612810084262,0.0572523769459346,0.509447443843177
"LOC111117672",1885.44618705712,-0.0169110858556547,0.0699786964545717,0.265994383305859,0.875623639623422
"LOC111114053",3126.00107457069,-0.00218762900175064,0.0549896560238401,0.870614815763182,1
"LOC111109809",152.63943354762,0.00716413788825233,0.0964424319723131,0.576804954363064,1
"LOC111102064",1173.68940100507,0.00217019115676553,0.067378952707515,0.855338201530761,1
"LOC111112773",358.90433469192,-0.00848046423860672,0.0707548462060312,0.50449671353132,0.99304331096604
"LOC111135169",314.958928811685,-0.0319287800697394,0.21553425025179,0.195488243309838,0.802558224867033
"LOC111135172",252.97316809511,0.00784134230262325,0.072729654174816,0.528912141975211,0.996317854889194
"LOC111135178",0,0,2.68303814406562,NA,NA
"LOC111114201",772.637156466283,-0.00547004321644883,0.0578848793488288,0.683740268779299,1
"LOC111114212",4528.23856670688,0.00682299849805332,0.0564379452783109,0.622092536942109,1
"LOC111138315",1366.14501141685,0.00838976628149092,0.0507716953764613,0.565768673890587,1
"LOC111138321",5677.65889874337,-0.000630642589945227,0.0548281310501791,0.962425189464072,1
"LOC111121058",101.834235882733,-0.0289011223970766,0.157953652067867,0.139532913467657,0.724491330628923
"LOC111138070",970.767088319915,-0.0112771072777407,0.0509960598405659,0.456105990774108,0.97894249979138
"LOC111108931",16.4382235403197,0.000904408094037979,0.12261248952822,0.954145794291966,1
"LOC111108878",0,0,2.68303814406562,NA,NA
"LOC111108901",1283.03110451253,0.0182572912882531,0.068705211196958,0.246214989006087,0.854686469516684
"LOC111130095",2709.49058139196,0.00325341648438011,0.0620357060406218,0.795812072880289,1
"LOC111103204",930.794907486073,-0.00757897287462121,0.0588788178268473,0.58000660709171,1
"LOC111103224",1070.98227575491,-0.00630722752226394,0.0648983223155908,0.619997581863703,1
"LOC111131060",267.895720190325,-0.0619704456054788,0.249747171214586,0.0508664114807482,0.482800233504057
