"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144622046",14.7602029542618,-20.1343113716197,3.42135445672041,-6.00982955471106,1.85718476422805e-09,6.85106571071177e-07,1.30179265417648e-06,0,0,0,0,0,0,0,0,0,0,22.3443644122372,6.39700975374154,0,0,0,27.220094330536,0,78.5700004278662,0,293.396895537756,0,10.0783908080643,189.768944869255,102.859467922299,1.11542283620986,0,0,0,0,0,0,28.5350715235059,0,0,105.795581571458,0,0,0,0,0,0,0,0,0,0,0,0,69.0700253547533,10.3339927052366,0,0,0,0,0,1.92206899573223,0,0,0,0,0,18.675747242232,0,83.6482425034218,104.387165570358,11.7527509928039,0,0,62.4485709929601,13.8163446755213,0,0,66.9161626254179,3.50633754447896,0,0,27.1413004020026,0,0,0,13.6901474930222,0.995434288757132,0,4.03150629139464,0,18.5077064343744,0,0,5.07995438455302,0,0,0,0,5.45437521065925,0,"HC vs. BC","HC"
"LOC144622060",87.1609503182156,18.2075339361837,3.37465045965735,5.52518088542282,3.29146320962824e-08,1.01759301293797e-05,1.37524644466995e-05,2.85113282394445,18.177765790945,332.867732781738,0,0,8.18978827266431,0,122.581844305228,0,0,0,40.5143951070297,1.05625988768401,17.9793369602195,0,0,0,26.4418270670704,0,0,1.86293560951045,0,0,0,2129.34219432462,0,39.3456853899543,0,0,0,51.5125195957874,0,0,446.164771400175,507.818791543001,265.659191507758,0,0,0,0,0,190.543493286797,3090.69018159523,0,0,0,143.232118965657,1.17067839584328,0,0,2.10998142470121,0,0,0,0.961034497866117,69.457468347983,0,0,22.4652889852004,0,5.49286683595057,0,0,0,1.95879183213399,0,0,0,0,1.42867232767393,0,0,0,0,0,0,289.003436046584,0,0,0,0,0,0,0,121.933124744114,0,2.49357487570535,0,0,0,77.7083585624673,0,0,160.11408682103,"HC vs. BC","BC"
"LOC144619349",53.4966508945842,-21.7630278736404,4.17266221824047,-5.41669737400234,6.07099668130627e-08,1.78115608756039e-05,3.2678565761872e-05,0,0,443.823643708984,0,126.816896510868,0,0,0,123.187925214488,0,0,0,0,0,0,0,0,0,0,449.7526078933,0,0,0,344.769698035855,170.659693940108,0,0,7.36204083244454,1.02019765289217,1.09845111515122,0,0,0,0,129.977428787792,0,0,0,211.395380105997,0,0,0,0,2.33705171721567,0,288.639604457972,0,275.10942302317,195.312462128971,0,0,0,42.9570622348392,0,0,0,0,0,0,85.834573087511,0,0,0,0,166.497305731389,0,0,274.558372469049,0,0,544.457884081489,4.09690791584191,126.812541191989,0,0,0,0,0,306.19101553953,0,0,0,0,0.924806281896415,0,0,2.49357487570535,0,358.045599369225,0,56.8314861128492,287.721550074389,0,0,"HC vs. BC","HC"
"LOC111105307",316.618384570679,-24.8780851704237,4.00942905995203,-6.3895924398727,1.66328465012444e-10,7.35734773236583e-08,2.2319716471674e-07,0,0,111.912427400757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8431731468627,0,0,0,0,0,0,52.4248733018634,1.1968218709353,0,0,0,0,3.15382773035433,0,0,0,6.04546180408334,24.3883847941548,1225.85978082305,0,0,0,0,0,1.96234297244142,0,0,0,129.010490132188,0,0,0,0,0,0,0,0,0,0,0,0,12.6801073879278,56.0272417266959,0,0,0,0,0,10.5554122196957,1458.92782233553,1.06279574427087,0,0,0,0,231.807845931448,0,0,4.46337352967698,0,228.527405184023,0,0,187.991057079513,0,22193.5011529502,5.44344306893365,0,7.48072462711606,144.270704521306,0,3628.5914160203,0,15.5525162202373,0,6.44754712030994,"HC vs. BC","HC"
"LOC111105070",9.02939474538583,-20.3711499946545,2.91396160289534,-7.09641988066691,1.28030111848548e-12,7.51249342014177e-10,1.28385369205706e-09,0,0,59.3040213576659,0,0,0,0,0,0,1.00372823317197,0,0,0,0,0,4.03260656748682,0,0,1.77295265696288,0,0,10.7982758657832,0,396.199431997004,0,10.1729859029501,15.7382741559817,0,8.16158122313733,0,0,0,0,0,0,0,5.30675229793529,12.722864459935,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,23.9887441970417,4.21996284940242,0,0,0,17.2986209615901,0,0,0,0,0,13.1828804062814,2.51817978247037,0.909220027211106,10.2340358402312,0,0,39.8760017188505,2.15339899975724,0,0,0,0,0,16.298989167055,12.4819131114823,0,0,7.13244755869212,8.03416658850079,0,0,0,0,0,0,154.571618818303,0,1.0159908769106,4.67422453484627,1.07069678843916,1.159826247201,0,0,0,"HC vs. BC","HC"
"LOC144619466",3.19122519030149,-7.6956361159615,7.90502233593219,-3.66669876865071,0.00024570194646342,0.0388155074984409,0.0610615366024313,0,0,0,0,0,0,0,0,0,0,0,2.13233658458051,0,0,0,0,0,0,0,1.83947896888875,0,0,0,0,10.0388055258887,0,26.9798985531115,0,0,0,4.20510364047244,0,0,0,1.00757696734722,0,0,0,0,0,0,0,0,1.55803447814378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,13.7115428249379,0,1.17282357996619,0,0,0,0,0.682817985973652,0.584389590746494,0,0,1.35706502010013,2.23168676483849,0,183.893146359018,9.12676499534813,0,0,32.2520503311571,0,0,0,0,4.06396350764241,0,0,0,0,1.09087504213185,0,"HC vs. BC","HC"
"LOC111104604",173.372107130686,-24.0290669553002,4.62966950012963,-5.43172860828967,5.58107576777318e-08,1.65824716338804e-05,3.70782550513621e-05,0,0,168.34689933789,0,0,0,0,393.716262641369,0,984.657396741703,0,0,0,0,1098.33311967777,0,0,0,0,1317.98668120879,0,447.768505901144,0,0,2114.84169745389,0,0,0,1081.4095120657,0,378.459327642519,0,0,0,0,0,0,0,182.125250552859,0,0,0,548.474860797376,0,0,0,283.416746038429,0,0,0,0,252.208212173028,214.785311174196,1197.99577111483,0,0,0,0,0,0,0,407.945124760199,0,669.305943951118,1.95879183213399,0,286.168953511751,0,0,657.903606893844,982.727173749921,0,0,0,620.628457487594,0,0,0,0,0,3.98173715502853,617.782205692459,0,0,0,0,0,1192.77328949305,0,0,0,0,0,191.277231235862,"HC vs. BC","HC"
"LOC111104521",18.6290169634685,-18.1915538130442,2.95174989806308,-6.25800762978754,3.89926748953559e-10,1.55710748415455e-07,4.21936967777087e-07,0,0,3.82606589404296,0,4.65383106461902,0,0,0,0,0,0,125.80785849025,0,0,0,8.06521313497364,0,4.5328846400692,0,0,0,0,0,0,69.1562158450112,0,299.027208963653,0,0,0,23.1280700225984,9.13122288752189,0,2.24203402713656,0,0,9.09728965360335,0,0,0,6.18595583227432,0,1.96234297244142,1.55803447814378,0,0,0,0,2.06679854104731,0,0,0,0,0,1.92206899573223,0,46.0902839362724,5.31559977921876,0,0,0,7.5545393474111,0,8.18722867218493,201.755558709801,0,0,0,14.8791404197922,0,0,0,0,0,0,5.42826008040051,29.0119279429004,0,499.903698840049,4.56338249767407,0,1.36225403680807,308.41023129169,5.54883769137849,4.35475445514692,0,0,12.1918905229272,0,0,0,13.3307281887748,8.72700033705479,2.14918237343665,"HC vs. BC","HC"
"LOC144618975",13.1684028179907,-16.3624185351591,3.16208822480021,-5.32027190267665,1.03612280694009e-07,2.94956464803382e-05,5.5408740744042e-05,0,0,0,0,2.32691553230951,0,0,0,0,0,0,72.4994438757374,0,0,0,0,0,0,0,0,0,0,2.1322353356096,1.90480496152406,64.6945245001718,0,299.027208963653,0,0,0,6.30765546070866,2.28280572188047,0,0,0,0,5.30675229793529,0,2.16815774467689,0,0,0,0,0,0,0,0,2.34135679168655,0,1.3707853826881,0,0,0,0,0,1.98449909565666,0,0,0,3.90157150397777,0,0,0,15.3510537603467,69.5371100407565,1.93395094705311,0,0,4.25118297708349,0,0,2.73127194389461,0,0,4.16063770382745,8.14239012060077,29.0119279429004,0,302.62027483353,4.56338249767407,0,0,294.299959271809,0,0,0,0,4.06396350764241,0,2.14139357687831,9.27860997760804,2.22178803146247,15.2722505898459,0,"HC vs. BC","HC"
"LOC144619610",494.650972345744,-5.67529429079989,3.7211196965107,-4.04396239642305,5.25553521135633e-05,0.00994125976295507,0.0241940404705564,5.7022656478889,930.095682970018,2.86954942053222,17.6018034186219,1044.78507400697,0,0,0,852.327266348893,49.1826834254266,74.1426637315143,196.174965781407,16.9001582029441,0,2.66585708659653,800.472403646133,153.143492701347,2514.24001369172,25.7078135259618,3152.86695267532,0,0,95.9505901024321,90.4782356723928,0,2.99205467733825,3.37248731913894,795.100409904011,7.14138357024517,20.8705711878732,56.7688991463779,948.505777441336,1.86960576781604,608.712238367575,1333.02432780038,0.871013742648386,4.54864482680167,1297.73217491337,0,955.147020114837,934.079330673423,0,1.96234297244142,0.779017239071891,662.059378885987,1.87428314583099,2.03166126192422,1029.02630994624,9.30059343471291,4.11235614806429,948.436650403195,2.17420872562955,0,1139.44361162667,0.961034497866117,597.334227792654,482.301899761708,1356.36387699732,1190.66031621562,2.92617862798333,3873.56969271234,64.2135844529944,1866.6287158644,0,5.87637549640196,1388.57677998413,0,5005.57597493571,1308.30156119744,6.42902547453268,2.89605257490154,1263.21327405126,1029.11006930458,4162.5807333862,1.38687923460915,0,3.34753014725773,2.03784215962632,91.9465731795091,2.28169124883703,0.995434288757132,4.08676211042421,3.02362971854598,3.69922512758566,1837.706380072,0.822189461799483,4.98714975141071,2.03198175382121,0.934844906969255,32.1209036531747,0,2.22178803146247,67.6342526121746,31.1631444148314,"HC vs. BC","HC"
