"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144619155",25.3674047615113,-5.98329758498762,3.78253168595615,-4.20484894055261,2.61256587682962e-05,0.00640419409285451,0.0308792918654811,0.950377607981484,11.1086346500219,70.7822190397948,13.2013525639664,0,22.2294253115174,101.413099503383,0,2.21960225611691,0,11.1721822061186,2.13233658458051,0,123.607941601509,0,4.03260656748682,0,0,3.54590531392577,0,21.4237595093702,0,0,86.6686257493447,23.423879560407,4.18887654827355,33.7248731913894,1.05172011892065,973.268560859127,41.7411423757464,0,1.14140286094024,17.7612547942524,29.1464423527752,2.01515393469445,0,139.491774688585,2.12047740998917,0,0,9.27893374841148,11.8416860234732,0,1.55803447814378,0,1.87428314583099,0,1.17067839584328,11.3673919757602,0.685392691344048,0,0,33.6690487786577,27.8819807086461,55.7400008762348,25.7984882435365,0,40.7529316406771,101.628688266383,0,0,0,0,0,0,17.405558523478,1.17282357996619,0,0,10.0007062937175,3.86140343320205,1.3656359719473,2.92194795373247,0,0,92.2804213668087,1.11584338241924,46.8703696714053,0,0,20.9041200638998,19.752683533717,0,0,0,38.6429047045757,2.49357487570535,4.06396350764241,0,51.3934458450796,3.47947874160301,0,0,0,"CC vs. CB","CC"
"LOC111105159",67.6972859912409,1.49444764584057,2.87080732802085,3.55134183249459,0.000383272278810867,0.043391347548909,0.277470444845807,73.1790758145742,0,4.7825823675537,2.64027051279328,9.30766212923804,2.33993950647552,0,0,0,0,135.081839401252,3.19850487687077,0,44.9483424005489,0,100.81516418717,2.15695060142742,355.831444245433,57.6209613512937,1068.73728092437,10.2461458523075,2.15965517315665,734.555073117508,527.630974342164,5.57711418104929,0,2.24832487942596,0,0,0,25.2306218428346,164.362011975394,0,1.12101701356828,592.455256800167,0,0.758107471133612,8.48190963995667,0,0,50.518639296907,0,2.94351445866212,0,0,0,6.09498378577266,321.936558856901,82.6719416418926,2.05617807403214,0,77.1844097598492,1.16100168202268,0,16.337586463724,0,0,4.4296664826823,17.1164106553908,0.975392875994443,131.828804062814,1.25908989123518,246.39862737421,243.570052997502,26.4436897338088,4.83487736763278,7.03694147979714,330.546746462737,46.7630127479184,0,2.89605257490154,217.136119539621,60.1921278468888,0,1.38687923460915,111.27933164821,0,1.01892107981316,14.2829628240014,78.7183480848777,24.8858572189283,21.1149375705251,73.5749898179522,0,80.5629574202181,0,0,89.4071971681331,0,0,2.31965249440201,1.11089401573123,19.6357507583733,6.44754712030994,"CC vs. CB","CB"
"LOC111105539",6.61449734094822,-32.0696379127383,5.16034761353128,-6.45289045472494,1.09736684579664e-10,1.08895552927781e-07,3.81920797811014e-07,0,0,0,0,0,0,1.31705324030368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19690223030244,0,0,0,0,0,0,0,0,0,0,0,3.22955073367452,0,0.779017239071891,0,0,0,0,0,0,0,0,3.48300504606804,0,0,0,0,0,0,0,0,0,0,2.04680716804623,0,5.80185284115934,0,0,99.902799961462,0,0,0,0,0,0,0,0,0,32.1366663540032,4.56338249767407,0,0,0,0,314.631009384365,0,0,1.0159908769106,0,0,134.539844675317,0,0,16.1188678007749,"CC vs. CB","CC"
"LOC111117765",948.580791528362,1.63194452963394,0.576455135742891,4.92101407592124,8.60969374671769e-07,0.000367738282909048,0.0161053155831521,1030.20932705193,726.100755760525,996.690165398192,148.735238887355,850.487627059126,415.339262399404,306.873404990757,806.13145068523,1493.79231836668,937.48216978262,839.944971314553,1648.29617988074,326.384305294358,3296.96091508026,1174.31004664577,554.483403029437,986.804900153044,1491.31904658277,734.002399982634,3297.26605173309,420.091979944607,1529.75574765262,1157.80378723601,601.918367841603,311.202971302551,655.858385272545,581.191981331611,720.428281460645,532.543174809711,391.048596993834,491.997125935275,966.76822321638,254.266384422982,1363.15668849903,1350.15313624528,1067.86284848692,545.837379216201,922.407673345288,3153.58543963253,245.997012285349,438.171871452764,485.509126962403,1535.53337593541,313.1649301069,1358.45329151353,1129.25559536317,1875.22334475605,1857.86661420328,1683.40741168304,1143.92040185322,578.134910368132,789.237767403528,1219.05176612381,482.358266259578,638.126906583102,497.117023461992,1356.37121298173,524.472511549584,1857.1305561099,637.906940900366,2642.06894809223,502.376866602838,813.75192435394,777.786723857568,1672.80822464243,694.288389992067,338.946014610229,397.302115455212,279.515280743239,1674.40396803384,169.90175106089,499.139947746739,421.344894928222,551.449133485359,746.834467837027,1719.40138046686,1446.13302361534,190.538241925061,1746.09220523417,540.760825974377,1130.8133520281,996.488827925102,622.867722020472,1168.03033403517,1376.10240782643,948.806638916603,354.08763235016,785.360947851897,624.476397855462,619.933440506272,1457.90159273166,607.659026604984,376.351889535488,546.966914039627,"CC vs. CB","CB"
"LOC111105070",9.02939474538583,-18.2847312274178,2.79534340241697,-6.60992389553107,3.84517648383934e-11,4.51648021164295e-08,9.42055148154996e-08,0,0,59.3040213576659,0,0,0,0,0,0,1.00372823317197,0,0,0,0,0,4.03260656748682,0,0,1.77295265696288,0,0,10.7982758657832,0,396.199431997004,0,10.1729859029501,15.7382741559817,0,8.16158122313733,0,0,0,0,0,0,0,5.30675229793529,12.722864459935,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,23.9887441970417,4.21996284940242,0,0,0,17.2986209615901,0,0,0,0,0,13.1828804062814,2.51817978247037,0.909220027211106,10.2340358402312,0,0,39.8760017188505,2.15339899975724,0,0,0,0,0,16.298989167055,12.4819131114823,0,0,7.13244755869212,8.03416658850079,0,0,0,0,0,0,154.571618818303,0,1.0159908769106,4.67422453484627,1.07069678843916,1.159826247201,0,0,0,"CC vs. CB","CC"
"LOC144619485",19.9679271722894,-15.7491070411133,3.1832951238648,-5.18802130326085,2.12540294486957e-07,0.000103301912096333,0.00022467101498296,0,1.00987587727472,240.085634851196,0,0,0,109.315418945205,0,1.10980112805845,0,2.03130585565793,0,176.395401243229,0,0,4.03260656748682,0,37.0185578938985,54.9615323658494,0,0,0,0,0,0,2.3936437418706,29.2282234325375,0,0,0,353.228705799685,0,0,10.0891531221145,0,0,1.51621494226722,0,0,0,0,3.22955073367452,0,1.55803447814378,0,0,0,0,0,0,7.38493498645424,0,0,0,0,0,0,0,20.3257376532765,0,2.19714673438023,0,16.3659604897999,0,0,2.90092642057967,2.34564715993238,0,0,0,0,0,0,0,0,29.8554304422028,64.7189161803162,4.07568431925264,0,0,0,0,0,0,78.3855801926446,0,0,22.3517992920333,0,6.42418073063494,194.850809529769,0,0,397.59873908578,"CC vs. CB","CC"
"LOC111104947",6.13784090293195,-18.2737557102024,2.4581628124973,-7.49399820889959,6.68066358642103e-14,1.25551937667473e-10,2.23926058543471e-10,0,0,189.390261755127,0,0,0,3.29263310075919,0,0,0,0,0,11.6188587645241,0,0,0,4.31390120285484,6.04384618675894,0,4.59869742222188,0,0,0,4.76201240381015,0,0.598410935467651,0,0,0,0,1.05127591011811,0,0,2.24203402713656,0,0,1.51621494226722,0,0,0,0,0,0,18.6964137377254,1.49280581485003,3.74856629166197,0,2.34135679168655,0,0,0,0,2.32200336404536,0,0,0,6.58432627661035,3.54373318614584,0,0,8.78858693752092,12.5908989123518,0,2.04680716804623,0,0,5.86411789983095,0,0,0,0,4.09690791584191,0,0,1.38687923460915,44.7831456633042,84.8040970638626,10.1892107981316,75.8782400025075,20.5352212395333,0,0,16.1260251655786,0,0,17.2659786977891,0,0,0,0,0,4.44357606292493,0,0,"CC vs. CB","CC"
"LOC144619911",263.266791624448,-8.47289610409149,2.96826544568953,-4.56306424627715,5.04123796332256e-06,0.00164784686277213,0.00629271102835946,0,20.1975175454944,8.60864826159667,6.16063119651765,1.16345776615475,2162.10410398338,1587.70768118608,1.03882918902736,1.10980112805845,0,4.06261171131585,5.33084146145128,0,0,3.9987856298948,1756.20016014051,0,0,1.77295265696288,0.919739484444377,1481.96527736556,3.59942528859441,4.2644706712192,1.90480496152406,0,2.3936437418706,0,2.1034402378413,2111.80914148678,0,2.10255182023622,1.14140286094024,872.171090686184,3.36305104070484,3.02273090204167,0,1364.5934480405,2034.59807488461,1.08407887233844,0,1.03099263871239,3.22955073367452,0,3.11606895628756,0,4.68570786457746,0,0,0,1182.30239256848,2.10998142470121,1.08710436281478,0,1.85879871390974,0,2.97674864348498,3.29216313830517,1280.17361349518,1131.82265458771,0.975392875994443,2.19714673438023,3.77726967370555,0.909220027211106,4.09361433609246,0,0.966975473526556,0,2.15339899975724,2.12559148854174,2.85734465534786,0,1648.3226181404,4.09072713522546,0.90549939816972,0.693439617304575,816.953142100277,2.23168676483849,1.01892107981316,0,0,14.931514331357,0.681127018404034,1.00787657284866,1687.77146446096,0,2431.21423854107,1034.83357341772,1.0159908769106,0.934844906969255,0,2.31965249440201,5.55447007865616,4.3635001685274,0,"CC vs. CB","CC"
"LOC111104111",4.66875791234559,-17.0427806779894,6.621476184023,-4.39064901912281,1.13012832842771e-05,0.00335350711351338,0.00929745392752436,0,0,0,0,0,0,0,0,0,0,0,26.6542073072564,0,0,0,0,0,0.755480773344867,0,3.67895793777751,0,0,0,0,15.615919706938,0,186.610964992355,0,0,0,10.5127591011811,0,0,0,0,0,2.27432241340084,0,0,0,0,0,0,1.55803447814378,0,0,0,1.17067839584328,0,0,0,0,0,0,0,0,4.93824470745776,0,0,0,0,2.51817978247037,0,0,69.5371100407565,0,0,0,0,0,0,0.682817985973652,0,0,0,0,0,0,62.4879623550062,0,0,0,41.3229394867951,0,0,0,0,2.03198175382121,0,0,0,0,4.3635001685274,2.14918237343665,"CC vs. CB","CC"
"LOC144620074",7.01575849645607,-17.7812159320884,8.35516958802151,-4.26265929629971,2.02008396627764e-05,0.00532207168311838,0.0183437409770679,85.5339847183335,93.9184565865491,0,0,0,31.5891833374195,0,0,0,0,0,0,0,0,0,43.3505206004833,0,0,75.3504879209226,0,82.900634623215,0,0,0,97.0417867502577,0,0,0,0,0,0,0,0,1.12101701356828,0,0,0,43.4697869047779,0,0,0,0,0,0,0,15.9314067395634,0,0,1.03339927052366,8.22471229612858,0,0,0,0,0,0,0,53.1559977921876,0,0,0,0,0,7.16382508816181,0,0,0,0,0,0,9.65350858300512,0,0,0,0,0,10.0425904417732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CC vs. CB","CC"
