"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105184",77.0148546199198,-1.31257830668783,1.67135606832981,-3.60172611551577,0.000316111304280913,0.0390078636080894,0.150183374111205,138.755130765297,49.4839179864613,112.868943874267,23.7624346151395,24.4326130892498,22.2294253115174,52.0236029919953,100.766431335654,31.0744315856367,312.159480516483,17.2660997730924,119.410848736509,82.3882712393525,170.803701122086,6.66464271649133,81.6602829916081,21.5695060142742,19.6425001069666,82.4422985487741,0,86.6265058422359,38.8737931168196,52.2397657224353,28.5720744228609,91.4646725692084,778.532627043413,38.2215229502413,64.1549272541596,168.332612727207,46.1349468363512,56.7688991463779,22.8280572188047,29.9136922850567,308.279678731277,41.3106556612362,17.4202748529677,27.29186896081,91.1805286295342,26.0178929361227,60.2268547319302,94.8513227615396,13.9947198459229,4.90585743110354,105.946344513777,44.0377715380758,35.6113797707887,71.1081441673477,29.2669598960819,51.6699635261828,39.7527760979548,182.513393236655,42.3970701497763,154.413223709016,6.5057954986841,28.8310349359835,88.3102097567212,27.983386675594,114.285395253203,22.4652889852004,8.77853588394999,299.910529242901,295.886124440268,30.0042608979665,108.48077990645,41.1346284748137,69.622234093912,63.3324733181743,77.5223639912608,12.7535489312505,0,4.82675429150256,20.4845395792096,27.4663107650852,141.257906114476,0,18.9989102814018,26.7802411780619,46.8703696714053,25.8878701185026,14.8309931174407,146.328840447298,6.13014316563631,28.2205440397625,17.5713193560319,20.6850836619479,38.6429047045757,229.408888564892,1.0159908769106,419.745363229195,42.8278715375663,89.3066210344773,63.3209588966803,62.1798774015154,36.536100348423,"CH vs. HH","CH"
"LOC144622036",59.1558261078273,-19.4941735058108,3.8460774898841,-5.29241738211877,1.20710007159868e-07,3.65332013248476e-05,6.10607940465312e-05,0,205.004803086768,0,0,202.441651310927,0,772.451725438107,0,0,0,0,191.910292612246,12.6751186522081,0,0,0,0,117.099519868454,0,0,1.86293560951045,0,0,1.90480496152406,85.8875583881591,0,0,0,0,49.4303001818049,16.8204145618898,0,0,276.891202351365,20.1515393469445,9.58115116913225,0,0,2.16815774467689,0,0,0,45.1338883661526,0,0,0,37.5857333455981,161.553618626372,0,0,1094.02536870758,0,0,0,0,137.922687148138,851.024171251888,0,0,0,0,0,0,0,0,51.2497000969075,0,0,303.959582861469,0,128.391664153968,0,226.158771618893,0,0,62.4249909246059,17.8534941187079,0,0,0,0,0,0,0,400.637409873517,0,0,0,0.934844906969255,0,18.5572199552161,0,0,56.9533328960712,"CH vs. HH","CH"
"LOC144619234",20.0045612801197,-15.9623629938894,3.38538853621823,-5.03562891392016,4.76282460121732e-07,0.000129189370692642,0.000226270949478623,0,19.1876416682197,0.956516473510741,1.76018034186219,17.4518664923213,0,0.658526620151839,0,0,0,0,84.2272950909303,35.9128361812562,0,0,0,0,21.9089424270012,0,0,0,0,1.0661176678048,0.95240248076203,3.34626850862958,0,0,0,0,4.39380446060488,252.306218428346,0,0,17.9362722170925,1.00757696734722,7.83912368383548,0,0,0,0,0,5.3825845561242,0,0,0,0,1.01583063096211,9.36542716674621,0,0,75.9593312892436,0,0,0,0,50.6047269392447,59.2589364894931,0,0,0,3.29572010157034,0,0,0,9.79395916066994,0,0,0,23.3815063739592,0,125.495611579067,0,23.3755836298597,0,0,0,0,0,0,0,0,0,0,0,17.4190178205877,0,0,0,0,0,5.79913123600502,0,0,999.369803648041,"CH vs. HH","CH"
"LOC144622046",14.7602029542618,20.8750589898462,3.39273116029198,6.29887928406971,2.99805355125709e-10,1.34687555790225e-07,2.91242221913736e-07,0,0,0,0,0,0,0,0,0,0,22.3443644122372,6.39700975374154,0,0,0,27.220094330536,0,78.5700004278662,0,293.396895537756,0,10.0783908080643,189.768944869255,102.859467922299,1.11542283620986,0,0,0,0,0,0,28.5350715235059,0,0,105.795581571458,0,0,0,0,0,0,0,0,0,0,0,0,69.0700253547533,10.3339927052366,0,0,0,0,0,1.92206899573223,0,0,0,0,0,18.675747242232,0,83.6482425034218,104.387165570358,11.7527509928039,0,0,62.4485709929601,13.8163446755213,0,0,66.9161626254179,3.50633754447896,0,0,27.1413004020026,0,0,0,13.6901474930222,0.995434288757132,0,4.03150629139464,0,18.5077064343744,0,0,5.07995438455302,0,0,0,0,5.45437521065925,0,"CH vs. HH","HH"
"LOC111102792",8.13932128794636,-21.7785080219373,3.01480961953051,-7.35225730828324,1.94887176767944e-13,1.6009703161234e-10,1.64018340950417e-10,1.90075521596297,0,14.3477471026611,3.52036068372437,2.32691553230951,0,0,0,0,0,0,45.845236568481,10.5625988768401,0,0,4.03260656748682,0,3.02192309337947,0,0,0,0,3.1983530034144,1.90480496152406,44.6169134483943,0,189.983452311494,0,0,0,2.10255182023622,0,0,3.36305104070484,0,0,25.0175465474092,0,0,0,0,0,1.96234297244142,4.67410343443134,0,0,0,10.5361055625895,0,0,2.10998142470121,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,36.2376488944788,0,0,0,4.25118297708349,0,0,0,0,0,0,0,6.69506029451547,0,220.493238595522,0,3.98173715502853,0,97.76402756632,0,4.35475445514692,0,0,1.0159908769106,0,0,2.31965249440201,0,10.9087504213185,0,"CH vs. HH","CH"
"LOC111105539",6.61449734094822,-31.137851171301,5.26612521761759,-6.25178726771592,4.05781877497322e-10,1.79492931412354e-07,6.91033341879917e-07,0,0,0,0,0,0,1.31705324030368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19690223030244,0,0,0,0,0,0,0,0,0,0,0,3.22955073367452,0,0.779017239071891,0,0,0,0,0,0,0,0,3.48300504606804,0,0,0,0,0,0,0,0,0,0,2.04680716804623,0,5.80185284115934,0,0,99.902799961462,0,0,0,0,0,0,0,0,0,32.1366663540032,4.56338249767407,0,0,0,0,314.631009384365,0,0,1.0159908769106,0,0,134.539844675317,0,0,16.1188678007749,"CH vs. HH","CH"
"LOC144619421",141.53652251682,-23.9837387654571,3.82449907735033,-6.45272547090207,1.09856261117914e-10,5.64033432082548e-08,6.75506142432978e-08,0,0,0,340.594896150333,0,0,0,0,0,856.180182895691,0,1.06616829229026,479.541989008539,0,0,0,648.163655728939,0.755480773344867,448.55702221161,0,0,639.977816312086,0,0,303.395011449082,0,8.99329951770384,898.168981558234,0,228.477831951454,0,0,0,0,0,0,4.54864482680167,4.24095481997833,801.13428665811,0,0,0,0,530.510739807958,0,460.136512301507,0,0,0,0,0,733.795444899974,639.711926794497,0,0,0,312.755498138992,0,0,0,0,956.908317338739,0,567.988989132829,11.7527509928039,0,0,0,2.12559148854174,0,0,0,0,0,0,0,1823.28808687305,0,0,0,0,0,0,0,0,727.637673692543,0,0,0,566.398601084314,0,0,307.626761881181,0,"CH vs. HH","CH"
"LOC111103782",143.788400107926,-4.00104918245734,3.16777339111604,-3.80205151845448,0.000143502876719729,0.0210509934257431,0.0538768332661637,16.1564193356852,0,835.995397848388,12.3212623930353,0,8.18978827266431,40.828650449414,0,6.65880676835072,3.01118469951591,55.860911030593,18.1248609689344,1.05625988768401,0,10.6634283463861,1734.02082401933,3.23542590214113,104.256346721592,5.31885797088865,355.01944099553,0,5.75908046175105,116.206825790723,224.766985459839,51.3094504656535,2536.0655445119,1882.97208651924,18.9309621405717,0,5.4922555757561,8.41020728094488,89.0294231533384,7.47842307126418,1.12101701356828,238.795741261292,0.871013742648386,17.4364718360731,1838.45391446061,6.50447323403067,0,12.3719116645486,5.3825845561242,212.914212509894,218.124826940129,0,3.74856629166197,66.0289910125371,238.818392752028,81.6385423713689,15.7640319009131,1.05499071235061,8.69683490251821,0,0,22.1037934509207,0.992249547828328,9.87648941491553,0,0,0,62.6186819298365,12.5908989123518,38.1872411428665,73.6850580496643,17.6291264892059,0,1120.04651886771,128.127240485556,64.8305404005232,3.57168081918482,0,90.8147921344957,2.33755836298597,6.33849578718804,3.46719808652287,77.3527061457073,29.0119279429004,0,183.000461182518,38.7887512302296,1.99086857751426,18.3904294969089,9.07088915563794,1.84961256379283,21.7737722757346,0,1.24678743785268,80.2632792759377,25.2408124881699,2.14139357687831,0,228.844167240634,1.09087504213185,13.9696854273382,"CH vs. HH","CH"
"LOC111103547",302.049308201123,-2.1426042754882,2.38870982018383,-3.62422355610953,0.00028983083439404,0.0362587775039718,0.109359085929836,672.867346450891,601.886022855734,136.781855712036,134.653796152457,109.365030018547,128.696672856153,1263.05405745123,66.4850680977509,16.6470169208768,23.0857493629553,48.7513405357902,118.344680444218,270.402531247106,89.8966848010977,3.9987856298948,19.1548811955624,45.2959626299758,85.36932738797,5.31885797088865,42.3080162844413,0,4.31931034631329,50.1075303868256,0.95240248076203,743.987031751976,1.1968218709353,223.708325502883,552.153062433341,311.160284132111,8302.09352831292,28.384449573189,255.674240850613,14.9568461425284,133.401024614625,161.212314775556,415.47355524328,17.4364718360731,55.1324126597183,46.6153915105531,1755.90970838163,34.0227570775088,569.477446037941,99.0983201082915,33.4977412800913,293.336342618031,14.9942651666479,9.14247567865899,76.0940957298129,0,39.7527760979548,741.658470782476,133.713836626218,70.8211026033835,52.0463639894728,59.5841388676993,96.2482061393478,256.788724787804,59.3575308679428,96.279809936573,19.5078575198889,145.011684469095,16.3681685860574,116.380163483022,22.5148788485085,40.1552325587467,929.26343005902,51.6042375185124,31.22428549648,1915.15793117611,9.28637012988053,1509.808742382,71.6958885272334,28.0507003558317,31.6924789359402,0.693439617304575,2065.45296059239,42.4020485319313,1.01892107981316,19.6390738830019,302.324090470907,3.98173715502853,116.47272014709,48.3780754967357,82.307759088781,230.801986122787,16.4437892359897,37.4036231355803,24.3837810458545,3.73937962787702,26.7674197109789,334.029959193889,33.326820471937,20.7266258005051,352.46590924361,"CH vs. HH","CH"
"LOC144619466",3.19122519030149,-18.7236274694143,4.33140238285314,-4.82989130634679,1.36607601256349e-06,0.00034154276098457,0.00065560572052945,0,0,0,0,0,0,0,0,0,0,0,2.13233658458051,0,0,0,0,0,0,0,1.83947896888875,0,0,0,0,10.0388055258887,0,26.9798985531115,0,0,0,4.20510364047244,0,0,0,1.00757696734722,0,0,0,0,0,0,0,0,1.55803447814378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04680716804623,13.7115428249379,0,1.17282357996619,0,0,0,0,0.682817985973652,0.584389590746494,0,0,1.35706502010013,2.23168676483849,0,183.893146359018,9.12676499534813,0,0,32.2520503311571,0,0,0,0,4.06396350764241,0,0,0,0,1.09087504213185,0,"CH vs. HH","CH"
