"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111102506",934.478388626946,1.33971028513654,1.46724226260145,0.000677079235723115,0.0471611821646247,816.849860291739,288.756183759292,10689.9084983811,123.333672285511,1464.83291513221,83.6958393866396,114.567569880069,666.553134545384,2337.77882113844,110.773277248758,128.111754240808,475.299569346483,3408.67534910873,318.181123852715,165.30474397539,2287.13076656024,277.986731500762,112.768951567365,664.851541493977,75.0017703703711,1591.46140723783,455.606828339497,279.185449506399,308.032941049529,661.050252613409,229.901849728828,238.37456414375,1442.20676274234,174.230820208784,737.675532393768,94.703914871071,451.256707304941,906.995932845972,6559.95622050979,860.083219587186,157.92745188588,1781.11121880282,112.950750350671,119.852854120941,133.659783764582,3497.23788902013,134.034988962157,2332.59663910688,338.644296703907,312.948277608976,831.566838054681,911.228707944559,851.973843337468,68.21467573583,200.831590145876,3274.31523380164,55.4600451242075,486.505598667803,123.468664816202,1139.71497777877,1177.7807600176,1624.30227746856,65.9304087808365,3988.41119656226,275.555083448584,587.190916373033,110.868882874276,1883.65943729128,1577.08174593417,331.44789962518,732.03543657674,81.2876558262597,3588.76871222134,39.295862317817,482.169717447501,160.184445022669,92.6177591454525,166.284562214335,2248.34086087983,2186.01592002357,147.940115889168,512.057103398134,283.385295362122,438.341301795411,2189.07378746383,465.573925742409,359.964905414204,111.241823133701,228.728725148812,273.777247966206,1128.73514183575,178.303259026629,278.213941432625,791.966282547602,233.244570486341,284.100061512353,202.80592258932,"CC vs. BB","BB"
"LOC144622036",59.1519538283439,22.5641946111633,3.73790128375168,4.34918869867411e-10,1.44798989074523e-07,0,203.533004524778,0,0,201.16884548777,0,767.930054110406,0,0,0,0,190.968576969569,12.5781378195894,0,0,0,116.453901034103,0,0,1.85189556470052,0,0,1.89278270851796,0,0,0,0,49.0917581871446,16.6927731936559,0,0,275.210880751409,20.021985272538,9.53104192651007,0,0,2.15630898160147,0,0,0,44.8238904694695,0,0,0,37.3518911984907,160.498214897267,0,0,1088.28644212393,0,0,0,0,137.297155275616,846.598625735093,0,0,0,0,0,0,0,0,50.9045874144404,0,0,301.92557878325,0,127.471943616333,0,224.606450086134,0,0,62.0046040770217,17.7364374849783,0,0,0,0,0,0,0,397.446513720407,0,0,0,0.928662807430361,0,18.4446295789834,0,0,56.5721784064944,"CC vs. BB","BB"
"LOC144619234",20.2683200946651,20.9632072272725,3.22786679007492,2.79123487561831e-11,1.08901773194045e-08,0,19.0498871230088,0.950045191822,1.74941379128385,17.342141852394,0,0.654671827886109,0,0,0,0,83.8139865588663,35.6380571555033,0,0,0,21.7881492257354,0,0,0,0,1.05955076358023,0.946391354258981,0,0,0,0,4.3637118388573,250.391597904839,0,0,17.8274254737755,1.0010992636269,7.79812521259915,0,0,0,0,0,5.3463913505833,0,0,0,0,1.00951057293218,9.30424434187056,0,0,75.560871584304,0,0,0,0,50.3752152450103,58.9507747126951,0,0,0,3.27187136715526,0,0,0,9.72964585377727,0,0,0,23.2250445217885,0,124.596636617468,0,23.2151369598072,0,0,0,0,0,0,0,0,0,0,0,17.2802832052351,0,0,0,0,0,5.76394674343233,0,0,992.68162109509,"CC vs. BB","BB"
"LOC144622046",14.9732307861746,20.4254120302097,3.4531081116376,1.10227533070375e-09,3.52869423175291e-07,0,0,0,0,0,0,0,0,0,0,22.1925873488014,6.36561923231896,0,0,27.0498671959729,0,78.1368110164304,0,291.329178209586,0,10.022698920976,188.60003591728,102.21026625997,0,0,0,0,0,0,28.3721358612988,0,0,105.115422680825,0,0,0,0,0,0,0,0,0,0,0,0,68.6188020212954,10.2847483966655,0,0,0,0,0,1.91161335429392,0,0,0,0,0,18.5406044138798,0,83.2381576368552,103.748862873175,11.6755750245327,0,0,62.0731802945189,13.7238899446932,0,0,66.4593984667442,3.48227054397107,0,0,26.9585235117486,0,0,0,13.6024941773819,0.989483751231176,0,4.00493699563363,0,18.3603009055623,0,0,5.04801047332626,0,0,0,0,5.42175689909071,0,"CC vs. BB","BB"
"LOC111105159",68.182511335172,7.60258144483544,3.28201827385257,2.35123780316581e-05,0.00416385871950711,72.7138025924438,0,4.75022595911,2.62412068692577,9.24914232127678,2.32488442740666,0,0,0,0,134.164278063208,3.18280961615948,0,0,100.184693318418,2.14552604742987,353.869596045564,57.2654832178023,1061.20534507692,10.1854256058529,2.147721197352,730.030476106776,524.300810259475,0,2.2332778804507,0,0,0,25.0391597904839,163.423502561081,0,1.11421409211097,588.646367012618,0,0.753797738463791,8.42279743391361,0,0,50.1947850591974,0,2.92329720453062,0,0,0,6.05706343759309,319.8333992518,82.2779871733236,2.04473722400992,0,76.6615209696623,1.15414706866466,0,16.2487135114983,0,0,4.39470432842389,17.0195392531087,0.969564835012302,130.87485468621,1.25252310658447,245.190659995519,242.080680037409,26.2700438051986,4.80231956740004,7.00242041461648,328.559764662367,46.450089043577,0,2.87530699886466,215.653966453313,59.7789776715034,0,1.37995487314801,110.529946398169,0,1.0132884649943,14.1745910975262,78.2143415199457,24.7370937807794,21.0031839713335,73.0901001703137,0,79.9213098242123,0,0,88.8449843305423,0,0,2.30557869737293,1.1054245046746,19.5183248367266,6.4043975554522,"CC vs. BB","BB"
"LOC144622060",65.280372874253,22.0766677783896,3.24932821072869,3.3201292656818e-12,1.50733868661954e-09,2.8330052958095,18.0472614849557,330.615726754056,0,0,8.13709549592329,0,121.754287734296,0,0,0,40.3155884713534,1.04817815163245,0,0,0,26.296042168991,0,0,1.85189556470052,0,0,0,0,39.0823629078873,0,0,0,51.1216179055712,0,0,443.457208660164,504.554028867958,264.269798871416,0,0,0,0,0,189.262253810649,3069.46206475715,0,0,0,142.340990783438,1.16303054273382,0,0,2.098913099564,0,0,0,0.955806677146961,69.1424522970729,0,0,22.3381452697052,0,5.45311894525876,0,0,0,1.94592917075545,0,0,0,0,1.41988870908856,0,0,0,0,0,0,287.108581788086,0,0,0,0,0,0,0,120.961982436646,0,2.47762215354032,0,0,0,77.2368863619932,0,0,159.04253929373,"CC vs. BB","BB"
"LOC111138240",15.4424170168498,16.7138956772212,2.60444036061838,5.72845848993894e-11,2.10352365432022e-08,0,0,0,80.4730343990569,1.1561427901596,0,0.654671827886109,0,0,0,0,2.12187307743965,0,0,0,129.804325869507,1.5026309810852,0.881007434120036,0.913257611942276,0,0.715907065784001,129.265193156788,37.8556541703592,0.594658187354303,0,1.04500840785831,0,40.36433450943,101.199937486539,0,0,1.11421409211097,2.0021985272538,0,0,0,0,0,0,3.20783481034998,2.92329720453062,0,0,0,85.8083986992354,2.32606108546764,0,0,155.319569367736,20.5150549073744,1.15414706866466,0,0,0,55.6757316731009,0,1.06372120331929,0,2.18124757810351,0,0,0,0.972964585377727,0,1.16707006910275,0,58.0626113044712,17.0386645090628,1.91687133257644,0.678157127211675,0.580378423995179,0,0,0,0,0,1.77182388719077,0,0,0,1.00123424890841,0,0,4.9013298246174,0,1.00960209466525,304.601400837159,0,2.30557869737293,0,107.350786601996,55.504778813919,"CC vs. BB","BB"
"LOC111117765",924.237142308226,1.00544928027779,0.73326281715259,0.000128334118817451,0.0152595378422465,1023.65924688583,720.887833760176,989.947089878524,147.825465363485,845.140379606666,412.666985864681,305.077071794927,800.68921425266,1484.96946354523,932.092260813876,834.239533520852,1640.20788886085,323.887048854427,1167.98987547601,551.015813251299,981.578166699166,1483.09677833109,729.47415545139,3274.02853881306,417.602449839968,1521.302514791,1150.67212924813,598.119335891676,651.745373340317,577.302332096507,715.830759382942,529.495840353352,388.370353658299,488.263615914436,961.247962980803,252.543772989523,1354.88433600693,1341.47301326005,1062.27794562739,542.73437169393,915.979220938105,3136.35141373934,244.445653743989,435.362931635895,482.244499822613,1524.98670836347,311.457026374491,1351.15400482958,1121.06147672584,1863.55651763281,1845.72947131857,1675.3855138168,1137.55547562419,575.102189280536,783.891045408097,1211.85442209789,479.729390324395,634.655633625582,494.862408583336,1349.3177323128,520.332992485388,1846.62000896229,634.095402098045,2622.95021266946,499.756719527204,809.76251179332,773.030742976601,1661.82351182516,689.613089878645,337.283249970694,394.913853942715,277.644850419562,1664.1095670518,168.684677266726,495.732859991735,418.452843700524,547.613740966802,743.105699190203,1707.82246446927,1436.65143628324,189.484942953934,1732.84376167258,537.298520006584,1124.05354139862,991.214779034225,618.762765825396,1162.75108833284,1365.14237321357,942.689102934746,351.822345802726,780.422419176241,620.346755363481,614.831572860647,1449.05621129889,604.667204057008,374.101226037259,543.306392620861,"CC vs. BB","BB"
"LOC144619407",11.9438706104724,20.5478967077157,3.90621918946911,3.78329634787563e-08,1.04965455340505e-05,5.666010591619,0,9.50045191822,0,0,0,0,0,0,3.99182981076607,0,126.251448107659,0,0,0,0,0,0,2.73977283582683,0,0,4.2382030543209,0,0,22.3327788045071,0,0,0,0,3.40465630335585,0,0,4.0043970545076,0,0,0,0,0,0,0,0.974432401510207,0,0,0,0,0,3.08542451899964,0,0,23.7542741032757,2.30829413732932,0,0,0,0,0,0,0,2.18124757810351,7.51513863950682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.502258359213,1.13354118144849,0,0,24.0296219738018,0,0,0,0,0,0,0,9.22231478949172,0,0,0,"CC vs. BB","BB"
"LOC144619423",37.8365893557028,22.0199950044181,2.83024089069221,2.28535471155528e-15,1.7292517317435e-12,0,4.01050255221238,33.25158171377,5.24824137385154,31.2158553343091,261.549498083249,79.8699630021053,0,0,1.99591490538303,3.02626191120019,4.24374615487931,18.8672067293841,0,8.01477546547344,21.4552604742987,215.627545785726,0,0,0.925947782350261,0,19.0719137444441,4.7319567712949,0,4.46655576090141,0,0,27.2731989928581,50.0783195809678,0,0,41.2259214081057,14.0153896907766,31.1925008503966,0,0,0,0,1.02438336855505,38.4940177241997,3.89772960604083,0,0,0,10.0951057293218,0,0,0,146.92391696948,0,8.07902948065263,0,0,0,104.801377267014,0,87.225138672182,0,0,0,98.6191215480132,0,0,0.960463913480007,0,0,196.357194593303,0,107.34479462428,0,26.6974075037782,0,0,16.1751141070491,0,0,0,0,0,0,0,0,442.807257134149,0,0,0,0,0,346.989593954626,0,20.6026762165447,942.513840244048,"CC vs. BB","BB"
