"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H1_O07","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC144618596",118.247080164013,1.01715371086892,1.35307393892415,2.06585219945808e-05,0.0217731431585611,113.32021183238,45.1181537123893,167.207953760672,154.82312052862,20.8105702228728,374.306392812472,318.170508352649,125.881551725289,176.519401312955,253.481192983645,102.892904980806,183.54202119853,208.587452174857,113.951366615555,145.833015099161,179.330601039968,63.2930183991812,40.5710364893004,214.965813925289,97.7185644778235,292.599499222682,51.5453087364481,77.3472057413565,41.6412195873952,46.6049510330762,13.677138309149,202.111648180789,54.3404372086321,26.3733560329256,113.45650781029,59.4680045023992,19.2930523856832,75.2060500446741,314.208373975292,41.0450698087029,53.7204181312386,27.8905163231603,177.931595791425,348.243900528638,46.3603826066187,137.267371386376,136.867618574932,45.7983228709797,30.9907488929842,37.8620078276419,143.272587067037,55.52308151127,381.474018016693,66.8508645783254,54.5263259735979,79.758697783432,55.0667263303208,94.6400596305022,46.216704270173,49.701947211642,29.6324795558884,22.9253012771592,461.443954484508,54.2497813692839,48.4782417506151,150.506082889142,179.110804241579,75.0952943897715,120.023194304262,28.2159729759541,39.3790204526803,85.1961150445005,115.58454261738,27.4477798893864,75.9640459362381,125.555072283757,70.5283412300142,96.9231968071949,60.2465035217992,110.396389851841,78.1797181840708,69.8372225971019,47.624557854732,173.638740944696,130.357235866576,364.130020453073,63.687073977592,201.24808403059,43.2694387582291,44.2807257134149,446.837902344286,132.552785214407,112.065832507843,119.797502158517,218.748366164583,34.583680460594,90.6448093833174,71.5671910679974,96.0659633317829,"CC vs. BC","BC"
"LOC144619712",77.7994855497043,-21.1226280447868,2.38483725647533,2.42972185657528e-19,1.12675921376822e-15,0,201.527753248672,0,0,320.251552874209,0,0,0,268.08884074405,0.997957452691516,3.02626191120019,48.8030807811121,0,0,68.9392435014216,167.308437841758,0,235.161748539834,0,0.913257611942276,0,98.7951750781921,0,0,0,9.51453099766885,0,154.66124436303,0,0,57.3814078531922,215.628232545871,0,368.80486448873,260.285808542994,0,0,172.667347395229,0,159.31113295729,132.145454543601,3.20783481034998,36.0539988558777,0,230.884008517581,0,16.1521691669149,188.410947922879,155.299700789648,0,119.638046675148,0,0,106.298419821398,78.3761475260508,645.000304999837,194.865060855853,181.940759196749,104.244677925291,46.5391120805905,145.052963943883,3.75756931975341,230.71445866737,0,152.755439904303,407.236699315523,0,11.7724997110295,174.187833913414,0.709944354544282,0,177.677167329459,326.17267428529,0,1.37995487314801,0,0,96.2624041744584,0,0,1.97896750246235,0,0,0,307.80504459325,0,0,64.6145340585762,141.156746729415,0,0,18.7922165794682,0,0,"CC vs. BC","CC"
"LOC111102724",34.4800534860927,-4.17395425583259,2.58163995801527,7.06341103679952e-06,0.00818896558551352,12.2763562818412,9.02363074247786,7.600361534576,6.99765516513539,5.78071395079799,1.16244221370333,1.96401548365833,427.171823067785,13.2389550984716,11.9754894322982,10.0875397040006,0,0,8.93736208749449,369.885556478781,3.00554079955254,10.7276302371494,9.0157858865112,181.487531428727,0.913257611942276,0,0,11.6550583993825,8.51752218833083,0,17.8397456206291,4.46655576090141,6.27005044714986,5.07179923710107,1.09092795971432,5.21649162301747,2.2697708689039,318.465125497817,20.0558536579974,2.0021985272538,1.73291671391092,5.27658416924654,1.0528496792392,12.9378538896088,238.545241412238,26.6339675824312,7.48494789081661,40.9261608634287,6.19814977859684,6.68153079311328,20.4675124381482,25.2377643233045,8.14121379913674,10.2847483966655,241.278992433171,12.593478597384,14.036616515572,0,2.77300225621038,25.8067802829679,3.95099727411845,19.650258237565,0.878940865684777,252.101925186672,1.9391296700246,18.5406044138798,278.060129661753,2.71428774902789,33.5658085766156,4.86482292688863,13.4464947887201,5.83535034551373,8.56181797165778,5.27841920949739,11.3591096727085,0,2.7126285088467,3.48227054397107,12.5888216314207,18.6293907874981,1.34792617558743,7.75969139967799,3.0398653949829,12.4027672103354,10.2018706330364,9.89483751231176,10.8403530174625,13.0160452358093,104.030778291062,3.24005310098158,35.1261970764247,64.4181759920484,21.2016439879703,14.8586049188858,8.49508218114884,1.15278934868647,9.94882054207142,7.59045965872699,2.13479918515073,"CC vs. BC","CC"
"LOC144623030",584.627644889003,-6.6581314154527,3.2013363912961,4.93958303621545e-06,0.00636300621448486,8.4990158874285,1553.06711334424,0,1.74941379128385,1942.31988746812,1.16244221370333,5.89204645097498,2160.62269928488,1931.78419811865,15.9673192430643,3.02626191120019,11.6703019259181,5.24089075816225,0,54.3559419915055,1572.89968509916,2.14552604742987,1534.18623168799,10.5720892094404,5.47954567165366,0.925947782350261,4.29544239470401,170.587672936416,30.2845233362874,814.477001387569,10.1091891850232,2.2332778804507,1960.43577314219,1.01435984742021,42.5461904288586,6.25978994762097,2345.80819301218,6.49928827546566,1772.71462054855,1877.06111930044,7.79812521259915,4.52278643078275,2187.82163345906,11.8596993988081,3600.09443841579,1569.35532062633,6.41566962069995,104.264266961592,7.74768722324605,1757.98499089914,1225.25972186551,26.2472748962367,1778.27369984001,4.11389935866618,47.0289561522282,1224.71579359559,1.07973973196708,4.61658827465864,1432.71783237536,148.150034957779,1188.26243019112,1308.37969431787,1240.18556148122,1.06372120331929,2.9086945050369,14.1781092576728,10.0201848526758,1829.4299428448,5.08572857221448,1.94592917075545,1984.3184452497,1.16707006910275,1452.29837344245,1038.79290042909,1586.01568805193,3.83374266515287,1313.59035540902,1066.15516487914,7.19361236081184,1450.33257167856,0,16.6279101421671,18.2391923698974,0.885911943595387,0,2.96845125369353,14.2279633354195,915.128103502284,3.68250542623227,896.414691271571,0.816888304102899,1.23881107677016,29.2784607452923,1416.2107813313,8.49508218114884,0,1102.10823116058,5.42175689909071,2.13479918515073,"CC vs. BC","CC"
"LOC144623854",178.665868844794,-2.93433747987703,3.0184164748381,2.46427104252433e-05,0.0238079386095882,545.82568699263,6.01575382831857,1305.36209356343,3.49882758256769,2.3122855803192,0,9.16540559040553,56.749879876155,12.1357088402656,12.9734468849897,214.864595695213,63.6561923231896,0,172.044220184269,5.30301873087858,266.491284226992,13.9459193082942,680.691834431595,17.6201486824007,1708.704991944,0,7.15907065784001,727.911374579615,604.744075371489,65.4688597845594,13.677138309149,42.4322797285634,0,60.8615908452129,2.18185591942865,220.135946491337,166.828158864437,3.71387901455181,8.91371273688773,226.24843357968,71.9160436273033,7.53797738463791,2.1056993584784,34.5009437056236,38.7741381800811,8.19506694844038,19.2470088620999,31.1818368483266,680.246938201003,7.42392310345921,5.58204884676769,60.5706343759309,590.81951570878,335.282797731294,12.9500024187295,35.681522692588,18.3555754434403,6.92488241198797,9.24334085403459,7.64645341717569,38.5222234226549,0,1.75788173136955,21.2744240663859,24.2391208753075,297.740294411128,0,165.571552690701,264.457885755153,70.0534501471963,6.72324739436005,7.00242041461648,466.619079455349,31.6705152569843,39.0469394999355,81.4670316344986,128.171697043007,100.405467351166,8.09281390591332,8.96970667546206,18.870966458224,314.821765358364,1.0132884649943,4524.35229594164,69.1460120683578,42.5478013029406,6.77522063591404,104.128361886474,15.6506480614871,181.442973654969,4.9013298246174,80.5227199900605,135.286680685144,128.15546742539,4.24754109057442,87.6119905001714,16.581367570119,56.3862717505434,8.53919674060293,"CC vs. BC","CC"
"LOC144625494",1635.3795443789,-26.3982038002544,3.1357640839163,5.43670806885484e-18,1.8008707141791e-14,0,354.929475870796,0,0,373.43412122155,0,0,0,1423.1876730857,7009.65314770521,0,11422.0427758577,0,0,0,750.383352954951,16560.2427970875,395.191948025407,0,0,0,1526.31386425149,3931.99288364622,5436.07193886359,0,7426.6861018679,0,370.9779847897,10802.9323750253,0,3856.03060773452,256.484108186141,0,910.312913254659,1845.02594286438,3.46583342782184,0,692.775088939395,0,109.579086161099,293.998026775299,5761.27131938856,0,0,365.999409000539,0,12953.0301612928,817.610471541875,0,2555.9215300124,202.545114107926,0,0,206.126501044971,976.834424044194,358.55300262625,5233.51877727149,269.834845765227,0,5348.11962992786,5212.09108787833,0,427.047939180388,0,747.236801570094,749.161852514406,0,0,4628.11796288731,0,0,313.308592771794,243.758938077975,0,2102.36124924099,0,0,0,0,0,0,0,0,0,374.766142013536,0,0,0,1975.26579140438,0,8433.80687499018,0,13854.7575799364,3862.91912553025,"CC vs. BC","CC"
"LOC144625661",101.808041714993,-23.4849912033117,3.34957883263068,4.94678813046079e-13,8.19294117007103e-10,57.6044410147931,251.659035151327,0,0,0,0,0,0,0,1.99591490538303,0,0,0,2106.98311212683,0,0,0,241.923587954717,0,0,0,71.5907065784001,0,0,2.21928338252744,363.930810660834,107.197338261634,0,99.407265047181,0,0,0,0,0,104.114323417198,0,370.114689585722,0,0,0,0,4.27711308046664,0,520.644581402135,0,80.9397082781315,272.567854691689,0,69.9362890973251,243.323729657181,0,453.490687426172,0,0,86.9784076203735,18.7672370520627,0,0,0,0,154.868578045349,765.291618123112,0,174.949062884178,134.269112782126,222.827627927362,0,0,0,0,42.1711693166816,0,4.64302739196143,78.2305344238288,231.832418688866,2.69585235117486,83.1395507108356,0,0,0,426.467496780637,0,0,86.5388775164583,367.206018111246,0,626.838404845701,278.65017812761,0,0,359.670276790177,0,0,0,"CC vs. BC","CC"
"LOC111126486",196.610544177774,-2.00879417910091,3.06822434717041,6.68805994046044e-05,0.04935413451079,26.4413827608887,3.00787691415929,79.803796113048,8.74706895641923,26.5912841736708,0,2.61868731154444,126.913367723038,46.3363428446506,11.9754894322982,2.01750794080012,968.635059851202,0,29.0464267843571,3.97726404815894,4.00738773273672,2.14552604742987,141.998627712551,0,14.6121217910764,0,62.2839147232081,36.0247259617277,62.4618293810927,885.494069628447,0,3157.8549229573,0,85.206227183298,53.4554700260019,131.45558890004,9.07908347561561,11.1416370436554,66.8528455266579,189.207760825484,57.1862515590604,104.777885646467,0,87.3305137548597,0,0,21.3855654023332,37.0284312573879,63.5310352306176,4.45435386207552,26.9799027593772,3.02853171879654,55.8254660512233,323.969574494962,4.08947444801985,10.49456549782,0,86.5610301498496,0,11.4696801257635,1.97549863705923,22.9253012771592,10.5472903882173,19.1469816597473,3.87825934004921,194.131034451212,33.8181238777807,0,72.2173457254456,904.857064401286,17.2883504426401,154.053249121563,2.14045449291445,65.4523981977676,1.41988870908856,0,31.8733849789487,18.5721095678457,8.9920154510148,53.8182400527724,2.69585235117486,168.496156107294,0,6118.99379441334,10.2018706330364,7.91587000984941,12.1953971446453,2807.46083393917,74.5707348812034,8.64014160261755,0,3.71643323031048,26.2496544612966,35.2891866823537,4.24754109057442,212.11324015831,19.8976410841428,82.4107048661788,121.683553553592,"CC vs. BC","CC"
"LOC111127247",12.0649782777015,22.7912856453809,2.17793025041748,3.07575334826665e-26,3.56587464431295e-22,0.944335098603166,1.0026256380531,0.950045191822,6.99765516513539,2.3122855803192,6.97465328221997,0,0,0,0,2.01750794080012,0,224.310124449344,0,0,4.00738773273672,0,4.5078929432556,0,0,4.6297389117513,6.44316359205601,8.47640610864181,5.67834812555389,0,1.18931637470861,0,2.09001681571662,0,0,0,2.2697708689039,0,2.22842818422193,0,0,0,2.1056993584784,0,0,0,0,6.82102681057145,0,0,314.455418367913,0,0,5.14237419833273,0,0,0,2.30829413732932,0.924334085403459,5.73484006288177,3.95099727411845,1.63752151979709,3.51576346273911,126.582823194996,11.6347780201476,0,0,0,0,1.94592917075545,161.357937464641,0,1.07022724645722,0,0,0.958435666288219,0,1.16075684799036,2.69760463530444,0.689977436574005,0,0,12.1594615799316,0,3.40062354434547,0,0,0,0,171.722814352024,0.816888304102899,0,1.00960209466525,0,0,0,1.1054245046746,2.16870275963628,0,"CC vs. BC","BC"
"LOC144623075",59.8924519798482,-19.3612808716043,2.51866574579858,5.36634780271863e-15,1.13117733183306e-11,155.815291269522,0,0,0,84.3984236816507,0,0,35.0817439234413,76.1239918162117,143.705873187578,1.00875397040006,111.398336565582,0,44.6868104374725,0,0,0,72.1262870920896,153.295293536886,235.620463881107,0,0,190.719137444441,82.3360478205313,67.6881431670868,0,0,131.671059390147,0,40.36433450943,0,34.0465630335585,0,0,0,77.9812521259915,88.9481331387274,106.337817603159,29.1101712516199,0,0,93.0272095001494,123.752914991796,103.044240069172,251.670993207267,109.780293986431,215.025752034555,0,0,106.326335648516,0,205.150549073744,26.5453825792872,53.6113769534006,86.9784076203735,27.6569809188292,0,0,0,41.691287905529,295.559046833025,0,64.23814339366,0,0,65.3115461166405,0,171.236359433156,0,88.7430443180352,0,0,0,309.325331514909,0,0,36.5814023127677,157.059712074116,232.994841165587,0,125.664436406359,0,0,225.553457356726,0,0,287.404169810677,0,0,96.6315598105681,66.861782223815,0,0,0,"CC vs. BC","CC"
"LOC111113813",103.861004334859,-1.27739961078282,2.00038298229118,4.75222151553255e-05,0.039353485814519,264.413827608886,110.288820185841,276.463150820202,11.371189643345,4.62457116063839,5.81221106851664,0,0,137.905782275746,13.9714043376812,24.2100952896015,32.8890327003146,16.7708504261192,100.545323484313,82.196790328618,124.229019714838,5.36381511857468,9.7671013770538,66.9565649931227,10.9590913433073,0,209.760770274712,105.955076358023,5.67834812555389,7.76749183884603,148.664546838576,17.8662230436056,198.551597493079,23.3302764906649,348.006019148869,230.568929737372,93.06060562506,136.485053784779,319.779444435847,26.0285808542994,297.195216435723,381.421655662678,20.0041439055448,176.817336491321,75.862444265376,95.2676532756195,119.759166253066,93.5455105449799,107.69285240312,20.0445923793399,33.4922930806062,130.226863908251,77.9230463631659,0,62.0236957949677,258.166311246372,82.0602196294977,58.8615005018977,70.2493904906629,0,205.45185825416,103.163855747216,65.0416240606735,134.028871618231,267.599894463395,573.668113041222,53.8584935831322,14.4762013281487,14.2400400022005,49.6211938542641,124.860308752401,157.554459328871,3.21068173937167,12.6682061027937,123.530317690705,19.1687133257644,82.0570123926127,10.4468116319132,287.744494432474,25.5291651532382,55.2649731990845,212.837249819739,15.1993269749145,227.679369504015,73.6801767941517,5.93690250738706,125.34158176441,81.099974161581,11.0475162786968,114.481876234683,57.9990695913059,48.3136319940363,331.149487050203,119.797502158517,261.223777070327,35.7364698092804,49.7441027103571,6.50610827890885,271.119496514143,"CC vs. BC","CC"
"LOC144623881",518.772988959122,-1.58782378755907,2.58840989249063,6.811283496551e-05,0.04935413451079,133.151248903046,9.02363074247786,0,10.4964827477031,5.78071395079799,19.7615176329566,3.27335913943055,11.349975975231,11.0324625820597,800.361877058596,9.07878573360056,4.24374615487931,12.5781378195894,8.93736208749449,83.5225450113377,278.513447425202,5096.69712566966,47.3328759041838,21.1441784188809,9.13257611942276,15.7411122999544,1.431814131568,93.2404671950599,2705.73288182643,5.54820845631859,2819.86912443411,11.1663894022535,181.831462967346,3039.02210287096,14.1820634762862,2429.84179800154,139.59090843759,30.6395018700524,422.287140910056,17.0186874816573,20.7950005669311,10.5531683384931,6.31709807543521,16.1723173620111,294.17770054018,405.655813947799,287.635854661381,28.258539643796,6.19814977859684,587.232317483623,7.44273179569026,2818.55351962665,2.32606108546764,1866.68183399478,177.210559414193,439.722294358658,45.3490687426172,23.0829413732932,365.111963734366,5.73484006288177,224.219095306222,486.343891379735,11.4262312539021,226.572616307009,41.691287905529,1652.2950404134,18.7878465987671,5.42857549805577,687.590502963398,1329.06962362597,1867.14184780513,2.33414013820549,5.35113623228612,9.50115457709529,53.2458265908211,11.5012279954586,234.64236601524,5.22340581595661,1918.89609724656,67.6177887842525,20.2188926338114,1087.46532329773,10.132884649943,62.0138360516771,1115.40452254531,300.803060374277,249.328119401637,2533.12264973827,455.710046496243,2354.43858671328,8.98577134513189,1055.46703740818,149.421110010457,22.2879073783287,13.8045085443669,4.61115739474586,2456.25324938697,2089.54510890956,0,"CC vs. BC","CC"
"LOC111106798",22.536222953848,-18.2132289870193,2.55701605736771,4.23101677231294e-13,7.54650660766309e-10,0,1.0026256380531,0,0,0,0,0,0,6.6194775492358,0,0,0,0,0,731.816584861244,1.00184693318418,0,3.756577452713,39.6453345354016,16.438637014961,0,0,8.47640610864181,0,0,0,0,0,0,4.3637118388573,28.1690547642944,0,0.928469753637951,2.22842818422193,0,8.66458356955461,21.1063366769862,0,6.46892694480442,0,2.0487667371101,1.06927827011666,0,0,0,39.0743419273738,0,0,0,23.1736885387791,0,0,25.3912355106225,0,0,10.8652425038257,0,23.731403373489,0,33.9347692254306,0,58.8685860094701,0,0,0,0,44.3486626259044,27.8259084078878,0,0.709944354544282,22.044020324629,0,0,0.89920154510148,24.1492102800902,137.488469909918,12.1938007709226,0,59.356100220891,0,0,0,0,65.3644713156228,2.16003540065439,129.885240352361,0,149.421110010457,38.0751751046448,28.6709023613773,237.474605829412,0,0,39.4937849252885,"CC vs. BC","CC"
