"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105307",318.366398173038,-20.4004695783286,3.82293917628346,3.17096728923578e-08,1.79070037548865e-05,0,0,111.155287443174,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7723633392242,0,0,0,0,0,0,52.1531594893948,1.18931637470861,0,0,0,0,3.12989497381048,0,0,0,6.00659558176141,24.2608339947529,1218.89094309595,0,0,0,0,0,1.94886480302041,0,0,0,128.207842762387,0,0,0,0,0,0,0,0,0,0,0,0,12.6043428551599,55.6218132416394,0,0,0,0,0,10.5036306219247,1450.15791894954,1.05568384189948,0,0,0,0,230.195595545979,0,0,4.43410937124457,0,226.793457560419,0,0,186.996089551228,0,22093.1913046805,5.40008850163597,0,7.43286646062097,143.363497442466,0,3598.72918898918,0,15.4759430654444,0,6.4043975554522,"CW vs. BW","CW"
"LOC144619421",142.17570470691,24.361017619052,3.61835701904772,4.81158120872613e-12,4.99961780236315e-09,0,0,0,338.511568613424,0,0,0,0,0,851.257707145864,0,1.06093653871983,475.872880841132,0,0,644.730577252676,0.7513154905426,445.789761664738,0,0,636.441381481977,0,0,301.822540023731,0,8.93311152180282,892.437180310996,0,226.913015620579,0,0,0,0,0,0,4.52278643078275,4.21139871695681,796.756168701745,0,0,0,0,527.617499903056,0,456.797663960489,0,0,0,0,0,728.824319077776,635.935034834228,0,0,0,311.129088761446,0,0,0,0,951.917561004198,0,564.515871515807,11.6755750245327,0,0,0,2.11136768379895,0,0,0,0,0,0,0,1811.33367815341,0,0,0,0,0,0,0,0,722.946149131066,0,0,0,561.737309228467,0,0,305.787089108716,0,"CW vs. BW","BW"
"LOC144618975",13.221468104468,-17.3156435942694,2.97661010491906,3.07786386346539e-09,2.03937244382412e-06,0,0,0,0,2.3122855803192,0,0,0,0,0,0,72.1436846329483,0,0,0,0,0,0,0,0,0,2.11910152716045,1.89278270851796,64.3592180932957,0,297.025958099944,0,0,0,6.25978994762097,2.2697708689039,0,0,0,0,5.27658416924654,0,2.15630898160147,0,0,0,0,0,0,0,0,2.32606108546764,0,1.36315814933995,0,0,0,0,0,1.97549863705923,0,0,0,3.87825934004921,0,0,0,15.2571857166434,69.0804855618186,1.92092782696001,0,0,4.22273536759791,0,0,2.7126285088467,0,0,4.13986461944403,8.08755705352457,28.8217109130897,0,300.324148878836,4.53416472579395,0,0,292.360400681255,0,0,0,0,4.03840837866101,0,2.12377054528721,9.22231478949172,2.21084900934921,15.180919317454,0,"CW vs. BW","CW"
"LOC111105623",12.167233385592,-16.6300211158357,2.81763842514836,1.94646078475148e-09,1.33061083698656e-06,11.332021183238,0,1.900090383644,0,25.4351413835112,0,0.654671827886109,0,0,0,0,6.36561923231896,22.0117411842814,0,0,0,0,16.7391412482807,0,0,0,6.35730458148136,5.67834812555389,125.3895111128,0,0,0,0,5.45463979857162,2.08659664920699,0,0,20.0558536579974,4.0043970545076,23.3943756377974,0,0,0,0,0,0,0,2.32430616697382,0,0,2.01902114586436,4.65212217093528,0,0,33.582609593024,0,0,0,0,9.87749318529613,175.214802618288,0,2.12744240663859,0,0,0,0,0,0,0.960463913480007,0,0,4.22273536759791,0,10.5427923291704,2.7126285088467,5.80378423995179,0,0,29.6543758629234,0,0,0,0,0,0,0,0,90.7214868274843,0,3.71643323031048,0,0,2.12377054528721,410.393008132382,0,0,64.043975554522,"CW vs. BW","CW"
"LOC111104612",5090.23893442806,27.1824425312621,3.25997911546252,1.59653873981077e-17,3.77029880400586e-14,0,0,1998.89508359349,0,0,12520.6650837985,13.0934365577222,0,0,7073.52242467747,0,16475.2835097802,0,0,7046.99132801752,0,2.2539464716278,0,0,12788.2648220394,4.29544239470401,6815.03051134801,0,248.559738843073,0,1449.39734441251,0,38608.5645125082,0,0,15916.7682181886,5996.98613874753,0,6.00659558176141,0,63865.5133913447,9318.77251094617,0,0,0,0,238.735938370001,0,0,392.604102222661,0,0,10.2847483966655,1400.6449984468,4193.62837292887,0,0,0,64381.226159265,1095.41399424934,0,12883.5152092075,1561.54272647272,0,0,0,0,2789.01354900242,0,0,2038.8714107225,25.6854539149734,0,149.798258808843,35311.6452530568,0,0,20545.8561040237,0,0,2667.11678680361,10.132884649943,5875.36800992461,0,874.70363608836,1095.5531768273,0,9584.64099812603,0,0,41975.8745252801,185.766785418407,39.9325007195055,25617.982202527,37876.0468404425,35.3735841495873,0,386.398652512283,"CW vs. BW","BW"
"LOC144619842",32.2869047806575,-21.7882563706165,3.0541359588177,3.71012529520983e-13,4.86892548592913e-10,62.326116507809,0,0,0,0,0,1.30934365577222,0,0,0,0,125.19051156894,0,346.021972189828,0,0,0,0.881007434120036,0,0.925947782350261,0,0,0,0,343.117774103433,0,426.36343040619,19.2728371009841,0,0,0,0,0,1.0010992636269,7.79812521259915,2.26139321539137,1.0528496792392,0,0.842916047393067,0,0,0,378.087136494407,0,0,221.082815472148,0,0,1.36315814933995,0,0,1.15414706866466,0,0,0,0,0,8.50976962655434,0,0,2.50504621316894,139.333437783432,0,0,0,0,0,0,24.1381080545056,0,48.1491560320289,2.32151369598072,1.79840309020296,0,299.239610980409,133.023281137337,0,98.336225739088,300.388413083849,3.9579350049247,0,0,0,0,0,0,0,0.928662807430361,0,0,0,0,0,"CW vs. BW","CW"
"LOC144620764",52.0772410143644,17.0854214730024,9.04762938915189,2.25255558079504e-05,0.00713593125881862,0,0,0,0,0,392.905468231725,346.321396951752,0,0,0,0,0,0,0,387.714763142278,0,1.5026309810852,0,0,384.268329675358,0,0,0,0,0,0,0,330.68131025899,0,0,0,49.2088969428114,0,0,0,76.8873693233067,325.330550884913,2.15630898160147,0,0,0,0,0,0,0,0,0,0,468.244824298272,0,0,0,0,0,0,0,419.254792931639,36.166520912856,0,0,0,0,0,0,0,0,0,0,0,0,300.423607354772,0,0,0,246.670490132499,0,0,0,0,0,0,0,326.822356578114,0,378.219284799642,370.404511954278,0,0,0,0,0,0,0,"CW vs. BW","BW"
"LOC111103672",5.88088164500477,-19.3259374376348,3.02481614246714,7.78653121416096e-11,6.3209600421956e-08,0,0,2.850135575466,0.874706895641923,0,0,0,0,0,0,0,4.24374615487931,0,1.32575468271965,0,0,0,0,0,0,0.715907065784001,0,0,0,0,0,0,0,1.09092795971432,0,0,0,64.624417342436,2.0021985272538,0,0,0,8.62523592640589,1.68583209478613,0,0,5.84659440906124,0,132.145831241574,0,0,0,0,0,0,0,0,0,125.210674706252,0,0,0,0,0,1.09062378905175,0,0,0,0.972964585377727,0,0,2.14045449291445,0,0,91.0513882973808,0,0.580378423995179,0,1.37995487314801,0,0,0,5.31547166157232,71.4130944312548,0,0,6.00740549345044,0,0,0,0,6.05761256799152,1.85732561486072,0,4.61115739474586,0,0,3.2021987777261,"CW vs. BW","CW"
"LOC111104577",131.511796328746,-6.60094639000932,1.94676266838662,2.35158916604867e-06,0.000954487996350722,8.4990158874285,6.01575382831857,11.400542301864,4.37353447820962,0,2.32488442740666,2552.56545692794,40.2408239121826,0,4.98978726345758,11.0962936744007,16.9749846195172,3.14453445489735,0,5.0092346659209,9.65486721343441,15.7776253013946,14.0961189459206,6.39280328359593,226.857206675814,1.431814131568,13.7741599265429,10.4103048968488,57.7013679457134,12.4878219344404,33.4991682067606,0,4.05743938968086,3.27278387914297,10.4329832460349,1.13488543445195,66.8498222619325,0,3.0032977908807,1.73291671391092,4.52278643078275,3.1585490377176,10.7815449080074,20.2299851374336,4276.80056371733,14.9698957816332,164.679075855225,3.87384361162303,0,6.51239032122897,12.1141268751862,4.65212217093528,6.17084903799927,3.40789537334987,4.197826199128,0,43.8575886092571,6.47033859782421,0.955806677146961,26.6692316002996,0,0,34.0390785062174,12.6043428551599,2.18124757810351,7.51513863950682,0,5.08572857221448,3.89185834151091,0,0,4.28090898582889,0,14.9088314454299,1.91687133257644,14.2412996714452,5.22340581595661,196.025936832123,0,13.4792617558743,100.875988195814,4.0531538599772,5.31547166157232,1.13354118144849,60.3585088251017,4.06513238154843,523.645512179097,5.5237581393484,6.48010620196316,3354.1433766465,0,8.07681675732202,0,12.7426232717233,11.5278934868647,0,17.3496220770903,26.6849898143842,"CW vs. BW","CW"
"LOC111103088",14.4386266829956,-2.44737780454879,1.44142574943352,1.93102951721884e-05,0.00619288318133258,2.8330052958095,10.026256380531,8.550406726398,6.12294826949346,16.1859990622344,5.81221106851664,11.78409290195,4.12726399099309,2.20649251641193,2.99387235807455,16.140063526401,14.8531115420776,6.2890689097947,13.2575468271965,6.01108159910508,4.29105209485974,3.0052619621704,0.881007434120036,26.484470746326,18.5189556470052,8.59088478940801,7.41685534506158,0,3.32892507379116,6.54124006089734,26.7993345654085,3.13502522357493,8.11487877936172,2.18185591942865,3.12989497381048,17.0232815167793,11.1416370436554,445.685636844386,5.0054963181345,3.46583342782184,2.26139321539137,12.6341961508704,9.70339041720663,8.42916047393067,16.3901338968808,11.7620609712833,10.7187564166123,14.7206057241675,8.16631541380513,9.30341474461282,15.1426585939827,9.30424434187056,16.4555974346647,2.04473722400992,15.74184824673,6.47843839180245,5.77073534332331,2.77300225621038,16.2487135114983,12.840741140885,3.27504303959417,11.4262312539021,67.0144358091155,7.75651868009841,8.72499031241402,6.26261553292235,21.7143019922231,19.325768574415,13.6215041952882,9.60463913480007,1.16707006910275,6.42136347874334,11.6125222608942,9.93922096361994,2.87530699886466,6.78157127211675,6.38416266394697,20.681635537334,4.13986461944403,2.69585235117486,22.1705468562228,5.06644232497149,0.885911943595387,2.26708236289698,17.8107075221612,10.8403530174625,3.00370274672522,9.20626356558067,10.8001770032719,27.7742023394986,2.47762215354032,7.06721466265677,12.0726164965947,16.9901643622977,1.15278934868647,3.31627351402381,2.16870275963628,7.47179714802756,"CW vs. BW","CW"
