"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_C4_W37","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111105307",318.366398173038,-21.3753706395165,3.81697874612943,8.42514702523904e-09,6.6321225537768e-06,0,0,111.155287443174,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7723633392242,0,0,0,0,0,0,52.1531594893948,1.18931637470861,0,0,0,0,3.12989497381048,0,0,0,6.00659558176141,24.2608339947529,1218.89094309595,0,0,0,0,0,1.94886480302041,0,0,0,128.207842762387,0,0,0,0,0,0,0,0,0,0,0,0,12.6043428551599,55.6218132416394,0,0,0,0,0,10.5036306219247,1450.15791894954,1.05568384189948,0,0,0,0,230.195595545979,0,0,4.43410937124457,0,226.793457560419,0,0,186.996089551228,0,22093.1913046805,5.40008850163597,0,7.43286646062097,143.363497442466,0,3598.72918898918,0,15.4759430654444,0,6.4043975554522,"WW vs. BW","WW"
"LOC111102542",15.2044818067012,17.3254454948782,3.4262023747645,1.14497109233253e-07,6.32827958840895e-05,0,0,8.550406726398,0,0,44.1728041207265,0,0,0,0,10.0875397040006,0,1.04817815163245,0,0,2.14552604742987,0.7513154905426,0,1.82651522388455,38.8898068587109,0,1.05955076358023,0,0,0,0,0,0,13.0911355165719,0,0,0,0,2.0021985272538,0,0,0,0,0,0,0,0,4.64861233394763,0,0,1.00951057293218,0,0,3.40789537334987,0,0,0,0,0,35.5589754670661,9.82512911878252,35.1576346273911,0,0,0,0,0,0,0,0,0,0,6.33410305139686,0,3.83374266515287,0,0,0,0,355.852510355081,1.10852734281114,0,6.20138360516771,779.87633283656,40.5688338004782,0,7.00863974235885,0,0,0,0,0,0,0,0,0,0,0,"WW vs. BW","BW"
"LOC144618975",13.221468104468,-18.6020909583001,2.9539231540871,1.59533184967179e-10,1.42903225720428e-07,0,0,0,0,2.3122855803192,0,0,0,0,0,0,72.1436846329483,0,0,0,0,0,0,0,0,0,2.11910152716045,1.89278270851796,64.3592180932957,0,297.025958099944,0,0,0,6.25978994762097,2.2697708689039,0,0,0,0,5.27658416924654,0,2.15630898160147,0,0,0,0,0,0,0,0,2.32606108546764,0,1.36315814933995,0,0,0,0,0,1.97549863705923,0,0,0,3.87825934004921,0,0,0,15.2571857166434,69.0804855618186,1.92092782696001,0,0,4.22273536759791,0,0,2.7126285088467,0,0,4.13986461944403,8.08755705352457,28.8217109130897,0,300.324148878836,4.53416472579395,0,0,292.360400681255,0,0,0,0,4.03840837866101,0,2.12377054528721,9.22231478949172,2.21084900934921,15.180919317454,0,"WW vs. BW","WW"
"LOC111105623",12.167233385592,-19.0091258942771,2.8093220858549,6.92063431971625e-12,8.560824653489e-09,11.332021183238,0,1.900090383644,0,25.4351413835112,0,0.654671827886109,0,0,0,0,6.36561923231896,22.0117411842814,0,0,0,0,16.7391412482807,0,0,0,6.35730458148136,5.67834812555389,125.3895111128,0,0,0,0,5.45463979857162,2.08659664920699,0,0,20.0558536579974,4.0043970545076,23.3943756377974,0,0,0,0,0,0,0,2.32430616697382,0,0,2.01902114586436,4.65212217093528,0,0,33.582609593024,0,0,0,0,9.87749318529613,175.214802618288,0,2.12744240663859,0,0,0,0,0,0,0.960463913480007,0,0,4.22273536759791,0,10.5427923291704,2.7126285088467,5.80378423995179,0,0,29.6543758629234,0,0,0,0,0,0,0,0,90.7214868274843,0,3.71643323031048,0,0,2.12377054528721,410.393008132382,0,0,64.043975554522,"WW vs. BW","WW"
"LOC111102388",54.4886038766514,-3.57613245594428,3.9869780904008,0.000113933003646241,0.0284270441624334,1.88867019720633,2.00525127610619,1.900090383644,0,151.454705510907,1.16244221370333,26.1868731154444,109.372495761317,0,0,0,42.4374615487931,150.937653835073,1.32575468271965,0,0,10.5184168675964,0,3.6530304477691,7.40758225880209,5.01134946048801,11.6550583993825,0,146.472703246811,2.97329093677152,23.4494177447324,0,0,161.45733803772,27.1257564396909,22.697708689039,9.28469753637951,465.741490502384,0,116.105419832032,6.03038190771033,0,7.54708143560516,9.27207652132373,0,11.7620609712833,42.8750256664491,3.87384361162303,0,2.79102442338385,6.05706343759309,6.97818325640292,0,0.681579074669974,918.27448105925,0,8.07902948065263,0,0,12.840741140885,57.313253192898,0,40.4214057261331,0,4.36249515620701,2.50504621316894,0.904762583009296,2.03429142888579,5.83778751226636,0,0,9.63204521811501,269.199379684367,0,127.471943616333,2.7126285088467,0,0,6.20979692916604,4.04377852676228,5.54263671405571,1.0132884649943,0,13.6024941773819,1.97896750246235,0,0,0,293.764814488997,0,0,6.05761256799152,12.0726164965947,0,488.782683843061,19.8976410841428,0,1152.7915599814,"WW vs. BW","WW"
"LOC144619842",32.2869047806575,-15.5723704764164,3.39399022105772,4.26796533662372e-07,0.000221737871098949,62.326116507809,0,0,0,0,0,1.30934365577222,0,0,0,0,125.19051156894,0,346.021972189828,0,0,0,0.881007434120036,0,0.925947782350261,0,0,0,0,343.117774103433,0,426.36343040619,19.2728371009841,0,0,0,0,0,1.0010992636269,7.79812521259915,2.26139321539137,1.0528496792392,0,0.842916047393067,0,0,0,378.087136494407,0,0,221.082815472148,0,0,1.36315814933995,0,0,1.15414706866466,0,0,0,0,0,8.50976962655434,0,0,2.50504621316894,139.333437783432,0,0,0,0,0,0,24.1381080545056,0,48.1491560320289,2.32151369598072,1.79840309020296,0,299.239610980409,133.023281137337,0,98.336225739088,300.388413083849,3.9579350049247,0,0,0,0,0,0,0,0.928662807430361,0,0,0,0,0,"WW vs. BW","WW"
"LOC144620764",52.0772410143644,17.5983436124249,9.06950074289879,1.90075921471251e-05,0.0063302592462291,0,0,0,0,0,392.905468231725,346.321396951752,0,0,0,0,0,0,0,387.714763142278,0,1.5026309810852,0,0,384.268329675358,0,0,0,0,0,0,0,330.68131025899,0,0,0,49.2088969428114,0,0,0,76.8873693233067,325.330550884913,2.15630898160147,0,0,0,0,0,0,0,0,0,0,468.244824298272,0,0,0,0,0,0,0,419.254792931639,36.166520912856,0,0,0,0,0,0,0,0,0,0,0,0,300.423607354772,0,0,0,246.670490132499,0,0,0,0,0,0,0,326.822356578114,0,378.219284799642,370.404511954278,0,0,0,0,0,0,0,"WW vs. BW","BW"
"LOC144619911",264.44521794866,4.39125402110072,4.00428823010727,6.94612527439692e-05,0.0182262117427282,0,20.0525127610619,8.550406726398,6.12294826949346,1.1561427901596,2148.19321092375,1578.41377703341,1.03181599774827,1.10324625820597,0,4.03501588160025,5.30468269359914,0,3.97726404815894,1745.21735760684,0,0,1.76201486824007,0.913257611942276,1473.18292171926,3.57953532892001,4.2382030543209,1.89278270851796,0,2.37863274941721,0,2.09001681571662,2099.72488415984,0,2.08659664920699,1.13488543445195,866.262280144209,3.3426422763329,3.0032977908807,0,1356.83592923482,2020.41853446003,1.07815449080074,0,1.02438336855505,3.20783481034998,0,3.09907488929842,0,4.65170737230641,0,0,0,1175.72390380571,2.098913099564,1.07973973196708,0,1.84866817080692,0,2.96324795558884,3.27504303959417,1270.0695509145,1125.41703311181,0.969564835012302,2.18124757810351,3.75756931975341,0.904762583009296,4.06858285777158,0,0.960463913480007,0,2.14045449291445,2.11136768379895,2.83977741817713,0,1637.07130508898,4.06264896796625,0.89920154510148,0.689977436574005,811.451557703631,2.21705468562228,1.0132884649943,0,0,14.8422562684676,0.677522063591404,1.00123424890841,1680.14310071847,0,2415.53871523227,1028.21319371923,1.00960209466525,0.928662807430361,0,2.30557869737293,5.52712252337301,4.33740551927257,0,"WW vs. BW","BW"
"LOC111103672",5.88088164500477,-16.1171281753299,3.14696338849369,9.05318866870848e-08,5.27002890448587e-05,0,0,2.850135575466,0.874706895641923,0,0,0,0,0,0,0,4.24374615487931,0,1.32575468271965,0,0,0,0,0,0,0.715907065784001,0,0,0,0,0,0,0,1.09092795971432,0,0,0,64.624417342436,2.0021985272538,0,0,0,8.62523592640589,1.68583209478613,0,0,5.84659440906124,0,132.145831241574,0,0,0,0,0,0,0,0,0,125.210674706252,0,0,0,0,0,1.09062378905175,0,0,0,0.972964585377727,0,0,2.14045449291445,0,0,91.0513882973808,0,0.580378423995179,0,1.37995487314801,0,0,0,5.31547166157232,71.4130944312548,0,0,6.00740549345044,0,0,0,0,6.05761256799152,1.85732561486072,0,4.61115739474586,0,0,3.2021987777261,"WW vs. BW","WW"
"LOC111101181",9.24609380445039,-17.6889185659741,2.44262756232331,2.53145914255411e-13,4.38398094307521e-10,0.944335098603166,0,13.300632685508,0,0,0,0,0,0,0,0,37.1327788551939,0,0,0,0,2.2539464716278,0.881007434120036,0,0,0,3.17865229074068,0,62.1399347107682,0,357.324460872113,0,0,0,2.08659664920699,0,0,0,0,0,2.26139321539137,2.1056993584784,0,0,0,3.20783481034998,0.974432401510207,1.54953744464921,0,2.79102442338385,0,0,0,0,0,1.07973973196708,2.30829413732932,0,0,0,1.63752151979709,0,0,0,2.18124757810351,0,0.904762583009296,1.0171457144429,57.4049105372859,3.84185565392003,0,0,4.22273536759791,0,0,2.03447138163503,0,0,0,0,5.54263671405571,0,195.786539534581,0,3.9579350049247,0.677522063591404,62.0765234323213,0,1.08001770032719,0,0,0,0.928662807430361,0,6.91673609211879,6.63254702804762,3.25305413945443,4.26959837030146,"WW vs. BW","WW"
"LOC144620836",28.2178335178896,14.9421245202594,9.21755329642363,3.20013346068958e-05,0.00955515711590037,107.654201240761,0,0,0,0,0,62.8484954770665,0,60.6785442013281,0,0,0,0,0,0,0,0,78.4096616366832,0,0,0,0,0,0,0,0,0,279.963317887979,0,0,0,243.259075453143,258.497669369744,0,107.440836262477,65.5804032463498,0,19.4067808344133,0,0,0,0,0,0,0,0,41.8690995384175,0,0,0,113.372671856543,0,0,0,0,0,0,219.126567883774,0,0,113.979602699187,0,0,0,0,0,194.781358855215,0,0,0,173.608224566189,79.5118440873395,0,0,0,162.953519393238,0,0,0,0,0,0,0,0,60.4497345036146,97.8660750648427,0,0,0,83.0008331054255,0,0,0,"WW vs. BW","BW"
