"Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_B1_O01","B1_W5_O50","B2_B5_O51","B2_C4_O40","B3_B4_O41","B3_C3_O30","B3_C6_O66","B3_H4_O41","B3_W1_O06","B3_W4_O41","B4_B2_O19","B4_B3_O32","B4_C5_O56","B4_H5_O55","B4_W2_O19","B4_W6_O67","B5_B6_O69","B5_H2_O21","B5_W3_O33","B6_C2_O24","B6_H3_O35","B6_H6_O72","C_W5_W52","C1_H2_W13","C1_H6_W62","C2_B2_W16","C2_C1_W03","C2_H1_W04","C2_W2_W15","C3_B3_W30","C3_C2_W17","C3_W3_W29","C4_B1_W07","C4_B5_W56","C4_C6_W67","C4_H5_W56","C5_B4_W46","C5_C3_W33","C5_W1_W09","C5_W4_W45","C6_B6_W71","C6_C5_W59","C6_H3_W36","C6_H4_W48","C6_W6_W72","H1_B2_B13","H1_B6_B61","H1_C6_B62","H1_W4_B38","H1_W5_B49","H2_B5_B51","H2_C1_B04","H2_H1_B03","H2_W2_B16","H3_B4_B41","H3_C5_B54","H3_H4_B41","H3_H6_B66","H3_W3_B30","H3_W6_B66","H4_H2_B19","H4_W1_B07","H5_B1_B09","H5_B3_B34","H5_C2_B22","H5_C4_B46","H6_C3_B36","H6_H3_B35","W1_C1_G02","W1_C6_G61","W1_H5_G49","W1_W1_G01","W1_W6_G62","W2_B2_G04","W2_B6_G64","W2_C2_G15","W3_B5_G54","W3_C3_G29","W3_H2_G18","W3_H3_G30","W4_C5_G55","W4_H1_G08","W4_W5_G56","W5_B2_G21","W5_C4_G45","W5_H4_G46","W5_W2_G22","W6_B3_G35","W6_B4_G48","W6_H6_G71","W6_W3_G36","W6_W4_G48","pair","DEG_group"
"LOC111104592",464.512069219809,3.38529257174223,2.89719241841485,0.000475927194163325,0.0346193308866349,0.944335098603166,294.77193758761,523.474900693922,240.544396301529,276.318126848144,413.829428078385,1713.27617357795,96.9907037883377,4.41298503282386,1.99591490538303,0,1304.95194262539,2496.76035718849,13.2575468271965,524.96779298851,50.4198621146019,897.822011198407,214.084806491169,3.6530304477691,0.925947782350261,1.431814131568,12.7146091629627,0,4.75726549883443,205.461565001465,4.18003363143324,42.603113591649,1519.66264788205,3398.02264323358,18.1581669512312,6.49928827546566,2824.5327235013,419.460591459671,1475.57858189515,6.03038190771033,0,24.7975532884169,5.0574962843584,2.0487667371101,2107.54747039994,940.32726745735,52.6842731180732,1.48478462069184,0,625.896555217952,310.52915490993,27.7688206709967,3.40789537334987,2108.35820851204,0,2.30829413732932,0,0.955806677146961,641.049307725719,1467.21928173819,35.1576346273911,592.492710248846,0.969564835012302,70.8905462883639,10.0201848526758,63.3333808106507,2.03429142888579,11.6755750245327,437.011080633403,8.16949048371923,0,1294.26839016876,1.41988870908856,2018.46551320299,447.583703959706,152.059147086737,81.8273406042347,6.89977436574005,870.760309429478,604.147401832072,11.1461731149373,7.97320749235849,62.3447649796669,42.5478013029406,0.677522063591404,45.0555412008783,5.5237581393484,2788.60570224481,0,0,59.5665235852499,11.1439536891643,4.24754109057442,2292.89801453738,17.6867920747936,34.6992441541805,3307.87133739106,"CC vs. CW","CW"
"LOC111105192",44.1660144945152,1.24998837636791,1.42470088767568,0.000820401277363212,0.0473663235270524,1.88867019720633,70.1837946637167,50.352395166566,69.9765516513539,26.5912841736708,194.127849688456,13.7481083856083,18.5726879594689,47.4395891028565,129.734468849897,20.1750794080012,169.749846195172,10.4817815163245,50.3786779433465,113.208703449812,8.58210418971948,6.7618394148834,103.077869792044,52.0556838807097,24.0746423411068,7.87497772362401,28.6078706166661,14.1958703138847,22.0023529321092,87.0978373375775,61.6554960636403,10.1435984742021,7.63649571800027,34.4288447119153,112.353658010743,11.1416370436554,358.776937659731,24.0263823270456,2.59937507086638,25.6291231077689,55.8010329996777,43.1261796320295,7.5862444265376,40.9753347422019,22.4548436724498,27.2841072422858,5.42338105627224,14.1054538965725,28.8405857082997,24.2282537503724,52.3363744230219,107.989858164987,10.9052651947196,41.97826199128,1.07973973196708,55.3990592959037,27.7300225621038,25.8067802829679,36.5467247855957,34.3879519157388,7.03152692547822,0,95.0173538312056,146.143587732935,16.2828003855981,78.7143447218087,74.2516371543314,42.81044175662,37.4580926257203,50.1840129714181,35.3174991330884,14.7795737865927,12.7789983817971,19.1687133257644,7.45972839932843,4.64302739196143,49.4560849805814,19.3193682240721,5.39170470234971,56.5348944833682,15.1993269749145,39.8660374617924,40.8074825321456,29.6845125369353,28.455926670839,70.0863974235885,15.6506480614871,35.6405841107974,39.2106385969392,11.1492996909314,79.758565478555,10.215290881734,50.9704930868931,18.4446295789834,34.2681596449127,93.2542186643602,24.5501906292334,"CC vs. CW","CW"
"LOC111102394",53.9769975790246,3.76718701490212,4.27308471630057,0.000692298221323767,0.0432370194428192,0,6.01575382831857,88.354202839446,0,30.0597125441496,0,22.2588421481277,0,1.10324625820597,0,0,98.6670981009439,5.24089075816225,0,608.121088442797,0,12.0210478486816,0,0,0,0,2.11910152716045,0,0,2.2332778804507,0,0,25.0913430734295,77.2040760206586,0,0,564.90654470026,26.0285808542994,28.5931257795302,0,0,0,0,0,4.27711308046664,43.8494580679593,0.774768722324605,0,0,12.1141268751862,1036.26021357583,0,5.45263259735979,253.968485047244,0,0,0,1.91161335429392,5.92649591117768,407.742858429474,0,745.668563526824,0,5.45311894525876,2.50504621316894,0,0,0,25.9325256639602,2.33414013820549,1.07022724645722,1.05568384189948,0,56.5477043110049,3.39078563605838,19.7328664158361,0,0,86.2672752375954,0,2.0265769299886,0,0,0,0,0,0,216.003540065439,0,0,0,14.8586049188858,0,341.225647211194,0,0,71.5157727025495,"CC vs. CW","CW"
"LOC144622036",59.1519538283439,22.2820023698166,3.80905721325672,1.20709704095434e-09,3.96982129380186e-07,0,203.533004524778,0,0,201.16884548777,0,767.930054110406,0,0,0,0,190.968576969569,12.5781378195894,0,0,0,116.453901034103,0,0,1.85189556470052,0,0,1.89278270851796,0,0,0,0,49.0917581871446,16.6927731936559,0,0,275.210880751409,20.021985272538,9.53104192651007,0,0,2.15630898160147,0,0,0,44.8238904694695,0,0,0,37.3518911984907,160.498214897267,0,0,1088.28644212393,0,0,0,0,137.297155275616,846.598625735093,0,0,0,0,0,0,0,0,50.9045874144404,0,0,301.92557878325,0,127.471943616333,0,224.606450086134,0,0,62.0046040770217,17.7364374849783,0,0,0,0,0,0,0,397.446513720407,0,0,0,0.928662807430361,0,18.4446295789834,0,0,56.5721784064944,"CC vs. CW","CW"
"LOC144619234",20.2683200946651,22.3029392490358,3.2584375277446,2.39883529966163e-12,1.03873566534181e-09,0,19.0498871230088,0.950045191822,1.74941379128385,17.342141852394,0,0.654671827886109,0,0,0,0,83.8139865588663,35.6380571555033,0,0,0,21.7881492257354,0,0,0,0,1.05955076358023,0.946391354258981,0,0,0,0,4.3637118388573,250.391597904839,0,0,17.8274254737755,1.0010992636269,7.79812521259915,0,0,0,0,0,5.3463913505833,0,0,0,0,1.00951057293218,9.30424434187056,0,0,75.560871584304,0,0,0,0,50.3752152450103,58.9507747126951,0,0,0,3.27187136715526,0,0,0,9.72964585377727,0,0,0,23.2250445217885,0,124.596636617468,0,23.2151369598072,0,0,0,0,0,0,0,0,0,0,0,17.2802832052351,0,0,0,0,0,5.76394674343233,0,0,992.68162109509,"CC vs. CW","CW"
"LOC144622046",14.9732307861746,20.5722637760973,3.53516067467754,1.23551211010235e-09,4.01248001657115e-07,0,0,0,0,0,0,0,0,0,0,22.1925873488014,6.36561923231896,0,0,27.0498671959729,0,78.1368110164304,0,291.329178209586,0,10.022698920976,188.60003591728,102.21026625997,0,0,0,0,0,0,28.3721358612988,0,0,105.115422680825,0,0,0,0,0,0,0,0,0,0,0,0,68.6188020212954,10.2847483966655,0,0,0,0,0,1.91161335429392,0,0,0,0,0,18.5406044138798,0,83.2381576368552,103.748862873175,11.6755750245327,0,0,62.0731802945189,13.7238899446932,0,0,66.4593984667442,3.48227054397107,0,0,26.9585235117486,0,0,0,13.6024941773819,0.989483751231176,0,4.00493699563363,0,18.3603009055623,0,0,5.04801047332626,0,0,0,0,5.42175689909071,0,"CC vs. CW","CW"
"LOC111105159",68.182511335172,7.72357709315618,2.77205455703524,2.03425805375373e-05,0.00343195185029712,72.7138025924438,0,4.75022595911,2.62412068692577,9.24914232127678,2.32488442740666,0,0,0,0,134.164278063208,3.18280961615948,0,0,100.184693318418,2.14552604742987,353.869596045564,57.2654832178023,1061.20534507692,10.1854256058529,2.147721197352,730.030476106776,524.300810259475,0,2.2332778804507,0,0,0,25.0391597904839,163.423502561081,0,1.11421409211097,588.646367012618,0,0.753797738463791,8.42279743391361,0,0,50.1947850591974,0,2.92329720453062,0,0,0,6.05706343759309,319.8333992518,82.2779871733236,2.04473722400992,0,76.6615209696623,1.15414706866466,0,16.2487135114983,0,0,4.39470432842389,17.0195392531087,0.969564835012302,130.87485468621,1.25252310658447,245.190659995519,242.080680037409,26.2700438051986,4.80231956740004,7.00242041461648,328.559764662367,46.450089043577,0,2.87530699886466,215.653966453313,59.7789776715034,0,1.37995487314801,110.529946398169,0,1.0132884649943,14.1745910975262,78.2143415199457,24.7370937807794,21.0031839713335,73.0901001703137,0,79.9213098242123,0,0,88.8449843305423,0,0,2.30557869737293,1.1054245046746,19.5183248367266,6.4043975554522,"CC vs. CW","CW"
"LOC111102417",143.630065080713,3.95520359008234,3.92848910342852,0.000546501110161085,0.037463444177032,2.8330052958095,516.352203597344,52.25248555021,36.7376896169608,61.2755678784587,0,495.586573709785,8.25452798198618,9.9292163238537,0,0,647.171288619095,280.911744637496,1.32575468271965,0,5.36381511857468,166.792038900457,0,0.913257611942276,0,0.715907065784001,5.29775381790113,0,4.16260731148012,8.93311152180282,1.04500840785831,0,280.368485646581,1117.37250565034,2.2697708689039,0,219.50017614586,192.211058616365,388.173343916046,2.26139321539137,0,0,0,0,95.1657660403827,2504.29127188123,1.54953744464921,0,0,249.349111514249,134.911542957123,0,1.36315814933995,226.682614752912,0,2.30829413732932,0.924334085403459,0,23.7059836447107,422.480552107648,0,465.90988705385,0,1.09062378905175,0,5.42857549805577,1.0171457144429,0,31.6953091448402,0,0,251.252754372076,0.709944354544282,0,2.7126285088467,131.745902246906,0,0,451.555268821788,220.596941219417,1.0132884649943,4.42955971797694,0,0,2.03256619077421,1.00123424890841,0,700.931487512349,0,0,0,0,0,519.907996257596,3.31627351402381,0,2246.87614237115,"CC vs. CW","CW"
"LOC144622060",65.280372874253,23.3341046374117,3.27522551446168,3.37376640685904e-13,1.59370590939281e-10,2.8330052958095,18.0472614849557,330.615726754056,0,0,8.13709549592329,0,121.754287734296,0,0,0,40.3155884713534,1.04817815163245,0,0,0,26.296042168991,0,0,1.85189556470052,0,0,0,0,39.0823629078873,0,0,0,51.1216179055712,0,0,443.457208660164,504.554028867958,264.269798871416,0,0,0,0,0,189.262253810649,3069.46206475715,0,0,0,142.340990783438,1.16303054273382,0,0,2.098913099564,0,0,0,0.955806677146961,69.1424522970729,0,0,22.3381452697052,0,5.45311894525876,0,0,0,1.94592917075545,0,0,0,0,1.41988870908856,0,0,0,0,0,0,287.108581788086,0,0,0,0,0,0,0,120.961982436646,0,2.47762215354032,0,0,0,77.2368863619932,0,0,159.04253929373,"CC vs. CW","CW"
"LOC111133172",152.894296042513,2.21231650463426,2.04986040471653,0.000589365182702264,0.0392294277518659,66.1034569022216,217.569763457522,184.308767213468,71.7259654426377,304.065553811974,110.432010301816,503.442635644418,33.0181119279447,4.41298503282386,58.8794897087995,0,501.822982814478,603.750615340291,26.5150936543929,174.321366374047,12.8731562845792,214.876230295184,121.579025908565,11.8723489552496,32.4081723822591,72.3066136441841,0,120.191701990891,0,92.6810320387043,0,6.08615908452129,236.731367258008,368.284308585034,2.2697708689039,1.8569395072759,855.716422741222,351.385841533042,127.369378472453,0,94.7564711315281,99.1902131536678,67.4332837914453,65.5605355875231,367.831724920131,304.022909271185,18.5944493357905,12.6206692758806,20.4675124381482,79.7513352616423,70.944863106763,6.17084903799927,40.8947444801985,608.68479887356,154.402781671292,35.7785591286045,73.9467268322767,7.64645341717569,70.1302016156025,422.480552107648,8.78940865684777,104.244677925291,3.87825934004921,85.0686555460367,56.3635397963012,36.1905033203718,6.10287428665738,0,87.4022161266807,32.6779619348769,33.1770446401739,364.21092545532,63.1850475544411,363.247117523235,39.3331133782772,200.230556278337,59.3473019766977,33.8088943921262,125.357134329631,57.6434218261794,12.1594615799316,116.054464610996,22.6708236289698,27.7055450344729,101.628309538711,29.0357932183438,228.315336426401,1115.65828443799,65.351064328232,83.0003421436008,153.459518389118,2.78598842229108,119.993035808727,1334.93006577893,14.3705185607698,13.0122165578177,755.718911543359,"CC vs. CW","CW"
